n,knob_NUM_HIST,knob_HIST_SIZE,knob_NUM_WORK_ITEMS,knob_NUM_WORK_GROUPS,knob_SIMD,knob_COMPUTE_UNITS,knob_ACCUM_SMEM,knob_UNROLL_FACTOR,knob_PIPE_FACTOR,obj1,obj2,lut,ff,dsp,bram
0681,1,256,8,8,1,1,0,3,0,0.000138,653,2563,2088,0,56
0682,1,256,8,8,1,1,0,3,1,0.000124,771,3310,2175,0,56
0683,1,256,8,8,1,1,0,3,2,0.000124,771,3310,2175,0,56
0684,1,256,8,8,1,1,0,4,0,0.000124,595,2566,1423,0,56
0685,1,256,8,8,1,1,0,4,1,0.000123,574,2634,1416,0,56
0686,1,256,8,8,1,1,0,4,2,0.000123,574,2634,1416,0,56
0693,1,256,8,8,1,1,0,7,0,0.000128,886,3672,2440,0,56
0694,1,256,8,8,1,1,0,7,1,0.000136,1028,4596,2887,0,56
0695,1,256,8,8,1,1,0,7,2,0.000136,1028,4596,2887,0,56
0696,1,256,8,8,1,1,0,8,0,0.000125,624,2739,1719,0,56
0697,1,256,8,8,1,1,0,8,1,0.000105,691,3196,1976,0,56
0698,1,256,8,8,1,1,0,8,2,0.000105,691,3196,1976,0,56
0699,1,256,8,8,1,1,0,9,0,0.000116,922,3667,2616,0,56
0700,1,256,8,8,1,1,0,9,1,0.000146,1159,5113,3126,0,56
0701,1,256,8,8,1,1,0,9,2,0.000146,1159,5113,3126,0,56
0717,1,256,8,8,1,1,0,15,0,0.000133,1232,5080,3040,0,56
0718,1,256,8,8,1,1,0,15,1,0.000147,1566,7504,4067,0,56
0719,1,256,8,8,1,1,0,15,2,0.000147,1566,7504,4067,0,56
0720,2,256,1,1,1,1,0,1,0,0.000315,42,176,101,0,2
0721,2,256,1,1,1,1,0,1,1,0.000216,51,203,104,0,2
0722,2,256,1,1,1,1,0,1,2,0.000216,51,203,104,0,2
0723,2,256,1,1,1,1,0,2,0,0.000259,50,156,131,0,2
0724,2,256,1,1,1,1,0,2,1,0.000192,55,247,136,0,2
0725,2,256,1,1,1,1,0,2,2,0.000192,55,247,136,0,2
0726,2,256,1,1,1,1,0,3,0,0.000230,55,203,137,0,2
0727,2,256,1,1,1,1,0,3,1,0.000200,76,318,174,0,2
0728,2,256,1,1,1,1,0,3,2,0.000200,76,318,174,0,2
0729,2,256,1,1,1,1,0,4,0,0.000239,53,236,165,0,2
0730,2,256,1,1,1,1,0,4,1,0.000218,75,306,215,0,2
0731,2,256,1,1,1,1,0,4,2,0.000205,75,307,215,0,2
0732,2,256,1,1,1,1,0,5,0,0.000247,75,308,175,0,2
0733,2,256,1,1,1,1,0,5,1,0.000219,98,407,228,0,2
0734,2,256,1,1,1,1,0,5,2,0.000219,98,407,228,0,2
0735,2,256,1,1,1,1,0,6,0,0.000224,71,280,191,0,2
0736,2,256,1,1,1,1,0,6,1,0.000210,95,374,260,0,2
0737,2,256,1,1,1,1,0,6,2,0.000210,95,374,260,0,2
0738,2,256,1,1,1,1,0,7,0,0.000239,91,332,213,0,2
0739,2,256,1,1,1,1,0,7,1,0.000254,133,555,298,0,2
0740,2,256,1,1,1,1,0,7,2,0.000254,133,555,298,0,2
0741,2,256,1,1,1,1,0,8,0,0.000234,67,271,234,0,2
0742,2,256,1,1,1,1,0,8,1,0.000211,79,334,341,0,2
0743,2,256,1,1,1,1,0,8,2,0.000211,79,334,341,0,2
0744,2,256,1,1,1,1,0,9,0,0.000228,107,402,251,0,2
0745,2,256,1,1,1,1,0,9,1,0.000255,155,647,352,0,2
0746,2,256,1,1,1,1,0,9,2,0.000255,155,647,352,0,2
0747,2,256,1,1,1,1,0,10,0,0.000222,111,433,267,0,2
0748,2,256,1,1,1,1,0,10,1,0.000261,158,638,386,0,2
0749,2,256,1,1,1,1,0,10,2,0.000261,158,638,386,0,2
0750,2,256,1,1,1,1,0,11,0,0.000247,145,607,282,0,2
0751,2,256,1,1,1,1,0,11,1,0.000320,184,765,422,0,2
0752,2,256,1,1,1,1,0,11,2,0.000320,184,765,422,0,2
0753,2,256,1,1,1,1,0,12,0,0.000227,121,486,314,0,2
0754,2,256,1,1,1,1,0,12,1,0.000247,165,710,468,0,2
0755,2,256,1,1,1,1,0,12,2,0.000247,165,710,468,0,2
0756,2,256,1,1,1,1,0,13,0,0.000259,166,696,318,0,2
0757,2,256,1,1,1,1,0,13,1,0.000284,208,876,476,0,2
0758,2,256,1,1,1,1,0,13,2,0.000284,208,876,476,0,2
0759,2,256,1,1,1,1,0,14,0,0.000257,163,641,334,0,2
0760,2,256,1,1,1,1,0,14,1,0.000296,223,884,510,0,2
0761,2,256,1,1,1,1,0,14,2,0.000296,223,884,510,0,2
0762,2,256,1,1,1,1,0,15,0,0.000328,196,750,354,0,2
0763,2,256,1,1,1,1,0,15,1,0.000291,228,986,548,0,2
0764,2,256,1,1,1,1,0,15,2,0.000291,228,986,548,0,2
0765,2,256,1,2,1,1,0,1,0,0.000235,160,713,333,0,40
0766,2,256,1,2,1,1,0,1,1,0.000156,159,733,339,0,40
0767,2,256,1,2,1,1,0,1,2,0.000156,159,733,339,0,40
0768,2,256,1,2,1,1,0,2,0,0.000201,200,716,391,0,40
0769,2,256,1,2,1,1,0,2,1,0.000161,134,651,366,0,40
0770,2,256,1,2,1,1,0,2,2,0.000161,134,651,366,0,40
0771,2,256,1,2,1,1,0,3,0,0.000211,191,810,409,0,40
0772,2,256,1,2,1,1,0,3,1,0.000191,243,1108,447,0,40
0773,2,256,1,2,1,1,0,3,2,0.000191,243,1108,447,0,40
0774,2,256,1,2,1,1,0,4,0,0.000215,245,841,459,0,40
0775,2,256,1,2,1,1,0,4,1,0.000178,195,829,569,0,40
0776,2,256,1,2,1,1,0,4,2,0.000179,199,830,569,0,40
0777,2,256,1,2,1,1,0,5,0,0.000188,257,964,485,0,40
0778,2,256,1,2,1,1,0,5,1,0.000202,271,1237,587,0,40
0779,2,256,1,2,1,1,0,5,2,0.000202,271,1237,587,0,40
0780,2,256,1,2,1,1,0,6,0,0.000189,248,931,517,0,40
0781,2,256,1,2,1,1,0,6,1,0.000178,281,1218,651,0,40
0782,2,256,1,2,1,1,0,6,2,0.000178,281,1218,651,0,40
0783,2,256,1,2,1,1,0,7,0,0.000190,240,1014,561,0,40
0784,2,256,1,2,1,1,0,7,1,0.000219,329,1536,727,0,40
0785,2,256,1,2,1,1,0,7,2,0.000219,329,1536,727,0,40
0786,2,256,1,2,1,1,0,8,0,0.000206,214,905,597,0,40
0787,2,256,1,2,1,1,0,8,1,0.000202,224,963,795,0,40
0788,2,256,1,2,1,1,0,8,2,0.000202,224,963,795,0,40
0789,2,256,1,2,1,1,0,9,0,0.000210,335,1546,637,0,40
0790,2,256,1,2,1,1,0,9,1,0.000216,371,1663,835,0,40
0791,2,256,1,2,1,1,0,9,2,0.000216,371,1663,835,0,40
0792,2,256,1,2,1,1,0,10,0,0.000222,328,1478,669,0,40
0793,2,256,1,2,1,1,0,10,1,0.000196,392,1841,903,0,40
0794,2,256,1,2,1,1,0,10,2,0.000196,392,1841,903,0,40
0795,2,256,1,2,1,1,0,11,0,0.000250,354,1698,695,0,40
0796,2,256,1,2,1,1,0,11,1,0.000209,415,1914,975,0,40
0797,2,256,1,2,1,1,0,11,2,0.000209,415,1914,975,0,40
0798,2,256,1,2,1,1,0,12,0,0.000219,336,1495,761,0,40
0799,2,256,1,2,1,1,0,12,1,0.000195,403,1855,1067,0,40
0800,2,256,1,2,1,1,0,12,2,0.000195,403,1855,1067,0,40
0801,2,256,1,2,1,1,0,13,0,0.000214,418,1928,767,0,40
0802,2,256,1,2,1,1,0,13,1,0.000203,483,2220,1084,0,40
0803,2,256,1,2,1,1,0,13,2,0.000203,483,2220,1084,0,40
0804,2,256,1,2,1,1,0,14,0,0.000218,385,1768,799,0,40
0805,2,256,1,2,1,1,0,14,1,0.000212,502,2377,1151,0,40
0806,2,256,1,2,1,1,0,14,2,0.000212,502,2377,1151,0,40
0807,2,256,1,2,1,1,0,15,0,0.000243,426,2120,839,0,40
0808,2,256,1,2,1,1,0,15,1,0.000250,531,2439,1223,0,40
0809,2,256,1,2,1,1,0,15,2,0.000250,531,2439,1223,0,40
0810,2,256,1,4,1,1,0,1,0,0.000119,291,1330,524,0,48
0811,2,256,1,4,1,1,0,1,1,0.000081,315,1411,536,0,48
0812,2,256,1,4,1,1,0,1,2,0.000081,315,1411,536,0,48
0813,2,256,1,4,1,1,0,2,0,0.000095,300,1250,635,0,48
0814,2,256,1,4,1,1,0,2,1,0.000082,342,1522,599,0,48
0815,2,256,1,4,1,1,0,2,2,0.000082,342,1522,599,0,48
0816,2,256,1,4,1,1,0,3,0,0.000090,351,1564,676,0,48
0817,2,256,1,4,1,1,0,3,1,0.000100,466,2039,754,0,48
0818,2,256,1,4,1,1,0,3,2,0.000100,466,2039,754,0,48
0819,2,256,1,4,1,1,0,4,0,0.000089,362,1546,772,0,48
0820,2,256,1,4,1,1,0,4,1,0.000095,374,1628,991,0,48
0821,2,256,1,4,1,1,0,4,2,0.000095,374,1628,991,0,48
0822,2,256,1,4,1,1,0,5,0,0.000124,478,1851,828,0,48
0823,2,256,1,4,1,1,0,5,1,0.000111,526,2363,1032,0,48
0824,2,256,1,4,1,1,0,5,2,0.000111,526,2363,1032,0,48
0825,2,256,1,4,1,1,0,6,0,0.000088,460,1762,892,0,48
0826,2,256,1,4,1,1,0,6,1,0.000110,504,2296,1160,0,48
0827,2,256,1,4,1,1,0,6,2,0.000110,504,2296,1160,0,48
0828,2,256,1,4,1,1,0,7,0,0.000086,458,1969,980,0,48
0829,2,256,1,4,1,1,0,7,1,0.000104,639,2901,1312,0,48
0830,2,256,1,4,1,1,0,7,2,0.000104,639,2901,1312,0,48
0831,2,256,1,4,1,1,0,8,0,0.000097,400,1682,1048,0,48
0832,2,256,1,4,1,1,0,8,1,0.000100,441,1970,1475,0,48
0833,2,256,1,4,1,1,0,8,2,0.000100,441,1970,1475,0,48
0834,2,256,1,4,1,1,0,9,0,0.000107,596,2621,1132,0,48
0835,2,256,1,4,1,1,0,9,1,0.000113,719,3297,1528,0,48
0836,2,256,1,4,1,1,0,9,2,0.000113,719,3297,1528,0,48
0837,2,256,1,4,1,1,0,10,0,0.000120,604,2766,1196,0,48
0838,2,256,1,4,1,1,0,10,1,0.000092,687,3143,1655,0,48
0839,2,256,1,4,1,1,0,10,2,0.000092,687,3143,1655,0,48
0840,2,256,1,4,1,1,0,11,0,0.000104,708,3377,1248,0,48
0841,2,256,1,4,1,1,0,11,1,0.000115,781,3580,1808,0,48
0842,2,256,1,4,1,1,0,11,2,0.000099,777,3581,1808,0,48
0843,2,256,1,4,1,1,0,12,0,0.000102,618,2879,1376,0,48
0844,2,256,1,4,1,1,0,12,1,0.000112,763,3607,1987,0,48
0845,2,256,1,4,1,1,0,12,2,0.000107,764,3606,1987,0,48
0846,2,256,1,4,1,1,0,13,0,0.000125,786,3603,1392,0,48
0847,2,256,1,4,1,1,0,13,1,0.000111,871,4212,2028,0,48
0848,2,256,1,4,1,1,0,13,2,0.000111,871,4212,2028,0,48
0849,2,256,1,4,1,1,0,14,0,0.000110,747,3361,1456,0,48
0850,2,256,1,4,1,1,0,14,1,0.000112,962,4536,2159,0,48
0851,2,256,1,4,1,1,0,14,2,0.000112,962,4536,2159,0,48
0852,2,256,1,4,1,1,0,15,0,0.000110,880,4136,1536,0,48
0853,2,256,1,4,1,1,0,15,1,0.000122,965,4634,2408,0,48
0854,2,256,1,4,1,1,0,15,2,0.000122,965,4634,2408,0,48
0855,2,256,1,8,1,1,0,1,0,0.000068,620,2367,843,0,64
0856,2,256,1,8,1,1,0,1,1,0.000057,644,2477,867,0,64
0857,2,256,1,8,1,1,0,1,2,0.000057,644,2477,867,0,64
0858,2,256,1,8,1,1,0,2,0,0.000063,561,2183,1059,0,64
0859,2,256,1,8,1,1,0,2,1,0.000058,663,2796,992,0,64
0860,2,256,1,8,1,1,0,2,2,0.000058,663,2796,992,0,64
0861,2,256,1,8,1,1,0,3,0,0.000069,728,2664,1145,0,64
0862,2,256,1,8,1,1,0,3,1,0.000070,878,3890,1301,0,64
0863,2,256,1,8,1,1,0,3,2,0.000070,878,3890,1301,0,64
0864,2,256,1,8,1,1,0,4,0,0.000054,647,2774,1331,0,64
0865,2,256,1,8,1,1,0,4,1,0.000057,678,2969,1768,0,64
0866,2,256,1,8,1,1,0,4,2,0.000057,678,2969,1768,0,64
0867,2,256,1,8,1,1,0,5,0,0.000055,840,3281,1451,0,64
0868,2,256,1,8,1,1,0,5,1,0.000057,870,3948,1858,0,64
0869,2,256,1,8,1,1,0,5,2,0.000057,870,3948,1858,0,64
0870,2,256,1,8,1,1,0,6,0,0.000063,810,3043,1578,0,64
0871,2,256,1,8,1,1,0,6,1,0.000064,931,4072,2114,0,64
0872,2,256,1,8,1,1,0,6,2,0.000064,931,4072,2114,0,64
0873,2,256,1,8,1,1,0,7,0,0.000059,864,3463,1754,0,64
0874,2,256,1,8,1,1,0,7,1,0.000080,1086,4897,2416,0,64
0875,2,256,1,8,1,1,0,7,2,0.000080,1086,4897,2416,0,64
0876,2,256,1,8,1,1,0,8,0,0.000070,802,2973,1883,0,64
0877,2,256,1,8,1,1,0,8,1,0.000061,870,3707,2736,0,64
0878,2,256,1,8,1,1,0,8,2,0.000061,870,3707,2736,0,64
0879,2,256,1,8,1,1,0,9,0,0.000063,1050,4626,2056,0,64
0880,2,256,1,8,1,1,0,9,1,0.000072,1271,5864,2848,0,64
0881,2,256,1,8,1,1,0,9,2,0.000072,1271,5864,2848,0,64
0882,2,256,1,8,1,1,0,10,0,0.000060,1008,4705,2184,0,64
0883,2,256,1,8,1,1,0,10,1,0.000061,1262,5535,3106,0,64
0884,2,256,1,8,1,1,0,10,2,0.000071,1253,5537,3106,0,64
0885,2,256,1,8,1,1,0,11,0,0.000059,1277,6020,2288,0,64
0886,2,256,1,8,1,1,0,11,1,0.000058,1457,6694,3408,0,64
0887,2,256,1,8,1,1,0,11,2,0.000058,1457,6694,3408,0,64
0888,2,256,1,8,1,1,0,12,0,0.000065,1165,5104,2536,0,64
0889,2,256,1,8,1,1,0,12,1,0.000072,1507,6746,3752,0,64
0890,2,256,1,8,1,1,0,12,2,0.000072,1507,6746,3752,0,64
0891,2,256,1,8,1,1,0,13,0,0.000067,1366,6230,2576,0,64
0892,2,256,1,8,1,1,0,13,1,0.000074,1630,7780,3848,0,64
0893,2,256,1,8,1,1,0,13,2,0.000074,1630,7780,3848,0,64
0894,2,256,1,8,1,1,0,14,0,0.000072,1361,6147,2704,0,64
0895,2,256,1,8,1,1,0,14,1,0.000080,1640,7763,4112,0,64
0896,2,256,1,8,1,1,0,14,2,0.000080,1640,7763,4112,0,64
0897,2,256,1,8,1,1,0,15,0,0.000072,1471,6930,2864,0,64
0898,2,256,1,8,1,1,0,15,1,0.000074,1843,8785,4600,0,64
0899,2,256,1,8,1,1,0,15,2,0.000074,1843,8785,4600,0,64
0900,2,256,2,1,1,1,0,1,0,0.000307,44,161,106,0,2
0901,2,256,2,1,1,1,0,1,1,0.000205,54,223,109,0,2
0902,2,256,2,1,1,1,0,1,2,0.000205,54,223,109,0,2
0903,2,256,2,1,1,1,0,2,0,0.000264,63,219,170,0,2
0904,2,256,2,1,1,1,0,2,1,0.000206,74,326,159,0,2
0905,2,256,2,1,1,1,0,2,2,0.000206,74,326,159,0,2
0906,2,256,2,1,1,1,0,3,0,0.000243,72,331,146,0,2
0907,2,256,2,1,1,1,0,3,1,0.000211,93,438,195,0,2
0908,2,256,2,1,1,1,0,3,2,0.000211,93,438,195,0,2
0909,2,256,2,1,1,1,0,4,0,0.000292,94,343,217,0,2
0910,2,256,2,1,1,1,0,4,1,0.000218,92,366,242,0,2
0911,2,256,2,1,1,1,0,4,2,0.000218,92,366,242,0,2
0912,2,256,2,1,1,1,0,5,0,0.000222,104,501,184,0,2
0913,2,256,2,1,1,1,0,5,1,0.000213,118,563,249,0,2
0914,2,256,2,1,1,1,0,5,2,0.000213,118,563,249,0,2
0915,2,256,2,1,1,1,0,6,0,0.000228,103,481,200,0,2
0916,2,256,2,1,1,1,0,6,1,0.000208,132,636,283,0,2
0917,2,256,2,1,1,1,0,6,2,0.000208,132,636,283,0,2
0918,2,256,2,1,1,1,0,7,0,0.000225,141,637,222,0,2
0919,2,256,2,1,1,1,0,7,1,0.000238,152,762,303,0,2
0920,2,256,2,1,1,1,0,7,2,0.000238,152,762,303,0,2
0921,2,256,2,1,1,1,0,8,0,0.000248,129,431,286,0,2
0922,2,256,2,1,1,1,0,8,1,0.000244,156,545,347,0,2
0923,2,256,2,1,1,1,0,8,2,0.000244,156,545,347,0,2
0924,2,256,2,1,1,1,0,9,0,0.000234,156,782,260,0,2
0925,2,256,2,1,1,1,0,9,1,0.000281,176,905,357,0,2
0926,2,256,2,1,1,1,0,9,2,0.000281,176,905,357,0,2
0927,2,256,2,1,1,1,0,10,0,0.000252,161,774,276,0,2
0928,2,256,2,1,1,1,0,10,1,0.000274,188,929,391,0,2
0929,2,256,2,1,1,1,0,10,2,0.000274,188,929,391,0,2
0930,2,256,2,1,1,1,0,11,0,0.000272,180,945,289,0,2
0931,2,256,2,1,1,1,0,11,1,0.000261,256,1277,455,0,2
0932,2,256,2,1,1,1,0,11,2,0.000261,256,1277,455,0,2
0933,2,256,2,1,1,1,0,12,0,0.000232,171,810,322,0,2
0934,2,256,2,1,1,1,0,12,1,0.000256,266,1296,500,0,2
0935,2,256,2,1,1,1,0,12,2,0.000256,266,1296,500,0,2
0936,2,256,2,1,1,1,0,13,0,0.000302,224,1095,325,0,2
0937,2,256,2,1,1,1,0,13,1,0.000326,304,1535,508,0,2
0938,2,256,2,1,1,1,0,13,2,0.000326,304,1535,508,0,2
0939,2,256,2,1,1,1,0,14,0,0.000254,215,1071,341,0,2
0940,2,256,2,1,1,1,0,14,1,0.000329,315,1575,545,0,2
0941,2,256,2,1,1,1,0,14,2,0.000316,312,1577,545,0,2
0942,2,256,2,1,1,1,0,15,0,0.000269,233,1278,363,0,2
0943,2,256,2,1,1,1,0,15,1,0.000282,335,1724,562,0,2
0944,2,256,2,1,1,1,0,15,2,0.000282,335,1724,562,0,2
0945,2,256,2,2,1,1,0,1,0,0.000253,190,785,338,0,40
0946,2,256,2,2,1,1,0,1,1,0.000165,189,867,344,0,40
0947,2,256,2,2,1,1,0,1,2,0.000165,189,867,344,0,40
0948,2,256,2,2,1,1,0,2,0,0.000218,216,837,460,0,40
0949,2,256,2,2,1,1,0,2,1,0.000207,243,1043,440,0,40
0950,2,256,2,2,1,1,0,2,2,0.000207,243,1043,440,0,40
0951,2,256,2,2,1,1,0,3,0,0.000216,238,1015,416,0,40
0952,2,256,2,2,1,1,0,3,1,0.000192,258,1227,510,0,40
0953,2,256,2,2,1,1,0,3,2,0.000192,258,1227,510,0,40
0954,2,256,2,2,1,1,0,4,0,0.000194,292,980,552,0,40
0955,2,256,2,2,1,1,0,4,1,0.000228,270,1070,602,0,40
0956,2,256,2,2,1,1,0,4,2,0.000228,270,1070,602,0,40
0957,2,256,2,2,1,1,0,5,0,0.000214,333,1377,492,0,40
0958,2,256,2,2,1,1,0,5,1,0.000206,302,1408,618,0,40
0959,2,256,2,2,1,1,0,5,2,0.000206,302,1408,618,0,40
0960,2,256,2,2,1,1,0,6,0,0.000230,303,1328,524,0,40
0961,2,256,2,2,1,1,0,6,1,0.000238,374,1571,686,0,40
0962,2,256,2,2,1,1,0,6,2,0.000238,374,1571,686,0,40
0963,2,256,2,2,1,1,0,7,0,0.000258,347,1634,568,0,40
0964,2,256,2,2,1,1,0,7,1,0.000214,378,1861,726,0,40
0965,2,256,2,2,1,1,0,7,2,0.000214,378,1861,726,0,40
0966,2,256,2,2,1,1,0,8,0,0.000205,326,1216,690,0,40
0967,2,256,2,2,1,1,0,8,1,0.000219,382,1463,814,0,40
0968,2,256,2,2,1,1,0,8,2,0.000219,382,1463,814,0,40
0969,2,256,2,2,1,1,0,9,0,0.000273,392,1924,644,0,40
0970,2,256,2,2,1,1,0,9,1,0.000234,464,2137,836,0,40
0971,2,256,2,2,1,1,0,9,2,0.000234,464,2137,836,0,40
0972,2,256,2,2,1,1,0,10,0,0.000246,430,1895,676,0,40
0973,2,256,2,2,1,1,0,10,1,0.000240,492,2301,902,0,40
0974,2,256,2,2,1,1,0,10,2,0.000246,484,2303,902,0,40
0975,2,256,2,2,1,1,0,11,0,0.000237,438,2122,702,0,40
0976,2,256,2,2,1,1,0,11,1,0.000252,572,2814,996,0,40
0977,2,256,2,2,1,1,0,11,2,0.000266,572,2815,996,0,40
0978,2,256,2,2,1,1,0,12,0,0.000235,423,1963,766,0,40
0979,2,256,2,2,1,1,0,12,1,0.000239,598,2908,1086,0,40
0980,2,256,2,2,1,1,0,12,2,0.000239,598,2908,1086,0,40
0981,2,256,2,2,1,1,0,13,0,0.000265,496,2443,776,0,40
0982,2,256,2,2,1,1,0,13,1,0.000270,641,3263,1104,0,40
0983,2,256,2,2,1,1,0,13,2,0.000270,641,3263,1104,0,40
0984,2,256,2,2,1,1,0,14,0,0.000255,489,2375,806,0,40
0985,2,256,2,2,1,1,0,14,1,0.000269,672,3324,1175,0,40
0986,2,256,2,2,1,1,0,14,2,0.000267,663,3324,1175,0,40
0987,2,256,2,2,1,1,0,15,0,0.000266,540,2689,848,0,40
0988,2,256,2,2,1,1,0,15,1,0.000284,724,3711,1215,0,40
0989,2,256,2,2,1,1,0,15,2,0.000284,724,3711,1215,0,40
0990,2,256,2,4,1,1,0,1,0,0.000124,356,1483,527,0,48
0991,2,256,2,4,1,1,0,1,1,0.000090,410,1660,539,0,48
0992,2,256,2,4,1,1,0,1,2,0.000090,410,1660,539,0,48
0993,2,256,2,4,1,1,0,2,0,0.000107,372,1594,763,0,48
0994,2,256,2,4,1,1,0,2,1,0.000096,422,1954,727,0,48
0995,2,256,2,4,1,1,0,2,2,0.000096,422,1954,727,0,48
0996,2,256,2,4,1,1,0,3,0,0.000108,444,1937,683,0,48
0997,2,256,2,4,1,1,0,3,1,0.000121,498,2335,863,0,48
0998,2,256,2,4,1,1,0,3,2,0.000121,498,2335,863,0,48
0999,2,256,2,4,1,1,0,4,0,0.000099,467,1857,943,0,48
1000,2,256,2,4,1,1,0,4,1,0.000103,508,2047,1043,0,48
1001,2,256,2,4,1,1,0,4,2,0.000103,508,2047,1043,0,48
1002,2,256,2,4,1,1,0,5,0,0.000116,551,2566,835,0,48
1003,2,256,2,4,1,1,0,5,1,0.000118,564,2660,1079,0,48
1004,2,256,2,4,1,1,0,5,2,0.000118,564,2660,1079,0,48
1005,2,256,2,4,1,1,0,6,0,0.000121,552,2432,898,0,48
1006,2,256,2,4,1,1,0,6,1,0.000110,661,2846,1207,0,48
1007,2,256,2,4,1,1,0,6,2,0.000110,661,2846,1207,0,48
1008,2,256,2,4,1,1,0,7,0,0.000112,636,3039,986,0,48
1009,2,256,2,4,1,1,0,7,1,0.000114,710,3548,1294,0,48
1010,2,256,2,4,1,1,0,7,2,0.000114,710,3548,1294,0,48
1011,2,256,2,4,1,1,0,8,0,0.000107,570,2206,1218,0,48
1012,2,256,2,4,1,1,0,8,1,0.000103,713,2803,1467,0,48
1013,2,256,2,4,1,1,0,8,2,0.000103,713,2803,1467,0,48
1014,2,256,2,4,1,1,0,9,0,0.000137,730,3465,1138,0,48
1015,2,256,2,4,1,1,0,9,1,0.000112,839,4021,1511,0,48
1016,2,256,2,4,1,1,0,9,2,0.000112,839,4021,1511,0,48
1017,2,256,2,4,1,1,0,10,0,0.000113,747,3528,1203,0,48
1018,2,256,2,4,1,1,0,10,1,0.000122,895,4206,1646,0,48
1019,2,256,2,4,1,1,0,10,2,0.000122,895,4206,1646,0,48
1020,2,256,2,4,1,1,0,11,0,0.000117,873,4252,1255,0,48
1021,2,256,2,4,1,1,0,11,1,0.000136,1081,5331,1809,0,48
1022,2,256,2,4,1,1,0,11,2,0.000136,1081,5331,1809,0,48
1023,2,256,2,4,1,1,0,12,0,0.000112,801,3706,1378,0,48
1024,2,256,2,4,1,1,0,12,1,0.000140,1102,5482,1978,0,48
1025,2,256,2,4,1,1,0,12,2,0.000140,1102,5482,1978,0,48
1026,2,256,2,4,1,1,0,13,0,0.000126,920,4516,1402,0,48
1027,2,256,2,4,1,1,0,13,1,0.000134,1209,6093,2018,0,48
1028,2,256,2,4,1,1,0,13,2,0.000134,1209,6093,2018,0,48
1029,2,256,2,4,1,1,0,14,0,0.000144,970,4608,1463,0,48
1030,2,256,2,4,1,1,0,14,1,0.000144,1296,6396,2157,0,48
1031,2,256,2,4,1,1,0,14,2,0.000144,1296,6396,2157,0,48
1032,2,256,2,4,1,1,0,15,0,0.000135,1056,5161,1545,0,48
1033,2,256,2,4,1,1,0,15,1,0.000140,1410,6933,2235,0,48
1034,2,256,2,4,1,1,0,15,2,0.000140,1410,6933,2235,0,48
1035,2,256,2,8,1,1,0,1,0,0.000071,628,2188,839,0,64
1036,2,256,2,8,1,1,0,1,1,0.000057,583,2517,863,0,64
1037,2,256,2,8,1,1,0,1,2,0.000057,583,2517,863,0,64
1038,2,256,2,8,1,1,0,2,0,0.000064,675,2705,1298,0,64
1039,2,256,2,8,1,1,0,2,1,0.000060,775,3414,1232,0,64
1040,2,256,2,8,1,1,0,2,2,0.000060,775,3414,1232,0,64
1041,2,256,2,8,1,1,0,3,0,0.000064,827,3494,1151,0,64
1042,2,256,2,8,1,1,0,3,1,0.000058,920,4104,1495,0,64
1043,2,256,2,8,1,1,0,3,2,0.000058,920,4104,1495,0,64
1044,2,256,2,8,1,1,0,4,0,0.000064,849,3140,1647,0,64
1045,2,256,2,8,1,1,0,4,1,0.000056,925,3539,1849,0,64
1046,2,256,2,8,1,1,0,4,2,0.000057,910,3540,1849,0,64
1047,2,256,2,8,1,1,0,5,0,0.000067,1041,4607,1455,0,64
1048,2,256,2,8,1,1,0,5,1,0.000068,1016,4711,1930,0,64
1049,2,256,2,8,1,1,0,5,2,0.000068,1016,4711,1930,0,64
1050,2,256,2,8,1,1,0,6,0,0.000068,1069,4332,1583,0,64
1051,2,256,2,8,1,1,0,6,1,0.000066,1219,5538,2199,0,64
1052,2,256,2,8,1,1,0,6,2,0.000066,1219,5538,2199,0,64
1053,2,256,2,8,1,1,0,7,0,0.000077,1196,5486,1759,0,64
1054,2,256,2,8,1,1,0,7,1,0.000082,1356,6433,2363,0,64
1055,2,256,2,8,1,1,0,7,2,0.000082,1356,6433,2363,0,64
1056,2,256,2,8,1,1,0,8,0,0.000063,1072,4048,2199,0,64
1057,2,256,2,8,1,1,0,8,1,0.000085,1332,4884,2685,0,64
1058,2,256,2,8,1,1,0,8,2,0.000085,1332,4884,2685,0,64
1059,2,256,2,8,1,1,0,9,0,0.000079,1333,6290,2065,0,64
1060,2,256,2,8,1,1,0,9,1,0.000082,1494,7268,2793,0,64
1061,2,256,2,8,1,1,0,9,2,0.000082,1494,7268,2793,0,64
1062,2,256,2,8,1,1,0,10,0,0.000078,1367,6280,2187,0,64
1063,2,256,2,8,1,1,0,10,1,0.000075,1608,7629,3059,0,64
1064,2,256,2,8,1,1,0,10,2,0.000075,1608,7629,3059,0,64
1065,2,256,2,8,1,1,0,11,0,0.000086,1556,7360,2291,0,64
1066,2,256,2,8,1,1,0,11,1,0.000077,1704,8046,3219,0,64
1067,2,256,2,8,1,1,0,11,2,0.000077,1704,8046,3219,0,64
1068,2,256,2,8,1,1,0,12,0,0.000080,1423,6617,2532,0,64
1069,2,256,2,8,1,1,0,12,1,0.000075,1780,7962,3564,0,64
1070,2,256,2,8,1,1,0,12,2,0.000081,1792,7962,3564,0,64
1071,2,256,2,8,1,1,0,13,0,0.000082,1753,8341,2588,0,64
