n,knob_NUM_HIST,knob_HIST_SIZE,knob_NUM_WORK_ITEMS,knob_NUM_WORK_GROUPS,knob_SIMD,knob_COMPUTE_UNITS,knob_ACCUM_SMEM,knob_UNROLL_FACTOR,knob_PIPE_FACTOR,obj1,obj2,lut,ff,dsp,bram
0135,1,256,1,8,1,1,0,1,0,0.000140,475,2054,965,0,56
0136,1,256,1,8,1,1,0,1,1,0.000099,489,2410,989,0,56
0137,1,256,1,8,1,1,0,1,2,0.000099,489,2410,989,0,56
0138,1,256,1,8,1,1,0,2,0,0.000110,483,2010,1043,0,56
0139,1,256,1,8,1,1,0,2,1,0.000088,500,2397,1066,0,56
0140,1,256,1,8,1,1,0,2,2,0.000088,500,2397,1066,0,56
0144,1,256,1,8,1,1,0,4,0,0.000107,574,2429,1284,0,56
0145,1,256,1,8,1,1,0,4,1,0.000097,554,2428,1489,0,56
0146,1,256,1,8,1,1,0,4,2,0.000097,554,2428,1489,0,56
0147,1,256,1,8,1,1,0,5,0,0.000106,757,3255,2221,0,56
0148,1,256,1,8,1,1,0,5,1,0.000106,862,3949,2436,0,56
0149,1,256,1,8,1,1,0,5,2,0.000106,862,3949,2436,0,56
0153,1,256,1,8,1,1,0,7,0,0.000116,852,3715,2397,0,56
0154,1,256,1,8,1,1,0,7,1,0.000114,969,4467,2740,0,56
0155,1,256,1,8,1,1,0,7,2,0.000114,969,4467,2740,0,56
0156,1,256,1,8,1,1,0,8,0,0.000099,587,2597,1580,0,56
0157,1,256,1,8,1,1,0,8,1,0.000131,659,2983,2035,0,56
0158,1,256,1,8,1,1,0,8,2,0.000131,659,2983,2035,0,56
0171,1,256,1,8,1,1,0,13,0,0.000117,986,4582,2837,0,56
0172,1,256,1,8,1,1,0,13,1,0.000127,1327,6113,3520,0,56
0173,1,256,1,8,1,1,0,13,2,0.000127,1327,6113,3520,0,56
0177,1,256,1,8,1,1,0,15,0,0.000114,1085,4867,2997,0,56
0178,1,256,1,8,1,1,0,15,1,0.000113,1434,6744,3830,0,56
0179,1,256,1,8,1,1,0,15,2,0.000113,1434,6744,3830,0,56
0180,1,256,2,1,1,1,0,1,0,0.000594,32,123,98,0,1
0181,1,256,2,1,1,1,0,1,1,0.000401,35,173,101,0,1
0182,1,256,2,1,1,1,0,1,2,0.000401,35,173,101,0,1
0183,1,256,2,1,1,1,0,2,0,0.000506,36,129,116,0,1
0184,1,256,2,1,1,1,0,2,1,0.000403,43,202,119,0,1
0185,1,256,2,1,1,1,0,2,2,0.000403,43,202,119,0,1
0189,1,256,2,1,1,1,0,4,0,0.000459,47,187,163,0,1
0190,1,256,2,1,1,1,0,4,1,0.000391,49,221,169,0,1
0191,1,256,2,1,1,1,0,4,2,0.000391,49,221,169,0,1
0201,1,256,2,1,1,1,0,8,0,0.000433,55,203,201,0,1
0202,1,256,2,1,1,1,0,8,1,0.000421,64,278,234,0,1
0203,1,256,2,1,1,1,0,8,2,0.000421,64,278,234,0,1
