n,knob_HIST_SIZE,knob_NUM_HIST,knob_UNROLL_LLM,knob_UNROLL_LP,knob_I_B,knob_DATA_BLOCK,obj1,obj2
137,256,2,3,2,0,8192,0.0018,7401
138,256,2,3,2,0,16384,0.0018,7074
139,256,2,3,2,0,32768,0.0017,7440
140,256,2,3,3,0,1024,0.0017,7793
141,256,2,3,3,0,4096,0.0017,7684
142,256,2,3,3,0,16384,0.0017,7036
143,256,2,3,3,0,65536,0.0016,7124
144,256,2,4,1,0,16384,0.0013,7083
145,256,2,4,1,0,65536,0.0014,7569
146,256,2,4,2,0,1024,0.0017,8295
147,256,2,4,2,0,8192,0.0017,7644
148,256,2,4,2,0,16384,0.0019,7207
149,256,2,4,2,0,65536,0.0016,7515
150,256,2,4,3,0,4096,0.0016,7526
151,256,2,4,3,0,8192,0.0014,7301
152,256,2,4,3,0,16384,0.0015,7087
153,256,2,4,3,0,65536,0.0015,7212
154,256,2,5,1,0,4096,0.0014,7656
155,256,2,5,1,0,16384,0.0014,7552
156,256,2,5,1,0,32768,0.0013,7506
157,256,2,5,1,0,65536,0.0014,7546
158,256,2,5,2,0,1024,0.0016,7862
159,256,2,5,2,0,2048,0.0016,7609
160,256,2,5,2,0,4096,0.0016,7736
161,256,2,5,2,0,16384,0.0017,7191
162,256,2,5,2,0,32768,0.0016,7656
163,256,2,5,2,0,65536,0.0016,7413
164,256,2,5,3,0,4096,0.0017,7865
165,256,2,5,3,0,8192,0.0016,7463
166,256,2,5,3,0,16384,0.0018,9320
167,256,2,5,3,0,32768,0.0018,9306
168,256,2,5,3,0,65536,0.0016,9337
169,256,2,6,1,0,1024,0.0014,7679
170,256,2,6,1,0,2048,0.0014,7769
171,256,2,6,1,0,4096,0.0013,7255
172,256,2,6,1,0,8192,0.0013,7603
173,256,2,6,1,0,16384,0.0012,7052
174,256,2,6,1,0,32768,0.0013,7454
175,256,2,6,1,0,65536,0.0013,7439
176,256,2,6,2,0,1024,0.0009,7623
177,256,2,6,2,0,2048,0.001,7797
178,256,2,6,2,0,8192,0.001,7100
179,256,2,6,2,0,16384,0.001,7619
180,256,2,6,2,0,32768,0.0009,7491
181,256,2,6,2,0,65536,0.0009,7616
182,256,2,6,3,0,2048,0.0017,7935
183,256,2,6,3,0,8192,0.0017,7600
184,256,2,6,3,0,16384,0.0018,7088
185,256,2,6,3,0,65536,0.0016,7087
186,256,2,7,1,0,1024,0.0015,7677
187,256,2,7,1,0,2048,0.0015,7389
188,256,2,7,1,0,4096,0.0016,7953
189,256,2,7,1,0,16384,0.0015,7110
190,256,2,7,1,0,32768,0.0015,7308
191,256,2,7,1,0,65536,0.0014,7034
192,256,2,7,2,0,2048,0.001,7832
193,256,2,7,2,0,4096,0.001,7775
194,256,2,7,2,0,8192,0.001,7110
195,256,2,7,2,0,65536,0.0009,7676
196,256,2,7,3,0,1024,0.0018,9989
197,256,2,7,3,0,2048,0.0017,7629
198,256,2,7,3,0,8192,0.0018,9443
199,256,2,7,3,0,16384,0.0015,7375
200,256,2,7,3,0,32768,0.0015,7379
201,256,2,7,3,0,65536,0.0015,7316
202,256,3,1,1,0,1024,0.0023,7580
203,256,3,1,1,0,2048,0.0022,7550
204,256,3,1,1,0,16384,0.0025,7057
205,256,3,1,1,0,32768,0.0023,7551
206,256,3,1,1,0,65536,0.0023,7530
207,256,3,1,2,0,2048,0.0021,7708
208,256,3,1,2,0,4096,0.0019,7748
209,256,3,1,2,0,8192,0.0021,7435
210,256,3,1,2,0,16384,0.0021,7137
211,256,3,1,2,0,32768,0.002,7409
212,256,3,1,2,0,65536,0.0021,7549
213,256,3,1,3,0,1024,0.0018,8297
