n,knob_NUM_HIST,knob_HIST_SIZE,knob_NUM_WORK_ITEMS,knob_NUM_WORK_GROUPS,knob_SIMD,knob_COMPUTE_UNITS,knob_ACCUM_SMEM,knob_UNROLL_FACTOR,knob_PIPE_FACTOR,obj1,obj2
0211,1,256,2,1,1,1,0,11,1,0.000504,136
0212,1,256,2,1,1,1,0,11,2,0.000504,136
0225,1,256,2,2,1,1,0,1,0,0.000642,146
0226,1,256,2,2,1,1,0,1,1,0.000402,150
0227,1,256,2,2,1,1,0,1,2,0.000402,150
0228,1,256,2,2,1,1,0,2,0,0.000538,160
0229,1,256,2,2,1,1,0,2,1,0.000422,170
0230,1,256,2,2,1,1,0,2,2,0.000422,170
0231,1,256,2,2,1,1,0,3,0,0.000512,186
0232,1,256,2,2,1,1,0,3,1,0.000466,213
0233,1,256,2,2,1,1,0,3,2,0.000466,213
0234,1,256,2,2,1,1,0,4,0,0.000479,179
0235,1,256,2,2,1,1,0,4,1,0.000417,177
0236,1,256,2,2,1,1,0,4,2,0.000428,179
0243,1,256,2,2,1,1,0,7,0,0.000520,228
0244,1,256,2,2,1,1,0,7,1,0.000489,292
0245,1,256,2,2,1,1,0,7,2,0.000464,291
0246,1,256,2,2,1,1,0,8,0,0.000531,195
0247,1,256,2,2,1,1,0,8,1,0.000463,226
0248,1,256,2,2,1,1,0,8,2,0.000466,230
0255,1,256,2,2,1,1,0,11,0,0.000502,274
0256,1,256,2,2,1,1,0,11,1,0.000493,353
0257,1,256,2,2,1,1,0,11,2,0.000493,353
0267,1,256,2,2,1,1,0,15,0,0.000562,358
0268,1,256,2,2,1,1,0,15,1,0.000527,422
0269,1,256,2,2,1,1,0,15,2,0.000527,422
0270,1,256,2,4,1,1,0,1,0,0.000260,284
0271,1,256,2,4,1,1,0,1,1,0.000174,289
0272,1,256,2,4,1,1,0,1,2,0.000174,289
0273,1,256,2,4,1,1,0,2,0,0.000219,316
0274,1,256,2,4,1,1,0,2,1,0.000160,340
0275,1,256,2,4,1,1,0,2,2,0.000160,340
0279,1,256,2,4,1,1,0,4,0,0.000207,337
0280,1,256,2,4,1,1,0,4,1,0.000188,350
0281,1,256,2,4,1,1,0,4,2,0.000188,350
0282,1,256,2,4,1,1,0,5,0,0.000195,445
0283,1,256,2,4,1,1,0,5,1,0.000213,502
0284,1,256,2,4,1,1,0,5,2,0.000213,502
0288,1,256,2,4,1,1,0,7,0,0.000212,483
0289,1,256,2,4,1,1,0,7,1,0.000225,573
0290,1,256,2,4,1,1,0,7,2,0.000225,573
0291,1,256,2,4,1,1,0,8,0,0.000209,379
0292,1,256,2,4,1,1,0,8,1,0.000201,391
0293,1,256,2,4,1,1,0,8,2,0.000201,391
0306,1,256,2,4,1,1,0,13,0,0.000205,593
0307,1,256,2,4,1,1,0,13,1,0.000224,745
0308,1,256,2,4,1,1,0,13,2,0.000224,745
0312,1,256,2,4,1,1,0,15,0,0.000254,671
0313,1,256,2,4,1,1,0,15,1,0.000230,815
0314,1,256,2,4,1,1,0,15,2,0.000230,815
0315,1,256,2,8,1,1,0,1,0,0.000139,481
0316,1,256,2,8,1,1,0,1,1,0.000107,512
0317,1,256,2,8,1,1,0,1,2,0.000107,512
0318,1,256,2,8,1,1,0,2,0,0.000128,486
0319,1,256,2,8,1,1,0,2,1,0.000100,535
0320,1,256,2,8,1,1,0,2,2,0.000100,535
0321,1,256,2,8,1,1,0,3,0,0.000107,665
0322,1,256,2,8,1,1,0,3,1,0.000124,750
0323,1,256,2,8,1,1,0,3,2,0.000124,750
0324,1,256,2,8,1,1,0,4,0,0.000118,601
0325,1,256,2,8,1,1,0,4,1,0.000112,601
