Parameter,Throughput_Value,Tool,Resource_Type,Resource_Value,Flow
Throughput,604.5949214026601,catapult,FF,8944,area
Throughput,604.5949214026601,catapult,DSP,0,area
Throughput,604.5949214026601,catapult,BRAM,17.5,area
Throughput,570.7762557077625,catapult,CLB,7525,area
Throughput,570.7762557077625,catapult,LUT,43303,area
Throughput,570.7762557077625,catapult,FF,8733,area
Throughput,570.7762557077625,catapult,DSP,0,area
Throughput,570.7762557077625,catapult,BRAM,17.5,area
Throughput,580.046403712297,catapult,CLB,7138,area
Throughput,580.046403712297,catapult,LUT,42858,area
Throughput,580.046403712297,catapult,FF,8569,area
Throughput,580.046403712297,catapult,DSP,0,area
Throughput,580.046403712297,catapult,BRAM,17.5,area
Throughput,609.3845216331505,catapult,CLB,7154,area
Throughput,609.3845216331505,catapult,LUT,42757,area
Throughput,609.3845216331505,catapult,FF,8546,area
Throughput,609.3845216331505,catapult,DSP,0,area
Throughput,609.3845216331505,catapult,BRAM,17.5,area
Throughput,622.2775357809584,catapult,CLB,8509,area
Throughput,622.2775357809584,catapult,LUT,45946,area
Throughput,622.2775357809584,catapult,FF,9848,area
Throughput,622.2775357809584,catapult,DSP,0,area
Throughput,622.2775357809584,catapult,BRAM,33.5,area
Throughput,610.8735491753207,catapult,CLB,7845,area
Throughput,610.8735491753207,catapult,LUT,43768,area
Throughput,610.8735491753207,catapult,FF,8925,area
Throughput,610.8735491753207,catapult,DSP,0,area
Throughput,610.8735491753207,catapult,BRAM,17.5,area
Throughput,630.9148264984227,catapult,CLB,7064,area
Throughput,630.9148264984227,catapult,LUT,42978,area
Throughput,630.9148264984227,catapult,FF,8667,area
Throughput,630.9148264984227,catapult,DSP,0,area
Throughput,630.9148264984227,catapult,BRAM,17.5,area
Throughput,627.7463904582548,catapult,CLB,7071,area
Throughput,627.7463904582548,catapult,LUT,42887,area
Throughput,627.7463904582548,catapult,FF,8644,area
Throughput,627.7463904582548,catapult,DSP,0,area
Throughput,627.7463904582548,catapult,BRAM,17.5,area
Throughput,613.1207847946046,catapult,CLB,7637,area
Throughput,613.1207847946046,catapult,LUT,42926,area
Throughput,613.1207847946046,catapult,FF,8613,area
Throughput,613.1207847946046,catapult,DSP,0,area
Throughput,613.1207847946046,catapult,BRAM,17.5,area
Throughput,732.6007326007326,catapult,CLB,8201,area
Throughput,732.6007326007326,catapult,LUT,43746,area
Throughput,732.6007326007326,catapult,FF,8972,area
Throughput,732.6007326007326,catapult,DSP,0,area
Throughput,732.6007326007326,catapult,BRAM,17.5,area
Throughput,722.543352601156,catapult,CLB,7610,area
Throughput,722.543352601156,catapult,LUT,43240,area
Throughput,722.543352601156,catapult,FF,8777,area
Throughput,722.543352601156,catapult,DSP,0,area
Throughput,722.543352601156,catapult,BRAM,17.5,area
Throughput,754.1478129713424,catapult,CLB,7463,area
Throughput,754.1478129713424,catapult,LUT,43134,area
Throughput,754.1478129713424,catapult,FF,8677,area
Throughput,754.1478129713424,catapult,DSP,0,area
Throughput,754.1478129713424,catapult,BRAM,17.5,area
Throughput,744.047619047619,catapult,CLB,7101,area
Throughput,744.047619047619,catapult,LUT,42820,area
Throughput,744.047619047619,catapult,FF,8612,area
Throughput,744.047619047619,catapult,DSP,0,area
Throughput,744.047619047619,catapult,BRAM,17.5,area
Throughput,760.4562737642585,catapult,CLB,7524,area
Throughput,760.4562737642585,catapult,LUT,42775,area
Throughput,760.4562737642585,catapult,FF,8590,area
Throughput,760.4562737642585,catapult,DSP,0,area
Throughput,760.4562737642585,catapult,BRAM,17.5,area
Throughput,537.6344086021505,catapult,CLB,7833,area
Throughput,537.6344086021505,catapult,LUT,43729,area
Throughput,537.6344086021505,catapult,FF,9000,area
Throughput,537.6344086021505,catapult,DSP,0,area
Throughput,537.6344086021505,catapult,BRAM,17.5,area
Throughput,547.3453749315818,catapult,CLB,7401,area
Throughput,547.3453749315818,catapult,LUT,42985,area
Throughput,547.3453749315818,catapult,FF,8673,area
Throughput,547.3453749315818,catapult,DSP,0,area
Throughput,547.3453749315818,catapult,BRAM,17.5,area
Throughput,542.8881650380022,catapult,CLB,7074,area
Throughput,542.8881650380022,catapult,LUT,42891,area
Throughput,542.8881650380022,catapult,FF,8624,area
Throughput,542.8881650380022,catapult,DSP,0,area
Throughput,542.8881650380022,catapult,BRAM,17.5,area
Throughput,573.394495412844,catapult,CLB,7440,area
Throughput,573.394495412844,catapult,LUT,42794,area
Throughput,573.394495412844,catapult,FF,8601,area
Throughput,573.394495412844,catapult,DSP,0,area
Throughput,573.394495412844,catapult,BRAM,17.5,area
Throughput,593.4718100890208,catapult,CLB,7793,area
Throughput,593.4718100890208,catapult,LUT,46304,area
Throughput,593.4718100890208,catapult,FF,9877,area
Throughput,593.4718100890208,catapult,DSP,0,area
Throughput,593.4718100890208,catapult,BRAM,33.5,area
Throughput,600.9615384615385,catapult,CLB,7684,area
Throughput,600.9615384615385,catapult,LUT,43672,area
Throughput,600.9615384615385,catapult,FF,8958,area
Throughput,600.9615384615385,catapult,DSP,0,area
Throughput,600.9615384615385,catapult,BRAM,17.5,area
Throughput,607.5334143377886,catapult,CLB,7124,area
Throughput,607.5334143377886,catapult,LUT,42951,area
Throughput,607.5334143377886,catapult,FF,8655,area
Throughput,607.5334143377886,catapult,DSP,0,area
Throughput,607.5334143377886,catapult,BRAM,17.5,area
Throughput,736.9196757553427,catapult,CLB,7909,area
Throughput,736.9196757553427,catapult,LUT,43948,area
Throughput,736.9196757553427,catapult,FF,8994,area
Throughput,736.9196757553427,catapult,DSP,0,area
Throughput,736.9196757553427,catapult,BRAM,17.5,area
Throughput,704.2253521126761,catapult,CLB,7701,area
Throughput,704.2253521126761,catapult,LUT,42942,area
Throughput,704.2253521126761,catapult,FF,8677,area
Throughput,704.2253521126761,catapult,DSP,0,area
Throughput,704.2253521126761,catapult,BRAM,17.5,area
Throughput,736.3770250368188,catapult,CLB,7569,area
Throughput,736.3770250368188,catapult,LUT,42687,area
Throughput,736.3770250368188,catapult,FF,8562,area
Throughput,736.3770250368188,catapult,DSP,0,area
Throughput,736.3770250368188,catapult,BRAM,17.5,area
Throughput,582.0721769499419,catapult,CLB,8295,area
Throughput,582.0721769499419,catapult,LUT,45033,area
Throughput,582.0721769499419,catapult,FF,9463,area
Throughput,582.0721769499419,catapult,DSP,0,area
Throughput,582.0721769499419,catapult,BRAM,33.5,area
Throughput,599.880023995201,catapult,CLB,7644,area
Throughput,599.880023995201,catapult,LUT,42998,area
Throughput,599.880023995201,catapult,FF,8661,area
Throughput,599.880023995201,catapult,DSP,0,area
Throughput,599.880023995201,catapult,BRAM,17.5,area
Throughput,616.1429451632779,catapult,CLB,7515,area
Throughput,616.1429451632779,catapult,LUT,42749,area
Throughput,616.1429451632779,catapult,FF,8553,area
Throughput,616.1429451632779,catapult,DSP,0,area
Throughput,616.1429451632779,catapult,BRAM,17.5,area
Throughput,685.4009595613434,catapult,CLB,7484,area
Throughput,685.4009595613434,catapult,LUT,44564,area
Throughput,685.4009595613434,catapult,FF,9280,area
Throughput,685.4009595613434,catapult,DSP,0,area
Throughput,685.4009595613434,catapult,BRAM,17.5,area
Throughput,625.0,catapult,CLB,7526,area
Throughput,625.0,catapult,LUT,43681,area
Throughput,625.0,catapult,FF,8973,area
Throughput,625.0,catapult,DSP,0,area
Throughput,625.0,catapult,BRAM,17.5,area
Throughput,693.9625260235947,catapult,CLB,7301,area
Throughput,693.9625260235947,catapult,LUT,43214,area
Throughput,693.9625260235947,catapult,FF,8792,area
Throughput,693.9625260235947,catapult,DSP,0,area
Throughput,693.9625260235947,catapult,BRAM,17.5,area
Throughput,673.4006734006734,catapult,CLB,7087,area
Throughput,673.4006734006734,catapult,LUT,42973,area
Throughput,673.4006734006734,catapult,FF,8712,area
Throughput,673.4006734006734,catapult,DSP,0,area
Throughput,673.4006734006734,catapult,BRAM,17.5,area
Throughput,670.2412868632707,catapult,CLB,7212,area
Throughput,670.2412868632707,catapult,LUT,42885,area
Throughput,670.2412868632707,catapult,FF,8637,area
Throughput,670.2412868632707,catapult,DSP,0,area
Throughput,670.2412868632707,catapult,BRAM,17.5,area
Throughput,739.0983000739099,catapult,CLB,8146,area
Throughput,739.0983000739099,catapult,LUT,46093,area
Throughput,739.0983000739099,catapult,FF,9502,area
Throughput,739.0983000739099,catapult,DSP,0,area
Throughput,739.0983000739099,catapult,BRAM,33.5,area
Throughput,727.2727272727274,catapult,CLB,7656,area
Throughput,727.2727272727274,catapult,LUT,43488,area
Throughput,727.2727272727274,catapult,FF,8845,area
Throughput,727.2727272727274,catapult,DSP,0,area
Throughput,727.2727272727274,catapult,BRAM,17.5,area
Throughput,768.6395080707148,catapult,CLB,7188,area
Throughput,768.6395080707148,catapult,LUT,43144,area
Throughput,768.6395080707148,catapult,FF,8738,area
Throughput,768.6395080707148,catapult,DSP,0,area
Throughput,768.6395080707148,catapult,BRAM,17.5,area
Throughput,714.7962830593281,catapult,CLB,7552,area
Throughput,714.7962830593281,catapult,LUT,42905,area
Throughput,714.7962830593281,catapult,FF,8677,area
Throughput,714.7962830593281,catapult,DSP,0,area
Throughput,714.7962830593281,catapult,BRAM,17.5,area
Throughput,764.5259938837921,catapult,CLB,7506,area
Throughput,764.5259938837921,catapult,LUT,42785,area
Throughput,764.5259938837921,catapult,FF,8659,area
Throughput,764.5259938837921,catapult,DSP,0,area
Throughput,764.5259938837921,catapult,BRAM,17.5,area
Throughput,736.9196757553427,catapult,CLB,7546,area
Throughput,736.9196757553427,catapult,LUT,42755,area
Throughput,736.9196757553427,catapult,FF,8613,area
Throughput,736.9196757553427,catapult,DSP,0,area
Throughput,736.9196757553427,catapult,BRAM,17.5,area
Throughput,641.025641025641,catapult,CLB,7862,area
Throughput,641.025641025641,catapult,LUT,45603,area
Throughput,641.025641025641,catapult,FF,9551,area
Throughput,641.025641025641,catapult,DSP,0,area
Throughput,641.025641025641,catapult,BRAM,33.5,area
Throughput,618.8118811881188,catapult,CLB,7609,area
Throughput,618.8118811881188,catapult,LUT,44082,area
Throughput,618.8118811881188,catapult,FF,9065,area
Throughput,618.8118811881188,catapult,DSP,0,area
Throughput,618.8118811881188,catapult,BRAM,17.5,area
Throughput,619.962802231866,catapult,CLB,7736,area
Throughput,619.962802231866,catapult,LUT,43398,area
Throughput,619.962802231866,catapult,FF,8855,area
Throughput,619.962802231866,catapult,DSP,0,area
Throughput,619.962802231866,catapult,BRAM,17.5,area
Throughput,588.2352941176471,catapult,CLB,7191,area
Throughput,588.2352941176471,catapult,LUT,43041,area
Throughput,588.2352941176471,catapult,FF,8682,area
Throughput,588.2352941176471,catapult,DSP,0,area
Throughput,588.2352941176471,catapult,BRAM,17.5,area
Throughput,629.3266205160479,catapult,CLB,7413,area
Throughput,629.3266205160479,catapult,LUT,42800,area
Throughput,629.3266205160479,catapult,FF,8625,area
Throughput,629.3266205160479,catapult,DSP,0,area
Throughput,629.3266205160479,catapult,BRAM,17.5,area
Throughput,605.3268765133172,catapult,CLB,7865,area
Throughput,605.3268765133172,catapult,LUT,43871,area
Throughput,605.3268765133172,catapult,FF,8927,area
Throughput,605.3268765133172,catapult,DSP,0,area
Throughput,605.3268765133172,catapult,BRAM,17.5,area
Throughput,624.2197253433209,catapult,CLB,7463,area
Throughput,624.2197253433209,catapult,LUT,43781,area
Throughput,624.2197253433209,catapult,FF,8753,area
Throughput,624.2197253433209,catapult,DSP,0,area
Throughput,624.2197253433209,catapult,BRAM,17.5,area
Throughput,560.5381165919282,catapult,CLB,9320,area
Throughput,560.5381165919282,catapult,LUT,53099,area
Throughput,560.5381165919282,catapult,FF,8668,area
Throughput,560.5381165919282,catapult,DSP,0,area
Throughput,560.5381165919282,catapult,BRAM,17.5,area
Throughput,559.2841163310961,catapult,CLB,9306,area
Throughput,559.2841163310961,catapult,LUT,52931,area
Throughput,559.2841163310961,catapult,FF,8644,area
Throughput,559.2841163310961,catapult,DSP,0,area
Throughput,559.2841163310961,catapult,BRAM,17.5,area
Throughput,628.5355122564425,catapult,CLB,9337,area
Throughput,628.5355122564425,catapult,LUT,52920,area
Throughput,628.5355122564425,catapult,FF,8634,area
Throughput,628.5355122564425,catapult,DSP,0,area
Throughput,628.5355122564425,catapult,BRAM,17.5,area
Throughput,735.2941176470588,catapult,CLB,7679,area
Throughput,735.2941176470588,catapult,LUT,45471,area
Throughput,735.2941176470588,catapult,FF,9463,area
Throughput,735.2941176470588,catapult,DSP,0,area
Throughput,735.2941176470588,catapult,BRAM,33.5,area
Throughput,736.3770250368188,catapult,CLB,7769,area
Throughput,736.3770250368188,catapult,LUT,44331,area
Throughput,736.3770250368188,catapult,FF,9029,area
Throughput,736.3770250368188,catapult,DSP,0,area
Throughput,736.3770250368188,catapult,BRAM,17.5,area
Throughput,754.7169811320755,catapult,CLB,7255,area
