n,knob_blockdim_x,knob_blockdim_y,knob_unroll_dct,knob_unroll_width,knob_unroll_height,knob_array_partition1,knob_array_partition2,knob_I_B,obj1,obj2
52,1,1,1,8,2,1,4194304,0,0.699729,5647.446
53,1,1,1,8,2,2,2097152,0,0.701586,5724.852
54,1,1,1,8,2,4,1048576,0,0.716108,5999.364
55,1,1,1,8,2,8,524288,0,0.712224,5451.138
56,1,1,1,8,4,1,4194304,0,0.690713,5809.706
57,1,1,1,8,4,2,2097152,0,0.706415,5981.808
58,1,1,1,8,4,4,1048576,0,0.715363,5993.778
59,1,1,1,8,4,8,524288,0,0.715025,5542.642
60,1,1,1,8,8,8,524288,0,0.756691,8304.254
61,1,1,2,1,1,1,4194304,0,0.418529,4061.554
62,1,1,2,1,1,2,2097152,0,0.420745,4104.912
63,1,1,2,1,1,4,1048576,0,0.423868,4082.036
64,1,1,2,1,1,8,524288,0,0.44351,4356.548
65,1,1,2,1,2,1,4194304,0,0.711494,4501.518
66,1,1,2,1,2,2,2097152,0,0.713843,4546.206
67,1,1,2,1,2,4,1048576,0,0.705621,4407.354
68,1,1,2,1,2,8,524288,0,0.716864,4605.79
69,1,1,2,1,4,1,4194304,0,0.704713,5063.31
70,1,1,2,1,4,2,2097152,0,0.699344,5150.824
71,1,1,2,1,4,4,1048576,0,0.705552,4764.326
72,1,1,2,1,4,8,524288,0,0.711425,4834.55
73,1,1,2,1,8,1,4194304,0,0.706021,6633.508
74,1,1,2,1,8,2,2097152,0,0.713068,6869.184
75,1,1,2,1,8,4,1048576,0,0.721457,5317.606
76,1,1,2,1,8,8,524288,0,0.707531,5264.406
77,1,1,2,2,1,1,4194304,0,0.700387,4517.478
78,1,1,2,2,1,2,2097152,0,0.700219,4569.082
79,1,1,2,2,1,4,1048576,0,0.712472,4430.762
80,1,1,2,2,1,8,524288,0,0.728752,4603.928
81,1,1,2,2,2,1,4194304,0,0.686826,5114.116
82,1,1,2,2,2,2,2097152,0,0.699915,5151.09
83,1,1,2,2,2,4,1048576,0,0.72324,4709.53
84,1,1,2,2,2,8,524288,0,0.707802,4795.448
85,1,1,2,2,4,1,4194304,0,0.71176,6037.136
86,1,1,2,2,4,2,2097152,0,0.700686,6558.23
87,1,1,2,2,4,4,1048576,0,0.713773,5268.13
88,1,1,2,2,4,8,524288,0,0.718471,5150.026
89,1,1,2,2,8,1,4194304,0,0.711893,8583.288
90,1,1,2,2,8,2,2097152,0,0.731691,8695.806
91,1,1,2,2,8,4,1048576,0,0.710047,6298.082
92,1,1,2,2,8,8,524288,0,0.716926,5803.322
93,1,1,2,4,1,1,4194304,0,0.698876,5030.326
94,1,1,2,4,1,2,2097152,0,0.699883,5132.47
95,1,1,2,4,1,4,1048576,0,0.700555,4850.776
96,1,1,2,4,1,8,524288,0,0.722206,4774.168
97,1,1,2,4,2,1,4194304,0,0.691357,6125.448
98,1,1,2,4,2,2,2097152,0,0.711997,6815.186
99,1,1,2,4,2,4,1048576,0,0.713507,5631.22
100,1,1,2,4,2,8,524288,0,0.726596,5264.406
