n,knob_blockdim_x,knob_blockdim_y,knob_unroll_dct,knob_unroll_width,knob_unroll_height,knob_array_partition1,knob_array_partition2,knob_I_B,Latency,Area,FF
0104,1,1,4,1,4,4,1048576,0,0.702096,4927.650,236
0105,1,1,4,1,8,1,4194304,0,0.698405,5266.534,233
0106,1,1,4,1,8,2,2097152,0,0.718516,5238.604,233
0107,1,1,4,1,8,4,1048576,0,0.693751,5433.316,236
0108,1,1,4,2,1,1,4194304,0,0.685843,4574.934,238
0109,1,1,4,2,1,2,2097152,0,0.697482,4590.894,238
0110,1,1,4,2,1,4,1048576,0,0.700973,4724.692,241
0111,1,1,4,2,2,1,4194304,0,0.687536,4910.626,238
0112,1,1,4,2,2,2,2097152,0,0.686373,4804.492,238
0113,1,1,4,2,2,4,1048576,0,0.693521,4978.988,241
0114,1,1,4,2,4,1,4194304,0,0.695779,5515.510,238
0115,1,1,4,2,4,2,2097152,0,0.704589,5629.358,238
0116,1,1,4,2,4,4,1048576,0,0.712900,5923.022,241
0117,1,1,4,2,8,1,4194304,0,0.692587,7203.280,238
0118,1,1,4,2,8,2,2097152,0,0.697740,6877.696,238
0119,1,1,4,2,8,4,1048576,0,0.702061,6945.526,241
0120,1,1,4,4,1,1,4194304,0,0.691828,5134.598,238
0121,1,1,4,4,1,2,2097152,0,0.692660,5245.254,238
0122,1,1,4,4,1,4,1048576,0,0.694821,5209.078,241
0123,1,1,4,4,2,1,4194304,0,0.703661,6282.654,238
0124,1,1,4,4,2,2,2097152,0,0.702165,5528.810,238
0125,1,1,4,4,2,4,1048576,0,0.701167,5985.532,241
0126,1,1,4,4,4,1,4194304,0,0.721210,7524.874,238
0127,1,1,4,4,4,2,2097152,0,0.711403,7713.468,238
0128,1,1,4,4,4,4,1048576,0,0.705253,8319.416,241
0132,1,1,4,8,1,1,4194304,0,0.699809,6200.992,238
0133,1,1,4,8,1,2,2097152,0,0.704298,6146.462,238
0134,1,1,4,8,1,4,1048576,0,0.708122,6493.326,241
0135,1,1,4,8,2,1,4194304,0,0.723442,8492.582,238
0136,1,1,4,8,2,2,2097152,0,0.708814,7925.470,238
0137,1,1,4,8,2,4,1048576,0,0.729260,7778.372,241
0144,1,1,8,1,1,1,4194304,0,0.544528,4362.666,233
0145,1,1,8,1,1,2,2097152,0,0.546879,4396.182,233
