n,knob_KNOB_WINDOW_SIZE_X,knob_inner_unroll1,knob_inner_unroll2,knob_outer_unroll,knob_partition_factor,obj1,obj2
0148,2,1,2,2,4,0.6018,2206
0149,2,1,2,2,8,0.5643,2355
0150,2,1,2,2,16,0.5397,2658
0151,2,1,2,2,32,0.5601,3273
0152,2,1,2,2,64,0.5590,4064
0153,2,1,2,2,128,0.5832,5780
0154,2,1,2,3,2,0.5740,2488
0155,2,1,2,3,4,0.5493,2979
0156,2,1,2,3,8,0.5579,3148
0157,2,1,2,3,16,0.5568,3512
0158,2,1,2,3,32,0.5855,4333
0159,2,1,2,3,64,0.6270,5504
0160,2,1,2,3,128,0.6270,5504
0161,2,1,2,4,2,0.5835,2995
0162,2,1,2,4,4,0.6035,3495
0163,2,1,2,4,8,0.6332,3684
0164,2,1,2,4,16,0.6091,4219
0165,2,1,2,4,32,0.6230,5304
0166,2,1,2,4,64,0.6271,7114
0167,2,1,2,4,128,0.6271,7114
0168,2,1,2,5,2,0.5735,3556
0169,2,1,2,5,4,0.6154,4050
0170,2,1,2,5,8,0.5798,4504
0171,2,1,2,5,16,0.6130,4941
0172,2,1,2,5,32,0.6252,6445
0173,2,1,2,5,64,0.6388,8848
0175,2,2,1,1,2,0.6462,1600
0176,2,2,1,1,4,0.6177,1610
0177,2,2,1,1,8,0.6208,1636
0178,2,2,1,1,16,0.6305,1718
0179,2,2,1,1,32,0.6256,1861
0180,2,2,1,1,64,0.6261,2056
0181,2,2,1,1,128,0.6490,2448
0182,2,2,1,2,2,0.7203,2237
0183,2,2,1,2,4,0.6752,2291
0184,2,2,1,2,8,0.7594,2358
0185,2,2,1,2,16,0.6762,2510
0186,2,2,1,2,32,0.6793,2864
0187,2,2,1,2,64,0.6400,3313
0188,2,2,1,2,128,0.6923,3946
0189,2,2,1,3,2,0.7090,2932
0190,2,2,1,3,4,0.6932,3062
0191,2,2,1,3,8,0.6719,2926
0192,2,2,1,3,16,0.6599,2994
0193,2,2,1,3,32,0.6301,3558
0194,2,2,1,3,64,0.7113,4190
0195,2,2,1,3,128,0.6855,5458
0196,2,2,1,4,2,0.8475,3163
0197,2,2,1,4,4,0.7450,3496
0198,2,2,1,4,8,0.7691,3879
0199,2,2,1,4,16,0.7691,3879
0200,2,2,1,4,32,0.7535,4483
0201,2,2,1,4,64,0.7866,5243
0202,2,2,1,4,128,0.7081,7029
0203,2,2,1,5,2,0.8648,3445
0204,2,2,1,5,4,0.8258,3827
0205,2,2,1,5,8,0.8370,3894
0206,2,2,1,5,16,0.8628,4228
0207,2,2,1,5,32,0.8608,5057
0208,2,2,1,5,64,0.8651,6267
0209,2,2,1,5,128,0.8651,6267
0210,2,2,2,1,2,0.5528,1761
0211,2,2,2,1,4,0.5230,1811
0212,2,2,2,1,8,0.5587,1835
0213,2,2,2,1,16,0.5492,2038
0214,2,2,2,1,32,0.5384,2300
0215,2,2,2,1,64,0.5458,2718
0216,2,2,2,1,128,0.5430,3606
0217,2,2,2,2,2,0.6095,2418
0218,2,2,2,2,4,0.5823,2649
0219,2,2,2,2,8,0.6011,2865
0220,2,2,2,2,16,0.5822,3039
0221,2,2,2,2,32,0.5650,3680
0222,2,2,2,2,64,0.5789,4436
0223,2,2,2,2,128,0.5789,4436
0224,2,2,2,3,2,0.6744,2989
0225,2,2,2,3,4,0.6144,3422
0226,2,2,2,3,8,0.6137,3600
0227,2,2,2,3,16,0.5708,3866
0228,2,2,2,3,32,0.6178,4881
0229,2,2,2,3,64,0.5946,6029
0230,2,2,2,3,128,0.5946,6029
0231,2,2,2,4,2,0.6726,3600
0232,2,2,2,4,4,0.6402,4212
0233,2,2,2,4,8,0.6600,4431
0234,2,2,2,4,16,0.6733,4873
0235,2,2,2,4,32,0.6385,6013
0236,2,2,2,4,64,0.6987,7985
0238,2,2,2,5,2,0.7656,3971
0239,2,2,2,5,4,0.7419,4597
0240,2,2,2,5,8,0.7462,4926
0241,2,2,2,5,16,0.7308,5773
0242,2,2,2,5,32,0.7308,5773
0243,2,2,2,5,64,0.7308,5773
0245,2,3,1,1,2,0.6857,1879
0246,2,3,1,1,4,0.6277,1918
0247,2,3,1,1,8,0.6508,1926
0248,2,3,1,1,16,0.6346,1980
0249,2,3,1,1,32,0.6322,2196
0250,2,3,1,1,64,0.6669,2403
0251,2,3,1,1,128,0.6268,2723
0252,2,3,1,2,2,0.7299,2464
0253,2,3,1,2,4,0.6756,2615
0254,2,3,1,2,8,0.6690,2858
0255,2,3,1,2,16,0.6872,2824
0256,2,3,1,2,32,0.6989,3106
0257,2,3,1,2,64,0.6903,3441
0258,2,3,1,2,128,0.6778,4391
0259,2,3,1,3,2,0.8296,3040
0260,2,3,1,3,4,0.8479,3242
0261,2,3,1,3,8,0.8247,3557
0262,2,3,1,3,16,0.8279,3559
0263,2,3,1,3,32,0.8640,3952
0264,2,3,1,3,64,0.8640,3952
0265,2,3,1,3,128,0.8640,3952
0266,2,3,1,4,2,0.8655,3547
0267,2,3,1,4,4,0.8735,4025
0268,2,3,1,4,8,0.9116,3961
0269,2,3,1,4,16,0.8494,4098
0270,2,3,1,4,32,0.8275,5162
0271,2,3,1,4,64,0.8640,5598
0272,2,3,1,4,128,0.9122,7412
0273,2,3,1,5,2,0.8157,4365
0274,2,3,1,5,4,0.8593,4770
0275,2,3,1,5,8,0.8645,4710
0276,2,3,1,5,16,0.8694,5100
0277,2,3,1,5,32,0.8857,5833
0278,2,3,1,5,64,0.8826,7431
0279,2,3,1,5,128,0.8826,7431
0280,2,3,2,1,2,0.5607,1963
0281,2,3,2,1,4,0.5477,2134
0282,2,3,2,1,8,0.5701,2182
0283,2,3,2,1,16,0.5638,2260
0284,2,3,2,1,32,0.5659,2669
0285,2,3,2,1,64,0.5908,3035
0286,2,3,2,1,128,0.5908,3035
0287,2,3,2,2,2,0.6197,2859
0288,2,3,2,2,4,0.5939,3256
0289,2,3,2,2,8,0.6321,3241
0290,2,3,2,2,16,0.6045,3347
0291,2,3,2,2,32,0.5876,3903
0292,2,3,2,2,64,0.6765,4815
0293,2,3,2,2,128,0.6135,6565
0294,2,3,2,3,2,0.7178,3255
0295,2,3,2,3,4,0.7281,3773
0296,2,3,2,3,8,0.7337,4208
0297,2,3,2,3,16,0.7598,4261
0298,2,3,2,3,32,0.7364,5299
0299,2,3,2,3,64,0.7250,6522
0300,2,3,2,3,128,0.7250,6522
0301,2,3,2,4,2,0.7609,3984
0302,2,3,2,4,4,0.7596,4658
0303,2,3,2,4,8,0.7605,4681
0304,2,3,2,4,16,0.7669,5100
0305,2,3,2,4,32,0.7759,6481
0306,2,3,2,4,64,0.7659,8353
0308,2,3,2,5,2,0.7795,4939
0309,2,3,2,5,4,0.7618,5566
0310,2,3,2,5,8,0.7689,6165
0311,2,3,2,5,16,0.7323,6506
0312,2,3,2,5,32,0.7724,8044
0313,2,3,2,5,64,0.7724,8044
0315,2,4,1,1,2,0.9077,2150
0316,2,4,1,1,4,0.9222,2113
0317,2,4,1,1,8,0.9541,2212
0318,2,4,1,1,16,0.8708,2225
0319,2,4,1,1,32,0.8750,2371
0320,2,4,1,1,64,0.9091,2542
0321,2,4,1,1,128,0.9081,2885
0322,2,4,1,2,2,0.9901,2906
0323,2,4,1,2,4,0.9935,3426
0324,2,4,1,2,8,1.0114,3036
0325,2,4,1,2,16,0.9754,3176
0326,2,4,1,2,32,1.0123,3656
0327,2,4,1,2,64,0.9620,3917
0328,2,4,1,2,128,1.0155,4727
0329,2,4,1,3,2,1.1696,3603
0330,2,4,1,3,4,1.1549,3653
0331,2,4,1,3,8,1.1500,3776
0332,2,4,1,3,16,1.1264,4103
0333,2,4,1,3,32,1.1676,4601
0334,2,4,1,3,64,1.1452,5147
0335,2,4,1,3,128,1.1605,6357
0336,2,4,1,4,2,1.1270,4288
0337,2,4,1,4,4,1.1599,4741
0338,2,4,1,4,8,1.1746,4661
0339,2,4,1,4,16,1.1474,5079
0340,2,4,1,4,32,1.1270,5687
0341,2,4,1,4,64,1.1438,6317
0342,2,4,1,4,128,1.1438,6317
0343,2,4,1,5,2,1.1606,5244
0344,2,4,1,5,4,1.1615,5376
0345,2,4,1,5,8,1.1117,5674
0346,2,4,1,5,16,1.1562,5768
0347,2,4,1,5,32,1.1702,6729
0348,2,4,1,5,64,1.1482,7991
0350,2,4,2,1,2,0.8688,2112
0351,2,4,2,1,4,0.8219,2208
0352,2,4,2,1,8,0.7936,2240
0353,2,4,2,1,16,0.7652,2441
0354,2,4,2,1,32,0.8033,2789
0355,2,4,2,1,64,0.8088,3159
0356,2,4,2,1,128,0.7851,3952
0357,2,4,2,2,2,0.8695,3141
0358,2,4,2,2,4,0.8980,3356
0359,2,4,2,2,8,0.8517,3575
0360,2,4,2,2,16,0.8883,3735
0361,2,4,2,2,32,0.8770,4551
0362,2,4,2,2,64,0.8753,5253
0363,2,4,2,2,128,0.9522,6895
0364,2,4,2,3,2,1.0627,4106
0365,2,4,2,3,4,1.0435,4141
0366,2,4,2,3,8,1.0621,4322
0367,2,4,2,3,16,1.0717,4483
0368,2,4,2,3,32,1.0819,5633
0369,2,4,2,3,64,1.0008,7219
0370,2,4,2,3,128,1.0008,7219
0371,2,4,2,4,2,1.0335,4660
0372,2,4,2,4,4,1.0748,5908
0373,2,4,2,4,8,1.0514,6037
0374,2,4,2,4,16,1.0476,5943
0375,2,4,2,4,32,1.0512,7204
0376,2,4,2,4,64,1.0708,9529
0378,2,4,2,5,2,1.0492,5901
0379,2,4,2,5,4,1.0669,6185
0380,2,4,2,5,8,1.0483,7015
0381,2,4,2,5,16,1.0365,7410
0382,2,4,2,5,32,1.0552,9157
0385,2,5,1,1,2,1.0196,2286
0386,2,5,1,1,4,1.1399,2310
0387,2,5,1,1,8,1.0773,2318
0388,2,5,1,1,16,1.0261,2394
0389,2,5,1,1,32,1.0603,2662
0390,2,5,1,1,64,1.0912,2780
0391,2,5,1,1,128,1.0018,3194
0392,2,5,1,2,2,1.2889,3171
0393,2,5,1,2,4,1.3746,3230
0394,2,5,1,2,8,1.3122,3261
0395,2,5,1,2,16,1.4148,3318
0396,2,5,1,2,32,1.3165,3613
0397,2,5,1,2,64,1.3048,4059
0398,2,5,1,2,128,1.3048,4059
0399,2,5,1,3,2,1.3480,4294
0400,2,5,1,3,4,1.3277,4375
0401,2,5,1,3,8,1.3411,4361
0402,2,5,1,3,16,1.3765,4741
0403,2,5,1,3,32,1.4286,5048
0404,2,5,1,3,64,1.3693,6145
