Parameter,Throughput_Value,Tool,Resource_Type,Resource_Value,Flow
Throughput,29411.764705882353,catapult,FF,1309,area
Throughput,29411.764705882353,catapult,DSP,0,area
Throughput,29411.764705882353,catapult,BRAM,0,area
Throughput,38461.53846153846,catapult,CLB,390,area
Throughput,38461.53846153846,catapult,LUT,2400,area
Throughput,38461.53846153846,catapult,FF,1715,area
Throughput,38461.53846153846,catapult,DSP,0,area
Throughput,38461.53846153846,catapult,BRAM,0,area
Throughput,37037.03703703704,catapult,CLB,392,area
Throughput,37037.03703703704,catapult,LUT,2366,area
Throughput,37037.03703703704,catapult,FF,1736,area
Throughput,37037.03703703704,catapult,DSP,0,area
Throughput,37037.03703703704,catapult,BRAM,0,area
Throughput,43478.260869565216,catapult,CLB,431,area
Throughput,43478.260869565216,catapult,LUT,2772,area
Throughput,43478.260869565216,catapult,FF,1201,area
Throughput,43478.260869565216,catapult,DSP,0,area
Throughput,43478.260869565216,catapult,BRAM,0,area
Throughput,34482.75862068965,catapult,CLB,248,area
Throughput,34482.75862068965,catapult,LUT,1229,area
Throughput,34482.75862068965,catapult,FF,853,area
Throughput,34482.75862068965,catapult,DSP,0,area
Throughput,34482.75862068965,catapult,BRAM,0,area
Throughput,27027.027027027027,catapult,CLB,473,area
Throughput,27027.027027027027,catapult,LUT,2342,area
Throughput,27027.027027027027,catapult,FF,1251,area
Throughput,27027.027027027027,catapult,DSP,0,area
Throughput,27027.027027027027,catapult,BRAM,0,area
Throughput,35714.28571428572,catapult,CLB,425,area
Throughput,35714.28571428572,catapult,LUT,2509,area
Throughput,35714.28571428572,catapult,FF,1743,area
Throughput,35714.28571428572,catapult,DSP,0,area
Throughput,35714.28571428572,catapult,BRAM,0,area
Throughput,35714.28571428572,catapult,CLB,406,area
Throughput,35714.28571428572,catapult,LUT,2404,area
Throughput,35714.28571428572,catapult,FF,1756,area
Throughput,35714.28571428572,catapult,DSP,0,area
Throughput,35714.28571428572,catapult,BRAM,0,area
Throughput,38461.53846153846,catapult,CLB,474,area
Throughput,38461.53846153846,catapult,LUT,2858,area
Throughput,38461.53846153846,catapult,FF,1424,area
Throughput,38461.53846153846,catapult,DSP,0,area
Throughput,38461.53846153846,catapult,BRAM,0,area
Throughput,38461.53846153846,catapult,CLB,222,area
Throughput,38461.53846153846,catapult,LUT,1139,area
Throughput,38461.53846153846,catapult,FF,811,area
Throughput,38461.53846153846,catapult,DSP,0,area
Throughput,38461.53846153846,catapult,BRAM,0,area
Throughput,33333.333333333336,catapult,CLB,366,area
Throughput,33333.333333333336,catapult,LUT,1661,area
Throughput,33333.333333333336,catapult,FF,1305,area
Throughput,33333.333333333336,catapult,DSP,0,area
Throughput,33333.333333333336,catapult,BRAM,0,area
Throughput,40000.0,catapult,CLB,309,area
Throughput,40000.0,catapult,LUT,1746,area
Throughput,40000.0,catapult,FF,1328,area
Throughput,40000.0,catapult,DSP,0,area
Throughput,40000.0,catapult,BRAM,0,area
Throughput,38461.53846153846,catapult,CLB,349,area
