Parameter,Throughput_Value,Tool,Parameter2,Area_Value,Flow
Throughput,55555.555555555555,catapult,Area,13052.088,catapult_asic_area
Throughput,58823.529411764706,catapult,Area,7857.906,catapult_asic_area
Throughput,49999.99999999999,catapult,Area,11103.904,catapult_asic_area
Throughput,47619.04761904762,catapult,Area,11521.524,catapult_asic_area
Throughput,47619.04761904762,catapult,Area,14038.416,catapult_asic_area
Throughput,55555.555555555555,catapult,Area,11007.878,catapult_asic_area
Throughput,21276.595744680853,catapult,Area,8754.592,catapult_asic_area
Throughput,20000.0,catapult,Area,12864.026,catapult_asic_area
Throughput,22222.222222222223,catapult,Area,15922.494,catapult_asic_area
Throughput,23255.81395348837,catapult,Area,16124.388,catapult_asic_area
Throughput,14492.753623188406,catapult,Area,16737.783,catapult_asic_area
Throughput,19230.76923076923,catapult,Area,8521.044,catapult_asic_area
Throughput,17543.859649122805,catapult,Area,11822.636,catapult_asic_area
Throughput,23255.81395348837,catapult,Area,15675.380,catapult_asic_area
Throughput,23255.81395348837,catapult,Area,16020.914,catapult_asic_area
Throughput,16393.44262295082,catapult,Area,16242.492,catapult_asic_area
Throughput,17543.859649122805,catapult,Area,8745.282,catapult_asic_area
Throughput,15384.615384615387,catapult,Area,13421.828,catapult_asic_area
Throughput,17857.14285714286,catapult,Area,15972.236,catapult_asic_area
Throughput,17241.379310344826,catapult,Area,15983.940,catapult_asic_area
Throughput,13333.333333333334,catapult,Area,17878.658,catapult_asic_area
Throughput,21739.130434782608,catapult,Area,8543.388,catapult_asic_area
Throughput,20000.0,catapult,Area,11819.444,catapult_asic_area
Throughput,23255.81395348837,catapult,Area,12897.542,catapult_asic_area
Throughput,22222.222222222223,catapult,Area,15451.940,catapult_asic_area
Throughput,14492.753623188406,catapult,Area,16212.168,catapult_asic_area
Throughput,16129.032258064515,catapult,Area,9229.668,catapult_asic_area
Throughput,14925.373134328358,catapult,Area,13179.502,catapult_asic_area
Throughput,14925.373134328358,catapult,Area,13576.640,catapult_asic_area
Throughput,14925.373134328358,catapult,Area,15120.770,catapult_asic_area
Throughput,15625.0,catapult,Area,19266.646,catapult_asic_area
Throughput,16393.44262295082,catapult,Area,9088.156,catapult_asic_area
Throughput,14705.882352941177,catapult,Area,12168.436,catapult_asic_area
Throughput,15151.51515151515,catapult,Area,13512.268,catapult_asic_area
Throughput,14492.753623188406,catapult,Area,14997.878,catapult_asic_area
Throughput,16129.032258064515,catapult,Area,18835.193,catapult_asic_area
Throughput,11904.761904761905,catapult,Area,9323.832,catapult_asic_area
Throughput,12820.51282051282,catapult,Area,13565.468,catapult_asic_area
Throughput,13513.513513513513,catapult,Area,13601.644,catapult_asic_area
Throughput,12820.51282051282,catapult,Area,15077.146,catapult_asic_area
Throughput,12820.51282051282,catapult,Area,20778.324,catapult_asic_area
Throughput,16393.44262295082,catapult,Area,9137.366,catapult_asic_area
Throughput,14925.373134328358,catapult,Area,12218.178,catapult_asic_area
Throughput,13698.630136986301,catapult,Area,12603.612,catapult_asic_area
Throughput,14492.753623188406,catapult,Area,15056.664,catapult_asic_area
Throughput,15625.0,catapult,Area,19244.303,catapult_asic_area
Throughput,10989.010989010989,catapult,Area,11646.278,catapult_asic_area
Throughput,9803.921568627451,catapult,Area,14897.862,catapult_asic_area
Throughput,10309.278350515464,catapult,Area,18226.852,catapult_asic_area
Throughput,11363.636363636364,catapult,Area,17911.643,catapult_asic_area
Throughput,12987.012987012988,catapult,Area,19691.447,catapult_asic_area
Throughput,11627.906976744185,catapult,Area,11197.004,catapult_asic_area
Throughput,10416.666666666666,catapult,Area,14388.206,catapult_asic_area
Throughput,10309.278350515464,catapult,Area,18305.588,catapult_asic_area
Throughput,11494.252873563219,catapult,Area,17865.357,catapult_asic_area
Throughput,12987.012987012988,catapult,Area,19586.645,catapult_asic_area
Throughput,9523.809523809523,catapult,Area,11506.096,catapult_asic_area
Throughput,8849.557522123894,catapult,Area,15514.450,catapult_asic_area
Throughput,9345.794392523365,catapult,Area,18517.324,catapult_asic_area
Throughput,9009.009009009009,catapult,Area,18083.744,catapult_asic_area
Throughput,13157.894736842105,catapult,Area,21337.723,catapult_asic_area
Throughput,11627.906976744185,catapult,Area,11313.512,catapult_asic_area
Throughput,10416.666666666666,catapult,Area,14359.744,catapult_asic_area
Throughput,10526.315789473683,catapult,Area,15113.854,catapult_asic_area
Throughput,10752.688172043012,catapult,Area,17203.018,catapult_asic_area
Throughput,13157.894736842105,catapult,Area,19359.215,catapult_asic_area
Throughput,33333.333333333336,catapult,Area,7823.858,catapult_asic_area
Throughput,28571.428571428572,catapult,Area,11783.002,catapult_asic_area
Throughput,27777.777777777777,catapult,Area,12385.492,catapult_asic_area
Throughput,27777.777777777777,catapult,Area,13939.464,catapult_asic_area
Throughput,38461.53846153846,catapult,Area,11016.922,catapult_asic_area
Throughput,32258.06451612903,catapult,Area,7756.294,catapult_asic_area
Throughput,27027.027027027027,catapult,Area,10809.176,catapult_asic_area
Throughput,27027.027027027027,catapult,Area,12463.696,catapult_asic_area
Throughput,26315.78947368421,catapult,Area,13843.438,catapult_asic_area
Throughput,40000.0,catapult,Area,10560.200,catapult_asic_area
Throughput,37037.03703703704,catapult,Area,8018.304,catapult_asic_area
Throughput,28571.428571428572,catapult,Area,12054.854,catapult_asic_area
Throughput,28571.428571428572,catapult,Area,12605.740,catapult_asic_area
Throughput,27777.777777777777,catapult,Area,14096.404,catapult_asic_area
Throughput,40000.0,catapult,Area,13075.762,catapult_asic_area
Throughput,32258.06451612903,catapult,Area,7702.030,catapult_asic_area
Throughput,27027.027027027027,catapult,Area,10796.674,catapult_asic_area
Throughput,29411.764705882353,catapult,Area,11431.616,catapult_asic_area
Throughput,27027.027027027027,catapult,Area,13470.506,catapult_asic_area
Throughput,40000.0,catapult,Area,10530.142,catapult_asic_area
Throughput,14705.882352941177,catapult,Area,8575.840,catapult_asic_area
Throughput,13513.513513513513,catapult,Area,13176.842,catapult_asic_area
Throughput,14705.882352941177,catapult,Area,15727.250,catapult_asic_area
Throughput,14285.714285714286,catapult,Area,15941.912,catapult_asic_area
Throughput,9009.009009009009,catapult,Area,16847.377,catapult_asic_area
Throughput,12658.227848101267,catapult,Area,8556.422,catapult_asic_area
Throughput,11904.761904761905,catapult,Area,12198.494,catapult_asic_area
Throughput,12345.679012345678,catapult,Area,15704.906,catapult_asic_area
Throughput,12820.51282051282,catapult,Area,15864.240,catapult_asic_area
Throughput,8928.57142857143,catapult,Area,16369.640,catapult_asic_area
Throughput,14492.753623188406,catapult,Area,8738.898,catapult_asic_area
Throughput,12987.012987012988,catapult,Area,13790.504,catapult_asic_area
Throughput,14285.714285714286,catapult,Area,15855.728,catapult_asic_area
Throughput,13888.888888888889,catapult,Area,15990.058,catapult_asic_area
Throughput,10204.081632653062,catapult,Area,17769.863,catapult_asic_area
Throughput,12987.012987012988,catapult,Area,8527.960,catapult_asic_area
Throughput,11363.636363636364,catapult,Area,12304.628,catapult_asic_area
Throughput,14705.882352941177,catapult,Area,12627.020,catapult_asic_area
Throughput,12987.012987012988,catapult,Area,15472.156,catapult_asic_area
Throughput,8928.57142857143,catapult,Area,16345.966,catapult_asic_area
Throughput,8064.516129032258,catapult,Area,9665.908,catapult_asic_area
Throughput,7518.796992481202,catapult,Area,13688.360,catapult_asic_area
Throughput,7751.937984496125,catapult,Area,13887.860,catapult_asic_area
Throughput,7633.587786259542,catapult,Area,15620.052,catapult_asic_area
Throughput,8130.081300813007,catapult,Area,19057.836,catapult_asic_area
Throughput,7874.0157480314965,catapult,Area,9607.654,catapult_asic_area
Throughput,7692.307692307693,catapult,Area,12659.738,catapult_asic_area
Throughput,7352.941176470588,catapult,Area,14002.772,catapult_asic_area
Throughput,7751.937984496125,catapult,Area,15218.924,catapult_asic_area
Throughput,8064.516129032258,catapult,Area,18551.904,catapult_asic_area
Throughput,8695.652173913044,catapult,Area,9398.578,catapult_asic_area
Throughput,7751.937984496125,catapult,Area,14101.192,catapult_asic_area
Throughput,7874.0157480314965,catapult,Area,14358.680,catapult_asic_area
Throughput,7518.796992481202,catapult,Area,15776.726,catapult_asic_area
Throughput,8264.462809917355,catapult,Area,20620.055,catapult_asic_area
Throughput,10309.278350515464,catapult,Area,9682.932,catapult_asic_area
Throughput,9259.25925925926,catapult,Area,12341.070,catapult_asic_area
Throughput,9615.384615384615,catapult,Area,12750.444,catapult_asic_area
Throughput,9259.25925925926,catapult,Area,14669.900,catapult_asic_area
Throughput,9259.25925925926,catapult,Area,18523.441,catapult_asic_area
Throughput,6060.606060606061,catapult,Area,11579.778,catapult_asic_area
Throughput,5917.15976331361,catapult,Area,15607.816,catapult_asic_area
Throughput,6134.9693251533745,catapult,Area,18269.146,catapult_asic_area
Throughput,6211.180124223602,catapult,Area,17955.799,catapult_asic_area
Throughput,8333.333333333334,catapult,Area,19278.350,catapult_asic_area
Throughput,7352.941176470588,catapult,Area,10994.312,catapult_asic_area
Throughput,7092.198581560283,catapult,Area,14573.874,catapult_asic_area
Throughput,7407.407407407407,catapult,Area,17776.248,catapult_asic_area
Throughput,7299.270072992701,catapult,Area,17841.949,catapult_asic_area
Throughput,11111.111111111111,catapult,Area,18990.805,catapult_asic_area
Throughput,5847.953216374269,catapult,Area,11842.054,catapult_asic_area
Throughput,5988.023952095808,catapult,Area,15477.742,catapult_asic_area
Throughput,6329.113924050634,catapult,Area,18527.432,catapult_asic_area
Throughput,6060.606060606061,catapult,Area,17949.680,catapult_asic_area
Throughput,8264.462809917355,catapult,Area,20888.715,catapult_asic_area
Throughput,7692.307692307693,catapult,Area,10968.776,catapult_asic_area
Throughput,7142.857142857143,catapult,Area,14605.262,catapult_asic_area
Throughput,7462.686567164179,catapult,Area,14755.818,catapult_asic_area
Throughput,7142.857142857143,catapult,Area,17437.631,catapult_asic_area
Throughput,10989.010989010989,catapult,Area,18992.400,catapult_asic_area
Throughput,29411.764705882353,catapult,Area,9198.546,catapult_asic_area
Throughput,23809.52380952381,catapult,Area,13036.660,catapult_asic_area
Throughput,24390.243902439022,catapult,Area,13523.972,catapult_asic_area
Throughput,14925.373134328358,catapult,Area,15111.992,catapult_asic_area
Throughput,25641.02564102564,catapult,Area,12152.476,catapult_asic_area
Throughput,23809.52380952381,catapult,Area,8899.828,catapult_asic_area
Throughput,19230.76923076923,catapult,Area,11927.972,catapult_asic_area
Throughput,19230.76923076923,catapult,Area,13300.266,catapult_asic_area
Throughput,22727.272727272728,catapult,Area,14882.434,catapult_asic_area
Throughput,24999.999999999996,catapult,Area,11477.900,catapult_asic_area
Throughput,23255.81395348837,catapult,Area,9049.320,catapult_asic_area
Throughput,12820.51282051282,catapult,Area,13475.560,catapult_asic_area
Throughput,18518.51851851852,catapult,Area,13716.822,catapult_asic_area
Throughput,13698.630136986301,catapult,Area,15442.364,catapult_asic_area
Throughput,25641.02564102564,catapult,Area,13876.156,catapult_asic_area
Throughput,29411.764705882353,catapult,Area,9056.502,catapult_asic_area
Throughput,19230.76923076923,catapult,Area,11868.654,catapult_asic_area
Throughput,24390.243902439022,catapult,Area,12630.744,catapult_asic_area
Throughput,20408.163265306124,catapult,Area,15108.800,catapult_asic_area
Throughput,32258.06451612903,catapult,Area,12046.874,catapult_asic_area
Throughput,10101.010101010103,catapult,Area,10092.838,catapult_asic_area
Throughput,8064.516129032258,catapult,Area,14738.262,catapult_asic_area
Throughput,9803.921568627451,catapult,Area,17134.656,catapult_asic_area
Throughput,9090.90909090909,catapult,Area,17397.465,catapult_asic_area
Throughput,7462.686567164179,catapult,Area,18267.283,catapult_asic_area
Throughput,8474.57627118644,catapult,Area,10341.282,catapult_asic_area
Throughput,7812.5,catapult,Area,13389.376,catapult_asic_area
Throughput,9090.90909090909,catapult,Area,17074.273,catapult_asic_area
Throughput,9009.009009009009,catapult,Area,17193.707,catapult_asic_area
Throughput,7407.407407407407,catapult,Area,17663.730,catapult_asic_area
Throughput,8064.516129032258,catapult,Area,10443.426,catapult_asic_area
Throughput,6896.551724137931,catapult,Area,15198.176,catapult_asic_area
Throughput,7874.0157480314965,catapult,Area,17374.588,catapult_asic_area
Throughput,7812.5,catapult,Area,17452.525,catapult_asic_area
Throughput,7092.198581560283,catapult,Area,19288.191,catapult_asic_area
Throughput,9259.25925925926,catapult,Area,10201.632,catapult_asic_area
Throughput,8264.462809917355,catapult,Area,13796.356,catapult_asic_area
Throughput,9174.311926605504,catapult,Area,14141.092,catapult_asic_area
Throughput,9259.25925925926,catapult,Area,16885.148,catapult_asic_area
Throughput,7874.0157480314965,catapult,Area,17578.078,catapult_asic_area
Throughput,7299.270072992701,catapult,Area,10869.558,catapult_asic_area
Throughput,6535.9477124183,catapult,Area,14759.542,catapult_asic_area
Throughput,6211.180124223602,catapult,Area,14975.534,catapult_asic_area
Throughput,6172.839506172839,catapult,Area,16354.744,catapult_asic_area
Throughput,7092.198581560283,catapult,Area,19911.430,catapult_asic_area
Throughput,7633.587786259542,catapult,Area,10395.812,catapult_asic_area
Throughput,6369.426751592357,catapult,Area,13919.780,catapult_asic_area
Throughput,6024.096385542169,catapult,Area,14973.672,catapult_asic_area
Throughput,6410.25641025641,catapult,Area,16336.922,catapult_asic_area
Throughput,7246.376811594203,catapult,Area,19387.676,catapult_asic_area
Throughput,5988.023952095808,catapult,Area,10703.042,catapult_asic_area
Throughput,5434.782608695652,catapult,Area,15226.638,catapult_asic_area
Throughput,6024.096385542169,catapult,Area,15135.932,catapult_asic_area
Throughput,5714.285714285715,catapult,Area,16426.031,catapult_asic_area
Throughput,6578.9473684210525,catapult,Area,21437.738,catapult_asic_area
Throughput,7812.5,catapult,Area,10464.972,catapult_asic_area
Throughput,6369.426751592357,catapult,Area,14036.820,catapult_asic_area
Throughput,6329.113924050634,catapult,Area,14195.090,catapult_asic_area
Throughput,6369.426751592357,catapult,Area,16351.020,catapult_asic_area
Throughput,7142.857142857143,catapult,Area,20100.023,catapult_asic_area
Throughput,4098.360655737705,catapult,Area,14423.584,catapult_asic_area
