n,knob_no_size,knob_outer_unroll,knob_inner_unroll1,knob_inner_unroll2,knob_merge_unroll,knob_partition_factor,knob_I_B,obj1,obj2
1403,256,1,1,4,4,16,0,0.012868,629
1404,256,1,1,4,4,32,0,0.012868,629
1405,256,1,1,4,4,64,0,0.012868,629
1406,256,1,1,4,4,128,0,0.012868,629
1407,256,1,1,4,4,256,0,0.012868,629
1408,256,1,2,1,1,2,0,0.007745,414
1409,256,1,2,1,1,4,0,0.008186,419
1410,256,1,2,1,1,8,0,0.007614,480
1411,256,1,2,1,1,16,0,0.005833,346
1412,256,1,2,1,1,32,0,0.005833,346
1413,256,1,2,1,1,64,0,0.005833,346
1414,256,1,2,1,1,128,0,0.005833,346
1415,256,1,2,1,1,256,0,0.005833,346
1416,256,1,2,1,2,2,0,0.009451,370
1417,256,1,2,1,2,4,0,0.008056,364
1418,256,1,2,1,2,8,0,0.008401,428
1419,256,1,2,1,2,16,0,0.004945,271
1420,256,1,2,1,2,32,0,0.004945,271
1421,256,1,2,1,2,64,0,0.004945,271
1422,256,1,2,1,2,128,0,0.004945,271
1423,256,1,2,1,2,256,0,0.004945,271
1424,256,1,2,1,3,2,0,0.008734,497
1425,256,1,2,1,3,4,0,0.00922,405
1426,256,1,2,1,3,8,0,0.008721,467
1427,256,1,2,1,3,16,0,0.005407,345
1428,256,1,2,1,3,32,0,0.005407,345
1429,256,1,2,1,3,64,0,0.005407,345
1430,256,1,2,1,3,128,0,0.005407,345
1431,256,1,2,1,3,256,0,0.005407,345
1432,256,1,2,1,4,2,0,0.008996,365
1433,256,1,2,1,4,4,0,0.008901,436
1434,256,1,2,1,4,8,0,0.007374,381
1435,256,1,2,1,4,16,0,0.005564,266
1436,256,1,2,1,4,32,0,0.005564,266
1437,256,1,2,1,4,64,0,0.005564,266
1438,256,1,2,1,4,128,0,0.005564,266
1439,256,1,2,1,4,256,0,0.005564,266
1440,256,1,2,2,1,2,0,0.016655,445
1441,256,1,2,2,1,4,0,0.01235,510
1442,256,1,2,2,1,8,0,0.011661,485
1443,256,1,2,2,1,16,0,0.010745,479
1444,256,1,2,2,1,32,0,0.010745,479
1445,256,1,2,2,1,64,0,0.010745,479
1446,256,1,2,2,1,128,0,0.010745,479
1447,256,1,2,2,1,256,0,0.010745,479
1448,256,1,2,2,2,2,0,0.01674,399
1449,256,1,2,2,2,4,0,0.01175,457
1450,256,1,2,2,2,8,0,0.011593,423
1451,256,1,2,2,2,16,0,0.010709,428
1452,256,1,2,2,2,32,0,0.010709,428
1453,256,1,2,2,2,64,0,0.010709,428
1454,256,1,2,2,2,128,0,0.010709,428
1455,256,1,2,2,2,256,0,0.010709,428
1456,256,1,2,2,3,2,0,0.017148,521
1457,256,1,2,2,3,4,0,0.012693,486
1458,256,1,2,2,3,8,0,0.012064,464
1459,256,1,2,2,3,16,0,0.011216,549
1460,256,1,2,2,3,32,0,0.011216,549
1461,256,1,2,2,3,64,0,0.011216,549
1462,256,1,2,2,3,128,0,0.011216,549
1463,256,1,2,2,3,256,0,0.011216,549
1464,256,1,2,2,4,2,0,0.015844,365
1465,256,1,2,2,4,4,0,0.012286,399
1466,256,1,2,2,4,8,0,0.011982,387
1467,256,1,2,2,4,16,0,0.01024,426
1468,256,1,2,2,4,32,0,0.01024,426
1469,256,1,2,2,4,64,0,0.01024,426
1470,256,1,2,2,4,128,0,0.01024,426
1471,256,1,2,2,4,256,0,0.01024,426
1472,256,1,2,3,1,2,0,0.023227,475
1473,256,1,2,3,1,4,0,0.02442,507
1474,256,1,2,3,1,8,0,0.023606,537
1475,256,1,2,3,1,16,0,0.017455,722
1476,256,1,2,3,1,32,0,0.017455,722
1477,256,1,2,3,1,64,0,0.017455,722
1478,256,1,2,3,1,128,0,0.017455,722
1479,256,1,2,3,1,256,0,0.017455,722
1480,256,1,2,3,2,2,0,0.025633,474
1481,256,1,2,3,2,4,0,0.023056,459
1482,256,1,2,3,2,8,0,0.023257,493
1483,256,1,2,3,2,16,0,0.017549,682
1484,256,1,2,3,2,32,0,0.017549,682
1485,256,1,2,3,2,64,0,0.017549,682
1486,256,1,2,3,2,128,0,0.017549,682
1487,256,1,2,3,2,256,0,0.017549,682
1488,256,1,2,3,3,2,0,0.02457,566
1489,256,1,2,3,3,4,0,0.024331,501
1490,256,1,2,3,3,8,0,0.026498,517
1491,256,1,2,3,3,16,0,0.017967,716
1492,256,1,2,3,3,32,0,0.018186,721
1493,256,1,2,3,3,64,0,0.017967,716
1494,256,1,2,3,3,128,0,0.017967,716
1495,256,1,2,3,3,256,0,0.017967,716
1496,256,1,2,3,4,2,0,0.025827,470
1497,256,1,2,3,4,4,0,0.024474,439
1498,256,1,2,3,4,8,0,0.024894,464
1499,256,1,2,3,4,16,0,0.017764,604
1500,256,1,2,3,4,32,0,0.017764,604
1501,256,1,2,3,4,64,0,0.017764,604
1502,256,1,2,3,4,128,0,0.017764,604
1503,256,1,2,3,4,256,0,0.017764,604
1504,256,1,2,4,1,2,0,0.036065,566
1505,256,1,2,4,1,4,0,0.02992,621
1506,256,1,2,4,1,8,0,0.02727,556
1507,256,1,2,4,1,16,0,0.028311,725
1508,256,1,2,4,1,32,0,0.028311,725
1509,256,1,2,4,1,64,0,0.028311,725
1510,256,1,2,4,1,128,0,0.028311,725
1511,256,1,2,4,1,256,0,0.028311,725
1512,256,1,2,4,2,2,0,0.034966,552
1513,256,1,2,4,2,4,0,0.03301,594
1514,256,1,2,4,2,8,0,0.027116,522
1515,256,1,2,4,2,16,0,0.027884,731
1516,256,1,2,4,2,32,0,0.027884,731
1517,256,1,2,4,2,64,0,0.027126,729
1518,256,1,2,4,2,128,0,0.027884,731
1519,256,1,2,4,2,256,0,0.027884,731
1520,256,1,2,4,3,2,0,0.03691,548
1521,256,1,2,4,3,4,0,0.029222,566
1522,256,1,2,4,3,8,0,0.027468,575
1523,256,1,2,4,3,16,0,0.028973,748
1524,256,1,2,4,3,32,0,0.028973,748
1525,256,1,2,4,3,64,0,0.028973,748
1526,256,1,2,4,3,128,0,0.028973,748
1527,256,1,2,4,3,256,0,0.028973,748
1528,256,1,2,4,4,2,0,0.035828,541
1529,256,1,2,4,4,4,0,0.029509,504
1530,256,1,2,4,4,8,0,0.024142,490
1531,256,1,2,4,4,16,0,0.027741,678
1532,256,1,2,4,4,32,0,0.027741,678
1533,256,1,2,4,4,64,0,0.027741,678
1534,256,1,2,4,4,128,0,0.027741,678
1535,256,1,2,4,4,256,0,0.027741,678
1536,256,1,3,1,1,2,0,0.012541,424
1537,256,1,3,1,1,4,0,0.012784,422
1538,256,1,3,1,1,8,0,0.013297,482
1539,256,1,3,1,1,16,0,0.0083,338
1540,256,1,3,1,1,32,0,0.0083,338
1541,256,1,3,1,1,64,0,0.0083,338
1542,256,1,3,1,1,128,0,0.0083,338
1543,256,1,3,1,1,256,0,0.0083,338
1544,256,1,3,1,2,2,0,0.014333,381
1545,256,1,3,1,2,4,0,0.014933,375
1546,256,1,3,1,2,8,0,0.013778,428
1547,256,1,3,1,2,16,0,0.009153,305
1548,256,1,3,1,2,32,0,0.009153,305
1549,256,1,3,1,2,64,0,0.009153,305
1550,256,1,3,1,2,128,0,0.009153,305
1551,256,1,3,1,2,256,0,0.009153,305
1552,256,1,3,1,3,2,0,0.014848,490
1553,256,1,3,1,3,4,0,0.01404,388
1554,256,1,3,1,3,8,0,0.013884,466
1555,256,1,3,1,3,16,0,0.0083,427
1556,256,1,3,1,3,32,0,0.0083,427
1557,256,1,3,1,3,64,0,0.0083,427
1558,256,1,3,1,3,128,0,0.0083,427
1559,256,1,3,1,3,256,0,0.0083,427
1560,256,1,3,1,4,2,0,0.015,399
1561,256,1,3,1,4,4,0,0.015226,342
1562,256,1,3,1,4,8,0,0.01373,419
1563,256,1,3,1,4,16,0,0.007923,292
1564,256,1,3,1,4,32,0,0.007923,292
1565,256,1,3,1,4,64,0,0.007923,292
1566,256,1,3,1,4,128,0,0.007923,292
1567,256,1,3,1,4,256,0,0.007923,292
1568,256,1,3,2,1,2,0,0.027194,397
1569,256,1,3,2,1,4,0,0.019446,395
1570,256,1,3,2,1,8,0,0.01964,430
1571,256,1,3,2,1,16,0,0.016409,465
1572,256,1,3,2,1,32,0,0.016409,465
1573,256,1,3,2,1,64,0,0.016409,465
1574,256,1,3,2,1,128,0,0.016409,465
1575,256,1,3,2,1,256,0,0.016409,465
1576,256,1,3,2,2,2,0,0.027276,361
1577,256,1,3,2,2,4,0,0.020589,394
1578,256,1,3,2,2,8,0,0.01962,379
1579,256,1,3,2,2,16,0,0.016199,480
1580,256,1,3,2,2,32,0,0.016199,480
1581,256,1,3,2,2,64,0,0.016199,480
1582,256,1,3,2,2,128,0,0.016199,480
1583,256,1,3,2,2,256,0,0.016199,480
1584,256,1,3,2,3,2,0,0.032759,485
1585,256,1,3,2,3,4,0,0.018882,415
1586,256,1,3,2,3,8,0,0.022501,437
1587,256,1,3,2,3,16,0,0.016885,491
1588,256,1,3,2,3,32,0,0.016885,491
1589,256,1,3,2,3,64,0,0.016885,491
1590,256,1,3,2,3,128,0,0.016885,491
1591,256,1,3,2,3,256,0,0.016966,494
1592,256,1,3,2,4,2,0,0.025438,375
1593,256,1,3,2,4,4,0,0.019789,347
1594,256,1,3,2,4,8,0,0.019971,367
1595,256,1,3,2,4,16,0,0.015975,407
1596,256,1,3,2,4,32,0,0.015975,407
1597,256,1,3,2,4,64,0,0.015975,407
1598,256,1,3,2,4,128,0,0.015975,407
1599,256,1,3,2,4,256,0,0.015637,404
1601,256,1,3,3,1,4,0,0.042994,507
1602,256,1,3,3,1,8,0,0.044137,596
1603,256,1,3,3,1,16,0,0.027335,693
1604,256,1,3,3,1,32,0,0.027335,693
1605,256,1,3,3,1,64,0,0.027335,693
1606,256,1,3,3,1,128,0,0.027335,693
1607,256,1,3,3,1,256,0,0.027335,693
1608,256,1,3,3,2,2,0,0.047797,535
1609,256,1,3,3,2,4,0,0.046418,447
1610,256,1,3,3,2,8,0,0.047612,519
1611,256,1,3,3,2,16,0,0.026809,665
1612,256,1,3,3,2,32,0,0.026809,665
1613,256,1,3,3,2,64,0,0.026809,665
1614,256,1,3,3,2,128,0,0.026809,665
1615,256,1,3,3,2,256,0,0.026732,669
1616,256,1,3,3,3,2,0,0.043461,659
1617,256,1,3,3,3,4,0,0.040657,469
1618,256,1,3,3,3,8,0,0.044978,533
1619,256,1,3,3,3,16,0,0.026494,720
1620,256,1,3,3,3,32,0,0.026494,720
1621,256,1,3,3,3,64,0,0.026494,720
1622,256,1,3,3,3,128,0,0.026494,720
1623,256,1,3,3,3,256,0,0.026494,720
1624,256,1,3,3,4,2,0,0.045428,566
1625,256,1,3,3,4,4,0,0.046469,439
1626,256,1,3,3,4,8,0,0.04956,527
1627,256,1,3,3,4,16,0,0.026906,623
1628,256,1,3,3,4,32,0,0.026906,623
1629,256,1,3,3,4,64,0,0.026906,623
1630,256,1,3,3,4,128,0,0.026906,623
1631,256,1,3,3,4,256,0,0.026906,623
1632,256,1,3,4,1,2,0,0.060245,627
1633,256,1,3,4,1,4,0,0.048392,645
1634,256,1,3,4,1,8,0,0.048438,624
1635,256,1,3,4,1,16,0,0.04129,770
1636,256,1,3,4,1,32,0,0.04129,770
1637,256,1,3,4,1,64,0,0.04129,770
1638,256,1,3,4,1,128,0,0.04129,770
1639,256,1,3,4,1,256,0,0.04129,770
1640,256,1,3,4,2,2,0,0.058905,572
1641,256,1,3,4,2,4,0,0.048745,596
1642,256,1,3,4,2,8,0,0.049376,568
1643,256,1,3,4,2,16,0,0.040757,739
1644,256,1,3,4,2,32,0,0.040757,739
1645,256,1,3,4,2,64,0,0.040757,739
1646,256,1,3,4,2,128,0,0.040757,739
1647,256,1,3,4,2,256,0,0.040757,739
1648,256,1,3,4,3,2,0,0.062557,642
1649,256,1,3,4,3,4,0,0.047177,598
1651,256,1,3,4,3,16,0,0.043953,816
1652,256,1,3,4,3,32,0,0.043953,816
1653,256,1,3,4,3,64,0,0.042248,822
1654,256,1,3,4,3,128,0,0.043953,816
1655,256,1,3,4,3,256,0,0.043953,816
1656,256,1,3,4,4,2,0,0.061785,566
1657,256,1,3,4,4,4,0,0.048483,524
1658,256,1,3,4,4,8,0,0.048304,598
1659,256,1,3,4,4,16,0,0.042035,752
1660,256,1,3,4,4,32,0,0.042035,752
1661,256,1,3,4,4,64,0,0.042035,752
1662,256,1,3,4,4,128,0,0.042035,752
1663,256,1,3,4,4,256,0,0.042035,752
1664,256,1,4,1,1,2,0,0.019899,433
1665,256,1,4,1,1,4,0,0.019165,409
1666,256,1,4,1,1,8,0,0.017845,537
1667,256,1,4,1,1,16,0,0.013513,351
1668,256,1,4,1,1,32,0,0.013513,351
1669,256,1,4,1,1,64,0,0.013513,351
1670,256,1,4,1,1,128,0,0.013513,351
1671,256,1,4,1,1,256,0,0.013513,351
1672,256,1,4,1,2,2,0,0.021731,398
1673,256,1,4,1,2,4,0,0.020667,393
1674,256,1,4,1,2,8,0,0.0188,491
1675,256,1,4,1,2,16,0,0.01355,291
1676,256,1,4,1,2,32,0,0.01355,291
1677,256,1,4,1,2,64,0,0.01355,291
1678,256,1,4,1,2,128,0,0.01355,291
1679,256,1,4,1,2,256,0,0.01355,291
1680,256,1,4,1,3,2,0,0.020715,618
1681,256,1,4,1,3,4,0,0.021032,524
1682,256,1,4,1,3,8,0,0.022405,554
1683,256,1,4,1,3,16,0,0.010095,392
1684,256,1,4,1,3,32,0,0.010095,392
1685,256,1,4,1,3,64,0,0.010095,392
1686,256,1,4,1,3,128,0,0.010095,392
1688,256,1,4,1,4,2,0,0.019711,408
1689,256,1,4,1,4,4,0,0.017633,411
1690,256,1,4,1,4,8,0,0.018008,442
1691,256,1,4,1,4,16,0,0.010062,283
1692,256,1,4,1,4,32,0,0.010062,283
1693,256,1,4,1,4,64,0,0.010565,278
1694,256,1,4,1,4,128,0,0.010062,283
1695,256,1,4,1,4,256,0,0.010565,278
1696,256,1,4,2,1,2,0,0.040322,531
1697,256,1,4,2,1,4,0,0.028498,546
1698,256,1,4,2,1,8,0,0.029044,547
1699,256,1,4,2,1,16,0,0.022853,557
1700,256,1,4,2,1,32,0,0.022853,557
1701,256,1,4,2,1,64,0,0.022853,557
1702,256,1,4,2,1,128,0,0.022853,557
1703,256,1,4,2,1,256,0,0.022853,557
1704,256,1,4,2,2,2,0,0.038896,516
1705,256,1,4,2,2,4,0,0.029516,472
1706,256,1,4,2,2,8,0,0.029996,456
1707,256,1,4,2,2,16,0,0.023145,449
1708,256,1,4,2,2,32,0,0.023145,449
1709,256,1,4,2,2,64,0,0.023145,449
1710,256,1,4,2,2,128,0,0.023145,449
1711,256,1,4,2,2,256,0,0.023145,449
1712,256,1,4,2,3,2,0,0.042431,609
1713,256,1,4,2,3,4,0,0.029391,532
1714,256,1,4,2,3,8,0,0.028399,538
1715,256,1,4,2,3,16,0,0.023414,518
1716,256,1,4,2,3,32,0,0.023414,518
1717,256,1,4,2,3,64,0,0.023414,518
1718,256,1,4,2,3,128,0,0.023414,518
1719,256,1,4,2,3,256,0,0.023414,518
1720,256,1,4,2,4,2,0,0.036726,517
1721,256,1,4,2,4,4,0,0.02852,446
1722,256,1,4,2,4,8,0,0.029298,464
1723,256,1,4,2,4,16,0,0.022293,449
1724,256,1,4,2,4,32,0,0.022293,449
1725,256,1,4,2,4,64,0,0.022293,449
1726,256,1,4,2,4,128,0,0.022293,449
1727,256,1,4,2,4,256,0,0.022293,449
1728,256,1,4,3,1,2,0,0.062026,687
1729,256,1,4,3,1,4,0,0.058445,718
1730,256,1,4,3,1,8,0,0.062668,632
1731,256,1,4,3,1,16,0,0.036032,821
1732,256,1,4,3,1,32,0,0.036032,821
1733,256,1,4,3,1,64,0,0.036032,821
1734,256,1,4,3,1,128,0,0.036032,821
1735,256,1,4,3,1,256,0,0.036032,821
1736,256,1,4,3,2,2,0,0.058376,606
1737,256,1,4,3,2,4,0,0.062285,561
1738,256,1,4,3,2,8,0,0.058581,599
1739,256,1,4,3,2,16,0,0.036518,682
1740,256,1,4,3,2,32,0,0.036518,682
1741,256,1,4,3,2,64,0,0.036518,682
1742,256,1,4,3,2,128,0,0.036518,682
1743,256,1,4,3,2,256,0,0.036518,682
1744,256,1,4,3,3,2,0,0.05973,770
1745,256,1,4,3,3,4,0,0.061192,608
1746,256,1,4,3,3,8,0,0.058745,644
1747,256,1,4,3,3,16,0,0.036488,732
1748,256,1,4,3,3,32,0,0.036488,732
1749,256,1,4,3,3,64,0,0.036488,732
1750,256,1,4,3,3,128,0,0.036488,732
1751,256,1,4,3,3,256,0,0.036488,732
1752,256,1,4,3,4,2,0,0.05858,576
1753,256,1,4,3,4,4,0,0.059271,571
1754,256,1,4,3,4,8,0,0.063358,540
1755,256,1,4,3,4,16,0,0.035548,618
1756,256,1,4,3,4,32,0,0.035548,618
1757,256,1,4,3,4,64,0,0.035548,618
1758,256,1,4,3,4,128,0,0.035548,618
1759,256,1,4,3,4,256,0,0.035548,618
1760,256,1,4,4,1,2,0,0.082558,670
1761,256,1,4,4,1,4,0,0.075799,707
1762,256,1,4,4,1,8,0,0.061431,712
1763,256,1,4,4,1,16,0,0.05614,893
1764,256,1,4,4,1,32,0,0.05614,893
1765,256,1,4,4,1,64,0,0.05614,893
1766,256,1,4,4,1,128,0,0.05614,893
1767,256,1,4,4,1,256,0,0.05614,893
1768,256,1,4,4,2,2,0,0.080253,650
1769,256,1,4,4,2,4,0,0.07065,623
1770,256,1,4,4,2,8,0,0.064821,653
1771,256,1,4,4,2,16,0,0.064944,995
1772,256,1,4,4,2,32,0,0.064944,995
1773,256,1,4,4,2,64,0,0.064944,995
1774,256,1,4,4,2,128,0,0.064944,995
1775,256,1,4,4,2,256,0,0.063524,993
1776,256,1,4,4,3,2,0,0.082407,711
1777,256,1,4,4,3,4,0,0.070612,676
1778,256,1,4,4,3,8,0,0.066612,648
1779,256,1,4,4,3,16,0,0.059453,793
1780,256,1,4,4,3,32,0,0.059453,793
1781,256,1,4,4,3,64,0,0.059453,793
1782,256,1,4,4,3,128,0,0.059453,793
1783,256,1,4,4,3,256,0,0.059453,793
1784,256,1,4,4,4,2,0,0.086791,623
1785,256,1,4,4,4,4,0,0.074529,590
1786,256,1,4,4,4,8,0,0.063358,636
1787,256,1,4,4,4,16,0,0.056754,675
1788,256,1,4,4,4,32,0,0.056754,675
1789,256,1,4,4,4,64,0,0.056754,675
1790,256,1,4,4,4,128,0,0.056186,675
1791,256,1,4,4,4,256,0,0.056754,675
1792,256,2,1,1,1,2,0,0.003864,434
1793,256,2,1,1,1,4,0,0.003742,488
1794,256,2,1,1,1,8,0,0.003929,479
1795,256,2,1,1,1,16,0,0.002906,333
1796,256,2,1,1,1,32,0,0.002906,333
1797,256,2,1,1,1,64,0,0.002906,333
1798,256,2,1,1,1,128,0,0.002906,333
1799,256,2,1,1,1,256,0,0.002906,333
1800,256,2,1,1,2,2,0,0.004769,366
1801,256,2,1,1,2,4,0,0.004245,432
1802,256,2,1,1,2,8,0,0.003796,448
1803,256,2,1,1,2,16,0,0.002774,297
1804,256,2,1,1,2,32,0,0.002774,297
1805,256,2,1,1,2,64,0,0.002774,297
1806,256,2,1,1,2,128,0,0.002774,297
1807,256,2,1,1,2,256,0,0.002774,297
1808,256,2,1,1,3,2,0,0.004015,447
1809,256,2,1,1,3,4,0,0.003955,456
1810,256,2,1,1,3,8,0,0.004251,475
1811,256,2,1,1,3,16,0,0.002351,448
1812,256,2,1,1,3,32,0,0.002351,448
1813,256,2,1,1,3,64,0,0.002351,448
1814,256,2,1,1,3,128,0,0.002351,448
1815,256,2,1,1,3,256,0,0.002351,448
1816,256,2,1,1,4,2,0,0.00427,378
1817,256,2,1,1,4,4,0,0.004633,351
1818,256,2,1,1,4,8,0,0.003692,409
1819,256,2,1,1,4,16,0,0.002497,251
1820,256,2,1,1,4,32,0,0.002497,251
1821,256,2,1,1,4,64,0,0.002497,251
1822,256,2,1,1,4,128,0,0.002497,251
1823,256,2,1,1,4,256,0,0.002497,251
1824,256,2,1,2,1,2,0,0.007928,425
1825,256,2,1,2,1,4,0,0.00593,531
1826,256,2,1,2,1,8,0,0.006688,477
1827,256,2,1,2,1,16,0,0.005352,483
1828,256,2,1,2,1,32,0,0.005352,483
1829,256,2,1,2,1,64,0,0.005352,483
1830,256,2,1,2,1,128,0,0.005352,483
1831,256,2,1,2,1,256,0,0.005352,483
1832,256,2,1,2,2,2,0,0.007223,383
1833,256,2,1,2,2,4,0,0.006255,454
1834,256,2,1,2,2,8,0,0.005974,427
1835,256,2,1,2,2,16,0,0.005393,493
1836,256,2,1,2,2,32,0,0.005393,493
1837,256,2,1,2,2,64,0,0.005393,493
1838,256,2,1,2,2,128,0,0.005393,493
1839,256,2,1,2,2,256,0,0.005393,493
1840,256,2,1,2,3,2,0,0.008299,486
1841,256,2,1,2,3,4,0,0.006848,495
1842,256,2,1,2,3,8,0,0.006283,457
1843,256,2,1,2,3,16,0,0.005747,633
1844,256,2,1,2,3,32,0,0.005747,633
1845,256,2,1,2,3,64,0,0.005747,633
1846,256,2,1,2,3,128,0,0.005747,633
1847,256,2,1,2,3,256,0,0.005747,633
1848,256,2,1,2,4,2,0,0.008975,407
1849,256,2,1,2,4,4,0,0.006531,393
1850,256,2,1,2,4,8,0,0.006187,411
1851,256,2,1,2,4,16,0,0.005341,407
1852,256,2,1,2,4,32,0,0.005341,407
1853,256,2,1,2,4,64,0,0.005341,407
1854,256,2,1,2,4,128,0,0.005341,407
1855,256,2,1,2,4,256,0,0.005341,407
1856,256,2,1,3,1,2,0,0.01312,486
1857,256,2,1,3,1,4,0,0.012207,540
1858,256,2,1,3,1,8,0,0.013506,527
1859,256,2,1,3,1,16,0,0.008983,679
1860,256,2,1,3,1,32,0,0.008983,679
1861,256,2,1,3,1,64,0,0.008983,679
1862,256,2,1,3,1,128,0,0.008983,679
1863,256,2,1,3,1,256,0,0.008983,679
1864,256,2,1,3,2,2,0,0.012813,429
1865,256,2,1,3,2,4,0,0.012198,427
1866,256,2,1,3,2,8,0,0.012395,465
1867,256,2,1,3,2,16,0,0.008977,624
1868,256,2,1,3,2,32,0,0.008977,624
1869,256,2,1,3,2,64,0,0.008977,624
1870,256,2,1,3,2,128,0,0.008977,624
1871,256,2,1,3,2,256,0,0.008977,624
1872,256,2,1,3,3,2,0,0.01367,552
1873,256,2,1,3,3,4,0,0.012258,505
1874,256,2,1,3,3,8,0,0.01374,540
1875,256,2,1,3,3,16,0,0.009074,819
1876,256,2,1,3,3,32,0,0.009082,809
1877,256,2,1,3,3,64,0,0.009082,809
1878,256,2,1,3,3,128,0,0.009082,809
1879,256,2,1,3,3,256,0,0.009082,809
1880,256,2,1,3,4,2,0,0.012692,426
1881,256,2,1,3,4,4,0,0.012822,400
1882,256,2,1,3,4,8,0,0.012755,455
1883,256,2,1,3,4,16,0,0.008911,606
1884,256,2,1,3,4,32,0,0.008911,606
1885,256,2,1,3,4,64,0,0.008911,606
1886,256,2,1,3,4,128,0,0.008911,606
1887,256,2,1,3,4,256,0,0.008911,606
1888,256,2,1,4,1,2,0,0.017888,578
1889,256,2,1,4,1,4,0,0.015524,621
1890,256,2,1,4,1,8,0,0.013552,606
1891,256,2,1,4,1,16,0,0.013828,732
1892,256,2,1,4,1,32,0,0.013828,732
1893,256,2,1,4,1,64,0,0.013828,732
1894,256,2,1,4,1,128,0,0.013828,732
1895,256,2,1,4,1,256,0,0.013828,732
1896,256,2,1,4,2,2,0,0.01843,483
1897,256,2,1,4,2,4,0,0.015368,602
1898,256,2,1,4,2,8,0,0.013793,508
1899,256,2,1,4,2,16,0,0.014253,707
1900,256,2,1,4,2,32,0,0.014253,707
1901,256,2,1,4,2,64,0,0.014253,707
1902,256,2,1,4,2,128,0,0.014253,707
1903,256,2,1,4,2,256,0,0.014253,707
1904,256,2,1,4,3,2,0,0.019851,602
1905,256,2,1,4,3,4,0,0.016971,603
1906,256,2,1,4,3,8,0,0.01385,604
1907,256,2,1,4,3,16,0,0.013709,808
1908,256,2,1,4,3,32,0,0.013709,808
1909,256,2,1,4,3,64,0,0.013851,824
1910,256,2,1,4,3,128,0,0.013709,808
1911,256,2,1,4,3,256,0,0.013709,808
1912,256,2,1,4,4,2,0,0.01692,525
1913,256,2,1,4,4,4,0,0.015758,490
1914,256,2,1,4,4,8,0,0.013815,503
1915,256,2,1,4,4,16,0,0.01417,697
1916,256,2,1,4,4,32,0,0.01417,697
1917,256,2,1,4,4,64,0,0.01417,697
1918,256,2,1,4,4,128,0,0.01417,697
1919,256,2,1,4,4,256,0,0.01417,697
1920,256,2,2,1,1,2,0,0.010081,524
1921,256,2,2,1,1,4,0,0.011056,506
1922,256,2,2,1,1,8,0,0.01081,569
1923,256,2,2,1,1,16,0,0.005225,354
1924,256,2,2,1,1,32,0,0.005225,354
1925,256,2,2,1,1,64,0,0.005225,354
1926,256,2,2,1,1,128,0,0.005225,354
1927,256,2,2,1,1,256,0,0.005225,354
1928,256,2,2,1,2,2,0,0.010173,516
1929,256,2,2,1,2,4,0,0.010128,496
1930,256,2,2,1,2,8,0,0.01047,524
1931,256,2,2,1,2,16,0,0.005315,379
1932,256,2,2,1,2,32,0,0.005315,379
1933,256,2,2,1,2,64,0,0.005315,379
1934,256,2,2,1,2,128,0,0.005315,379
1935,256,2,2,1,2,256,0,0.005315,379
1936,256,2,2,1,3,2,0,0.01022,666
1937,256,2,2,1,3,4,0,0.010224,538
1938,256,2,2,1,3,8,0,0.010832,581
1939,256,2,2,1,3,16,0,0.005231,429
1940,256,2,2,1,3,32,0,0.005231,429
1941,256,2,2,1,3,64,0,0.005231,429
1942,256,2,2,1,3,128,0,0.005231,429
1943,256,2,2,1,3,256,0,0.005231,429
1944,256,2,2,1,4,2,0,0.010065,477
1945,256,2,2,1,4,4,0,0.010976,409
1946,256,2,2,1,4,8,0,0.010475,486
1947,256,2,2,1,4,16,0,0.005178,316
1948,256,2,2,1,4,32,0,0.005178,316
1949,256,2,2,1,4,64,0,0.005178,316
1950,256,2,2,1,4,128,0,0.005178,316
1951,256,2,2,1,4,256,0,0.005178,316
1952,256,2,2,2,1,2,0,0.019233,514
1953,256,2,2,2,1,4,0,0.014473,597
1954,256,2,2,2,1,8,0,0.016552,589
1955,256,2,2,2,1,16,0,0.011636,537
1956,256,2,2,2,1,32,0,0.011636,537
1957,256,2,2,2,1,64,0,0.011636,537
1958,256,2,2,2,1,128,0,0.011636,537
1959,256,2,2,2,1,256,0,0.011636,537
1960,256,2,2,2,2,2,0,0.019746,492
1961,256,2,2,2,2,4,0,0.01395,519
1962,256,2,2,2,2,8,0,0.015391,514
1963,256,2,2,2,2,16,0,0.011618,549
1964,256,2,2,2,2,32,0,0.011618,549
1965,256,2,2,2,2,64,0,0.011618,549
1966,256,2,2,2,2,128,0,0.011618,549
1967,256,2,2,2,2,256,0,0.011618,549
1968,256,2,2,2,3,2,0,0.020792,604
1969,256,2,2,2,3,4,0,0.014409,533
1970,256,2,2,2,3,8,0,0.015942,562
1971,256,2,2,2,3,16,0,0.011112,611
1972,256,2,2,2,3,32,0,0.011112,611
1973,256,2,2,2,3,64,0,0.011112,611
1974,256,2,2,2,3,128,0,0.011112,611
1975,256,2,2,2,3,256,0,0.011112,611
1976,256,2,2,2,4,2,0,0.018853,524
1977,256,2,2,2,4,4,0,0.015103,512
1978,256,2,2,2,4,8,0,0.015965,506
1979,256,2,2,2,4,16,0,0.01196,491
1980,256,2,2,2,4,32,0,0.01196,491
1981,256,2,2,2,4,64,0,0.01196,491
1982,256,2,2,2,4,128,0,0.01101,476
1983,256,2,2,2,4,256,0,0.01196,491
1984,256,2,2,3,1,2,0,0.029512,685
1985,256,2,2,3,1,4,0,0.028364,665
