n,knob_blockdim_x,knob_blockdim_y,knob_unroll_dct,knob_unroll_width,knob_unroll_height,knob_array_partition1,knob_array_partition2,knob_I_B,obj1,obj2,lut,ff,dsp,bram
0000,1,1,1,1,1,1,4194304,0,1.308533,87,415,248,1,0
0001,1,1,1,1,1,2,2097152,0,1.278471,115,515,251,1,0
0002,1,1,1,1,1,4,1048576,0,1.398718,159,652,260,1,0
0003,1,1,1,1,2,1,4194304,0,1.197342,93,429,265,1,0
0004,1,1,1,1,2,2,2097152,0,1.356233,133,543,267,1,0
0005,1,1,1,1,2,4,1048576,0,1.301694,197,683,276,1,0
0006,1,1,1,1,4,1,4194304,0,1.286710,126,616,234,1,0
0007,1,1,1,1,4,2,2097152,0,1.435962,164,704,234,1,0
0008,1,1,1,1,4,4,1048576,0,1.395779,245,903,241,1,0
0009,1,1,1,1,8,1,4194304,0,1.346244,150,743,240,1,0
0010,1,1,1,1,8,2,2097152,0,1.484853,208,923,242,1,0
0011,1,1,1,1,8,4,1048576,0,1.451762,269,1176,250,1,0
0012,1,1,1,2,1,1,4194304,0,1.427597,85,432,266,1,0
0013,1,1,1,2,1,2,2097152,0,1.453099,115,529,268,1,0
0014,1,1,1,2,1,4,1048576,0,1.405304,151,675,277,1,0
0015,1,1,1,2,2,1,4194304,0,1.485237,119,609,301,1,0
0016,1,1,1,2,2,2,2097152,0,1.671313,176,725,303,1,0
0017,1,1,1,2,2,4,1048576,0,1.666248,229,920,310,1,0
0018,1,1,1,2,4,1,4194304,0,1.519366,122,684,240,1,0
0019,1,1,1,2,4,2,2097152,0,1.580317,198,867,242,1,0
0020,1,1,1,2,4,4,1048576,0,1.560900,212,1148,249,1,0
0021,1,1,1,2,8,1,4194304,0,1.563188,172,951,241,1,0
0022,1,1,1,2,8,2,2097152,0,1.617889,256,1247,244,1,0
0023,1,1,1,2,8,4,1048576,0,1.670395,363,1544,254,1,0
0024,1,1,1,4,1,1,4194304,0,1.403277,119,614,235,1,0
0025,1,1,1,4,1,2,2097152,0,1.629584,166,758,234,1,0
0026,1,1,1,4,1,4,1048576,0,1.625193,172,925,241,1,0
0027,1,1,1,4,2,1,4194304,0,1.434580,139,759,240,1,0
0028,1,1,1,4,2,2,2097152,0,1.658311,173,956,242,1,0
0029,1,1,1,4,2,4,1048576,0,1.578105,307,1245,249,1,0
0030,1,1,1,4,4,1,4194304,0,1.563939,166,851,241,1,0
