n,knob_PARTITION_FACTOR,knob_SUBDIM_X,knob_UNROLL_FACTOR1,knob_UNROLL_FACTOR2,obj1,obj2
0160,1,4,5,1,90.603,393
0161,1,4,5,2,89.266,578
0162,1,4,5,3,131.487,897
0163,1,4,5,4,87.884,882
0164,1,4,5,5,87.884,882
0165,1,4,5,6,87.884,882
0166,1,4,5,7,87.884,882
0167,1,4,5,8,87.884,882
0168,1,4,6,1,90.625,436
0169,1,4,6,2,87.880,601
0170,1,4,6,3,137.580,1046
0171,1,4,6,4,95.609,1002
0172,1,4,6,5,95.609,1002
0173,1,4,6,6,95.609,1002
0174,1,4,6,7,95.609,1002
0175,1,4,6,8,95.609,1002
0176,1,4,7,1,89.884,484
0177,1,4,7,2,89.257,745
0178,1,4,7,3,136.727,1221
0179,1,4,7,4,92.162,1219
0180,1,4,7,5,92.162,1219
0181,1,4,7,6,92.162,1219
0182,1,4,7,7,92.162,1219
0183,1,4,7,8,92.162,1219
0184,1,4,8,1,87.454,435
0185,1,4,8,2,90.340,653
0186,1,4,8,3,142.365,1281
0187,1,4,8,4,89.957,1200
0188,1,4,8,5,89.957,1200
0189,1,4,8,6,89.957,1200
0190,1,4,8,7,89.957,1200
0191,1,4,8,8,89.957,1200
0192,1,8,1,1,87.838,229
0193,1,8,1,2,87.888,288
0194,1,8,1,3,101.586,306
0195,1,8,1,4,88.380,295
0196,1,8,1,5,115.092,415
0197,1,8,1,6,133.736,458
0198,1,8,1,7,157.363,472
0199,1,8,1,8,88.733,405
0200,1,8,2,1,92.632,286
0201,1,8,2,2,89.383,298
0202,1,8,2,3,99.966,479
0203,1,8,2,4,90.358,404
0204,1,8,2,5,113.332,616
0205,1,8,2,6,136.926,703
0206,1,8,2,7,162.740,704
0207,1,8,2,8,91.311,630
0208,1,8,3,1,91.676,338
0209,1,8,3,2,87.600,384
0210,1,8,3,3,102.070,622
0211,1,8,3,4,94.248,576
0212,1,8,3,5,113.964,796
0213,1,8,3,6,135.364,1086
0214,1,8,3,7,174.155,1074
0215,1,8,3,8,93.224,990
0216,1,8,4,1,89.924,317
0217,1,8,4,2,93.369,419
0218,1,8,4,3,100.776,719
0219,1,8,4,4,89.402,613
0220,1,8,4,5,115.051,939
0221,1,8,4,6,136.716,1147
0222,1,8,4,7,162.608,1289
0223,1,8,4,8,90.763,1187
0224,1,8,5,1,88.938,395
0225,1,8,5,2,89.578,552
0226,1,8,5,3,103.135,875
0227,1,8,5,4,88.287,808
0228,1,8,5,5,116.235,1303
0229,1,8,5,6,137.155,1492
0230,1,8,5,7,160.675,1693
0231,1,8,5,8,90.980,1461
0232,1,8,6,1,89.304,422
0233,1,8,6,2,88.676,611
0234,1,8,6,3,104.961,989
0235,1,8,6,4,89.630,913
0236,1,8,6,5,113.241,1495
0237,1,8,6,6,143.796,1769
0238,1,8,6,7,171.037,1978
0239,1,8,6,8,90.336,1752
0240,1,8,7,1,90.818,486
0241,1,8,7,2,89.804,746
0242,1,8,7,3,102.482,1199
0243,1,8,7,4,88.512,1094
0244,1,8,7,5,116.867,1778
0245,1,8,7,6,137.574,2095
0246,1,8,7,7,166.880,2319
0247,1,8,7,8,95.718,2189
0248,1,8,8,1,88.495,425
0249,1,8,8,2,90.199,626
0250,1,8,8,3,103.991,1274
0251,1,8,8,4,93.409,1046
0252,1,8,8,5,115.601,1815
0253,1,8,8,6,139.085,2090
0254,1,8,8,7,173.833,2366
0255,1,8,8,8,91.150,2125
0256,1,16,1,1,88.580,248
0257,1,16,1,2,89.048,259
0258,1,16,1,3,102.671,319
0259,1,16,1,4,88.455,297
0260,1,16,1,5,115.757,419
0261,1,16,1,6,101.764,434
0262,1,16,1,7,116.666,482
0263,1,16,1,8,89.819,422
0264,1,16,2,1,89.139,246
0265,1,16,2,2,89.575,326
0266,1,16,2,3,102.078,469
0267,1,16,2,4,91.217,412
0268,1,16,2,5,112.882,628
0269,1,16,2,6,103.916,724
0270,1,16,2,7,117.667,672
0271,1,16,2,8,88.981,599
0272,1,16,3,1,88.325,291
0273,1,16,3,2,88.944,403
0274,1,16,3,3,100.764,602
0275,1,16,3,4,89.931,561
0276,1,16,3,5,112.644,831
0277,1,16,3,6,99.700,926
0278,1,16,3,7,117.388,1048
0279,1,16,3,8,89.220,920
0280,1,16,4,1,89.236,317
0281,1,16,4,2,90.510,422
0282,1,16,4,3,102.997,745
0283,1,16,4,4,90.035,606
0284,1,16,4,5,111.123,985
0285,1,16,4,6,102.368,1166
0286,1,16,4,7,118.259,1270
0287,1,16,4,8,92.591,1069
0288,1,16,5,1,90.251,377
0289,1,16,5,2,89.613,532
0290,1,16,5,3,103.607,889
0291,1,16,5,4,90.105,784
0292,1,16,5,5,116.932,1271
0293,1,16,5,6,108.793,1489
0294,1,16,5,7,117.984,1708
0295,1,16,5,8,90.577,1360
0296,1,16,6,1,91.345,407
0297,1,16,6,2,91.104,579
0298,1,16,6,3,105.599,1081
0299,1,16,6,4,94.540,911
0300,1,16,6,5,112.819,1505
0301,1,16,6,6,103.483,1721
0302,1,16,6,7,125.892,2027
0303,1,16,6,8,93.529,1666
0304,1,16,7,1,88.834,477
0305,1,16,7,2,87.444,736
0306,1,16,7,3,104.927,1194
0307,1,16,7,4,91.138,1071
0308,1,16,7,5,119.029,1768
0309,1,16,7,6,105.434,2052
0310,1,16,7,7,123.133,2275
0311,1,16,7,8,93.544,1961
0312,1,16,8,1,88.935,464
0313,1,16,8,2,89.146,623
0314,1,16,8,3,106.176,1295
0315,1,16,8,4,88.434,1091
0316,1,16,8,5,115.635,1921
0317,1,16,8,6,109.717,2094
0318,1,16,8,7,127.651,2348
0319,1,16,8,8,90.915,1975
0320,1,32,1,1,90.063,237
0321,1,32,1,2,89.682,254
0322,1,32,1,3,91.931,307
0323,1,32,1,4,87.553,313
0324,1,32,1,5,97.408,402
0325,1,32,1,6,100.190,451
0326,1,32,1,7,99.687,469
0327,1,32,1,8,89.528,400
0328,1,32,2,1,90.643,270
0329,1,32,2,2,88.952,300
0330,1,32,2,3,94.834,447
0331,1,32,2,4,86.951,366
0332,1,32,2,5,99.723,630
0333,1,32,2,6,101.676,704
0334,1,32,2,7,99.487,692
0335,1,32,2,8,87.391,607
0336,1,32,3,1,88.336,310
0337,1,32,3,2,89.674,387
0338,1,32,3,3,93.618,629
0339,1,32,3,4,91.037,560
0340,1,32,3,5,100.325,791
0341,1,32,3,6,102.562,1069
0342,1,32,3,7,100.983,1050
0343,1,32,3,8,90.907,906
0344,1,32,4,1,88.623,346
0345,1,32,4,2,88.318,423
0346,1,32,4,3,92.485,738
0347,1,32,4,4,91.560,604
0348,1,32,4,5,98.677,937
0349,1,32,4,6,101.990,1166
0350,1,32,4,7,101.802,1241
0351,1,32,4,8,90.087,1104
0352,1,32,5,1,91.175,385
0353,1,32,5,2,90.000,570
0354,1,32,5,3,96.335,857
0355,1,32,5,4,86.097,809
0356,1,32,5,5,99.917,1272
0357,1,32,5,6,105.720,1523
0358,1,32,5,7,107.144,1678
0359,1,32,5,8,94.853,1410
0360,1,32,6,1,96.543,430
0361,1,32,6,2,91.004,602
0362,1,32,6,3,94.280,970
0363,1,32,6,4,92.442,904
0364,1,32,6,5,99.535,1470
0365,1,32,6,6,99.742,1659
0366,1,32,6,7,106.410,1980
0367,1,32,6,8,91.377,1634
0368,1,32,7,1,91.025,486
0369,1,32,7,2,91.289,729
0370,1,32,7,3,97.666,1213
0371,1,32,7,4,90.632,1098
0372,1,32,7,5,106.370,1783
0373,1,32,7,6,103.363,2061
0374,1,32,7,7,104.759,2306
0375,1,32,7,8,88.825,1909
0376,1,32,8,1,88.580,433
0377,1,32,8,2,90.445,665
0378,1,32,8,3,93.881,1240
0379,1,32,8,4,90.593,1076
0380,1,32,8,5,100.345,1888
0381,1,32,8,6,104.843,2132
0382,1,32,8,7,109.500,2418
0383,1,32,8,8,90.292,1940
0384,2,1,1,1,71.314,226
0385,2,1,1,2,71.314,226
0386,2,1,1,3,71.314,226
0387,2,1,1,4,71.314,226
0388,2,1,1,5,71.314,226
0389,2,1,1,6,71.314,226
0390,2,1,1,7,71.314,226
0391,2,1,1,8,71.314,226
0392,2,1,2,1,70.321,260
0393,2,1,2,2,70.321,260
0394,2,1,2,3,70.321,260
0395,2,1,2,4,70.321,260
0396,2,1,2,5,70.321,260
0397,2,1,2,6,70.321,260
0398,2,1,2,7,70.321,260
0399,2,1,2,8,70.321,260
0400,2,1,3,1,72.443,348
0401,2,1,3,2,72.443,348
0402,2,1,3,3,72.443,348
0403,2,1,3,4,72.443,348
0404,2,1,3,5,72.443,348
0405,2,1,3,6,72.443,348
0406,2,1,3,7,72.443,348
0407,2,1,3,8,72.443,348
0408,2,1,4,1,71.265,327
0409,2,1,4,2,71.265,327
0410,2,1,4,3,71.265,327
0411,2,1,4,4,71.265,327
0412,2,1,4,5,71.265,327
0413,2,1,4,6,71.265,327
0414,2,1,4,7,71.265,327
0415,2,1,4,8,71.265,327
0416,2,1,5,1,72.227,482
0417,2,1,5,2,72.227,482
0418,2,1,5,3,72.227,482
0419,2,1,5,4,72.227,482
0420,2,1,5,5,72.227,482
0421,2,1,5,6,72.227,482
0422,2,1,5,7,72.227,482
0423,2,1,5,8,72.227,482
0424,2,1,6,1,73.121,512
0425,2,1,6,2,73.121,512
0426,2,1,6,3,73.121,512
0427,2,1,6,4,73.121,512
0428,2,1,6,5,73.121,512
0429,2,1,6,6,73.121,512
0430,2,1,6,7,73.121,512
0431,2,1,6,8,73.121,512
0432,2,1,7,1,71.539,647
0433,2,1,7,2,71.539,647
0434,2,1,7,3,71.539,647
0435,2,1,7,4,71.539,647
0436,2,1,7,5,71.539,647
0437,2,1,7,6,71.539,647
0438,2,1,7,7,71.539,647
0439,2,1,7,8,71.539,647
0440,2,1,8,1,72.708,538
0441,2,1,8,2,72.708,538
0442,2,1,8,3,72.708,538
0443,2,1,8,4,72.708,538
0444,2,1,8,5,72.708,538
0445,2,1,8,6,72.708,538
0446,2,1,8,7,72.708,538
0447,2,1,8,8,72.708,538
0448,2,2,1,1,71.160,212
0449,2,2,1,2,70.210,280
0450,2,2,1,3,70.210,280
0451,2,2,1,4,70.210,280
0452,2,2,1,5,70.210,280
0453,2,2,1,6,70.210,280
0454,2,2,1,7,70.210,280
0455,2,2,1,8,70.210,280
0456,2,2,2,1,71.054,274
0457,2,2,2,2,72.554,369
0458,2,2,2,3,72.554,369
0459,2,2,2,4,72.554,369
0460,2,2,2,5,72.554,369
0461,2,2,2,6,72.554,369
0462,2,2,2,7,72.554,369
0463,2,2,2,8,72.554,369
0464,2,2,3,1,71.724,379
0465,2,2,3,2,69.983,509
0466,2,2,3,3,69.983,509
0467,2,2,3,4,69.983,509
0468,2,2,3,5,69.983,509
0469,2,2,3,6,69.983,509
0470,2,2,3,7,69.983,509
0471,2,2,3,8,69.983,509
0472,2,2,4,1,70.254,394
0473,2,2,4,2,73.069,534
0474,2,2,4,3,73.069,534
0475,2,2,4,4,73.069,534
0476,2,2,4,5,73.069,534
0477,2,2,4,6,73.069,534
0478,2,2,4,7,73.069,534
0479,2,2,4,8,73.069,534
0480,2,2,5,1,70.709,592
0481,2,2,5,2,71.633,841
0482,2,2,5,3,71.633,841
0483,2,2,5,4,71.633,841
0484,2,2,5,5,71.633,841
0485,2,2,5,6,71.633,841
0486,2,2,5,7,71.633,841
0487,2,2,5,8,71.633,841
0488,2,2,6,1,72.257,558
0489,2,2,6,2,70.920,913
0490,2,2,6,3,70.920,913
0491,2,2,6,4,70.920,913
0492,2,2,6,5,70.920,913
0493,2,2,6,6,70.920,913
0494,2,2,6,7,70.920,913
0495,2,2,6,8,70.920,913
0496,2,2,7,1,75.730,726
0497,2,2,7,2,72.218,1137
0498,2,2,7,3,72.218,1137
0499,2,2,7,4,72.218,1137
0500,2,2,7,5,72.218,1137
0501,2,2,7,6,72.218,1137
0502,2,2,7,7,72.218,1137
0503,2,2,7,8,72.218,1137
0504,2,2,8,1,71.121,600
0505,2,2,8,2,71.229,965
0506,2,2,8,3,71.229,965
0507,2,2,8,4,71.229,965
0508,2,2,8,5,71.229,965
0509,2,2,8,6,71.229,965
0510,2,2,8,7,71.229,965
0511,2,2,8,8,71.229,965
0512,2,4,1,1,71.624,232
0513,2,4,1,2,74.241,280
0514,2,4,1,3,110.702,382
0515,2,4,1,4,71.987,339
0516,2,4,1,5,71.987,339
0517,2,4,1,6,71.987,339
0518,2,4,1,7,71.987,339
0519,2,4,1,8,71.987,339
0520,2,4,2,1,72.624,275
0521,2,4,2,2,71.262,383
0522,2,4,2,3,108.458,706
0523,2,4,2,4,72.433,518
0524,2,4,2,5,72.433,518
0525,2,4,2,6,72.433,518
0526,2,4,2,7,72.433,518
0527,2,4,2,8,72.433,518
0528,2,4,3,1,70.819,438
0529,2,4,3,2,74.081,535
0530,2,4,3,3,111.953,926
0531,2,4,3,4,69.519,917
0532,2,4,3,5,69.519,917
0533,2,4,3,6,69.519,917
0534,2,4,3,7,69.519,917
0535,2,4,3,8,69.519,917
0536,2,4,4,1,72.288,381
0537,2,4,4,2,73.548,614
0538,2,4,4,3,108.779,1152
0539,2,4,4,4,72.853,969
0540,2,4,4,5,72.853,969
0541,2,4,4,6,72.853,969
0542,2,4,4,7,72.853,969
0543,2,4,4,8,72.853,969
0544,2,4,5,1,73.870,566
0545,2,4,5,2,72.155,832
0546,2,4,5,3,108.199,1490
0547,2,4,5,4,73.008,1487
0548,2,4,5,5,73.008,1487
0549,2,4,5,6,73.008,1487
0550,2,4,5,7,73.008,1487
0551,2,4,5,8,73.008,1487
0552,2,4,6,1,71.378,575
0553,2,4,6,2,71.631,913
0554,2,4,6,3,113.796,1803
0555,2,4,6,4,72.931,1664
0556,2,4,6,5,72.931,1664
0557,2,4,6,6,72.931,1664
0558,2,4,6,7,72.931,1664
0559,2,4,6,8,72.931,1664
0560,2,4,7,1,71.043,715
0561,2,4,7,2,75.328,1199
0562,2,4,7,3,110.664,2110
0563,2,4,7,4,72.365,2170
0564,2,4,7,5,72.365,2170
0565,2,4,7,6,72.365,2170
0566,2,4,7,7,72.365,2170
0567,2,4,7,8,72.365,2170
0568,2,4,8,1,70.079,608
0569,2,4,8,2,72.963,1160
0570,2,4,8,3,111.397,2279
0571,2,4,8,4,81.431,1798
0572,2,4,8,5,81.431,1798
0573,2,4,8,6,81.431,1798
0574,2,4,8,7,81.431,1798
0575,2,4,8,8,81.431,1798
0576,2,8,1,1,71.271,253
0577,2,8,1,2,72.840,276
0578,2,8,1,3,78.933,392
0579,2,8,1,4,71.058,405
0580,2,8,1,5,91.133,506
0581,2,8,1,6,111.944,550
0582,2,8,1,7,127.506,688
0583,2,8,1,8,73.430,532
0584,2,8,2,1,70.972,263
0585,2,8,2,2,70.710,380
0586,2,8,2,3,82.114,645
0587,2,8,2,4,71.009,670
0588,2,8,2,5,88.296,930
0589,2,8,2,6,107.431,1039
0590,2,8,2,7,128.603,1244
0591,2,8,2,8,71.916,987
0592,2,8,3,1,72.924,356
0593,2,8,3,2,73.899,537
0594,2,8,3,3,79.310,953
0595,2,8,3,4,72.092,916
0596,2,8,3,5,90.456,1429
0597,2,8,3,6,109.739,1596
0598,2,8,3,7,130.063,1998
0599,2,8,3,8,71.779,1765
0600,2,8,4,1,73.895,396
0601,2,8,4,2,71.028,618
0602,2,8,4,3,82.201,1173
0603,2,8,4,4,71.851,1174
0604,2,8,4,5,96.795,1873
0605,2,8,4,6,110.899,2036
0606,2,8,4,7,129.836,2415
0607,2,8,4,8,77.245,1834
0608,2,8,5,1,73.853,581
0609,2,8,5,2,72.413,870
0610,2,8,5,3,81.545,1522
0611,2,8,5,4,72.385,1467
0612,2,8,5,5,94.283,2278
0613,2,8,5,6,115.247,2721
0614,2,8,5,7,137.857,3140
0615,2,8,5,8,72.820,2826
0616,2,8,6,1,71.877,559
0617,2,8,6,2,72.534,962
0618,2,8,6,3,83.683,1760
0619,2,8,6,4,72.102,1741
0620,2,8,6,5,96.970,2646
0621,2,8,6,6,117.362,3078
0622,2,8,6,7,136.444,3674
0623,2,8,6,8,72.975,3055
0624,2,8,7,1,74.541,717
0625,2,8,7,2,73.367,1154
0626,2,8,7,3,82.164,2013
0627,2,8,7,4,72.437,2072
0628,2,8,7,5,98.097,3171
0629,2,8,7,6,112.590,3607
0630,2,8,7,7,134.127,4261
0631,2,8,7,8,79.507,3849
0632,2,8,8,1,74.986,629
0633,2,8,8,2,71.543,1130
0634,2,8,8,3,83.670,2182
0635,2,8,8,4,72.839,2153
0636,2,8,8,5,96.816,3515
0637,2,8,8,6,115.205,3800
0638,2,8,8,7,134.605,4606
0639,2,8,8,8,83.064,3395
0640,2,16,1,1,70.799,219
0641,2,16,1,2,69.943,308
0642,2,16,1,3,80.293,381
0643,2,16,1,4,72.494,394
0644,2,16,1,5,90.084,585
0645,2,16,1,6,79.858,569
0646,2,16,1,7,95.784,696
0647,2,16,1,8,71.393,621
0648,2,16,2,1,73.808,276
0649,2,16,2,2,71.955,362
0650,2,16,2,3,82.459,634
0651,2,16,2,4,70.724,613
0652,2,16,2,5,90.836,933
0653,2,16,2,6,79.558,1041
0654,2,16,2,7,95.637,1296
0655,2,16,2,8,71.118,1058
0656,2,16,3,1,72.589,374
0657,2,16,3,2,71.433,504
0658,2,16,3,3,82.336,933
0659,2,16,3,4,70.666,919
0660,2,16,3,5,92.278,1493
0661,2,16,3,6,81.436,1609
0662,2,16,3,7,97.175,1898
0663,2,16,3,8,73.158,1696
0664,2,16,4,1,72.037,399
0665,2,16,4,2,72.067,612
0666,2,16,4,3,82.314,1122
0667,2,16,4,4,73.148,1162
0668,2,16,4,5,93.210,1824
0669,2,16,4,6,82.884,2111
0670,2,16,4,7,99.845,2392
0671,2,16,4,8,74.213,2023
0672,2,16,5,1,71.594,548
0673,2,16,5,2,72.836,855
0674,2,16,5,3,82.686,1516
0675,2,16,5,4,71.175,1512
0676,2,16,5,5,89.971,2253
0677,2,16,5,6,82.831,2536
0678,2,16,5,7,99.863,3093
0679,2,16,5,8,77.105,2773
0680,2,16,6,1,72.031,568
0681,2,16,6,2,71.863,1020
0682,2,16,6,3,84.666,1791
0683,2,16,6,4,73.124,1716
0684,2,16,6,5,98.371,2753
0685,2,16,6,6,86.939,3043
0686,2,16,6,7,102.127,3602
0687,2,16,6,8,77.421,3107
0688,2,16,7,1,71.217,710
0689,2,16,7,2,71.325,1196
0690,2,16,7,3,83.945,2081
0691,2,16,7,4,73.110,2169
0692,2,16,7,5,95.915,3177
0693,2,16,7,6,84.438,3530
0694,2,16,7,7,101.523,4136
0695,2,16,7,8,75.035,3753
0696,2,16,8,1,71.745,666
0697,2,16,8,2,72.376,1110
0698,2,16,8,3,81.975,2330
0699,2,16,8,4,70.457,2151
0700,2,16,8,5,96.799,3562
0701,2,16,8,6,87.565,3752
0702,2,16,8,7,100.827,4546
0703,2,16,8,8,75.648,3814
0704,2,32,1,1,72.174,229
0705,2,32,1,2,70.373,281
0706,2,32,1,3,75.710,399
0707,2,32,1,4,71.445,436
0708,2,32,1,5,81.276,525
0709,2,32,1,6,82.224,557
0710,2,32,1,7,79.508,677
0711,2,32,1,8,71.951,605
0712,2,32,2,1,70.550,292
0713,2,32,2,2,70.399,383
0714,2,32,2,3,73.202,639
0715,2,32,2,4,70.225,602
0716,2,32,2,5,79.095,928
0717,2,32,2,6,80.270,1038
0718,2,32,2,7,83.156,1206
0719,2,32,2,8,75.149,1092
0720,2,32,3,1,68.463,455
0721,2,32,3,2,70.994,515
0722,2,32,3,3,75.305,885
0723,2,32,3,4,77.542,898
0724,2,32,3,5,80.206,1457
0725,2,32,3,6,84.305,1553
0726,2,32,3,7,82.735,1920
0727,2,32,3,8,73.346,1674
0728,2,32,4,1,70.584,413
0729,2,32,4,2,74.061,639
0730,2,32,4,3,74.708,1143
0731,2,32,4,4,71.910,1111
0732,2,32,4,5,78.408,1759
0733,2,32,4,6,82.136,2075
0734,2,32,4,7,81.924,2456
0735,2,32,4,8,71.616,2091
0736,2,32,5,1,71.345,527
0737,2,32,5,2,71.375,840
0738,2,32,5,3,75.857,1487
0739,2,32,5,4,74.132,1466
0740,2,32,5,5,81.629,2262
0741,2,32,5,6,84.462,2567
0742,2,32,5,7,84.101,3005
0743,2,32,5,8,75.008,2695
0744,2,32,6,1,70.180,567
0745,2,32,6,2,72.110,1043
