n,knob_UNROLL_F,knob_outer_unroll,knob_inner_unroll1,knob_inner_unroll2,knob_array_part1,knob_array_part2,knob_I_B,obj1,obj2,FF
0107,2,1,3,3,64,2,0,0.000028,5109.860,204
0108,2,1,3,3,32,1,0,0.000027,6635.104,248
0109,2,1,3,3,32,2,0,0.000029,6661.172,237
0110,2,1,3,4,512,1,0,0.000026,3752.728,172
0111,2,1,3,4,512,2,0,0.000027,4010.748,180
0112,2,1,3,4,256,1,0,0.000026,4223.814,194
0113,2,1,3,4,256,2,0,0.000028,4260.522,183
0114,2,1,3,4,128,1,0,0.000026,4633.986,199
0115,2,1,3,4,128,2,0,0.000028,4782.946,188
0116,2,1,3,4,64,1,0,0.000026,5116.776,215
0117,2,1,3,4,64,2,0,0.000028,5109.860,204
0118,2,1,3,4,32,1,0,0.000027,6635.104,248
0119,2,1,3,4,32,2,0,0.000029,6661.172,237
0120,2,1,4,1,512,1,0,0.000060,4224.612,246
0121,2,1,4,1,512,2,0,0.000060,3909.136,182
0122,2,1,4,1,256,1,0,0.000059,4433.156,248
0123,2,1,4,1,256,2,0,0.000061,4162.634,184
0124,2,1,4,1,128,1,0,0.000062,4811.674,252
0125,2,1,4,1,128,2,0,0.000061,4491.410,188
0126,2,1,4,1,64,1,0,0.000061,5261.214,257
0127,2,1,4,1,64,2,0,0.000061,4936.428,193
0128,2,1,4,1,32,1,0,0.000061,6660.906,270
0129,2,1,4,1,32,2,0,0.000063,6332.662,206
0130,2,1,4,2,512,1,0,0.000026,3752.728,172
0131,2,1,4,2,512,2,0,0.000027,4010.748,180
0132,2,1,4,2,256,1,0,0.000026,4223.814,194
0133,2,1,4,2,256,2,0,0.000028,4260.522,183
0134,2,1,4,2,128,1,0,0.000026,4633.986,199
0135,2,1,4,2,128,2,0,0.000028,4782.946,188
0136,2,1,4,2,64,1,0,0.000026,5116.776,215
0137,2,1,4,2,64,2,0,0.000028,5109.860,204
0138,2,1,4,2,32,1,0,0.000027,6635.104,248
0139,2,1,4,2,32,2,0,0.000029,6661.172,237
0140,2,1,4,3,512,1,0,0.000026,3752.728,172
0141,2,1,4,3,512,2,0,0.000027,4010.748,180
0142,2,1,4,3,256,1,0,0.000026,4223.814,194
0143,2,1,4,3,256,2,0,0.000028,4260.522,183
0144,2,1,4,3,128,1,0,0.000026,4633.986,199
0145,2,1,4,3,128,2,0,0.000028,4782.946,188
0146,2,1,4,3,64,1,0,0.000026,5116.776,215
0147,2,1,4,3,64,2,0,0.000028,5109.860,204
0148,2,1,4,3,32,1,0,0.000027,6635.104,248
0149,2,1,4,3,32,2,0,0.000029,6661.172,237
0150,2,1,4,4,512,1,0,0.000026,3752.728,172
0151,2,1,4,4,512,2,0,0.000027,4010.748,180
0152,2,1,4,4,256,1,0,0.000026,4223.814,194
0153,2,1,4,4,256,2,0,0.000028,4260.522,183
0154,2,1,4,4,128,1,0,0.000026,4633.986,199
0155,2,1,4,4,128,2,0,0.000028,4782.946,188
0156,2,1,4,4,64,1,0,0.000026,5116.776,215
0157,2,1,4,4,64,2,0,0.000028,5109.860,204
0158,2,1,4,4,32,1,0,0.000027,6635.104,248
0159,2,1,4,4,32,2,0,0.000029,6661.172,237
0160,2,2,1,1,512,1,0,0.000055,4263.980,212
0161,2,2,1,1,512,2,0,0.000059,4212.642,212
0162,2,2,1,1,256,1,0,0.000055,4564.028,214
0163,2,2,1,1,256,2,0,0.000057,4560.836,214
0164,2,2,1,1,128,1,0,0.000056,4975.530,218
0165,2,2,1,1,128,2,0,0.000059,4978.456,218
0166,2,2,1,1,64,1,0,0.000056,5551.952,231
0167,2,2,1,1,64,2,0,0.000060,5427.464,231
0168,2,2,1,1,32,1,0,0.000057,6935.684,252
0169,2,2,1,1,32,2,0,0.000061,6806.940,252
0170,2,2,1,2,512,1,0,0.000021,4138.960,203
0171,2,2,1,2,512,2,0,0.000024,4711.658,256
0172,2,2,1,2,256,1,0,0.000022,5094.964,267
0173,2,2,1,2,256,2,0,0.000024,4953.984,240
0174,2,2,1,2,128,1,0,0.000023,5690.006,273
0175,2,2,1,2,128,2,0,0.000024,5703.040,286
0176,2,2,1,2,64,1,0,0.000023,6069.588,299
0177,2,2,1,2,64,2,0,0.000025,6189.820,311
0178,2,2,1,2,32,1,0,0.000024,7574.882,339
0179,2,2,1,2,32,2,0,0.000025,7868.546,353
0180,2,2,1,3,512,1,0,0.000021,4138.960,203
0181,2,2,1,3,512,2,0,0.000024,4711.658,256
0182,2,2,1,3,256,1,0,0.000022,5094.964,267
0183,2,2,1,3,256,2,0,0.000024,4953.984,240
0184,2,2,1,3,128,1,0,0.000023,5690.006,273
0185,2,2,1,3,128,2,0,0.000024,5703.040,286
0186,2,2,1,3,64,1,0,0.000023,6069.588,299
0187,2,2,1,3,64,2,0,0.000025,6189.820,311
0188,2,2,1,3,32,1,0,0.000024,7574.882,339
0189,2,2,1,3,32,2,0,0.000025,7868.546,353
0190,2,2,1,4,512,1,0,0.000021,4138.960,203
0191,2,2,1,4,512,2,0,0.000024,4711.658,256
0192,2,2,1,4,256,1,0,0.000022,5094.964,267
