n,knob_UNROLL_F,knob_outer_unroll,knob_inner_unroll1,knob_inner_unroll2,knob_array_part1,knob_array_part2,knob_I_B,obj1,obj2
112,2,1,3,4,256,1,0,2.6E-05,4223.814
113,2,1,3,4,256,2,0,2.8E-05,4260.522
114,2,1,3,4,128,1,0,2.6E-05,4633.986
115,2,1,3,4,128,2,0,2.8E-05,4782.946
116,2,1,3,4,64,1,0,2.6E-05,5116.776
117,2,1,3,4,64,2,0,2.8E-05,5109.86
118,2,1,3,4,32,1,0,2.7E-05,6635.104
119,2,1,3,4,32,2,0,2.9E-05,6661.172
120,2,1,4,1,512,1,0,6E-05,4224.612
121,2,1,4,1,512,2,0,6E-05,3909.136
122,2,1,4,1,256,1,0,5.9E-05,4433.156
123,2,1,4,1,256,2,0,6.1E-05,4162.634
124,2,1,4,1,128,1,0,6.2E-05,4811.674
125,2,1,4,1,128,2,0,6.1E-05,4491.41
126,2,1,4,1,64,1,0,6.1E-05,5261.214
127,2,1,4,1,64,2,0,6.1E-05,4936.428
128,2,1,4,1,32,1,0,6.1E-05,6660.906
129,2,1,4,1,32,2,0,6.3E-05,6332.662
130,2,1,4,2,512,1,0,2.6E-05,3752.728
131,2,1,4,2,512,2,0,2.7E-05,4010.748
132,2,1,4,2,256,1,0,2.6E-05,4223.814
133,2,1,4,2,256,2,0,2.8E-05,4260.522
134,2,1,4,2,128,1,0,2.6E-05,4633.986
135,2,1,4,2,128,2,0,2.8E-05,4782.946
136,2,1,4,2,64,1,0,2.6E-05,5116.776
137,2,1,4,2,64,2,0,2.8E-05,5109.86
138,2,1,4,2,32,1,0,2.7E-05,6635.104
139,2,1,4,2,32,2,0,2.9E-05,6661.172
140,2,1,4,3,512,1,0,2.6E-05,3752.728
141,2,1,4,3,512,2,0,2.7E-05,4010.748
142,2,1,4,3,256,1,0,2.6E-05,4223.814
143,2,1,4,3,256,2,0,2.8E-05,4260.522
144,2,1,4,3,128,1,0,2.6E-05,4633.986
145,2,1,4,3,128,2,0,2.8E-05,4782.946
146,2,1,4,3,64,1,0,2.6E-05,5116.776
147,2,1,4,3,64,2,0,2.8E-05,5109.86
148,2,1,4,3,32,1,0,2.7E-05,6635.104
149,2,1,4,3,32,2,0,2.9E-05,6661.172
150,2,1,4,4,512,1,0,2.6E-05,3752.728
151,2,1,4,4,512,2,0,2.7E-05,4010.748
152,2,1,4,4,256,1,0,2.6E-05,4223.814
153,2,1,4,4,256,2,0,2.8E-05,4260.522
154,2,1,4,4,128,1,0,2.6E-05,4633.986
155,2,1,4,4,128,2,0,2.8E-05,4782.946
156,2,1,4,4,64,1,0,2.6E-05,5116.776
157,2,1,4,4,64,2,0,2.8E-05,5109.86
158,2,1,4,4,32,1,0,2.7E-05,6635.104
159,2,1,4,4,32,2,0,2.9E-05,6661.172
160,2,2,1,1,512,1,0,5.5E-05,4263.98
161,2,2,1,1,512,2,0,5.9E-05,4212.642
162,2,2,1,1,256,1,0,5.5E-05,4564.028
163,2,2,1,1,256,2,0,5.7E-05,4560.836
