n,knob_KNOB_HIST_SIZE,knob_KNOB_NUM_HIST,knob_KNOB_UNROLL_LLM,knob_KNOB_UNROLL_LP,knob_I_B,knob_KNOB_DATA_BLOCK_INTERLEAVE,obj1,obj2
108,256,1,6,1,0,8192,0.000276,1136.352
109,256,1,6,1,0,16384,0.000291,1099.91
110,256,1,6,1,0,32768,0.000297,1221.472
111,256,1,6,1,0,65536,0.00031,1137.416
112,256,1,6,2,0,1024,0.000227,1074.374
113,256,1,6,2,0,2048,0.000227,1072.778
114,256,1,6,2,0,4096,0.000225,1073.842
115,256,1,6,2,0,8192,0.00023,1080.226
116,256,1,6,2,0,16384,0.000221,1095.654
117,256,1,6,2,0,32768,0.000212,918.498
118,256,1,6,2,0,65536,0.000223,963.452
119,256,1,6,3,0,1024,0.000403,1651.062
120,256,1,6,3,0,2048,0.00039,1555.568
121,256,1,6,3,0,4096,0.000368,1562.484
122,256,1,6,3,0,8192,0.000368,1556.898
123,256,1,6,3,0,16384,0.000416,1674.736
124,256,1,6,3,0,32768,0.000422,1474.704
125,256,1,6,3,0,65536,0.000396,1531.096
126,256,1,7,1,0,1024,0.000334,1175.188
127,256,1,7,1,0,2048,0.000356,1168.538
128,256,1,7,1,0,4096,0.000353,1168.272
129,256,1,7,1,0,8192,0.000374,1165.346
130,256,1,7,1,0,16384,0.000359,1195.404
131,256,1,7,1,0,32768,0.000353,1182.104
132,256,1,7,1,0,65536,0.000361,1100.708
133,256,1,7,2,0,1024,0.000232,1254.19
134,256,1,7,2,0,2048,0.000235,1251.53
135,256,1,7,2,0,4096,0.000243,1242.486
136,256,1,7,2,0,8192,0.000234,1243.284
137,256,1,7,2,0,16384,0.00025,1237.166
138,256,1,7,2,0,32768,0.000222,1219.344
139,256,1,7,2,0,65536,0.000211,969.038
140,256,1,7,3,0,1024,0.0004,1324.946
141,256,1,7,3,0,2048,0.000399,1314.04
142,256,1,7,3,0,4096,0.0004,1327.872
143,256,1,7,3,0,8192,0.00039,1316.966
144,256,1,7,3,0,16384,0.000415,1333.724
145,256,1,7,3,0,32768,0.000395,1490.664
146,256,1,7,3,0,65536,0.000432,1612.758
147,256,2,1,1,0,1024,0.000269,890.302
148,256,2,1,1,0,2048,0.000273,897.75
149,256,2,1,1,0,4096,0.000275,878.864
150,256,2,1,1,0,8192,0.000293,984.998
151,256,2,1,1,0,16384,0.000274,869.022
152,256,2,1,1,0,32768,0.000274,864.766
153,256,2,1,1,0,65536,0.000274,864.766
154,256,2,1,2,0,1024,0.000439,1130.5
155,256,2,1,2,0,2048,0.000439,1129.702
156,256,2,1,2,0,4096,0.000439,1129.702
157,256,2,1,2,0,8192,0.000437,1126.244
158,256,2,1,2,0,16384,0.00041,1157.898
159,256,2,1,2,0,32768,0.000423,1094.856
160,256,2,1,2,0,65536,0.000438,1030.484
161,256,2,1,3,0,1024,0.000454,1218.014
162,256,2,1,3,0,2048,0.000459,1189.286
163,256,2,1,3,0,4096,0.000408,1292.76
164,256,2,1,3,0,8192,0.00041,1299.942
165,256,2,1,3,0,16384,0.000411,1366.176
166,256,2,1,3,0,32768,0.000408,1290.632
167,256,2,1,3,0,65536,0.000448,1247.274
168,256,2,2,1,0,1024,0.00025,868.49
169,256,2,2,1,0,2048,0.000253,871.416
170,256,2,2,1,0,4096,0.000256,867.16
171,256,2,2,1,0,8192,0.000251,912.646
172,256,2,2,1,0,16384,0.00025,874.874
173,256,2,2,1,0,32768,0.000253,853.86
174,256,2,2,1,0,65536,0.000243,746.662
175,256,2,2,2,0,1024,0.000372,1013.726
176,256,2,2,2,0,2048,0.000362,1009.47
177,256,2,2,2,0,4096,0.000362,1010.002
178,256,2,2,2,0,8192,0.000362,1003.086
179,256,2,2,2,0,16384,0.00037,1033.676
180,256,2,2,2,0,32768,0.000375,998.83
181,256,2,2,2,0,65536,0.000365,1000.426
182,256,2,2,3,0,1024,0.000395,1271.48
183,256,2,2,3,0,2048,0.00038,1258.978
184,256,2,2,3,0,4096,0.000384,1262.968
185,256,2,2,3,0,8192,0.000387,1289.834
186,256,2,2,3,0,16384,0.000393,1313.508
187,256,2,2,3,0,32768,0.000383,1265.894
188,256,2,2,3,0,65536,0.000419,1128.904
189,256,2,3,1,0,1024,0.000287,1279.46
190,256,2,3,1,0,2048,0.000287,1279.46
191,256,2,3,1,0,4096,0.000289,1281.056
192,256,2,3,1,0,8192,0.000305,1288.504
193,256,2,3,1,0,16384,0.000291,1195.67
194,256,2,3,1,0,32768,0.00029,1194.872
195,256,2,3,1,0,65536,0.000307,1169.336
196,256,2,3,2,0,1024,0.000391,1230.782
197,256,2,3,2,0,2048,0.000404,1234.506
198,256,2,3,2,0,4096,0.000404,1233.442
199,256,2,3,2,0,8192,0.000408,1232.112
200,256,2,3,2,0,16384,0.000409,1206.576
201,256,2,3,2,0,32768,0.000407,1183.434
202,256,2,3,2,0,65536,0.000396,1044.05
203,256,2,3,3,0,1024,0.000469,1312.444
204,256,2,3,3,0,2048,0.000479,1285.046
205,256,2,3,3,0,4096,0.000445,1171.73
206,256,2,3,3,0,8192,0.000435,1170.932
207,256,2,3,3,0,16384,0.000434,1231.58
208,256,2,3,3,0,32768,0.000422,1164.814
209,256,2,3,3,0,65536,0.000424,1091.93
210,256,2,4,1,0,1024,0.000292,1031.016
211,256,2,4,1,0,2048,0.000304,1033.41
212,256,2,4,1,0,4096,0.000296,1032.08
213,256,2,4,1,0,8192,0.000304,1033.41
214,256,2,4,1,0,16384,0.000303,1033.676
215,256,2,4,1,0,32768,0.000307,1029.42
216,256,2,4,1,0,65536,0.000314,948.29
217,256,2,4,2,0,1024,0.000344,1312.71
218,256,2,4,2,0,2048,0.000349,1284.514
219,256,2,4,2,0,4096,0.000345,1290.366
220,256,2,4,2,0,8192,0.000343,1289.568
221,256,2,4,2,0,16384,0.000343,1307.922
222,256,2,4,2,0,32768,0.000333,1282.918
223,256,2,4,2,0,65536,0.000387,1062.404
224,256,2,4,3,0,1024,0.000358,1257.382
225,256,2,4,3,0,2048,0.000331,1236.634
226,256,2,4,3,0,4096,0.000331,1240.89
227,256,2,4,3,0,8192,0.000344,1240.624
228,256,2,4,3,0,16384,0.000343,1291.43
229,256,2,4,3,0,32768,0.000334,1248.072
230,256,2,4,3,0,65536,0.000368,1162.686
231,256,2,5,1,0,1024,0.000274,1310.316
232,256,2,5,1,0,2048,0.0003,1314.838
233,256,2,5,1,0,4096,0.000296,1313.242
234,256,2,5,1,0,8192,0.000296,1313.242
235,256,2,5,1,0,16384,0.000292,1226.26
236,256,2,5,1,0,32768,0.000293,1255.786
237,256,2,5,1,0,65536,0.000297,1166.144
238,256,2,5,2,0,1024,0.000375,1356.334
239,256,2,5,2,0,2048,0.000364,1366.974
240,256,2,5,2,0,4096,0.000357,1368.57
241,256,2,5,2,0,8192,0.000325,1364.048
242,256,2,5,2,0,16384,0.000346,1385.062
243,256,2,5,2,0,32768,0.000361,1364.048
244,256,2,5,2,0,65536,0.000387,1225.462
245,256,2,5,3,0,1024,0.000438,1210.034
246,256,2,5,3,0,2048,0.000434,1150.716
247,256,2,5,3,0,4096,0.000423,1210.3
248,256,2,5,3,0,8192,0.00044,1193.808
249,256,2,5,3,0,16384,0.000446,1273.608
250,256,2,5,3,0,32768,0.000437,1202.32
251,256,2,5,3,0,65536,0.000456,1166.942
252,256,2,6,1,0,1024,0.000278,1133.16
253,256,2,6,1,0,2048,0.000284,1135.288
254,256,2,6,1,0,4096,0.000286,1136.352
255,256,2,6,1,0,8192,0.000276,1136.352
256,256,2,6,1,0,16384,0.000291,1099.91
257,256,2,6,1,0,32768,0.000297,1221.472
258,256,2,6,1,0,65536,0.00031,1137.416
259,256,2,6,2,0,1024,0.000227,1074.374
260,256,2,6,2,0,2048,0.000227,1072.778
261,256,2,6,2,0,4096,0.000225,1073.842
262,256,2,6,2,0,8192,0.00023,1080.226
263,256,2,6,2,0,16384,0.000221,1095.654
264,256,2,6,2,0,32768,0.000212,918.498
265,256,2,6,2,0,65536,0.000223,963.452
266,256,2,6,3,0,1024,0.000403,1651.062
267,256,2,6,3,0,2048,0.00039,1555.568
268,256,2,6,3,0,4096,0.000368,1562.484
269,256,2,6,3,0,8192,0.000368,1556.898
270,256,2,6,3,0,16384,0.000416,1674.736
271,256,2,6,3,0,32768,0.000422,1474.704
