n,knob_KNOB_HIST_SIZE,knob_KNOB_NUM_HIST,knob_KNOB_UNROLL_LLM,knob_KNOB_UNROLL_LP,knob_I_B,knob_KNOB_DATA_BLOCK_INTERLEAVE,obj1,obj2
0104,256,1,5,3,0,65536,0.000456,1166.942
0105,256,1,6,1,0,1024,0.000278,1133.160
0106,256,1,6,1,0,2048,0.000284,1135.288
0107,256,1,6,1,0,4096,0.000286,1136.352
0108,256,1,6,1,0,8192,0.000276,1136.352
0109,256,1,6,1,0,16384,0.000291,1099.910
0110,256,1,6,1,0,32768,0.000297,1221.472
0111,256,1,6,1,0,65536,0.000310,1137.416
0112,256,1,6,2,0,1024,0.000227,1074.374
0113,256,1,6,2,0,2048,0.000227,1072.778
0114,256,1,6,2,0,4096,0.000225,1073.842
0115,256,1,6,2,0,8192,0.000230,1080.226
0116,256,1,6,2,0,16384,0.000221,1095.654
0117,256,1,6,2,0,32768,0.000212,918.498
0118,256,1,6,2,0,65536,0.000223,963.452
0119,256,1,6,3,0,1024,0.000403,1651.062
0120,256,1,6,3,0,2048,0.000390,1555.568
0121,256,1,6,3,0,4096,0.000368,1562.484
0122,256,1,6,3,0,8192,0.000368,1556.898
0123,256,1,6,3,0,16384,0.000416,1674.736
0124,256,1,6,3,0,32768,0.000422,1474.704
0125,256,1,6,3,0,65536,0.000396,1531.096
0126,256,1,7,1,0,1024,0.000334,1175.188
0127,256,1,7,1,0,2048,0.000356,1168.538
0128,256,1,7,1,0,4096,0.000353,1168.272
0129,256,1,7,1,0,8192,0.000374,1165.346
0130,256,1,7,1,0,16384,0.000359,1195.404
0131,256,1,7,1,0,32768,0.000353,1182.104
0132,256,1,7,1,0,65536,0.000361,1100.708
0133,256,1,7,2,0,1024,0.000232,1254.190
0134,256,1,7,2,0,2048,0.000235,1251.530
0135,256,1,7,2,0,4096,0.000243,1242.486
0136,256,1,7,2,0,8192,0.000234,1243.284
0137,256,1,7,2,0,16384,0.000250,1237.166
0138,256,1,7,2,0,32768,0.000222,1219.344
0139,256,1,7,2,0,65536,0.000211,969.038
0140,256,1,7,3,0,1024,0.000400,1324.946
0141,256,1,7,3,0,2048,0.000399,1314.040
0142,256,1,7,3,0,4096,0.000400,1327.872
0143,256,1,7,3,0,8192,0.000390,1316.966
0144,256,1,7,3,0,16384,0.000415,1333.724
0145,256,1,7,3,0,32768,0.000395,1490.664
0146,256,1,7,3,0,65536,0.000432,1612.758
0147,256,2,1,1,0,1024,0.000269,890.302
0148,256,2,1,1,0,2048,0.000273,897.750
0149,256,2,1,1,0,4096,0.000275,878.864
0150,256,2,1,1,0,8192,0.000293,984.998
0151,256,2,1,1,0,16384,0.000274,869.022
0152,256,2,1,1,0,32768,0.000274,864.766
0153,256,2,1,1,0,65536,0.000274,864.766
0154,256,2,1,2,0,1024,0.000439,1130.500
0155,256,2,1,2,0,2048,0.000439,1129.702
0156,256,2,1,2,0,4096,0.000439,1129.702
0157,256,2,1,2,0,8192,0.000437,1126.244
0158,256,2,1,2,0,16384,0.000410,1157.898
0159,256,2,1,2,0,32768,0.000423,1094.856
0160,256,2,1,2,0,65536,0.000438,1030.484
0161,256,2,1,3,0,1024,0.000454,1218.014
0162,256,2,1,3,0,2048,0.000459,1189.286
0163,256,2,1,3,0,4096,0.000408,1292.760
0164,256,2,1,3,0,8192,0.000410,1299.942
0165,256,2,1,3,0,16384,0.000411,1366.176
0166,256,2,1,3,0,32768,0.000408,1290.632
0167,256,2,1,3,0,65536,0.000448,1247.274
0168,256,2,2,1,0,1024,0.000250,868.490
0169,256,2,2,1,0,2048,0.000253,871.416
0170,256,2,2,1,0,4096,0.000256,867.160
0171,256,2,2,1,0,8192,0.000251,912.646
0172,256,2,2,1,0,16384,0.000250,874.874
0173,256,2,2,1,0,32768,0.000253,853.860
0174,256,2,2,1,0,65536,0.000243,746.662
0175,256,2,2,2,0,1024,0.000372,1013.726
0176,256,2,2,2,0,2048,0.000362,1009.470
0177,256,2,2,2,0,4096,0.000362,1010.002
0178,256,2,2,2,0,8192,0.000362,1003.086
0179,256,2,2,2,0,16384,0.000370,1033.676
0180,256,2,2,2,0,32768,0.000375,998.830
0181,256,2,2,2,0,65536,0.000365,1000.426
0182,256,2,2,3,0,1024,0.000395,1271.480
0183,256,2,2,3,0,2048,0.000380,1258.978
0184,256,2,2,3,0,4096,0.000384,1262.968
0185,256,2,2,3,0,8192,0.000387,1289.834
0186,256,2,2,3,0,16384,0.000393,1313.508
0187,256,2,2,3,0,32768,0.000383,1265.894
0188,256,2,2,3,0,65536,0.000419,1128.904
0189,256,2,3,1,0,1024,0.000287,1279.460
0190,256,2,3,1,0,2048,0.000287,1279.460
0191,256,2,3,1,0,4096,0.000289,1281.056
0192,256,2,3,1,0,8192,0.000305,1288.504
0193,256,2,3,1,0,16384,0.000291,1195.670
0194,256,2,3,1,0,32768,0.000290,1194.872
0195,256,2,3,1,0,65536,0.000307,1169.336
0196,256,2,3,2,0,1024,0.000391,1230.782
0197,256,2,3,2,0,2048,0.000404,1234.506
0198,256,2,3,2,0,4096,0.000404,1233.442
0199,256,2,3,2,0,8192,0.000408,1232.112
0200,256,2,3,2,0,16384,0.000409,1206.576
0201,256,2,3,2,0,32768,0.000407,1183.434
0202,256,2,3,2,0,65536,0.000396,1044.050
0203,256,2,3,3,0,1024,0.000469,1312.444
0204,256,2,3,3,0,2048,0.000479,1285.046
0205,256,2,3,3,0,4096,0.000445,1171.730
0206,256,2,3,3,0,8192,0.000435,1170.932
0207,256,2,3,3,0,16384,0.000434,1231.580
0208,256,2,3,3,0,32768,0.000422,1164.814
0209,256,2,3,3,0,65536,0.000424,1091.930
0210,256,2,4,1,0,1024,0.000292,1031.016
0211,256,2,4,1,0,2048,0.000304,1033.410
0212,256,2,4,1,0,4096,0.000296,1032.080
0213,256,2,4,1,0,8192,0.000304,1033.410
0214,256,2,4,1,0,16384,0.000303,1033.676
0215,256,2,4,1,0,32768,0.000307,1029.420
0216,256,2,4,1,0,65536,0.000314,948.290
0217,256,2,4,2,0,1024,0.000344,1312.710
0218,256,2,4,2,0,2048,0.000349,1284.514
0219,256,2,4,2,0,4096,0.000345,1290.366
0220,256,2,4,2,0,8192,0.000343,1289.568
0221,256,2,4,2,0,16384,0.000343,1307.922
0222,256,2,4,2,0,32768,0.000333,1282.918
0223,256,2,4,2,0,65536,0.000387,1062.404
0224,256,2,4,3,0,1024,0.000358,1257.382
0225,256,2,4,3,0,2048,0.000331,1236.634
0226,256,2,4,3,0,4096,0.000331,1240.890
0227,256,2,4,3,0,8192,0.000344,1240.624
0228,256,2,4,3,0,16384,0.000343,1291.430
0229,256,2,4,3,0,32768,0.000334,1248.072
0230,256,2,4,3,0,65536,0.000368,1162.686
0231,256,2,5,1,0,1024,0.000274,1310.316
0232,256,2,5,1,0,2048,0.000300,1314.838
0233,256,2,5,1,0,4096,0.000296,1313.242
0234,256,2,5,1,0,8192,0.000296,1313.242
0235,256,2,5,1,0,16384,0.000292,1226.260
0236,256,2,5,1,0,32768,0.000293,1255.786
0237,256,2,5,1,0,65536,0.000297,1166.144
0238,256,2,5,2,0,1024,0.000375,1356.334
0239,256,2,5,2,0,2048,0.000364,1366.974
0240,256,2,5,2,0,4096,0.000357,1368.570
0241,256,2,5,2,0,8192,0.000325,1364.048
0242,256,2,5,2,0,16384,0.000346,1385.062
0243,256,2,5,2,0,32768,0.000361,1364.048
0244,256,2,5,2,0,65536,0.000387,1225.462
0245,256,2,5,3,0,1024,0.000438,1210.034
0246,256,2,5,3,0,2048,0.000434,1150.716
0247,256,2,5,3,0,4096,0.000423,1210.300
0248,256,2,5,3,0,8192,0.000440,1193.808
0249,256,2,5,3,0,16384,0.000446,1273.608
0250,256,2,5,3,0,32768,0.000437,1202.320
0251,256,2,5,3,0,65536,0.000456,1166.942
0252,256,2,6,1,0,1024,0.000278,1133.160
0253,256,2,6,1,0,2048,0.000284,1135.288
0254,256,2,6,1,0,4096,0.000286,1136.352
0255,256,2,6,1,0,8192,0.000276,1136.352
0256,256,2,6,1,0,16384,0.000291,1099.910
0257,256,2,6,1,0,32768,0.000297,1221.472
0258,256,2,6,1,0,65536,0.000310,1137.416
0259,256,2,6,2,0,1024,0.000227,1074.374
0260,256,2,6,2,0,2048,0.000227,1072.778
0261,256,2,6,2,0,4096,0.000225,1073.842
0262,256,2,6,2,0,8192,0.000230,1080.226
0263,256,2,6,2,0,16384,0.000221,1095.654
0264,256,2,6,2,0,32768,0.000212,918.498
0265,256,2,6,2,0,65536,0.000223,963.452
0266,256,2,6,3,0,1024,0.000403,1651.062
0267,256,2,6,3,0,2048,0.000390,1555.568
0268,256,2,6,3,0,4096,0.000368,1562.484
0269,256,2,6,3,0,8192,0.000368,1556.898
0270,256,2,6,3,0,16384,0.000416,1674.736
0271,256,2,6,3,0,32768,0.000422,1474.704
0272,256,2,6,3,0,65536,0.000396,1531.096
0273,256,2,7,1,0,1024,0.000334,1175.188
0274,256,2,7,1,0,2048,0.000356,1168.538
0275,256,2,7,1,0,4096,0.000353,1168.272
0276,256,2,7,1,0,8192,0.000374,1165.346
0277,256,2,7,1,0,16384,0.000359,1195.404
0278,256,2,7,1,0,32768,0.000353,1182.104
0279,256,2,7,1,0,65536,0.000361,1100.708
0280,256,2,7,2,0,1024,0.000232,1254.190
0281,256,2,7,2,0,2048,0.000235,1251.530
0282,256,2,7,2,0,4096,0.000243,1242.486
0283,256,2,7,2,0,8192,0.000234,1243.284
0284,256,2,7,2,0,16384,0.000250,1237.166
0285,256,2,7,2,0,32768,0.000222,1219.344
0286,256,2,7,2,0,65536,0.000211,969.038
0287,256,2,7,3,0,1024,0.000400,1324.946
0288,256,2,7,3,0,2048,0.000399,1314.040
0289,256,2,7,3,0,4096,0.000400,1327.872
0290,256,2,7,3,0,8192,0.000390,1316.966
0291,256,2,7,3,0,16384,0.000415,1333.724
0292,256,2,7,3,0,32768,0.000395,1490.664
0293,256,2,7,3,0,65536,0.000432,1612.758
0294,256,3,1,1,0,1024,0.000269,890.302
0295,256,3,1,1,0,2048,0.000273,897.750
0296,256,3,1,1,0,4096,0.000275,878.864
0297,256,3,1,1,0,8192,0.000293,984.998
0298,256,3,1,1,0,16384,0.000274,869.022
0299,256,3,1,1,0,32768,0.000274,864.766
0300,256,3,1,1,0,65536,0.000274,864.766
0301,256,3,1,2,0,1024,0.000439,1130.500
0302,256,3,1,2,0,2048,0.000439,1129.702
0303,256,3,1,2,0,4096,0.000439,1129.702
0304,256,3,1,2,0,8192,0.000437,1126.244
0305,256,3,1,2,0,16384,0.000410,1157.898
0306,256,3,1,2,0,32768,0.000423,1094.856
0307,256,3,1,2,0,65536,0.000438,1030.484
0308,256,3,1,3,0,1024,0.000454,1218.014
0309,256,3,1,3,0,2048,0.000459,1189.286
0310,256,3,1,3,0,4096,0.000408,1292.760
0311,256,3,1,3,0,8192,0.000410,1299.942
0312,256,3,1,3,0,16384,0.000411,1366.176
0313,256,3,1,3,0,32768,0.000408,1290.632
0314,256,3,1,3,0,65536,0.000448,1247.274
0315,256,3,2,1,0,1024,0.000250,868.490
0316,256,3,2,1,0,2048,0.000253,871.416
0317,256,3,2,1,0,4096,0.000256,867.160
0318,256,3,2,1,0,8192,0.000251,912.646
0319,256,3,2,1,0,16384,0.000250,874.874
0320,256,3,2,1,0,32768,0.000253,853.860
0321,256,3,2,1,0,65536,0.000243,746.662
0322,256,3,2,2,0,1024,0.000372,1013.726
0323,256,3,2,2,0,2048,0.000362,1009.470
0324,256,3,2,2,0,4096,0.000362,1010.002
0325,256,3,2,2,0,8192,0.000362,1003.086
0326,256,3,2,2,0,16384,0.000370,1033.676
0327,256,3,2,2,0,32768,0.000375,998.830
0328,256,3,2,2,0,65536,0.000365,1000.426
0329,256,3,2,3,0,1024,0.000395,1271.480
0330,256,3,2,3,0,2048,0.000380,1258.978
0331,256,3,2,3,0,4096,0.000384,1262.968
0332,256,3,2,3,0,8192,0.000387,1289.834
0333,256,3,2,3,0,16384,0.000393,1313.508
0334,256,3,2,3,0,32768,0.000383,1265.894
0335,256,3,2,3,0,65536,0.000419,1128.904
0336,256,3,3,1,0,1024,0.000287,1279.460
0337,256,3,3,1,0,2048,0.000287,1279.460
0338,256,3,3,1,0,4096,0.000289,1281.056
0339,256,3,3,1,0,8192,0.000305,1288.504
0340,256,3,3,1,0,16384,0.000291,1195.670
0341,256,3,3,1,0,32768,0.000290,1194.872
0342,256,3,3,1,0,65536,0.000307,1169.336
0343,256,3,3,2,0,1024,0.000391,1230.782
0344,256,3,3,2,0,2048,0.000404,1234.506
0345,256,3,3,2,0,4096,0.000404,1233.442
0346,256,3,3,2,0,8192,0.000408,1232.112
0347,256,3,3,2,0,16384,0.000409,1206.576
0348,256,3,3,2,0,32768,0.000407,1183.434
0349,256,3,3,2,0,65536,0.000396,1044.050
0350,256,3,3,3,0,1024,0.000469,1312.444
0351,256,3,3,3,0,2048,0.000479,1285.046
0352,256,3,3,3,0,4096,0.000445,1171.730
0353,256,3,3,3,0,8192,0.000435,1170.932
0354,256,3,3,3,0,16384,0.000434,1231.580
0355,256,3,3,3,0,32768,0.000422,1164.814
0356,256,3,3,3,0,65536,0.000424,1091.930
0357,256,3,4,1,0,1024,0.000292,1031.016
0358,256,3,4,1,0,2048,0.000304,1033.410
0359,256,3,4,1,0,4096,0.000296,1032.080
0360,256,3,4,1,0,8192,0.000304,1033.410
0361,256,3,4,1,0,16384,0.000303,1033.676
0362,256,3,4,1,0,32768,0.000307,1029.420
0363,256,3,4,1,0,65536,0.000314,948.290
0364,256,3,4,2,0,1024,0.000344,1312.710
0365,256,3,4,2,0,2048,0.000349,1284.514
0366,256,3,4,2,0,4096,0.000345,1290.366
0367,256,3,4,2,0,8192,0.000343,1289.568
0368,256,3,4,2,0,16384,0.000343,1307.922
0369,256,3,4,2,0,32768,0.000333,1282.918
0370,256,3,4,2,0,65536,0.000387,1062.404
0371,256,3,4,3,0,1024,0.000358,1257.382
0372,256,3,4,3,0,2048,0.000331,1236.634
0373,256,3,4,3,0,4096,0.000331,1240.890
0374,256,3,4,3,0,8192,0.000344,1240.624
0375,256,3,4,3,0,16384,0.000343,1291.430
0376,256,3,4,3,0,32768,0.000334,1248.072
0377,256,3,4,3,0,65536,0.000368,1162.686
0378,256,3,5,1,0,1024,0.000274,1310.316
0379,256,3,5,1,0,2048,0.000300,1314.838
0380,256,3,5,1,0,4096,0.000296,1313.242
0381,256,3,5,1,0,8192,0.000296,1313.242
0382,256,3,5,1,0,16384,0.000292,1226.260
0383,256,3,5,1,0,32768,0.000293,1255.786
0384,256,3,5,1,0,65536,0.000297,1166.144
0385,256,3,5,2,0,1024,0.000375,1356.334
0386,256,3,5,2,0,2048,0.000364,1366.974
0387,256,3,5,2,0,4096,0.000357,1368.570
0388,256,3,5,2,0,8192,0.000325,1364.048
0389,256,3,5,2,0,16384,0.000346,1385.062
0390,256,3,5,2,0,32768,0.000361,1364.048
0391,256,3,5,2,0,65536,0.000387,1225.462
0392,256,3,5,3,0,1024,0.000438,1210.034
0393,256,3,5,3,0,2048,0.000434,1150.716
0394,256,3,5,3,0,4096,0.000423,1210.300
0395,256,3,5,3,0,8192,0.000440,1193.808
0396,256,3,5,3,0,16384,0.000446,1273.608
0397,256,3,5,3,0,32768,0.000437,1202.320
0398,256,3,5,3,0,65536,0.000456,1166.942
0399,256,3,6,1,0,1024,0.000278,1133.160
0400,256,3,6,1,0,2048,0.000284,1135.288
0401,256,3,6,1,0,4096,0.000286,1136.352
0402,256,3,6,1,0,8192,0.000276,1136.352
0403,256,3,6,1,0,16384,0.000291,1099.910
0404,256,3,6,1,0,32768,0.000297,1221.472
0405,256,3,6,1,0,65536,0.000310,1137.416
0406,256,3,6,2,0,1024,0.000227,1074.374
0407,256,3,6,2,0,2048,0.000227,1072.778
0408,256,3,6,2,0,4096,0.000225,1073.842
0409,256,3,6,2,0,8192,0.000230,1080.226
0410,256,3,6,2,0,16384,0.000221,1095.654
0411,256,3,6,2,0,32768,0.000212,918.498
0412,256,3,6,2,0,65536,0.000223,963.452
0413,256,3,6,3,0,1024,0.000403,1651.062
0414,256,3,6,3,0,2048,0.000390,1555.568
0415,256,3,6,3,0,4096,0.000368,1562.484
0416,256,3,6,3,0,8192,0.000368,1556.898
0417,256,3,6,3,0,16384,0.000416,1674.736
0418,256,3,6,3,0,32768,0.000422,1474.704
0419,256,3,6,3,0,65536,0.000396,1531.096
0420,256,3,7,1,0,1024,0.000334,1175.188
0421,256,3,7,1,0,2048,0.000356,1168.538
0422,256,3,7,1,0,4096,0.000353,1168.272
0423,256,3,7,1,0,8192,0.000374,1165.346
0424,256,3,7,1,0,16384,0.000359,1195.404
0425,256,3,7,1,0,32768,0.000353,1182.104
0426,256,3,7,1,0,65536,0.000361,1100.708
0427,256,3,7,2,0,1024,0.000232,1254.190
0428,256,3,7,2,0,2048,0.000235,1251.530
0429,256,3,7,2,0,4096,0.000243,1242.486
0430,256,3,7,2,0,8192,0.000234,1243.284
0431,256,3,7,2,0,16384,0.000250,1237.166
0432,256,3,7,2,0,32768,0.000222,1219.344
0433,256,3,7,2,0,65536,0.000211,969.038
0434,256,3,7,3,0,1024,0.000400,1324.946
0435,256,3,7,3,0,2048,0.000399,1314.040
0436,256,3,7,3,0,4096,0.000400,1327.872
0437,256,3,7,3,0,8192,0.000390,1316.966
0438,256,3,7,3,0,16384,0.000415,1333.724
0439,256,3,7,3,0,32768,0.000395,1490.664
0440,256,3,7,3,0,65536,0.000432,1612.758
0441,256,4,1,1,0,1024,0.000269,890.302
0442,256,4,1,1,0,2048,0.000273,897.750
0443,256,4,1,1,0,4096,0.000275,878.864
0444,256,4,1,1,0,8192,0.000293,984.998
0445,256,4,1,1,0,16384,0.000274,869.022
0446,256,4,1,1,0,32768,0.000274,864.766
0447,256,4,1,1,0,65536,0.000274,864.766
0448,256,4,1,2,0,1024,0.000439,1130.500
0449,256,4,1,2,0,2048,0.000439,1129.702
0450,256,4,1,2,0,4096,0.000439,1129.702
0451,256,4,1,2,0,8192,0.000437,1126.244
