n,knob_MAT_SIZE,knob_UNROLL_FACTOR1,knob_UNROLL_FACTOR2,knob_UNROLL_FACTOR3,knob_SUBDIM_X,knob_SUBDIM_Y,B,knob_DATA_BLOCK,obj1,obj2
113,1024,1,1,2,4,4,0,262144,3.927289,93
114,1024,1,1,2,4,8,0,1048576,4.850488,35
115,1024,1,1,2,4,8,0,524288,5.351261,47
116,1024,1,1,2,4,8,0,262144,5.68753,94
117,1024,1,1,2,4,16,0,1048576,6.016348,32
118,1024,1,1,2,4,16,0,524288,5.182331,52
119,1024,1,1,2,4,16,0,262144,5.77414,92
120,1024,1,1,2,8,1,0,1048576,4.646436,31
121,1024,1,1,2,8,1,0,524288,4.897055,52
122,1024,1,1,2,8,1,0,262144,4.451264,93
123,1024,1,1,2,8,2,0,1048576,7.514528,48
124,1024,1,1,2,8,2,0,524288,4.806803,49
125,1024,1,1,2,8,2,0,262144,4.789598,83
126,1024,1,1,2,8,4,0,1048576,5.999443,38
127,1024,1,1,2,8,4,0,524288,7.073537,49
128,1024,1,1,2,8,4,0,262144,4.765687,84
129,1024,1,1,2,8,8,0,1048576,6.118996,36
130,1024,1,1,2,8,8,0,524288,5.408388,55
131,1024,1,1,2,8,8,0,262144,5.586611,95
132,1024,1,1,2,8,16,0,1048576,5.242888,33
133,1024,1,1,2,8,16,0,524288,5.453579,50
134,1024,1,1,2,8,16,0,262144,5.888269,98
135,1024,1,1,2,16,1,0,1048576,8.543237,38
136,1024,1,1,2,16,1,0,524288,4.0231,62
137,1024,1,1,2,16,1,0,262144,4.024714,113
138,1024,1,1,2,16,2,0,1048576,7.712071,35
139,1024,1,1,2,16,2,0,524288,10.695866,68
140,1024,1,1,2,16,2,0,262144,12.739251,104
141,1024,1,1,2,16,4,0,1048576,9.101897,37
142,1024,1,1,2,16,4,0,524288,3.635716,72
143,1024,1,1,2,16,4,0,262144,4.323191,173
144,1024,1,1,2,16,8,0,1048576,3.958877,32
145,1024,1,1,2,16,8,0,524288,3.182911,64
146,1024,1,1,2,16,8,0,262144,6.412606,136
147,1024,1,1,2,16,16,0,1048576,4.709383,36
148,1024,1,1,2,16,16,0,524288,6.091617,81
149,1024,1,1,2,16,16,0,262144,3.645185,118
150,1024,1,1,4,1,1,0,1048576,3.932003,34
151,1024,1,1,4,1,1,0,524288,4.540287,59
152,1024,1,1,4,1,1,0,262144,5.056152,106
153,1024,1,1,4,1,2,0,1048576,4.106068,36
154,1024,1,1,4,1,2,0,524288,3.642845,69
155,1024,1,1,4,1,2,0,262144,7.03713,176
156,1024,1,1,4,1,4,0,1048576,4.333883,33
157,1024,1,1,4,1,4,0,524288,3.793677,61
158,1024,1,1,4,1,4,0,262144,5.138072,128
159,1024,1,1,4,1,8,0,1048576,3.807758,36
160,1024,1,1,4,1,8,0,524288,4.157433,68
161,1024,1,1,4,1,8,0,262144,4.175926,124
162,1024,1,1,4,1,16,0,1048576,3.778115,33
163,1024,1,1,4,1,16,0,524288,3.143857,62
164,1024,1,1,4,1,16,0,262144,5.90845,182
165,1024,1,1,4,2,1,0,1048576,4.840509,38
166,1024,1,1,4,2,1,0,524288,5.719807,69
167,1024,1,1,4,2,1,0,262144,4.059105,123
168,1024,1,1,4,2,2,0,1048576,4.153747,35
169,1024,1,1,4,2,2,0,524288,3.94026,66
170,1024,1,1,4,2,2,0,262144,5.091744,123
171,1024,1,1,4,2,4,0,1048576,3.789259,42
172,1024,1,1,4,2,4,0,524288,3.503612,65
173,1024,1,1,4,2,4,0,262144,4.743029,112
174,1024,1,1,4,2,8,0,1048576,4.391081,40
175,1024,1,1,4,2,8,0,524288,4.335143,62
176,1024,1,1,4,2,8,0,262144,3.94533,129
177,1024,1,1,4,2,16,0,1048576,4.679717,39
178,1024,1,1,4,2,16,0,524288,4.715017,67
179,1024,1,1,4,2,16,0,262144,4.444386,125
180,1024,1,1,4,4,1,0,1048576,7.186716,37
181,1024,1,1,4,4,1,0,524288,3.215322,51
182,1024,1,1,4,4,1,0,262144,2.869574,111
183,1024,1,1,4,4,2,0,1048576,6.248599,29
184,1024,1,1,4,4,2,0,524288,8.34606,46
185,1024,1,1,4,4,2,0,262144,10.751431,146
186,1024,1,1,4,4,4,0,1048576,3.328377,33
187,1024,1,1,4,4,4,0,524288,3.899916,51
188,1024,1,1,4,4,4,0,262144,3.41041,100
189,1024,1,1,4,4,8,0,1048576,2.873232,38
190,1024,1,1,4,4,8,0,524288,3.236092,55
191,1024,1,1,4,4,8,0,262144,3.433759,102
192,1024,1,1,4,4,16,0,1048576,3.700359,39
193,1024,1,1,4,4,16,0,524288,3.499867,58
194,1024,1,1,4,4,16,0,262144,3.020839,102
195,1024,1,1,4,8,1,0,1048576,3.667354,36
196,1024,1,1,4,8,1,0,524288,2.456675,53
197,1024,1,1,4,8,1,0,262144,3.743639,131
198,1024,1,1,4,8,2,0,1048576,3.639453,42
199,1024,1,1,4,8,2,0,524288,3.445708,62
200,1024,1,1,4,8,2,0,262144,2.803926,104
201,1024,1,1,4,8,4,0,1048576,3.127414,40
202,1024,1,1,4,8,4,0,524288,3.651475,62
203,1024,1,1,4,8,4,0,262144,2.938131,148
204,1024,1,1,4,8,8,0,1048576,3.94737,38
205,1024,1,1,4,8,8,0,524288,3.867992,63
206,1024,1,1,4,8,8,0,262144,3.413251,98
207,1024,1,1,4,8,16,0,1048576,3.733231,41
208,1024,1,1,4,8,16,0,524288,3.542544,59
209,1024,1,1,4,8,16,0,262144,3.117382,147
210,1024,1,1,4,16,1,0,1048576,15.457636,33
211,1024,1,1,4,16,1,0,524288,8.676783,59
212,1024,1,1,4,16,1,0,262144,7.97387,112
213,1024,1,1,4,16,2,0,1048576,19.110871,35
214,1024,1,1,4,16,2,0,524288,21.029105,42
215,1024,1,1,4,16,2,0,262144,26.847746,105
216,1024,1,1,4,16,4,0,1048576,17.345278,30
217,1024,1,1,4,16,4,0,524288,7.509534,50
218,1024,1,1,4,16,4,0,262144,11.421478,104
219,1024,1,1,4,16,8,0,1048576,16.759359,30
220,1024,1,1,4,16,8,0,524288,7.029527,44
221,1024,1,1,4,16,8,0,262144,11.435995,104
222,1024,1,1,4,16,16,0,1048576,16.72401,32
223,1024,1,1,4,16,16,0,524288,7.728395,52
224,1024,1,1,4,16,16,0,262144,10.970503,112
225,1024,1,1,8,1,1,0,1048576,9.429752,39
226,1024,1,1,8,1,1,0,524288,8.714058,57
227,1024,1,1,8,1,1,0,262144,6.963509,97
228,1024,1,1,8,1,2,0,1048576,9.048287,30
229,1024,1,1,8,1,2,0,524288,8.627087,57
230,1024,1,1,8,1,2,0,262144,10.240435,95
231,1024,1,1,8,1,4,0,1048576,7.745882,28
232,1024,1,1,8,1,4,0,524288,8.021773,54
233,1024,1,1,8,1,4,0,262144,8.838967,101
234,1024,1,1,8,1,8,0,1048576,8.008984,34
235,1024,1,1,8,1,8,0,524288,11.995007,60
236,1024,1,1,8,1,8,0,262144,9.913007,93
237,1024,1,1,8,1,16,0,1048576,6.312053,31
238,1024,1,1,8,1,16,0,524288,9.086329,61
239,1024,1,1,8,1,16,0,262144,8.895453,89
240,1024,1,1,8,2,1,0,1048576,7.591542,33
241,1024,1,1,8,2,1,0,524288,6.624467,64
242,1024,1,1,8,2,1,0,262144,6.495523,89
243,1024,1,1,8,2,2,0,1048576,7.983447,27
244,1024,1,1,8,2,2,0,524288,8.897238,53
245,1024,1,1,8,2,2,0,262144,9.777185,103
246,1024,1,1,8,2,4,0,1048576,7.822125,37
247,1024,1,1,8,2,4,0,524288,10.168763,53
248,1024,1,1,8,2,4,0,262144,8.213232,105
249,1024,1,1,8,2,8,0,1048576,7.04467,33
250,1024,1,1,8,2,8,0,524288,7.367019,58
251,1024,1,1,8,2,8,0,262144,9.280966,92
252,1024,1,1,8,2,16,0,1048576,6.884131,34
253,1024,1,1,8,2,16,0,524288,7.061829,55
254,1024,1,1,8,2,16,0,262144,7.410642,107
255,1024,1,1,8,4,1,0,1048576,7.154007,31
256,1024,1,1,8,4,1,0,524288,6.3867,62
257,1024,1,1,8,4,1,0,262144,7.05084,96
258,1024,1,1,8,4,2,0,1048576,10.357378,30
259,1024,1,1,8,4,2,0,524288,9.590165,48
260,1024,1,1,8,4,2,0,262144,8.965864,80
261,1024,1,1,8,4,4,0,1048576,6.890532,32
262,1024,1,1,8,4,4,0,524288,8.284005,53
263,1024,1,1,8,4,4,0,262144,7.739188,93
264,1024,1,1,8,4,8,0,1048576,7.085793,36
265,1024,1,1,8,4,8,0,524288,7.777581,57
266,1024,1,1,8,4,8,0,262144,8.627205,98
267,1024,1,1,8,4,16,0,1048576,9.682378,29
268,1024,1,1,8,4,16,0,524288,10.106928,58
269,1024,1,1,8,4,16,0,262144,7.928228,95
270,1024,1,1,8,8,1,0,1048576,8.298351,31
271,1024,1,1,8,8,1,0,524288,7.660016,51
272,1024,1,1,8,8,1,0,262144,9.742663,103
273,1024,1,1,8,8,2,0,1048576,8.939382,27
274,1024,1,1,8,8,2,0,524288,9.778037,49
275,1024,1,1,8,8,2,0,262144,8.796472,103
276,1024,1,1,8,8,4,0,1048576,7.05105,40
277,1024,1,1,8,8,4,0,524288,8.692454,54
278,1024,1,1,8,8,4,0,262144,10.085901,97
279,1024,1,1,8,8,8,0,1048576,7.606165,36
280,1024,1,1,8,8,8,0,524288,8.623678,47
281,1024,1,1,8,8,8,0,262144,9.731861,96
282,1024,1,1,8,8,16,0,1048576,7.941234,33
283,1024,1,1,8,8,16,0,524288,7.964272,64
284,1024,1,1,8,8,16,0,262144,8.237426,104
285,1024,1,1,8,16,1,0,1048576,9.73805,31
286,1024,1,1,8,16,1,0,524288,3.722739,59
287,1024,1,1,8,16,1,0,262144,5.135703,98
288,1024,1,1,8,16,2,0,1048576,11.391376,27
289,1024,1,1,8,16,2,0,524288,14.347474,55
290,1024,1,1,8,16,2,0,262144,18.672761,105
291,1024,1,1,8,16,4,0,1048576,11.821799,29
292,1024,1,1,8,16,4,0,524288,5.314554,46
293,1024,1,1,8,16,4,0,262144,6.242202,94
294,1024,1,1,8,16,8,0,1048576,9.605024,36
295,1024,1,1,8,16,8,0,524288,4.348985,52
296,1024,1,1,8,16,8,0,262144,5.076403,94
297,1024,1,1,8,16,16,0,1048576,4.749582,32
298,1024,1,1,8,16,16,0,524288,4.820536,75
299,1024,1,1,8,16,16,0,262144,6.998592,156
300,1024,1,2,1,1,1,0,1048576,6.488944,33
301,1024,1,2,1,1,1,0,524288,8.360895,73
302,1024,1,2,1,1,1,0,262144,6.696939,122
303,1024,1,2,1,1,2,0,1048576,6.530879,35
304,1024,1,2,1,1,2,0,524288,5.772484,64
305,1024,1,2,1,1,2,0,262144,6.599409,110
306,1024,1,2,1,1,4,0,1048576,7.749163,36
307,1024,1,2,1,1,4,0,524288,7.121691,59
308,1024,1,2,1,1,4,0,262144,5.720412,119
309,1024,1,2,1,1,8,0,1048576,5.654087,36
310,1024,1,2,1,1,8,0,524288,5.522947,103
311,1024,1,2,1,1,8,0,262144,4.389979,116
312,1024,1,2,1,1,16,0,1048576,6.77118,39
313,1024,1,2,1,1,16,0,524288,5.639425,73
314,1024,1,2,1,1,16,0,262144,7.789275,123
315,1024,1,2,1,2,1,0,1048576,9.181924,38
316,1024,1,2,1,2,1,0,524288,7.117133,66
317,1024,1,2,1,2,1,0,262144,6.267462,107
318,1024,1,2,1,2,2,0,1048576,6.901371,34
319,1024,1,2,1,2,2,0,524288,5.458135,67
320,1024,1,2,1,2,2,0,262144,6.755052,114
321,1024,1,2,1,2,4,0,1048576,5.539008,38
322,1024,1,2,1,2,4,0,524288,5.566961,66
323,1024,1,2,1,2,4,0,262144,4.354228,150
324,1024,1,2,1,2,8,0,1048576,5.429918,40
325,1024,1,2,1,2,8,0,524288,4.921997,67
326,1024,1,2,1,2,8,0,262144,8.158179,138
327,1024,1,2,1,2,16,0,1048576,7.207452,45
328,1024,1,2,1,2,16,0,524288,6.300524,83
329,1024,1,2,1,2,16,0,262144,7.04754,111
330,1024,1,2,1,4,1,0,1048576,5.199674,39
331,1024,1,2,1,4,1,0,524288,7.55006,67
332,1024,1,2,1,4,1,0,262144,10.213091,121
333,1024,1,2,1,4,2,0,1048576,5.650648,39
334,1024,1,2,1,4,2,0,524288,5.803311,68
335,1024,1,2,1,4,2,0,262144,5.379727,94
336,1024,1,2,1,4,4,0,524288,5.190329,71
337,1024,1,2,1,4,4,0,262144,6.261771,119
338,1024,1,2,1,4,8,0,1048576,5.466541,40
339,1024,1,2,1,4,8,0,524288,8.68296,59
340,1024,1,2,1,4,8,0,262144,6.192977,105
341,1024,1,2,1,4,16,0,1048576,5.219476,42
342,1024,1,2,1,4,16,0,524288,5.352513,57
343,1024,1,2,1,4,16,0,262144,8.673997,130
344,1024,1,2,1,8,1,0,1048576,8.543237,38
345,1024,1,2,1,8,1,0,524288,4.0231,62
346,1024,1,2,1,8,1,0,262144,4.024714,113
347,1024,1,2,1,8,2,0,1048576,7.712071,35
348,1024,1,2,1,8,2,0,524288,10.695866,68
349,1024,1,2,1,8,2,0,262144,12.739251,104
350,1024,1,2,1,8,4,0,1048576,9.101897,37
351,1024,1,2,1,8,4,0,524288,3.635716,72
352,1024,1,2,1,8,4,0,262144,4.323191,173
353,1024,1,2,1,8,8,0,1048576,3.470067,39
354,1024,1,2,1,8,8,0,524288,3.274865,80
355,1024,1,2,1,8,8,0,262144,3.658815,103
356,1024,1,2,1,8,16,0,1048576,5.528938,40
357,1024,1,2,1,8,16,0,524288,3.671396,62
358,1024,1,2,1,8,16,0,262144,7.031746,108
359,1024,1,2,1,16,1,0,1048576,4.046266,47
360,1024,1,2,1,16,1,0,524288,4.85115,61
361,1024,1,2,1,16,1,0,262144,5.83079,123
362,1024,1,2,1,16,2,0,1048576,3.951781,35
363,1024,1,2,1,16,2,0,524288,2.695276,73
364,1024,1,2,1,16,2,0,262144,2.988837,100
365,1024,1,2,1,16,4,0,1048576,4.40816,41
366,1024,1,2,1,16,4,0,524288,3.480402,58
367,1024,1,2,1,16,4,0,262144,8.18209,107
368,1024,1,2,1,16,8,0,1048576,3.53825,51
369,1024,1,2,1,16,8,0,524288,4.253965,67
370,1024,1,2,1,16,8,0,262144,8.146712,137
371,1024,1,2,1,16,16,0,1048576,4.19959,39
372,1024,1,2,1,16,16,0,524288,3.697833,68
373,1024,1,2,1,16,16,0,262144,4.962712,97
374,1024,1,2,2,1,1,0,1048576,4.428375,35
375,1024,1,2,2,1,1,0,524288,4.898475,62
376,1024,1,2,2,1,1,0,262144,4.840805,94
377,1024,1,2,2,1,2,0,1048576,4.154132,33
378,1024,1,2,2,1,2,0,524288,3.557564,58
379,1024,1,2,2,1,2,0,262144,4.728854,104
380,1024,1,2,2,1,4,0,1048576,3.723496,35
381,1024,1,2,2,1,4,0,524288,3.444395,95
382,1024,1,2,2,1,4,0,262144,5.170626,119
383,1024,1,2,2,1,8,0,1048576,4.877321,49
384,1024,1,2,2,1,8,0,524288,4.861594,56
385,1024,1,2,2,1,8,0,262144,4.73752,113
386,1024,1,2,2,1,16,0,1048576,5.093318,45
387,1024,1,2,2,1,16,0,524288,6.078038,63
388,1024,1,2,2,1,16,0,262144,5.131968,98
389,1024,1,2,2,2,1,0,1048576,7.186716,37
390,1024,1,2,2,2,1,0,524288,3.215322,51
391,1024,1,2,2,2,1,0,262144,2.869574,111
392,1024,1,2,2,2,2,0,1048576,6.248599,29
393,1024,1,2,2,2,2,0,524288,8.34606,46
394,1024,1,2,2,2,2,0,262144,10.751431,146
395,1024,1,2,2,2,4,0,1048576,3.20869,37
396,1024,1,2,2,2,4,0,524288,3.425202,74
397,1024,1,2,2,2,4,0,262144,2.748769,107
398,1024,1,2,2,2,8,0,1048576,3.838977,43
399,1024,1,2,2,2,8,0,524288,3.299628,53
