Parameter,Throughput_Value,Tool,Parameter2,Area_Value,Flow
Throughput,4.32696260206223,catapult,Area,14093.478,catapult_asic_area
Throughput,4.2061342261554255,catapult,Area,13969.522,catapult_asic_area
Throughput,4.231478817217041,catapult,Area,15431.990,catapult_asic_area
Throughput,4.277910155330918,catapult,Area,17818.543,catapult_asic_area
Throughput,4.264537809392218,catapult,Area,27343.203,catapult_asic_area
Throughput,3.817522427944264,catapult,Area,13624.254,catapult_asic_area
Throughput,4.211519347719884,catapult,Area,14222.754,catapult_asic_area
Throughput,4.010266281681104,catapult,Area,15870.624,catapult_asic_area
Throughput,3.298337967498178,catapult,Area,18927.496,catapult_asic_area
Throughput,4.941688080648349,catapult,Area,13536.740,catapult_asic_area
Throughput,4.982387261032251,catapult,Area,14460.026,catapult_asic_area
Throughput,4.87224961509228,catapult,Area,14167.426,catapult_asic_area
Throughput,4.810143630888819,catapult,Area,15434.384,catapult_asic_area
Throughput,4.895002202750991,catapult,Area,15734.432,catapult_asic_area
Throughput,4.937540117513455,catapult,Area,18863.123,catapult_asic_area
Throughput,4.745318743059971,catapult,Area,20659.156,catapult_asic_area
Throughput,4.909782742113662,catapult,Area,16982.504,catapult_asic_area
Throughput,4.975569951537949,catapult,Area,17283.615,catapult_asic_area
Throughput,4.82786256040863,catapult,Area,18113.270,catapult_asic_area
Throughput,4.9771300872490905,catapult,Area,19736.934,catapult_asic_area
Throughput,4.717337157521322,catapult,Area,20522.697,catapult_asic_area
Throughput,4.924652811976756,catapult,Area,22111.516,catapult_asic_area
Throughput,4.762562449100114,catapult,Area,18106.887,catapult_asic_area
Throughput,4.926715112698608,catapult,Area,17812.955,catapult_asic_area
Throughput,4.86322188449848,catapult,Area,18490.990,catapult_asic_area
Throughput,4.897543392234455,catapult,Area,20951.756,catapult_asic_area
Throughput,4.803789228943791,catapult,Area,22081.725,catapult_asic_area
Throughput,4.936516399107478,catapult,Area,23289.098,catapult_asic_area
Throughput,4.760612595628806,catapult,Area,20395.018,catapult_asic_area
Throughput,4.938222832367088,catapult,Area,20606.488,catapult_asic_area
Throughput,4.8615196138008825,catapult,Area,21451.037,catapult_asic_area
Throughput,4.751045229950589,catapult,Area,22443.484,catapult_asic_area
Throughput,4.780480342664831,catapult,Area,26982.508,catapult_asic_area
Throughput,4.786658625080177,catapult,Area,29285.270,catapult_asic_area
Throughput,4.915937469275391,catapult,Area,19360.277,catapult_asic_area
Throughput,4.876288559251782,catapult,Area,20517.910,catapult_asic_area
Throughput,4.968228180783886,catapult,Area,20284.361,catapult_asic_area
Throughput,4.727707676378954,catapult,Area,21621.811,catapult_asic_area
Throughput,4.809657792848039,catapult,Area,23177.645,catapult_asic_area
Throughput,5.127127116862608,catapult,Area,12989.312,catapult_asic_area
Throughput,4.8136167590881085,catapult,Area,13507.480,catapult_asic_area
Throughput,4.835987484464391,catapult,Area,14956.116,catapult_asic_area
Throughput,4.947384565149633,catapult,Area,17191.580,catapult_asic_area
Throughput,4.8507191191094075,catapult,Area,21827.693,catapult_asic_area
Throughput,4.890956133014443,catapult,Area,29024.590,catapult_asic_area
Throughput,4.7959790511635045,catapult,Area,16211.370,catapult_asic_area
Throughput,5.103681285311095,catapult,Area,16597.867,catapult_asic_area
Throughput,4.7631976298328595,catapult,Area,17343.998,catapult_asic_area
Throughput,4.867127421395892,catapult,Area,22081.191,catapult_asic_area
Throughput,4.590609449310491,catapult,Area,22982.400,catapult_asic_area
Throughput,4.839568310506703,catapult,Area,29756.889,catapult_asic_area
Throughput,4.432054390171476,catapult,Area,17968.832,catapult_asic_area
