n,knob_KNOB_WINDOW_SIZE_X,knob_inner_unroll1,knob_inner_unroll2,knob_outer_unroll,knob_partition_factor,knob_I_B,obj1,obj2,FF
148,1,1,5,2,230400,0,0.145667,24500.463,578
149,1,1,5,2,115200,0,0.143244,26513.018,644
150,1,1,5,2,57600,0,0.145375,31310.859,981
151,1,1,5,2,28800,0,0.145754,37530.207,1565
152,1,1,5,2,14400,0,0.142178,53515.742,2724
154,1,1,5,3,460800,0,0.143324,25954.418,627
155,1,1,5,3,230400,0,0.150491,26658.785,654
156,1,1,5,3,115200,0,0.150506,28193.074,749
157,1,1,5,3,57600,0,0.150296,31606.119,1088
158,1,1,5,3,28800,0,0.143595,38440.191,1714
161,1,1,5,4,460800,0,0.150506,26776.357,712
162,1,1,5,4,230400,0,0.148429,28979.637,675
163,1,1,5,4,115200,0,0.148971,29556.855,771
164,1,1,5,4,57600,0,0.148564,34228.348,1078
165,1,1,5,4,28800,0,0.140479,44295.383,1666
168,1,1,5,5,460800,0,0.150491,26624.473,705
169,1,1,5,5,230400,0,0.150552,27725.18,726
170,1,1,5,5,115200,0,0.148594,28895.58,814
172,1,1,5,5,28800,0,0.150491,42984.535,1778
175,1,2,1,1,460800,0,0.119379,24138.969,729
176,1,2,1,1,230400,0,0.119811,25356.717,735
177,1,2,1,1,115200,0,0.1154,24996.818,755
178,1,2,1,1,57600,0,0.116958,27318.199,809
179,1,2,1,1,28800,0,0.115856,30769.816,924
180,1,2,1,1,14400,0,0.116803,31640.967,1060
181,1,2,1,1,7200,0,0.119595,34427.848,1146
182,1,2,1,2,460800,0,0.116012,28515.467,916
183,1,2,1,2,230400,0,0.119523,28759.121,924
184,1,2,1,2,115200,0,0.116695,29711.137,950
185,1,2,1,2,57600,0,0.119655,29962.771,1003
186,1,2,1,2,28800,0,0.119811,34834.562,1114
187,1,2,1,2,14400,0,0.119835,34075.664,1184
189,1,2,1,3,460800,0,0.119583,31403.162,1015
190,1,2,1,3,230400,0,0.118852,29515.094,1021
191,1,2,1,3,115200,0,0.119415,30462.32,1039
192,1,2,1,3,57600,0,0.116095,32662.406,1097
193,1,2,1,3,28800,0,0.115664,37172.172,1217
194,1,2,1,3,14400,0,0.115652,35678.047,1350
196,1,2,1,4,460800,0,0.117026,32836.902,1113
197,1,2,1,4,230400,0,0.119427,32686.879,1114
198,1,2,1,4,115200,0,0.118065,32908.191,1135
199,1,2,1,4,57600,0,0.116273,35600.641,1185
200,1,2,1,4,28800,0,0.116345,42845.949,1271
203,1,2,1,5,460800,0,0.11558,31722.629,1159
204,1,2,1,5,230400,0,0.119475,30262.287,1165
205,1,2,1,5,115200,0,0.118205,32428.326,1189
206,1,2,1,5,57600,0,0.119715,34598.09,1243
210,1,2,2,1,460800,0,0.116705,24839.346,641
211,1,2,2,1,230400,0,0.116635,24850.518,650
212,1,2,2,1,115200,0,0.113785,25664.744,680
213,1,2,2,1,57600,0,0.114042,27712.412,738
214,1,2,2,1,28800,0,0.116494,31805.354,851
215,1,2,2,1,14400,0,0.115864,42923.887,1065
217,1,2,2,2,460800,0,0.112769,29288.994,859
218,1,2,2,2,230400,0,0.116459,28879.887,941
219,1,2,2,2,115200,0,0.115584,32793.809,1234
220,1,2,2,2,57600,0,0.11486,40147.91,1921
224,1,2,2,3,460800,0,0.115257,32007.248,992
225,1,2,2,3,230400,0,0.111847,34087.633,1096
226,1,2,2,3,115200,0,0.115864,37737.688,1305
231,1,2,2,4,460800,0,0.113855,31742.047,1064
232,1,2,2,4,230400,0,0.110854,32517.969,1099
233,1,2,2,4,115200,0,0.115187,37679.164,1443
234,1,2,2,4,57600,0,0.112559,44533.453,2118
238,1,2,2,5,460800,0,0.113248,34375.18,1114
239,1,2,2,5,230400,0,0.116448,36640.703,1220
240,1,2,2,5,115200,0,0.113809,39903.191,1415
245,1,2,3,1,460800,0,0.116705,24839.346,641
246,1,2,3,1,230400,0,0.116635,24850.518,650
247,1,2,3,1,115200,0,0.113785,25664.744,680
248,1,2,3,1,57600,0,0.114042,27712.412,738
249,1,2,3,1,28800,0,0.116494,31805.354,851
250,1,2,3,1,14400,0,0.115864,42923.887,1065
252,1,2,3,2,460800,0,0.112769,29288.994,859
253,1,2,3,2,230400,0,0.116459,28879.887,941
254,1,2,3,2,115200,0,0.115584,32793.809,1234
255,1,2,3,2,57600,0,0.11486,40147.91,1921
256,1,2,3,2,28800,0,0.114381,52658.156,3290
259,1,2,3,3,460800,0,0.115257,32007.248,992
260,1,2,3,3,230400,0,0.111847,34087.633,1096
261,1,2,3,3,115200,0,0.115864,37737.688,1305
263,1,2,3,3,28800,0,0.113575,60198.992,3504
