n,knob_dimx_part_factor,knob_unroll_factor,knob_subdim_x,knob_I_B,obj1,obj2,FF
204,129600,3,1,0,0.252108,8551.9,406
205,129600,3,2,0,0.255954,7504.658,345
206,129600,3,4,0,0.240868,6857.214,289
207,129600,3,8,0,0.184077,6385.862,290
208,129600,3,16,0,0.164786,6405.014,288
209,129600,3,32,0,0.163323,6440.658,289
210,129600,4,1,0,0.317282,11163.754,354
211,129600,4,2,0,0.287706,10215.996,307
212,129600,4,4,0,0.340905,9360.54,300
213,129600,4,8,0,0.232101,8351.336,282
214,129600,4,16,0,0.252711,8782.256,278
215,129600,4,32,0,0.216936,8555.89,279
216,129600,5,1,0,0.262797,9367.722,407
217,129600,5,2,0,0.298309,8383.522,346
218,129600,5,4,0,0.253893,7796.194,290
219,129600,5,8,0,0.167647,7142.898,291
220,129600,5,16,0,0.167831,7183.862,289
221,129600,5,32,0,0.166306,7368.466,290
222,129600,6,1,0,0.273931,9765.658,401
223,129600,6,2,0,0.263078,9163.7,341
224,129600,6,4,0,0.263806,7973.084,287
225,129600,6,8,0,0.165592,7769.328,286
226,129600,6,16,0,0.189733,7756.56,287
227,129600,6,32,0,0.189384,7737.674,288
228,129600,7,1,0,0.261814,9759.806,407
229,129600,7,2,0,0.289666,8506.148,346
230,129600,7,4,0,0.24896,7862.694,290
231,129600,7,8,0,0.16802,7280.686,288
232,129600,7,16,0,0.166104,7416.08,289
233,129600,7,32,0,0.164205,7300.37,290
234,129600,8,1,0,0.317181,13085.87,363
235,129600,8,2,0,0.215778,12398.26,311
236,129600,8,4,0,0.348562,10785.502,272
237,129600,8,8,0,0.196935,10006.388,260
238,129600,8,16,0,0.219421,10243.66,261
239,129600,8,32,0,0.220222,10468.962,262
240,64800,1,1,0,0.273426,7792.736,445
241,64800,1,2,0,0.27833,8573.446,442
242,64800,1,4,0,0.214575,6124.118,323
243,64800,1,8,0,0.180967,6219.08,324
244,64800,1,16,0,0.19232,6637.498,328
245,64800,1,32,0,0.188324,6803.482,329
246,64800,2,1,0,0.270746,11528.44,557
247,64800,2,2,0,0.332965,9910.628,435
250,64800,2,16,0,0.178676,7590.044,338
251,64800,2,32,0,0.173474,7488.432,339
252,64800,3,1,0,0.247932,11173.596,564
253,64800,3,2,0,0.275328,9679.474,444
256,64800,3,16,0,0.160945,8221.262,346
257,64800,3,32,0,0.15563,8192.534,347
258,64800,4,1,0,0.318226,12493.754,557
259,64800,4,2,0,0.282762,12075.868,435
262,64800,4,16,0,0.230357,9650.746,342
263,64800,4,32,0,0.219749,10264.674,343
264,64800,5,1,0,0.267122,12266.324,565
265,64800,5,2,0,0.290248,11632.712,445
268,64800,5,16,0,0.161533,9326.492,347
269,64800,5,32,0,0.167085,9106.244,348
270,64800,6,1,0,0.262099,13203.974,558
271,64800,6,2,0,0.332466,13023.892,444
274,64800,6,16,0,0.161116,9915.416,345
275,64800,6,32,0,0.161085,10630.158,346
276,64800,7,1,0,0.272979,14054.11,565
277,64800,7,2,0,0.288243,11407.676,445
280,64800,7,16,0,0.161234,9626.008,347
281,64800,7,32,0,0.168196,9712.458,348
282,64800,8,1,0,0.325334,19274.627,575
283,64800,8,2,0,0.286769,17547.754,440
286,64800,8,16,0,0.217379,14119.812,324
287,64800,8,32,0,0.221408,14724.164,325
288,32400,1,1,0,0.332428,14361.606,722
289,32400,1,2,0,0.27184,13072.836,640
290,32400,1,4,0,0.256528,10101.882,438
291,32400,1,8,0,0.228654,9758.21,431
292,32400,1,16,0,0.290172,9196.684,362
293,32400,1,32,0,0.27858,10109.596,427
294,32400,2,1,0,0.35332,16465.666,745
295,32400,2,2,0,0.226363,15649.312,657
296,32400,2,4,0,0.311637,11925.312,443
297,32400,2,8,0,0.256633,11459.28,451
298,32400,2,16,0,0.307477,11437.468,434
299,32400,2,32,0,0.273268,12085.71,450
300,32400,3,1,0,0.364117,15054.802,727
301,32400,3,2,0,0.231771,15231.958,651
302,32400,3,4,0,0.254865,12458.642,445
303,32400,3,8,0,0.191751,12458.908,448
304,32400,3,16,0,0.31085,13784.12,450
305,32400,3,32,0,0.300075,12531.792,450
336,16200,1,1,0,0.318732,22645.91,1183
337,16200,1,2,0,0.263349,22258.348,1030
338,16200,1,4,0,0.251793,14932.442,635
339,16200,1,8,0,0.248649,15273.72,636
340,16200,1,16,0,0.234217,15284.36,637
341,16200,1,32,0,0.269953,15300.054,638
528,414720,1,1,0,0.254916,4183.116,241
529,414720,1,2,0,0.254591,5053.202,257
530,414720,1,4,0,0.198897,4144.812,227
531,414720,1,8,0,0.171796,4023.516,228
532,414720,1,16,0,0.168867,4076.716,232
533,414720,1,32,0,0.163257,4064.746,233
534,414720,2,1,0,0.271739,4629.464,253
535,414720,2,2,0,0.311849,5651.968,253
540,414720,3,1,0,0.25534,4501.252,257
541,414720,3,2,0,0.253416,5311.488,257
546,414720,4,1,0,0.346614,5429.326,272
547,414720,4,2,0,0.243837,6840.456,251
552,414720,5,1,0,0.265581,4870.194,258
553,414720,5,2,0,0.264372,5803.056,258
558,414720,6,1,0,0.281388,5185.67,255
559,414720,6,2,0,0.304052,6470.982,249
564,414720,7,1,0,0.269258,4984.84,258
565,414720,7,2,0,0.273929,5829.922,258
570,414720,8,1,0,0.320014,8452.948,302
571,414720,8,2,0,0.307033,9171.68,260
576,207360,1,1,0,0.252485,5068.63,300
577,207360,1,2,0,0.242366,5882.59,306
578,207360,1,4,0,0.195792,4511.892,250
579,207360,1,8,0,0.154606,4417.728,247
580,207360,1,16,0,0.148247,4432.624,248
581,207360,1,32,0,0.153955,4498.326,253
582,207360,2,1,0,0.263005,5729.374,321
583,207360,2,2,0,0.31056,6675.536,302
588,207360,3,1,0,0.253699,5264.672,325
589,207360,3,2,0,0.245577,6141.94,301
594,207360,4,1,0,0.335179,7050.596,331
595,207360,4,2,0,0.240052,8449.49,298
600,207360,5,1,0,0.264338,5753.846,326
601,207360,5,2,0,0.25493,6926.108,302
606,207360,6,1,0,0.293718,6314.308,323
607,207360,6,2,0,0.307838,7872.802,301
612,207360,7,1,0,0.273773,6037.668,326
613,207360,7,2,0,0.2449,7015.218,302
618,207360,8,1,0,0.315938,9219.826,363
619,207360,8,2,0,0.286991,10300.584,309
624,138240,1,1,0,0.257943,5236.476,310
625,138240,1,2,0,0.252902,5990.054,325
626,138240,1,4,0,0.159428,4711.126,272
627,138240,1,8,0,0.198481,4865.14,269
628,138240,1,16,0,0.159472,4959.836,274
629,138240,1,32,0,0.140051,4762.73,275
630,138240,2,1,0,0.25437,5704.37,308
631,138240,2,2,0,0.329942,7006.174,322
634,138240,2,16,0,0.177053,6023.57,281
636,138240,3,1,0,0.254047,5455.926,311
637,138240,3,2,0,0.229633,6647.606,325
640,138240,3,16,0,0.164889,5842.69,284
642,138240,4,1,0,0.350044,7263.662,337
643,138240,4,2,0,0.294253,8914.724,320
646,138240,4,16,0,0.146235,7704.158,285
648,138240,5,1,0,0.267172,5843.488,312
649,138240,5,2,0,0.254307,7504.392,326
652,138240,5,16,0,0.150944,6548.92,289
654,138240,6,1,0,0.276815,6424.432,310
655,138240,6,2,0,0.34369,8547.112,324
658,138240,6,16,0,0.148555,7063.896,291
660,138240,7,1,0,0.26896,6158.166,312
661,138240,7,2,0,0.251568,7725.704,326
664,138240,7,16,0,0.146589,6663.3,289
666,138240,8,1,0,0.341243,9659.258,350
667,138240,8,2,0,0.298259,11053.63,311
670,138240,8,16,0,0.223815,9549.932,276
672,103680,1,1,0,0.317541,6553.974,339
673,103680,1,2,0,0.289844,7491.89,369
674,103680,1,4,0,0.20173,5816.09,296
675,103680,1,8,0,0.193302,5844.552,297
676,103680,1,16,0,0.187519,5837.37,293
677,103680,1,32,0,0.190084,5976.222,294
678,103680,2,1,0,0.28871,9096.136,425
679,103680,2,2,0,0.252057,8349.74,365
680,103680,2,4,0,0.210345,6735.918,304
681,103680,2,8,0,0.185174,6580.84,307
682,103680,2,16,0,0.187864,6688.038,308
683,103680,2,32,0,0.17388,6978.244,309
684,103680,3,1,0,0.264089,6763.316,361
685,103680,3,2,0,0.295414,8186.948,364
686,103680,3,4,0,0.204864,7402.248,311
687,103680,3,8,0,0.180005,7405.174,314
688,103680,3,16,0,0.177935,7336.546,315
689,103680,3,32,0,0.206806,7509.712,316
690,103680,4,1,0,0.296103,10548.496,427
691,103680,4,2,0,0.272519,10312.554,358
692,103680,4,4,0,0.21116,8681.176,297
693,103680,4,8,0,0.201224,8802.738,300
694,103680,4,16,0,0.182639,8847.692,301
695,103680,4,32,0,0.184672,8734.642,302
696,103680,5,1,0,0.265233,7446.936,362
697,103680,5,2,0,0.318395,9523.066,365
698,103680,5,4,0,0.241763,8055.278,308
699,103680,5,8,0,0.204361,8587.81,311
700,103680,5,16,0,0.192469,8331.12,312
701,103680,5,32,0,0.209653,8334.578,313
702,103680,6,1,0,0.30724,10062.248,433
703,103680,6,2,0,0.27016,10277.176,361
704,103680,6,4,0,0.231418,8450.022,310
705,103680,6,8,0,0.196109,8542.856,313
706,103680,6,16,0,0.181774,8991.066,314
707,103680,6,32,0,0.172404,8920.31,315
708,103680,7,1,0,0.291836,7723.842,362
709,103680,7,2,0,0.295712,9355.752,365
710,103680,7,4,0,0.201691,8336.44,312
711,103680,7,8,0,0.178305,8239.084,315
712,103680,7,16,0,0.21826,8323.406,316
713,103680,7,32,0,0.186938,8107.148,317
714,103680,8,1,0,0.3313,15757.84,441
715,103680,8,2,0,0.278396,15045.492,339
716,103680,8,4,0,0.245062,12224.562,297
717,103680,8,8,0,0.226118,11439.064,300
718,103680,8,16,0,0.219248,11628.722,301
719,103680,8,32,0,0.215951,11006.282,302
720,82944,1,1,0,0.349945,7023.996,398
721,82944,1,2,0,0.289088,7704.956,395
722,82944,1,4,0,0.196413,5720.064,301
723,82944,1,8,0,0.187332,5593.182,302
724,82944,1,16,0,0.176466,5557.538,298
725,82944,1,32,0,0.176112,5566.848,299
726,82944,2,1,0,0.251989,7893.284,413
727,82944,2,2,0,0.322696,8938.93,388
732,82944,3,1,0,0.259665,7409.962,416
733,82944,3,2,0,0.298086,8863.652,392
738,82944,4,1,0,0.318177,9996.812,406
739,82944,4,2,0,0.28441,11767.574,357
744,82944,5,1,0,0.276916,8289.092,417
745,82944,5,2,0,0.307573,10504.34,393
750,82944,6,1,0,0.304407,9715.916,415
751,82944,6,2,0,0.333892,10935.26,391
756,82944,7,1,0,0.279778,8529.556,417
757,82944,7,2,0,0.30198,10276.112,393
762,82944,8,1,0,0.321655,13429.542,399
763,82944,8,2,0,0.288328,15435.182,357
