n,knob_dimx_part_factor,knob_unroll_factor,knob_subdim_x,knob_I_B,Latency,Area
0120,518400,5,1,0,0.401296,5090.176
0121,518400,5,2,0,0.317514,5068.630
0122,518400,5,4,0,0.307684,4455.766
0123,518400,5,8,0,0.286384,4459.224
0124,518400,5,16,0,0.275152,4632.922
0125,518400,5,32,0,0.289253,4504.444
0126,518400,6,1,0,0.381791,5750.654
0127,518400,6,2,0,0.340806,5732.566
0128,518400,6,4,0,0.335702,5050.808
0129,518400,6,8,0,0.305569,5189.394
0130,518400,6,16,0,0.301603,5334.896
0131,518400,6,32,0,0.289797,5243.392
0132,518400,7,1,0,0.399829,5123.692
0133,518400,7,2,0,0.324676,5235.412
0134,518400,7,4,0,0.318004,4540.354
0135,518400,7,8,0,0.287610,4520.138
0136,518400,7,16,0,0.280056,4672.822
0137,518400,7,32,0,0.297823,4598.874
0138,518400,8,1,0,0.391431,8532.748
0139,518400,8,2,0,0.336628,8537.802
0140,518400,8,4,0,0.331228,8710.436
0141,518400,8,8,0,0.374763,7956.858
0142,518400,8,16,0,0.344488,8816.836
0143,518400,8,32,0,0.339942,8517.054
0144,259200,1,1,0,0.438980,5004.524
0145,259200,1,2,0,0.309436,4952.654
0146,259200,1,4,0,0.321515,4324.894
0147,259200,1,8,0,0.290103,4349.632
0148,259200,1,16,0,0.273261,4525.192
0149,259200,1,32,0,0.246568,4460.288
0150,259200,2,1,0,0.347218,5837.902
0151,259200,2,2,0,0.361214,5789.490
0152,259200,2,4,0,0.359480,4774.168
0153,259200,2,8,0,0.324553,4817.792
0154,259200,2,16,0,0.281381,4833.220
0155,259200,2,32,0,0.267670,4794.384
0156,259200,3,1,0,0.395713,5546.898
0157,259200,3,2,0,0.324104,5373.732
0158,259200,3,4,0,0.316447,4515.350
0159,259200,3,8,0,0.298191,4586.904
0160,259200,3,16,0,0.273381,4726.022
0161,259200,3,32,0,0.250686,4655.798
0162,259200,4,1,0,0.520484,7692.454
0163,259200,4,2,0,0.276338,7971.754
0164,259200,4,4,0,0.337072,7383.096
0165,259200,4,8,0,0.316524,7767.466
0166,259200,4,16,0,0.311120,6961.752
0167,259200,4,32,0,0.317437,7265.524
0168,259200,5,1,0,0.455889,5619.782
0169,259200,5,2,0,0.338133,5773.264
0170,259200,5,4,0,0.310724,5161.730
0171,259200,5,8,0,0.276450,5293.666
0172,259200,5,16,0,0.281295,5488.910
0173,259200,5,32,0,0.256585,5214.930
0174,259200,6,1,0,0.348078,6864.396
0175,259200,6,2,0,0.397705,7052.990
0176,259200,6,4,0,0.372068,6244.084
0177,259200,6,8,0,0.330602,6279.462
0178,259200,6,16,0,0.297618,6359.262
0179,259200,6,32,0,0.278271,6427.092
0180,259200,7,1,0,0.441512,5711.818
0181,259200,7,2,0,0.335357,6481.622
0182,259200,7,4,0,0.319491,5324.788
0183,259200,7,8,0,0.285287,5343.408
0184,259200,7,16,0,0.288783,5503.008
0185,259200,7,32,0,0.267015,5466.566
0186,259200,8,1,0,0.411586,10917.970
0187,259200,8,2,0,0.324948,10302.978
0188,259200,8,4,0,0.354478,9640.638
0189,259200,8,8,0,0.322936,10222.380
0190,259200,8,16,0,0.353398,9712.458
0191,259200,8,32,0,0.341253,9671.494
0192,129600,1,1,0,0.337835,6516.734
0193,129600,1,2,0,0.370919,6108.424
0194,129600,1,4,0,0.448812,4927.916
0195,129600,1,8,0,0.364722,4853.170
0196,129600,1,16,0,0.374835,5085.388
0197,129600,1,32,0,0.342436,4872.056
0198,129600,2,1,0,0.555853,7462.896
0199,129600,2,2,0,0.444237,8120.182
0200,129600,2,4,0,0.290688,5391.288
0201,129600,2,8,0,0.287695,5572.966
0202,129600,2,16,0,0.291612,5453.532
0203,129600,2,32,0,0.334568,5205.354
0204,129600,3,1,0,0.449749,6640.956
0205,129600,3,2,0,0.386419,6995.534
0206,129600,3,4,0,0.291803,5495.560
0207,129600,3,8,0,0.360203,5472.418
0208,129600,3,16,0,0.373453,5679.366
0209,129600,3,32,0,0.344123,5488.112
0210,129600,4,1,0,0.440516,10430.392
0211,129600,4,2,0,0.422304,10731.504
0212,129600,4,4,0,0.385250,7939.036
0213,129600,4,8,0,0.369115,7277.228
0214,129600,4,16,0,0.319157,8248.660
0215,129600,4,32,0,0.303496,7586.320
0216,129600,5,1,0,0.455804,6902.434
0217,129600,5,2,0,0.307073,8019.634
0218,129600,5,4,0,0.297960,6240.892
0219,129600,5,8,0,0.352328,6277.866
0220,129600,5,16,0,0.379312,6973.190
0221,129600,5,32,0,0.348275,6900.572
0222,129600,6,1,0,0.556591,8506.680
0223,129600,6,2,0,0.461501,10214.932
0224,129600,6,4,0,0.296059,6979.840
0225,129600,6,8,0,0.380656,6590.682
0226,129600,6,16,0,0.286123,6955.102
0227,129600,6,32,0,0.335975,6977.978
0228,129600,7,1,0,0.450982,7216.314
0229,129600,7,2,0,0.400814,8376.074
0230,129600,7,4,0,0.301544,7236.264
0231,129600,7,8,0,0.352712,6765.178
0232,129600,7,16,0,0.373665,7732.886
0233,129600,7,32,0,0.347210,6886.740
0234,129600,8,1,0,0.475459,13706.980
0235,129600,8,2,0,0.331282,14031.766
0236,129600,8,4,0,0.367410,9279.676
0237,129600,8,8,0,0.398756,9255.470
0238,129600,8,16,0,0.348038,10389.694
0239,129600,8,32,0,0.345379,9645.426
0240,64800,1,1,0,0.404822,8030.540
0241,64800,1,2,0,0.335944,8058.204
0242,64800,1,4,0,0.411708,6056.820
0243,64800,1,8,0,0.295337,6130.502
0244,64800,1,16,0,0.374569,6153.378
0245,64800,1,32,0,0.359874,6319.362
0246,64800,2,1,0,0.439848,10467.898
0247,64800,2,2,0,0.371635,10059.854
0248,64800,2,4,0,0.391375,6513.542
0249,64800,2,8,0,0.286275,6663.566
0250,64800,2,16,0,0.282588,6631.380
0251,64800,2,32,0,0.270832,6769.700
0252,64800,3,1,0,0.402311,8460.396
0253,64800,3,2,0,0.335197,9626.274
0254,64800,3,4,0,0.379845,7004.844
0255,64800,3,8,0,0.391159,7117.628
0256,64800,3,16,0,0.372920,7164.976
0257,64800,3,32,0,0.279802,7236.796
0258,64800,4,1,0,0.539045,12917.226
0259,64800,4,2,0,0.391521,12682.880
0260,64800,4,4,0,0.312746,9263.716
0261,64800,4,8,0,0.305399,8917.384
0262,64800,4,16,0,0.277943,8805.930
0263,64800,4,32,0,0.359876,9798.376
0264,64800,5,1,0,0.392088,9884.028
0265,64800,5,2,0,0.336893,11525.514
0266,64800,5,4,0,0.385196,8425.550
0267,64800,5,8,0,0.375955,8530.354
0268,64800,5,16,0,0.375690,7988.778
0269,64800,5,32,0,0.278163,8592.066
0270,64800,6,1,0,0.467342,12830.510
0271,64800,6,2,0,0.339039,12935.048
0272,64800,6,4,0,0.426452,9126.460
0273,64800,6,8,0,0.344668,9247.756
0274,64800,6,16,0,0.285721,8638.616
0275,64800,6,32,0,0.279855,9209.186
0276,64800,7,1,0,0.405691,10539.452
0277,64800,7,2,0,0.331580,12016.816
0278,64800,7,4,0,0.391433,8626.912
0279,64800,7,8,0,0.371928,8907.542
0280,64800,7,16,0,0.367497,9211.846
0281,64800,7,32,0,0.294933,8884.134
0282,64800,8,1,0,0.485029,20641.600
0284,64800,8,4,0,0.370690,12403.846
0285,64800,8,8,0,0.319398,12216.316
0286,64800,8,16,0,0.316559,12190.248
0287,64800,8,32,0,0.383628,13467.846
0288,32400,1,1,0,0.443796,9149.336
0289,32400,1,2,0,0.356489,12279.092
0290,32400,1,4,0,0.338476,9963.296
0291,32400,1,8,0,0.345501,10008.782
0292,32400,1,16,0,0.278884,9808.218
0293,32400,1,32,0,0.357105,9725.758
0294,32400,2,1,0,0.438458,10219.986
0295,32400,2,2,0,0.377997,14781.354
0296,32400,2,4,0,0.443878,12608.932
0297,32400,2,8,0,0.387508,13031.872
0298,32400,2,16,0,0.382243,13910.470
0299,32400,2,32,0,0.394374,12520.354
0300,32400,3,1,0,0.491874,10628.562
0301,32400,3,2,0,0.389835,19174.609
0302,32400,3,4,0,0.450057,13018.040
0303,32400,3,8,0,0.425928,12321.918
0304,32400,3,16,0,0.415543,13454.546
0305,32400,3,32,0,0.352779,12855.248
0336,16200,1,1,0,0.419515,19500.992
0337,16200,1,2,0,0.401552,20128.221
0338,16200,1,4,0,0.474184,17054.324
0339,16200,1,8,0,0.348685,14810.348
0340,16200,1,16,0,0.277556,14975.268
0341,16200,1,32,0,0.341248,16790.186
0528,414720,1,1,0,0.393299,4398.044
0529,414720,1,2,0,0.364927,4458.958
0530,414720,1,4,0,0.293665,3987.340
0531,414720,1,8,0,0.262963,4052.776
0532,414720,1,16,0,0.279172,4079.908
0533,414720,1,32,0,0.270232,4029.634
0534,414720,2,1,0,0.335494,5844.286
0535,414720,2,2,0,0.373524,5251.904
0536,414720,2,4,0,0.314136,4473.588
0537,414720,2,8,0,0.286760,4451.244
0538,414720,2,16,0,0.292816,4495.400
0539,414720,2,32,0,0.257746,4501.518
0540,414720,3,1,0,0.397018,4639.306
0541,414720,3,2,0,0.325344,4641.168
0542,414720,3,4,0,0.276802,4180.456
0543,414720,3,8,0,0.318059,4234.986
0544,414720,3,16,0,0.277310,4253.872
0545,414720,3,32,0,0.277125,4226.740
0546,414720,4,1,0,0.475099,7263.928
0547,414720,4,2,0,0.387786,6891.794
0548,414720,4,4,0,0.369384,5791.086
0549,414720,4,8,0,0.361512,6047.244
0550,414720,4,16,0,0.363009,6402.088
0551,414720,4,32,0,0.360043,6011.334
0552,414720,5,1,0,0.411044,4718.840
0553,414720,5,2,0,0.338329,5093.634
0554,414720,5,4,0,0.288427,4518.276
0555,414720,5,8,0,0.321919,4530.778
0556,414720,5,16,0,0.296513,4579.456
0557,414720,5,32,0,0.289526,4626.006
0558,414720,6,1,0,0.386358,6911.744
0559,414720,6,2,0,0.373040,6336.918
0560,414720,6,4,0,0.343512,5188.596
0561,414720,6,8,0,0.287915,5190.990
0562,414720,6,16,0,0.312173,5191.256
0563,414720,6,32,0,0.294549,5120.234
0564,414720,7,1,0,0.405769,4914.616
0565,414720,7,2,0,0.339786,5256.692
0566,414720,7,4,0,0.273374,4632.390
0567,414720,7,8,0,0.248287,4568.018
0568,414720,7,16,0,0.280111,4696.496
0569,414720,7,32,0,0.279393,4654.468
0570,414720,8,1,0,0.488582,10487.582
0571,414720,8,2,0,0.461779,9402.834
0572,414720,8,4,0,0.317175,7935.312
0573,414720,8,8,0,0.299491,7769.062
0574,414720,8,16,0,0.355869,7530.460
0575,414720,8,32,0,0.311692,7015.750
0576,207360,1,1,0,0.349993,5059.852
0577,207360,1,2,0,0.272962,5229.028
0578,207360,1,4,0,0.272838,4552.856
0579,207360,1,8,0,0.280924,4596.214
0580,207360,1,16,0,0.266522,4609.248
0581,207360,1,32,0,0.256983,4592.224
0582,207360,2,1,0,0.307788,5733.630
0583,207360,2,2,0,0.401530,6174.924
0584,207360,2,4,0,0.290393,5183.010
0585,207360,2,8,0,0.269479,5131.938
0586,207360,2,16,0,0.265583,5128.214
0587,207360,2,32,0,0.244605,5156.676
0588,207360,3,1,0,0.355862,5367.614
0589,207360,3,2,0,0.340221,5502.476
0590,207360,3,4,0,0.299993,5012.770
0591,207360,3,8,0,0.254141,4862.746
0592,207360,3,16,0,0.252960,4856.894
0593,207360,3,32,0,0.312251,4856.628
0594,207360,4,1,0,0.423646,7247.968
0595,207360,4,2,0,0.376889,8904.350
0596,207360,4,4,0,0.283775,7565.306
0597,207360,4,8,0,0.314095,6812.792
0598,207360,4,16,0,0.367643,6939.674
0599,207360,4,32,0,0.351792,6943.930
0600,207360,5,1,0,0.381813,6233.444
0601,207360,5,2,0,0.341787,6330.534
0602,207360,5,4,0,0.290454,5433.848
0603,207360,5,8,0,0.257377,5513.914
0604,207360,5,16,0,0.274598,5336.226
0605,207360,5,32,0,0.306952,5553.814
0606,207360,6,1,0,0.330953,6578.446
0607,207360,6,2,0,0.411408,7514.234
0608,207360,6,4,0,0.305059,6244.350
0609,207360,6,8,0,0.271737,6227.858
0610,207360,6,16,0,0.269229,6094.326
0611,207360,6,32,0,0.244019,5913.180
0612,207360,7,1,0,0.401948,6915.202
0613,207360,7,2,0,0.344997,6882.218
0614,207360,7,4,0,0.296343,5768.210
0615,207360,7,8,0,0.244265,5588.128
0616,207360,7,16,0,0.270720,5572.700
0617,207360,7,32,0,0.314999,5620.580
0618,207360,8,1,0,0.416444,10799.600
0619,207360,8,2,0,0.447880,11017.986
0620,207360,8,4,0,0.337258,9585.310
0621,207360,8,8,0,0.297740,8697.934
0622,207360,8,16,0,0.339250,8231.636
0623,207360,8,32,0,0.335026,8315.160
0624,138240,1,1,0,0.423594,5812.632
0625,138240,1,2,0,0.362647,5312.818
0626,138240,1,4,0,0.371219,4765.390
0627,138240,1,8,0,0.352467,4795.980
0628,138240,1,16,0,0.349164,4936.694
0629,138240,1,32,0,0.341913,4868.598
0630,138240,2,1,0,0.308365,6320.426
0631,138240,2,2,0,0.391892,6780.872
0632,138240,2,4,0,0.267634,5372.402
0633,138240,2,8,0,0.249872,5356.974
0634,138240,2,16,0,0.252653,5505.402
0635,138240,2,32,0,0.427260,5333.566
0636,138240,3,1,0,0.424380,5852.266
0637,138240,3,2,0,0.373303,6069.854
0638,138240,3,4,0,0.351223,5471.088
0639,138240,3,8,0,0.360721,5555.410
0640,138240,3,16,0,0.308015,5816.622
0641,138240,3,32,0,0.242009,5870.620
0642,138240,4,1,0,0.383862,7859.768
0643,138240,4,2,0,0.376628,9511.362
0644,138240,4,4,0,0.381183,7270.046
0645,138240,4,8,0,0.260262,7282.016
0646,138240,4,16,0,0.261868,7694.848
0647,138240,4,32,0,0.242112,7368.200
0648,138240,5,1,0,0.472053,6164.018
0649,138240,5,2,0,0.389682,6996.332
0650,138240,5,4,0,0.347500,5747.994
0651,138240,5,8,0,0.364548,6092.996
0652,138240,5,16,0,0.302386,6411.930
0653,138240,5,32,0,0.252664,5997.768
0654,138240,6,1,0,0.342884,7386.820
0655,138240,6,2,0,0.399842,8879.878
0656,138240,6,4,0,0.279299,6883.548
0657,138240,6,8,0,0.256935,6843.382
0658,138240,6,16,0,0.269281,7345.058
0659,138240,6,32,0,0.424463,6894.188
0660,138240,7,1,0,0.457102,6211.366
0661,138240,7,2,0,0.380819,7513.170
0662,138240,7,4,0,0.351576,6526.044
0663,138240,7,8,0,0.349533,6407.940
0664,138240,7,16,0,0.297209,7144.494
0665,138240,7,32,0,0.247826,6714.638
0666,138240,8,1,0,0.441739,12004.580
0667,138240,8,2,0,0.428893,12594.036
0668,138240,8,4,0,0.394656,8045.702
0669,138240,8,8,0,0.307243,7783.958
0670,138240,8,16,0,0.269259,8946.910
0671,138240,8,32,0,0.241056,7920.682
0672,103680,1,1,0,0.552495,5671.652
0673,103680,1,2,0,0.371608,6437.732
0674,103680,1,4,0,0.377935,5151.090
0675,103680,1,8,0,0.361338,5187.266
0676,103680,1,16,0,0.341179,5166.252
0677,103680,1,32,0,0.339866,5177.956
0678,103680,2,1,0,0.523994,7722.512
0679,103680,2,2,0,0.425065,7398.524
0680,103680,2,4,0,0.379047,6360.858
0681,103680,2,8,0,0.374889,6813.058
0682,103680,2,16,0,0.353632,6443.052
0683,103680,2,32,0,0.348806,6470.982
0684,103680,3,1,0,0.539383,9234.722
0685,103680,3,2,0,0.394001,9357.880
0686,103680,3,4,0,0.351073,5673.248
0687,103680,3,8,0,0.354515,5844.020
0688,103680,3,16,0,0.344635,5895.092
0689,103680,3,32,0,0.335924,5788.160
0690,103680,4,1,0,0.582056,12174.820
0691,103680,4,2,0,0.533002,11240.362
0692,103680,4,4,0,0.488706,7304.892
0693,103680,4,8,0,0.483787,7590.842
0694,103680,4,16,0,0.459136,6869.982
0695,103680,4,32,0,0.474345,7705.222
0696,103680,5,1,0,0.489357,9810.346
0697,103680,5,2,0,0.407251,10113.586
0698,103680,5,4,0,0.367473,6470.184
0699,103680,5,8,0,0.353968,6868.386
0700,103680,5,16,0,0.344635,6818.644
0701,103680,5,32,0,0.342651,6702.402
0702,103680,6,1,0,0.610366,10978.352
0703,103680,6,2,0,0.496300,10902.276
0704,103680,6,4,0,0.382810,7446.670
0705,103680,6,8,0,0.366552,7951.804
0706,103680,6,16,0,0.354672,7701.232
0707,103680,6,32,0,0.351997,7741.132
0708,103680,7,1,0,0.470242,10256.162
0709,103680,7,2,0,0.408868,10923.024
0710,103680,7,4,0,0.367883,7444.808
0711,103680,7,8,0,0.356752,7674.898
0712,103680,7,16,0,0.322890,7918.820
0713,103680,7,32,0,0.351774,7644.840
0714,103680,8,1,0,0.554080,17871.742
0715,103680,8,2,0,0.529902,16624.201
0716,103680,8,4,0,0.487773,10373.202
0717,103680,8,8,0,0.302861,10605.952
0718,103680,8,16,0,0.458644,10633.616
0719,103680,8,32,0,0.446137,10884.454
0720,82944,1,1,0,0.330937,7096.880
0721,82944,1,2,0,0.336465,6910.148
0722,82944,1,4,0,0.440139,5510.722
0723,82944,1,8,0,0.421060,5516.308
0724,82944,1,16,0,0.351228,5490.506
0725,82944,1,32,0,0.354606,5474.280
0726,82944,2,1,0,0.361619,9465.876
0727,82944,2,2,0,0.346625,8445.500
