n,knob_NUM_HIST,knob_HIST_SIZE,knob_NUM_WORK_ITEMS,knob_NUM_WORK_GROUPS,knob_SIMD,knob_COMPUTE_UNITS,knob_ACCUM_SMEM,knob_UNROLL_FACTOR,knob_PIPE_FACTOR,obj1,obj2
0313,1,256,2,4,1,1,0,15,1,0.0004,1347
0314,1,256,2,4,1,1,0,15,2,0.0004,1347
0316,1,256,2,8,1,1,0,1,1,0.0002,1002
0317,1,256,2,8,1,1,0,1,2,0.0002,1002
0319,1,256,2,8,1,1,0,2,1,0.0002,1016
0320,1,256,2,8,1,1,0,2,2,0.0002,1016
0321,1,256,2,8,1,1,0,3,0,0.0003,1329
0328,1,256,2,8,1,1,0,5,1,0.0002,1595
0336,1,256,2,8,1,1,0,8,0,0.0003,1286
0337,1,256,2,8,1,1,0,8,1,0.0002,1246
0338,1,256,2,8,1,1,0,8,2,0.0002,1246
0339,1,256,2,8,1,1,0,9,0,0.0003,1823
0340,1,256,2,8,1,1,0,9,1,0.0002,1997
0341,1,256,2,8,1,1,0,9,2,0.0002,1997
0345,1,256,2,8,1,1,0,11,0,0.0003,1788
0346,1,256,2,8,1,1,0,11,1,0.0002,2183
0347,1,256,2,8,1,1,0,11,2,0.0002,2183
0362,1,256,4,1,1,1,0,1,2,0.0009,67
0363,1,256,4,1,1,1,0,2,0,0.0012,72
0364,1,256,4,1,1,1,0,2,1,0.0009,79
0365,1,256,4,1,1,1,0,2,2,0.0009,79
0366,1,256,4,1,1,1,0,3,0,0.0013,118
0367,1,256,4,1,1,1,0,3,1,0.0010,118
0368,1,256,4,1,1,1,0,3,2,0.0010,118
0369,1,256,4,1,1,1,0,4,0,0.0011,82
0370,1,256,4,1,1,1,0,4,1,0.0009,87
0378,1,256,4,1,1,1,0,7,0,0.0015,166
0380,1,256,4,1,1,1,0,7,2,0.0011,178
0390,1,256,4,1,1,1,0,11,0,0.0014,193
0391,1,256,4,1,1,1,0,11,1,0.0011,215
0392,1,256,4,1,1,1,0,11,2,0.0011,215
0402,1,256,4,1,1,1,0,15,0,0.0015,241
0403,1,256,4,1,1,1,0,15,1,0.0013,284
0404,1,256,4,1,1,1,0,15,2,0.0013,284
0405,1,256,4,2,1,1,0,1,0,0.0010,257
0406,1,256,4,2,1,1,0,1,1,0.0006,281
0414,1,256,4,2,1,1,0,4,0,0.0009,314
0415,1,256,4,2,1,1,0,4,1,0.0006,297
0416,1,256,4,2,1,1,0,4,2,0.0006,297
0417,1,256,4,2,1,1,0,5,0,0.0010,392
0419,1,256,4,2,1,1,0,5,2,0.0008,433
