n,knob_blockdim_x,knob_blockdim_y,knob_unroll_dct,knob_unroll_width,knob_unroll_height,knob_array_partition1,knob_array_partition2,knob_I_B,obj1,obj2,lut,ff,dsp,bram
0116,1,1,2,8,2,1,4194304,0,2.039052,315,1423,578,1,0
0117,1,1,2,8,2,2,2097152,0,2.011802,386,1896,580,1,0
0118,1,1,2,8,2,4,1048576,0,1.973511,447,2072,288,1,0
0120,1,1,2,8,4,1,4194304,0,1.989346,488,2293,896,1,0
0121,1,1,2,8,4,2,2097152,0,1.969145,562,2908,894,1,0
0122,1,1,2,8,4,4,1048576,0,2.045957,602,3096,298,1,0
0128,1,1,4,1,1,1,4194304,0,1.591678,96,439,277,1,0
0129,1,1,4,1,1,2,2097152,0,1.671437,127,580,283,1,0
0130,1,1,4,1,1,4,1048576,0,1.825576,222,813,295,1,0
0132,1,1,4,1,2,1,4194304,0,1.654364,102,498,299,1,0
0133,1,1,4,1,2,2,2097152,0,1.955817,126,592,301,1,0
0134,1,1,4,1,2,4,1048576,0,1.625365,175,863,310,1,0
0136,1,1,4,1,4,1,4194304,0,1.890670,129,706,256,1,0
0137,1,1,4,1,4,2,2097152,0,1.895113,190,867,257,1,0
0138,1,1,4,1,4,4,1048576,0,2.038463,292,1147,265,1,0
0140,1,1,4,1,8,1,4194304,0,1.824427,196,1020,264,1,0
0141,1,1,4,1,8,2,2097152,0,1.871663,225,1131,270,1,0
0142,1,1,4,1,8,4,1048576,0,1.754041,337,1572,274,1,0
0144,1,1,4,2,1,1,4194304,0,1.753534,99,498,300,1,0
0145,1,1,4,2,1,2,2097152,0,1.562673,137,593,302,1,0
0146,1,1,4,2,1,4,1048576,0,1.529226,232,862,311,1,0
0148,1,1,4,2,2,1,4194304,0,2.045854,152,775,345,1,0
0149,1,1,4,2,2,2,2097152,0,2.007734,204,985,349,1,0
0150,1,1,4,2,2,4,1048576,0,2.188980,291,1248,356,1,0
0152,1,1,4,2,4,1,4194304,0,1.891370,201,1057,264,1,0
0153,1,1,4,2,4,2,2097152,0,1.896281,242,1236,270,1,0
0154,1,1,4,2,4,4,1048576,0,1.916392,395,1702,274,1,0
0156,1,1,4,2,8,1,4194304,0,2.032310,290,1540,273,1,0
0157,1,1,4,2,8,2,2097152,0,2.044236,339,1786,275,1,0
0158,1,1,4,2,8,4,1048576,0,1.932226,529,2360,284,1,0
0160,1,1,4,4,1,1,4194304,0,1.954452,127,680,347,1,0
0161,1,1,4,4,1,2,2097152,0,2.002401,159,784,348,1,0
0162,1,1,4,4,1,4,1048576,0,1.880073,273,1207,356,1,0
0164,1,1,4,4,2,1,4194304,0,1.884954,195,1022,264,1,0
0165,1,1,4,4,2,2,2097152,0,1.904365,246,1209,271,1,0
0166,1,1,4,4,2,4,1048576,0,1.809416,381,1665,277,1,0
0168,1,1,4,4,4,1,4194304,0,2.032848,305,1591,269,1,0
0169,1,1,4,4,4,2,2097152,0,2.107212,379,1812,275,1,0
0170,1,1,4,4,4,4,1048576,0,1.917327,536,2459,285,1,0
0172,1,1,4,4,8,1,4194304,0,1.941346,479,2578,290,1,0
0173,1,1,4,4,8,2,2097152,0,1.930589,500,2752,289,1,0
0174,1,1,4,4,8,4,1048576,0,2.164897,730,3775,296,1,0
0176,1,1,4,8,1,1,4194304,0,1.871652,180,909,267,1,0
0177,1,1,4,8,1,2,2097152,0,1.739967,187,972,272,1,0
0178,1,1,4,8,1,4,1048576,0,1.994215,359,1381,276,1,0
0180,1,1,4,8,2,1,4194304,0,1.880043,280,1477,276,1,0
0181,1,1,4,8,2,2,2097152,0,1.982476,361,1826,278,1,0
0182,1,1,4,8,2,4,1048576,0,1.934299,470,2287,283,1,0
0184,1,1,4,8,4,1,4194304,0,2.087101,462,2493,282,1,0
0185,1,1,4,8,4,2,2097152,0,1.951703,481,2669,287,1,0
0186,1,1,4,8,4,4,1048576,0,2.188358,710,3654,299,1,0
0188,1,1,4,8,8,1,4194304,0,2.172614,700,3967,306,1,0
0192,1,1,8,1,1,1,4194304,0,1.530583,83,379,277,1,0
0193,1,1,8,1,1,2,2097152,0,1.500912,134,550,279,1,0
0194,1,1,8,1,1,4,1048576,0,1.647874,201,815,289,1,0
0196,1,1,8,1,2,1,4194304,0,1.610095,88,428,300,1,0
0197,1,1,8,1,2,2,2097152,0,1.592017,141,624,302,1,0
0198,1,1,8,1,2,4,1048576,0,1.813819,214,868,311,1,0
0200,1,1,8,1,4,1,4194304,0,1.860041,108,527,347,1,0
0201,1,1,8,1,4,2,2097152,0,1.988895,153,744,349,1,0
0202,1,1,8,1,4,4,1048576,0,1.932348,220,1176,358,1,0
0204,1,1,8,1,8,1,4194304,0,1.731589,110,571,263,1,0
0205,1,1,8,1,8,2,2097152,0,1.743176,173,800,265,1,0
0206,1,1,8,1,8,4,1048576,0,1.672495,270,1150,272,1,0
0208,1,1,8,2,1,1,4194304,0,1.531509,82,427,301,1,0
0209,1,1,8,2,1,2,2097152,0,1.540781,133,620,303,1,0
0210,1,1,8,2,1,4,1048576,0,1.804802,227,871,312,1,0
0212,1,1,8,2,2,1,4194304,0,1.947085,126,640,348,1,0
0213,1,1,8,2,2,2,2097152,0,2.219644,187,889,350,1,0
0214,1,1,8,2,2,4,1048576,0,2.119984,294,1212,357,1,0
0216,1,1,8,2,4,1,4194304,0,1.920991,122,643,263,1,0
0217,1,1,8,2,4,2,2097152,0,1.824118,178,868,265,1,0
0218,1,1,8,2,4,4,1048576,0,1.895266,276,1229,272,1,0
0220,1,1,8,2,8,1,4194304,0,1.905860,159,789,264,1,0
0221,1,1,8,2,8,2,2097152,0,1.917910,223,1144,266,1,0
0222,1,1,8,2,8,4,1048576,0,1.966808,303,1543,273,1,0
0224,1,1,8,4,1,1,4194304,0,2.056769,142,700,350,1,0
0225,1,1,8,4,1,2,2097152,0,1.856493,207,958,352,1,0
0226,1,1,8,4,1,4,1048576,0,1.968221,309,1406,363,1,0
0228,1,1,8,4,2,1,4194304,0,1.724355,152,807,263,1,0
0229,1,1,8,4,2,2,2097152,0,1.798521,205,1060,265,1,0
0230,1,1,8,4,2,4,1048576,0,1.875699,305,1500,272,1,0
0232,1,1,8,4,4,1,4194304,0,1.914733,197,1065,264,1,0
0233,1,1,8,4,4,2,2097152,0,2.018094,279,1356,266,1,0
0234,1,1,8,4,4,4,1048576,0,1.940226,399,1816,273,1,0
0236,1,1,8,4,8,1,4194304,0,1.856961,266,1393,265,1,0
0237,1,1,8,4,8,2,2097152,0,1.904932,358,1690,267,1,0
0238,1,1,8,4,8,4,1048576,0,1.991604,563,2730,276,1,0
0240,1,1,8,8,1,1,4194304,0,1.820100,174,832,263,1,0
0241,1,1,8,8,1,2,2097152,0,1.869010,204,1038,265,1,0
0242,1,1,8,8,1,4,1048576,0,1.999978,358,1706,274,1,0
0244,1,1,8,8,2,1,4194304,0,1.809877,229,1169,264,1,0
0245,1,1,8,8,2,2,2097152,0,2.050684,306,1596,268,1,0
0246,1,1,8,8,2,4,1048576,0,1.873845,464,2221,275,1,0
0248,1,1,8,8,4,1,4194304,0,1.967572,355,1929,269,1,0
0249,1,1,8,8,4,2,2097152,0,2.040110,460,2484,272,1,0
0250,1,1,8,8,4,4,1048576,0,1.936054,766,4078,282,1,0
0256,1,2,1,1,1,1,4194304,0,1.568569,82,366,282,1,0
0257,1,2,1,1,1,2,2097152,0,1.617130,111,449,284,1,0
0258,1,2,1,1,1,4,1048576,0,1.628681,149,594,294,1,0
0260,1,2,1,1,2,1,4194304,0,1.661924,91,392,310,1,0
0261,1,2,1,1,2,2,2097152,0,1.606063,103,480,312,1,0
0262,1,2,1,1,2,4,1048576,0,1.917423,164,627,321,1,0
0264,1,2,1,1,4,1,4194304,0,1.988467,131,603,367,1,0
0265,1,2,1,1,4,2,2097152,0,2.280008,226,1053,370,1,0
0266,1,2,1,1,4,4,1048576,0,2.172065,232,977,378,1,0
0268,1,2,1,1,8,1,4194304,0,1.882343,154,774,263,1,0
0269,1,2,1,1,8,2,2097152,0,2.012437,245,1253,265,1,0
0270,1,2,1,1,8,4,1048576,0,1.865375,311,1338,274,1,0
0272,1,2,1,2,1,1,4194304,0,1.593792,88,376,255,1,0
0273,1,2,1,2,1,2,2097152,0,1.650839,130,476,257,1,0
0274,1,2,1,2,1,4,1048576,0,1.643531,160,624,264,1,0
0276,1,2,1,2,2,1,4194304,0,1.994025,133,626,368,1,0
0277,1,2,1,2,2,2,2097152,0,2.137331,194,780,370,1,0
0278,1,2,1,2,2,4,1048576,0,1.900216,221,978,377,1,0
0280,1,2,1,2,4,1,4194304,0,1.832914,161,772,263,1,0
0281,1,2,1,2,4,2,2097152,0,1.879344,241,1159,265,1,0
0282,1,2,1,2,4,4,1048576,0,1.777293,313,1434,275,1,0
0284,1,2,1,2,8,1,4194304,0,1.846755,243,1243,264,1,0
0285,1,2,1,2,8,2,2097152,0,2.020920,543,3158,342,1,0
0286,1,2,1,2,8,4,1048576,0,2.016442,437,2092,281,1,0
0288,1,2,1,4,1,1,4194304,0,1.984165,135,608,370,1,0
0289,1,2,1,4,1,2,2097152,0,2.069972,154,698,372,1,0
0290,1,2,1,4,1,4,1048576,0,1.943855,213,984,379,1,0
0292,1,2,1,4,2,1,4194304,0,1.853076,165,799,263,1,0
0293,1,2,1,4,2,2,2097152,0,1.935099,227,1132,265,1,0
0294,1,2,1,4,2,4,1048576,0,1.858025,295,1372,274,1,0
0296,1,2,1,4,4,1,4194304,0,1.858132,255,1297,264,1,0
0297,1,2,1,4,4,2,2097152,0,2.074254,502,2756,337,1,0
0298,1,2,1,4,4,4,1048576,0,1.883821,467,2202,279,1,0
0300,1,2,1,4,8,1,4194304,0,2.019741,342,1787,268,1,0
0301,1,2,1,4,8,2,2097152,0,2.091622,580,3073,270,1,0
0302,1,2,1,4,8,4,1048576,0,1.990753,706,3350,282,1,0
0304,1,2,1,8,1,1,4194304,0,1.923581,155,730,263,1,0
0305,1,2,1,8,1,2,2097152,0,1.907552,201,975,265,1,0
0306,1,2,1,8,1,4,1048576,0,1.909202,327,1305,274,1,0
0308,1,2,1,8,2,1,4194304,0,2.050828,249,1265,266,1,0
0309,1,2,1,8,2,2,2097152,0,2.125545,407,2047,273,1,0
0310,1,2,1,8,2,4,1048576,0,1.818192,481,2222,279,1,0
0312,1,2,1,8,4,1,4194304,0,2.021696,394,2046,270,1,0
0313,1,2,1,8,4,2,2097152,0,2.119505,737,4251,345,1,0
0314,1,2,1,8,4,4,1048576,0,2.059170,696,3464,284,1,0
0320,1,2,2,1,1,1,4194304,0,1.650303,88,418,304,1,0
0321,1,2,2,1,1,2,2097152,0,1.607121,115,486,306,1,0
0322,1,2,2,1,1,4,1048576,0,1.671659,192,726,298,1,0
0324,1,2,2,1,2,1,4194304,0,1.737832,104,490,295,1,0
0325,1,2,2,1,2,2,2097152,0,1.613467,162,615,297,1,0
0326,1,2,2,1,2,4,1048576,0,1.609947,189,864,266,1,0
0328,1,2,2,1,4,1,4194304,0,1.974458,136,697,449,1,0
0329,1,2,2,1,4,2,2097152,0,2.154423,232,1115,451,1,0
0330,1,2,2,1,4,4,1048576,0,2.067374,295,1196,382,1,0
0332,1,2,2,1,8,1,4194304,0,2.029761,193,958,420,1,0
0333,1,2,2,1,8,2,2097152,0,1.947876,315,1548,423,1,0
0334,1,2,2,1,8,4,1048576,0,1.874907,333,1602,280,1,0
0336,1,2,2,2,1,1,4194304,0,1.764124,108,529,296,1,0
0337,1,2,2,2,1,2,2097152,0,1.946708,145,642,298,1,0
0338,1,2,2,2,1,4,1048576,0,1.813173,196,888,267,1,0
0340,1,2,2,2,2,1,4194304,0,2.084881,135,726,450,1,0
0341,1,2,2,2,2,2,2097152,0,2.148002,193,912,452,1,0
0342,1,2,2,2,2,4,1048576,0,1.973187,210,1135,387,1,0
0344,1,2,2,2,4,1,4194304,0,2.004725,186,956,421,1,0
0345,1,2,2,2,4,2,2097152,0,1.857139,298,1449,421,1,0
0346,1,2,2,2,4,4,1048576,0,1.854558,358,1628,278,1,0
0348,1,2,2,2,8,1,4194304,0,2.003716,321,1585,588,1,0
0349,1,2,2,2,8,2,2097152,0,2.086305,651,3882,658,1,0
0350,1,2,2,2,8,4,1048576,0,1.988700,463,2297,295,1,0
0352,1,2,2,4,1,1,4194304,0,1.994583,141,705,452,1,0
0353,1,2,2,4,1,2,2097152,0,1.995053,206,960,454,1,0
0354,1,2,2,4,1,4,1048576,0,2.067336,255,1113,389,1,0
0356,1,2,2,4,2,1,4194304,0,1.905137,218,1071,423,1,0
0357,1,2,2,4,2,2,2097152,0,2.060711,304,1501,424,1,0
0358,1,2,2,4,2,4,1048576,0,1.893874,384,1670,284,1,0
0360,1,2,2,4,4,1,4194304,0,2.095528,329,1624,583,1,0
0361,1,2,2,4,4,2,2097152,0,2.055640,589,3267,660,1,0
0362,1,2,2,4,4,4,1048576,0,2.122746,502,2366,291,1,0
0364,1,2,2,4,8,1,4194304,0,2.045714,549,2586,895,1,0
0365,1,2,2,4,8,2,2097152,0,2.125018,728,4367,903,1,0
0366,1,2,2,4,8,4,1048576,0,2.174759,756,3846,307,1,0
0368,1,2,2,8,1,1,4194304,0,1.963605,192,957,418,1,0
0369,1,2,2,8,1,2,2097152,0,1.924412,245,1270,421,1,0
0370,1,2,2,8,1,4,1048576,0,1.885924,342,1587,281,1,0
0372,1,2,2,8,2,1,4194304,0,1.945262,346,1730,589,1,0
0373,1,2,2,8,2,2,2097152,0,2.044051,526,2893,603,1,0
0374,1,2,2,8,2,4,1048576,0,2.117731,550,2747,301,1,0
0376,1,2,2,8,4,1,4194304,0,2.011059,507,2777,903,1,0
0377,1,2,2,8,4,2,2097152,0,2.110075,880,5207,975,1,0
0378,1,2,2,8,4,4,1048576,0,2.157002,719,3896,313,1,0
0384,1,2,4,1,1,1,4194304,0,1.607183,93,467,286,1,0
0385,1,2,4,1,1,2,2097152,0,1.600641,117,612,287,1,0
0386,1,2,4,1,1,4,1048576,0,1.769093,213,865,298,1,0
0388,1,2,4,1,2,1,4194304,0,2.099860,110,583,317,1,0
0389,1,2,4,1,2,2,2097152,0,1.912043,160,731,318,1,0
0390,1,2,4,1,2,4,1048576,0,1.956661,239,1035,326,1,0
0392,1,2,4,1,4,1,4194304,0,1.761012,144,737,265,1,0
0393,1,2,4,1,4,2,2097152,0,1.837862,237,1083,271,1,0
0394,1,2,4,1,4,4,1048576,0,1.775494,269,1211,274,1,0
0396,1,2,4,1,8,1,4194304,0,1.819111,160,916,271,1,0
0397,1,2,4,1,8,2,2097152,0,1.952251,252,1183,276,1,0
0398,1,2,4,1,8,4,1048576,0,1.864659,331,1439,283,1,0
0400,1,2,4,2,1,1,4194304,0,1.948524,134,700,318,1,0
0401,1,2,4,2,1,2,2097152,0,1.932169,159,779,319,1,0
0402,1,2,4,2,1,4,1048576,0,2.083098,243,1091,327,1,0
0404,1,2,4,2,2,1,4194304,0,1.802716,139,778,265,1,0
0405,1,2,4,2,2,2,2097152,0,1.812761,193,919,271,1,0
0406,1,2,4,2,2,4,1048576,0,1.817667,311,1234,274,1,0
0408,1,2,4,2,4,1,4194304,0,1.832021,207,1065,269,1,0
0409,1,2,4,2,4,2,2097152,0,1.887148,255,1201,277,1,0
0410,1,2,4,2,4,4,1048576,0,1.884578,378,1645,285,1,0
0412,1,2,4,2,8,1,4194304,0,1.933564,287,1500,269,1,0
0413,1,2,4,2,8,2,2097152,0,2.025127,514,3000,391,1,0
0414,1,2,4,2,8,4,1048576,0,1.918381,427,1938,281,1,0
0416,1,2,4,4,1,1,4194304,0,1.797828,152,765,265,1,0
