n,knob_tmpdim,knob_indim,knob_UNROLL_FACTOR,knob_UNROLL_LOOP1,knob_UNROLL_LOOP2,knob_UNROLL_LOOP3,knob_UNROLL_LOOP4,tmpsize,size,knob_I_B,obj1,obj2
0,5,100,1,1,1,1,1,25,10000,0,1.83954,152
1,5,100,1,1,1,1,2,25,10000,0,1.530371,182
2,5,100,1,1,1,1,3,25,10000,0,1.719198,173
3,5,100,1,1,1,2,1,25,10000,0,1.698066,158
4,5,100,1,1,1,2,2,25,10000,0,1.904256,165
5,5,100,1,1,1,2,3,25,10000,0,1.950167,168
6,5,100,1,1,1,2,4,25,10000,0,2.412665,182
7,5,100,1,1,1,3,1,25,10000,0,1.621647,177
8,5,100,1,1,1,3,2,25,10000,0,1.944523,190
9,5,100,1,1,1,3,3,25,10000,0,1.648181,196
10,5,100,1,1,1,3,4,25,10000,0,2.620355,191
11,5,100,1,1,1,4,1,25,10000,0,2.008015,179
12,5,100,1,1,1,4,2,25,10000,0,1.786974,194
13,5,100,1,1,1,4,3,25,10000,0,2.210654,197
14,5,100,1,1,1,4,4,25,10000,0,2.489729,200
15,5,100,1,1,2,1,1,25,10000,0,1.808242,169
16,5,100,1,1,2,1,2,25,10000,0,1.65269,157
17,5,100,1,1,2,1,3,25,10000,0,1.782413,190
18,5,100,1,1,2,1,4,25,10000,0,2.147765,192
19,5,100,1,1,2,2,1,25,10000,0,1.573033,184
20,5,100,1,1,2,2,2,25,10000,0,1.766347,198
21,5,100,1,1,2,2,3,25,10000,0,1.892896,180
22,5,100,1,1,2,2,4,25,10000,0,2.605451,187
23,5,100,1,1,2,3,1,25,10000,0,1.74589,228
24,5,100,1,1,2,3,2,25,10000,0,1.988286,180
25,5,100,1,1,2,3,3,25,10000,0,1.827028,192
26,5,100,1,1,2,3,4,25,10000,0,2.385734,209
27,5,100,1,1,2,4,1,25,10000,0,1.860252,201
28,5,100,1,1,2,4,2,25,10000,0,1.877828,188
29,5,100,1,1,2,4,3,25,10000,0,1.733725,209
30,5,100,1,1,2,4,4,25,10000,0,2.448076,207
31,5,100,1,1,3,1,1,25,10000,0,1.841179,179
32,5,100,1,1,3,1,2,25,10000,0,1.685029,182
33,5,100,1,1,3,1,3,25,10000,0,2.118896,191
34,5,100,1,1,3,1,4,25,10000,0,2.47933,169
35,5,100,1,1,3,2,1,25,10000,0,1.908049,187
36,5,100,1,1,3,2,2,25,10000,0,1.777292,176
37,5,100,1,1,3,2,3,25,10000,0,2.05555,179
38,5,100,1,1,3,2,4,25,10000,0,2.336422,190
39,5,100,1,1,3,3,1,25,10000,0,1.883108,195
40,5,100,1,1,3,3,2,25,10000,0,2.039207,193
41,5,100,1,1,3,3,3,25,10000,0,1.987155,204
42,5,100,1,1,3,3,4,25,10000,0,2.089613,196
43,5,100,1,1,3,4,1,25,10000,0,2.128079,194
44,5,100,1,1,3,4,2,25,10000,0,2.166422,188
45,5,100,1,1,3,4,3,25,10000,0,1.904095,197
46,5,100,1,1,3,4,4,25,10000,0,2.63627,206
47,5,100,1,1,4,1,1,25,10000,0,1.720933,157
48,5,100,1,1,4,1,2,25,10000,0,1.942364,181
49,5,100,1,1,4,1,3,25,10000,0,1.684454,193
50,5,100,1,1,4,1,4,25,10000,0,2.279306,166
51,5,100,1,1,4,2,1,25,10000,0,1.632145,176
52,5,100,1,1,4,2,2,25,10000,0,2.297786,194
53,5,100,1,1,4,2,3,25,10000,0,1.751432,194
54,5,100,1,1,4,2,4,25,10000,0,2.361725,179
55,5,100,1,1,4,3,1,25,10000,0,1.686619,214
56,5,100,1,1,4,3,2,25,10000,0,1.988992,221
57,5,100,1,1,4,3,3,25,10000,0,1.843115,212
58,5,100,1,1,4,3,4,25,10000,0,2.726472,186
59,5,100,1,1,4,4,1,25,10000,0,1.878922,207
60,5,100,1,1,4,4,2,25,10000,0,1.956391,199
61,5,100,1,1,4,4,3,25,10000,0,1.722901,203
62,5,100,1,1,4,4,4,25,10000,0,2.490219,205
63,5,100,1,2,1,1,1,25,10000,0,1.629464,161
64,5,100,1,2,1,1,2,25,10000,0,1.730784,174
65,5,100,1,2,1,1,3,25,10000,0,1.858566,190
66,5,100,1,2,1,1,4,25,10000,0,2.131109,169
67,5,100,1,2,1,2,1,25,10000,0,1.669067,190
68,5,100,1,2,1,2,2,25,10000,0,1.833494,182
69,5,100,1,2,1,2,3,25,10000,0,1.969199,195
70,5,100,1,2,1,2,4,25,10000,0,2.103699,173
71,5,100,1,2,1,3,1,25,10000,0,1.704568,203
72,5,100,1,2,1,3,2,25,10000,0,1.991804,196
73,5,100,1,2,1,3,3,25,10000,0,1.785235,196
74,5,100,1,2,1,3,4,25,10000,0,2.282045,213
75,5,100,1,2,1,4,2,25,10000,0,2.030466,217
76,5,100,1,2,1,4,3,25,10000,0,1.718553,193
77,5,100,1,2,1,4,4,25,10000,0,2.238918,194
78,5,100,1,2,2,1,1,25,10000,0,1.628634,179
79,5,100,1,2,2,1,2,25,10000,0,1.92112,190
80,5,100,1,2,2,1,3,25,10000,0,1.729546,214
81,5,100,1,2,2,1,4,25,10000,0,2.175444,194
82,5,100,1,2,2,2,1,25,10000,0,1.686478,206
83,5,100,1,2,2,2,2,25,10000,0,1.739644,198
84,5,100,1,2,2,2,3,25,10000,0,1.832011,198
85,5,100,1,2,2,2,4,25,10000,0,2.566252,186
86,5,100,1,2,2,3,1,25,10000,0,1.840263,218
87,5,100,1,2,2,3,2,25,10000,0,1.819606,217
88,5,100,1,2,2,3,3,25,10000,0,1.836908,204
89,5,100,1,2,2,3,4,25,10000,0,2.760916,205
90,5,100,1,2,2,4,1,25,10000,0,1.795379,218
91,5,100,1,2,2,4,2,25,10000,0,1.998437,206
92,5,100,1,2,2,4,3,25,10000,0,1.938013,229
93,5,100,1,2,2,4,4,25,10000,0,2.679643,223
94,5,100,1,2,3,1,1,25,10000,0,1.892576,182
95,5,100,1,2,3,1,2,25,10000,0,1.937354,188
96,5,100,1,2,3,1,3,25,10000,0,1.721692,197
97,5,100,1,2,3,1,4,25,10000,0,2.414579,203
98,5,100,1,2,3,2,1,25,10000,0,1.629168,186
99,5,100,1,2,3,2,2,25,10000,0,1.956021,192
100,5,100,1,2,3,2,3,25,10000,0,1.714062,202
101,5,100,1,2,3,2,4,25,10000,0,2.155466,184
102,5,100,1,2,3,3,1,25,10000,0,1.923192,210
103,5,100,1,2,3,3,2,25,10000,0,2.036219,209
104,5,100,1,2,3,3,3,25,10000,0,1.860396,223
105,5,100,1,2,3,3,4,25,10000,0,2.287838,204
106,5,100,1,2,3,4,1,25,10000,0,1.848508,202
107,5,100,1,2,3,4,2,25,10000,0,1.964753,223
108,5,100,1,2,3,4,3,25,10000,0,1.789396,228
109,5,100,1,2,3,4,4,25,10000,0,2.305414,214
110,5,100,1,2,4,1,1,25,10000,0,1.812712,206
111,5,100,1,2,4,1,2,25,10000,0,1.922365,181
112,5,100,1,2,4,1,3,25,10000,0,1.811047,199
113,5,100,1,2,4,1,4,25,10000,0,2.120689,207
114,5,100,1,2,4,2,1,25,10000,0,1.878226,210
115,5,100,1,2,4,2,2,25,10000,0,2.192919,197
116,5,100,1,2,4,2,3,25,10000,0,1.650015,200
117,5,100,1,2,4,2,4,25,10000,0,2.443035,207
118,5,100,1,2,4,3,1,25,10000,0,2.048101,213
119,5,100,1,2,4,3,2,25,10000,0,1.922058,221
120,5,100,1,2,4,3,3,25,10000,0,1.843482,218
121,5,100,1,2,4,3,4,25,10000,0,2.643758,226
122,5,100,1,2,4,4,1,25,10000,0,2.052679,213
123,5,100,1,2,4,4,3,25,10000,0,1.728748,208
124,5,100,1,2,4,4,4,25,10000,0,2.705389,213
125,5,100,1,3,1,1,1,25,10000,0,1.580106,176
