n,knob_tmpdim,knob_indim,knob_UNROLL_FACTOR,knob_UNROLL_LOOP1,knob_UNROLL_LOOP2,knob_UNROLL_LOOP3,knob_UNROLL_LOOP4,tmpsize,size,knob_I_B,obj1,obj2
7969,20,200,4,2,2,3,4,400,40000,0,0.788943,190
7970,20,200,4,2,2,4,1,400,40000,0,0.709494,165
7971,20,200,4,2,2,4,2,400,40000,0,0.74769,197
7972,20,200,4,2,2,4,3,400,40000,0,0.733506,183
7973,20,200,4,2,2,4,4,400,40000,0,0.851158,198
7974,20,200,4,2,3,1,1,400,40000,0,0.571914,152
7975,20,200,4,2,3,1,2,400,40000,0,0.662755,144
7976,20,200,4,2,3,1,3,400,40000,0,0.581218,154
7977,20,200,4,2,3,1,4,400,40000,0,0.741622,155
7978,20,200,4,2,3,2,1,400,40000,0,0.641542,154
7979,20,200,4,2,3,2,2,400,40000,0,0.653235,142
7980,20,200,4,2,3,2,3,400,40000,0,0.582849,163
7981,20,200,4,2,3,2,4,400,40000,0,0.770759,169
7982,20,200,4,2,3,3,1,400,40000,0,0.593276,143
7983,20,200,4,2,3,3,2,400,40000,0,0.629847,167
7984,20,200,4,2,3,3,3,400,40000,0,0.66356,141
7985,20,200,4,2,3,3,4,400,40000,0,0.777798,154
7986,20,200,4,2,3,4,1,400,40000,0,0.634381,159
7987,20,200,4,2,3,4,2,400,40000,0,0.684256,158
7988,20,200,4,2,3,4,3,400,40000,0,0.728888,156
7989,20,200,4,2,3,4,4,400,40000,0,0.765653,166
7990,20,200,4,2,4,1,1,400,40000,0,0.670368,153
7991,20,200,4,2,4,1,3,400,40000,0,0.635686,186
7992,20,200,4,2,4,1,4,400,40000,0,0.668151,157
7993,20,200,4,2,4,2,1,400,40000,0,0.589767,151
7994,20,200,4,2,4,2,2,400,40000,0,0.764245,149
7995,20,200,4,2,4,2,3,400,40000,0,0.585773,188
7996,20,200,4,2,4,2,4,400,40000,0,0.799208,191
7997,20,200,4,2,4,3,1,400,40000,0,0.653064,173
7998,20,200,4,2,4,3,2,400,40000,0,0.65911,199
7999,20,200,4,2,4,3,3,400,40000,0,0.617611,167
8000,20,200,4,2,4,3,4,400,40000,0,0.791517,189
8001,20,200,4,2,4,4,1,400,40000,0,0.660092,193
8002,20,200,4,2,4,4,2,400,40000,0,0.646898,176
8003,20,200,4,2,4,4,3,400,40000,0,0.64733,190
8004,20,200,4,2,4,4,4,400,40000,0,0.879645,210
8005,20,200,4,3,1,1,1,400,40000,0,0.502725,142
8006,20,200,4,3,1,1,2,400,40000,0,0.551014,136
8007,20,200,4,3,1,1,3,400,40000,0,0.596025,144
8008,20,200,4,3,1,1,4,400,40000,0,0.730137,171
8009,20,200,4,3,1,2,1,400,40000,0,0.518364,144
8010,20,200,4,3,1,2,2,400,40000,0,0.684279,144
8011,20,200,4,3,1,2,3,400,40000,0,0.566685,130
8012,20,200,4,3,1,2,4,400,40000,0,0.740714,151
8013,20,200,4,3,1,3,1,400,40000,0,0.553246,143
8014,20,200,4,3,1,3,2,400,40000,0,0.607982,168
8015,20,200,4,3,1,3,3,400,40000,0,0.622182,171
8016,20,200,4,3,1,3,4,400,40000,0,0.721667,170
8017,20,200,4,3,1,4,1,400,40000,0,0.624221,176
8018,20,200,4,3,1,4,2,400,40000,0,0.66581,178
8019,20,200,4,3,1,4,3,400,40000,0,0.659939,179
8020,20,200,4,3,1,4,4,400,40000,0,0.874544,163
8021,20,200,4,3,2,1,1,400,40000,0,0.610228,131
8022,20,200,4,3,2,1,2,400,40000,0,0.733015,152
8023,20,200,4,3,2,1,3,400,40000,0,0.55674,134
8024,20,200,4,3,2,1,4,400,40000,0,0.660088,151
8025,20,200,4,3,2,2,1,400,40000,0,0.608294,114
8026,20,200,4,3,2,2,2,400,40000,0,0.63171,124
8027,20,200,4,3,2,2,3,400,40000,0,0.527496,136
8028,20,200,4,3,2,2,4,400,40000,0,0.826905,148
8029,20,200,4,3,2,3,1,400,40000,0,0.566074,144
8030,20,200,4,3,2,3,2,400,40000,0,0.64838,133
8031,20,200,4,3,2,3,3,400,40000,0,0.475224,144
8032,20,200,4,3,2,3,4,400,40000,0,0.556652,138
8033,20,200,4,3,2,4,1,400,40000,0,0.607816,151
8034,20,200,4,3,2,4,2,400,40000,0,0.659462,142
8035,20,200,4,3,2,4,3,400,40000,0,0.546776,161
8036,20,200,4,3,2,4,4,400,40000,0,0.67551,154
8037,20,200,4,3,3,1,1,400,40000,0,0.672295,162
8038,20,200,4,3,3,1,2,400,40000,0,0.698133,174
8039,20,200,4,3,3,1,3,400,40000,0,0.613137,174
8040,20,200,4,3,3,1,4,400,40000,0,0.765491,177
