Parameter,Throughput_Value,Tool,Resource_Type,Resource_Value,Paramter3,FF_Value,Flow
Throughput,3.73024369682071,catapult,CLB,144,FF,285,catapult_fpga_latency
Throughput,3.73024369682071,catapult,LUT,851,FF,285,catapult_fpga_latency
Throughput,3.73024369682071,catapult,FF,285,FF,285,catapult_fpga_latency
Throughput,3.73024369682071,catapult,DSP,1,FF,285,catapult_fpga_latency
Throughput,3.73024369682071,catapult,BRAM,0,FF,285,catapult_fpga_latency
Throughput,4.14934315897793,catapult,CLB,139,FF,286,catapult_fpga_latency
Throughput,4.14934315897793,catapult,LUT,852,FF,286,catapult_fpga_latency
Throughput,4.14934315897793,catapult,FF,286,FF,286,catapult_fpga_latency
Throughput,4.14934315897793,catapult,DSP,1,FF,286,catapult_fpga_latency
Throughput,4.14934315897793,catapult,BRAM,0,FF,286,catapult_fpga_latency
Throughput,2.29017423645591,catapult,CLB,173,FF,338,catapult_fpga_latency
Throughput,2.29017423645591,catapult,LUT,1097,FF,338,catapult_fpga_latency
Throughput,2.29017423645591,catapult,FF,338,FF,338,catapult_fpga_latency
Throughput,2.29017423645591,catapult,DSP,1,FF,338,catapult_fpga_latency
Throughput,2.29017423645591,catapult,BRAM,0,FF,338,catapult_fpga_latency
Throughput,2.78027229986905,catapult,CLB,195,FF,329,catapult_fpga_latency
Throughput,2.78027229986905,catapult,LUT,1209,FF,329,catapult_fpga_latency
Throughput,2.78027229986905,catapult,FF,329,FF,329,catapult_fpga_latency
Throughput,2.78027229986905,catapult,DSP,1,FF,329,catapult_fpga_latency
Throughput,2.78027229986905,catapult,BRAM,0,FF,329,catapult_fpga_latency
Throughput,2.87339808057008,catapult,CLB,183,FF,308,catapult_fpga_latency
Throughput,2.87339808057008,catapult,LUT,1150,FF,308,catapult_fpga_latency
Throughput,2.87339808057008,catapult,FF,308,FF,308,catapult_fpga_latency
Throughput,2.87339808057008,catapult,DSP,1,FF,308,catapult_fpga_latency
Throughput,2.87339808057008,catapult,BRAM,0,FF,308,catapult_fpga_latency
Throughput,3.36385470838744,catapult,CLB,201,FF,312,catapult_fpga_latency
Throughput,3.36385470838744,catapult,LUT,1226,FF,312,catapult_fpga_latency
Throughput,3.36385470838744,catapult,FF,312,FF,312,catapult_fpga_latency
Throughput,3.36385470838744,catapult,DSP,1,FF,312,catapult_fpga_latency
Throughput,3.36385470838744,catapult,BRAM,0,FF,312,catapult_fpga_latency
Throughput,3.15590817569572,catapult,CLB,205,FF,313,catapult_fpga_latency
Throughput,3.15590817569572,catapult,LUT,1276,FF,313,catapult_fpga_latency
Throughput,3.15590817569572,catapult,FF,313,FF,313,catapult_fpga_latency
Throughput,3.15590817569572,catapult,DSP,1,FF,313,catapult_fpga_latency
Throughput,3.15590817569572,catapult,BRAM,0,FF,313,catapult_fpga_latency
Throughput,3.2654234111266,catapult,CLB,203,FF,313,catapult_fpga_latency
Throughput,3.2654234111266,catapult,LUT,1270,FF,313,catapult_fpga_latency
Throughput,3.2654234111266,catapult,FF,313,FF,313,catapult_fpga_latency
Throughput,3.2654234111266,catapult,DSP,1,FF,313,catapult_fpga_latency
Throughput,3.2654234111266,catapult,BRAM,0,FF,313,catapult_fpga_latency
Throughput,2.14943287213669,catapult,CLB,121,FF,315,catapult_fpga_latency
Throughput,2.14943287213669,catapult,LUT,762,FF,315,catapult_fpga_latency
Throughput,2.14943287213669,catapult,FF,315,FF,315,catapult_fpga_latency
Throughput,2.14943287213669,catapult,DSP,1,FF,315,catapult_fpga_latency
Throughput,2.14943287213669,catapult,BRAM,0,FF,315,catapult_fpga_latency
Throughput,2.6518516554184,catapult,CLB,154,FF,326,catapult_fpga_latency
Throughput,2.6518516554184,catapult,LUT,874,FF,326,catapult_fpga_latency
Throughput,2.6518516554184,catapult,FF,326,FF,326,catapult_fpga_latency
Throughput,2.6518516554184,catapult,DSP,1,FF,326,catapult_fpga_latency
Throughput,2.6518516554184,catapult,BRAM,0,FF,326,catapult_fpga_latency
Throughput,3.22258386774516,catapult,CLB,156,FF,317,catapult_fpga_latency
Throughput,3.22258386774516,catapult,LUT,925,FF,317,catapult_fpga_latency
Throughput,3.22258386774516,catapult,FF,317,FF,317,catapult_fpga_latency
Throughput,3.22258386774516,catapult,DSP,1,FF,317,catapult_fpga_latency
Throughput,3.22258386774516,catapult,BRAM,0,FF,317,catapult_fpga_latency
Throughput,3.63472470595077,catapult,CLB,161,FF,320,catapult_fpga_latency
Throughput,3.63472470595077,catapult,LUT,943,FF,320,catapult_fpga_latency
Throughput,3.63472470595077,catapult,FF,320,FF,320,catapult_fpga_latency
Throughput,3.63472470595077,catapult,DSP,1,FF,320,catapult_fpga_latency
Throughput,3.63472470595077,catapult,BRAM,0,FF,320,catapult_fpga_latency
Throughput,3.85359424735451,catapult,CLB,163,FF,321,catapult_fpga_latency
Throughput,3.85359424735451,catapult,LUT,958,FF,321,catapult_fpga_latency
Throughput,3.85359424735451,catapult,FF,321,FF,321,catapult_fpga_latency
Throughput,3.85359424735451,catapult,DSP,1,FF,321,catapult_fpga_latency
Throughput,3.85359424735451,catapult,BRAM,0,FF,321,catapult_fpga_latency
Throughput,3.95787240610937,catapult,CLB,165,FF,322,catapult_fpga_latency
Throughput,3.95787240610937,catapult,LUT,964,FF,322,catapult_fpga_latency
Throughput,3.95787240610937,catapult,FF,322,FF,322,catapult_fpga_latency
Throughput,3.95787240610937,catapult,DSP,1,FF,322,catapult_fpga_latency
Throughput,3.95787240610937,catapult,BRAM,0,FF,322,catapult_fpga_latency
Throughput,2.37283952960829,catapult,CLB,162,FF,245,catapult_fpga_latency
Throughput,2.37283952960829,catapult,LUT,1041,FF,245,catapult_fpga_latency
Throughput,2.37283952960829,catapult,FF,245,FF,245,catapult_fpga_latency
Throughput,2.37283952960829,catapult,DSP,1,FF,245,catapult_fpga_latency
Throughput,2.37283952960829,catapult,BRAM,0,FF,245,catapult_fpga_latency
Throughput,2.67111853088481,catapult,CLB,164,FF,341,catapult_fpga_latency
Throughput,2.67111853088481,catapult,LUT,1009,FF,341,catapult_fpga_latency
Throughput,2.67111853088481,catapult,FF,341,FF,341,catapult_fpga_latency
Throughput,2.67111853088481,catapult,DSP,1,FF,341,catapult_fpga_latency
Throughput,2.67111853088481,catapult,BRAM,0,FF,341,catapult_fpga_latency
Throughput,3.45974072702992,catapult,CLB,184,FF,345,catapult_fpga_latency
Throughput,3.45974072702992,catapult,LUT,1099,FF,345,catapult_fpga_latency
Throughput,3.45974072702992,catapult,FF,345,FF,345,catapult_fpga_latency
Throughput,3.45974072702992,catapult,DSP,1,FF,345,catapult_fpga_latency
Throughput,3.45974072702992,catapult,BRAM,0,FF,345,catapult_fpga_latency
Throughput,3.38640966074948,catapult,CLB,181,FF,348,catapult_fpga_latency
Throughput,3.38640966074948,catapult,LUT,1111,FF,348,catapult_fpga_latency
Throughput,3.38640966074948,catapult,FF,348,FF,348,catapult_fpga_latency
Throughput,3.38640966074948,catapult,DSP,1,FF,348,catapult_fpga_latency
Throughput,3.38640966074948,catapult,BRAM,0,FF,348,catapult_fpga_latency
Throughput,3.68367542399104,catapult,CLB,187,FF,349,catapult_fpga_latency
Throughput,3.68367542399104,catapult,LUT,1118,FF,349,catapult_fpga_latency
Throughput,3.68367542399104,catapult,FF,349,FF,349,catapult_fpga_latency
Throughput,3.68367542399104,catapult,DSP,1,FF,349,catapult_fpga_latency
Throughput,3.68367542399104,catapult,BRAM,0,FF,349,catapult_fpga_latency
Throughput,3.32390452416645,catapult,CLB,182,FF,350,catapult_fpga_latency
Throughput,3.32390452416645,catapult,LUT,1112,FF,350,catapult_fpga_latency
Throughput,3.32390452416645,catapult,FF,350,FF,350,catapult_fpga_latency
Throughput,3.32390452416645,catapult,DSP,1,FF,350,catapult_fpga_latency
Throughput,3.32390452416645,catapult,BRAM,0,FF,350,catapult_fpga_latency
Throughput,2.18257692492372,catapult,CLB,141,FF,345,catapult_fpga_latency
Throughput,2.18257692492372,catapult,LUT,832,FF,345,catapult_fpga_latency
Throughput,2.18257692492372,catapult,FF,345,FF,345,catapult_fpga_latency
Throughput,2.18257692492372,catapult,DSP,1,FF,345,catapult_fpga_latency
Throughput,2.18257692492372,catapult,BRAM,0,FF,345,catapult_fpga_latency
Throughput,3.44379892346846,catapult,CLB,150,FF,362,catapult_fpga_latency
Throughput,3.44379892346846,catapult,LUT,895,FF,362,catapult_fpga_latency
Throughput,3.44379892346846,catapult,FF,362,FF,362,catapult_fpga_latency
Throughput,3.44379892346846,catapult,DSP,1,FF,362,catapult_fpga_latency
Throughput,3.44379892346846,catapult,BRAM,0,FF,362,catapult_fpga_latency
Throughput,3.38062832358022,catapult,CLB,162,FF,353,catapult_fpga_latency
Throughput,3.38062832358022,catapult,LUT,922,FF,353,catapult_fpga_latency
Throughput,3.38062832358022,catapult,FF,353,FF,353,catapult_fpga_latency
Throughput,3.38062832358022,catapult,DSP,1,FF,353,catapult_fpga_latency
Throughput,3.38062832358022,catapult,BRAM,0,FF,353,catapult_fpga_latency
Throughput,3.67273034446538,catapult,CLB,164,FF,356,catapult_fpga_latency
Throughput,3.67273034446538,catapult,LUT,971,FF,356,catapult_fpga_latency
Throughput,3.67273034446538,catapult,FF,356,FF,356,catapult_fpga_latency
Throughput,3.67273034446538,catapult,DSP,1,FF,356,catapult_fpga_latency
Throughput,3.67273034446538,catapult,BRAM,0,FF,356,catapult_fpga_latency
Throughput,3.74634263300453,catapult,CLB,167,FF,357,catapult_fpga_latency
Throughput,3.74634263300453,catapult,LUT,978,FF,357,catapult_fpga_latency
