n,knob_dimx_part_factor,knob_unroll_factor,knob_subdim_x,knob_I_B,obj1,obj2,lut,ff,dsp,bram
0687,103680,3,8,0,0.8673,1941,5390,605,1,584
0688,103680,3,16,0,0.8535,2051,5236,607,1,584
0689,103680,3,32,0,0.9197,2187,5521,608,1,584
0690,103680,4,1,0,1.1134,2289,7119,769,1,584
0691,103680,4,2,0,0.9979,2212,6856,715,1,584
0692,103680,4,4,0,0.8714,2101,6296,643,1,584
0693,103680,4,8,0,0.8704,2022,6126,646,1,584
0694,103680,4,16,0,0.8369,2101,6184,649,1,584
0695,103680,4,32,0,0.8165,2113,6420,651,1,584
0696,103680,5,1,0,1.1415,2053,5620,705,1,584
0697,103680,5,2,0,0.8813,2022,6453,728,1,584
0698,103680,5,4,0,1.0270,2263,6238,646,1,584
0699,103680,5,8,0,0.9554,2170,6135,644,1,584
0700,103680,5,16,0,0.9534,2087,6206,645,1,584
0701,103680,5,32,0,0.9456,2348,6146,646,1,584
0702,103680,6,1,0,1.1672,2150,6315,756,1,584
0703,103680,6,2,0,0.9992,2387,6556,738,1,584
0704,103680,6,4,0,0.9893,2018,6125,677,1,584
0705,103680,6,8,0,0.9447,1970,6504,680,1,584
0706,103680,6,16,0,0.9601,2162,5993,683,1,584
0707,103680,6,32,0,0.9195,2066,6043,685,1,584
0708,103680,7,1,0,1.1332,2111,5562,742,1,584
0709,103680,7,2,0,0.8736,2197,6655,643,1,584
0710,103680,7,4,0,1.0056,2225,6087,561,1,584
0711,103680,7,8,0,0.9066,2018,6166,561,1,584
0712,103680,7,16,0,0.8429,2112,5917,560,1,584
0713,103680,7,32,0,0.8933,2255,6221,565,1,584
0714,103680,8,1,0,1.1810,2436,9027,819,1,584
0715,103680,8,2,0,1.0201,2286,7673,668,1,584
0716,103680,8,4,0,0.8761,2266,7765,580,1,584
0717,103680,8,8,0,0.8442,2231,8266,594,1,584
0718,103680,8,16,0,0.8257,2286,7891,589,1,584
0719,103680,8,32,0,0.7966,2321,8010,584,1,584
0720,82944,1,1,0,0.8976,2356,5954,690,1,589
0721,82944,1,2,0,0.7496,2120,5905,698,1,589
0722,82944,1,4,0,0.7685,2236,4962,653,1,589
0723,82944,1,8,0,0.6809,2301,5250,657,1,589
0724,82944,1,16,0,0.6694,2214,5260,653,1,589
0725,82944,1,32,0,0.6758,2179,4858,655,1,589
0726,82944,2,1,0,0.9763,2364,6723,790,1,589
0727,82944,2,2,0,0.8465,2258,6241,715,1,589
0728,82944,2,4,0,0.7986,2590,6437,687,1,589
0729,82944,2,8,0,0.7712,2198,5583,688,1,589
0730,82944,2,16,0,0.7750,2347,5570,689,1,589
0731,82944,2,32,0,0.7302,2355,6056,691,1,589
0732,82944,3,1,0,0.9076,2292,5877,739,1,589
0733,82944,3,2,0,0.8391,2234,6640,736,1,589
0734,82944,3,4,0,0.8098,2290,5916,682,1,589
0735,82944,3,8,0,0.7338,2351,6321,687,1,589
0736,82944,3,16,0,0.7662,2242,6363,686,1,589
0737,82944,3,32,0,0.7539,2209,5873,687,1,589
0738,82944,4,1,0,1.1064,2541,8181,848,1,589
0739,82944,4,2,0,0.9339,2523,8169,762,1,589
0740,82944,4,4,0,0.7714,2483,7293,698,1,589
0741,82944,4,8,0,0.7695,2425,7550,703,1,589
0742,82944,4,16,0,0.8202,2370,6806,705,1,589
0743,82944,4,32,0,0.7452,2398,7353,707,1,589
0744,82944,5,1,0,1.0290,2579,6983,784,1,589
0745,82944,5,2,0,0.8379,2171,7345,772,1,589
0746,82944,5,4,0,0.8858,2338,6195,719,1,589
0747,82944,5,8,0,0.8024,2425,6431,723,1,589
0748,82944,5,16,0,0.8143,2369,6247,723,1,589
0749,82944,5,32,0,0.8790,2310,6620,724,1,589
0750,82944,6,1,0,1.1325,2540,7582,848,1,589
0751,82944,6,2,0,0.8560,2585,7675,790,1,589
0752,82944,6,4,0,0.9399,2255,6823,752,1,589
0753,82944,6,8,0,0.8735,2313,6587,756,1,589
0754,82944,6,16,0,0.8350,2339,6858,758,1,589
0755,82944,6,32,0,0.8788,2475,7408,759,1,589
0756,82944,7,1,0,1.0938,2295,6532,820,1,589
0757,82944,7,2,0,0.8917,2468,7971,689,1,589
0758,82944,7,4,0,0.8325,2469,6881,642,1,589
0759,82944,7,8,0,0.7832,2304,6569,648,1,589
0760,82944,7,16,0,0.7654,2171,6625,642,1,589
0761,82944,7,32,0,0.7587,2306,7073,641,1,589
0762,82944,8,1,0,1.1696,2778,9795,890,1,589
0763,82944,8,2,0,1.0393,2548,9203,732,1,589
0764,82944,8,4,0,0.7925,2610,9149,648,1,589
0765,82944,8,8,0,0.8297,2652,9083,650,1,589
0766,82944,8,16,0,0.8513,2683,8673,660,1,589
0767,82944,8,32,0,0.7876,2532,8069,655,1,589
