Parameter,Throughput_Value,Tool,Resource_Type,Resource_Value,Parameter3,FF_Value,Flow
Throughput,23.176582381162074,vivado,DSP,32,FF,1244,None
Throughput,23.176582381162074,vivado,BRAM,0,FF,1244,None
Throughput,33.733639184995276,vivado,CLB,481,FF,1240,None
Throughput,33.733639184995276,vivado,LUT,2201,FF,1240,None
Throughput,33.733639184995276,vivado,FF,1240,FF,1240,None
Throughput,33.733639184995276,vivado,DSP,32,FF,1240,None
Throughput,33.733639184995276,vivado,BRAM,0,FF,1240,None
Throughput,48.89497359671425,vivado,CLB,476,FF,1236,None
Throughput,48.89497359671425,vivado,LUT,2176,FF,1236,None
Throughput,48.89497359671425,vivado,FF,1236,FF,1236,None
Throughput,48.89497359671425,vivado,DSP,32,FF,1236,None
Throughput,48.89497359671425,vivado,BRAM,0,FF,1236,None
Throughput,61.50439756442586,vivado,CLB,487,FF,1232,None
Throughput,61.50439756442586,vivado,LUT,2147,FF,1232,None
Throughput,61.50439756442586,vivado,FF,1232,FF,1232,None
Throughput,61.50439756442586,vivado,DSP,32,FF,1232,None
Throughput,61.50439756442586,vivado,BRAM,0,FF,1232,None
Throughput,2.2985176859443346,vivado,CLB,335,FF,1086,None
Throughput,2.2985176859443346,vivado,LUT,1505,FF,1086,None
Throughput,2.2985176859443346,vivado,FF,1086,FF,1086,None
Throughput,2.2985176859443346,vivado,DSP,11,FF,1086,None
Throughput,2.2985176859443346,vivado,BRAM,1,FF,1086,None
Throughput,11.855364552459989,vivado,CLB,647,FF,1637,None
Throughput,11.855364552459989,vivado,LUT,2967,FF,1637,None
Throughput,11.855364552459989,vivado,FF,1637,FF,1637,None
Throughput,11.855364552459989,vivado,DSP,40,FF,1637,None
Throughput,11.855364552459989,vivado,BRAM,0,FF,1637,None
Throughput,20.700505092324253,vivado,CLB,792,FF,2467,None
Throughput,20.700505092324253,vivado,LUT,3879,FF,2467,None
Throughput,20.700505092324253,vivado,FF,2467,FF,2467,None
Throughput,20.700505092324253,vivado,DSP,40,FF,2467,None
Throughput,20.700505092324253,vivado,BRAM,0,FF,2467,None
Throughput,36.115424897973924,vivado,CLB,594,FF,1502,None
