n,knob_KNOB_WINDOW_SIZE_X,knob_inner_unroll1,knob_inner_unroll2,knob_outer_unroll,knob_partition_factor,knob_I_B,,obj1,obj2,lut,ff,dsp,bram
0148,1,1,5,2,230400,0,0.507181,810,5121,989,2,1
0149,1,1,5,2,115200,0,0.520162,1185,7257,1109,3,1
0150,1,1,5,2,57600,0,0.487665,1919,11440,1349,3,1
0154,1,1,5,3,460800,0,0.489804,624,3797,909,3,1
0155,1,1,5,3,230400,0,0.500763,718,4471,927,3,1
0156,1,1,5,3,115200,0,0.502639,997,6351,1065,3,1
0157,1,1,5,3,57600,0,0.535898,1658,10591,1353,3,1
0161,1,1,5,4,460800,0,0.522040,910,5808,1017,3,1
0162,1,1,5,4,230400,0,0.552539,1139,6851,1036,3,1
0163,1,1,5,4,115200,0,0.518172,1512,9789,1192,4,1
0164,1,1,5,4,57600,0,0.493620,2330,14260,1400,3,1
0168,1,1,5,5,460800,0,0.492441,650,3947,975,3,1
0170,1,1,5,5,115200,0,0.510023,1135,6858,1129,3,1
0175,1,2,1,1,460800,0,0.449627,334,1903,697,3,1
0176,1,2,1,1,230400,0,0.455647,344,2059,700,3,1
0177,1,2,1,1,115200,0,0.432464,437,2462,741,3,1
0178,1,2,1,1,57600,0,0.446860,560,3124,809,3,1
0182,1,2,1,2,460800,0,0.416658,381,2267,679,3,1
0183,1,2,1,2,230400,0,0.438765,421,2557,684,3,1
0184,1,2,1,2,115200,0,0.449729,508,2936,715,3,1
0185,1,2,1,2,57600,0,0.444170,667,3895,761,3,1
0189,1,2,1,3,460800,0,0.445144,370,2342,781,3,1
0190,1,2,1,3,230400,0,0.459874,415,2548,784,3,1
0191,1,2,1,3,115200,0,0.435358,512,2966,825,3,1
0192,1,2,1,3,57600,0,0.432054,658,3689,893,3,1
0196,1,2,1,4,460800,0,0.471415,500,2929,831,3,1
0197,1,2,1,4,230400,0,0.450516,591,3363,870,3,1
0198,1,2,1,4,115200,0,0.440963,705,4107,901,3,1
0199,1,2,1,4,57600,0,0.431512,833,4981,946,4,1
0203,1,2,1,5,460800,0,0.455647,478,2671,911,3,1
0204,1,2,1,5,230400,0,0.442172,512,2895,915,3,1
0205,1,2,1,5,115200,0,0.422704,567,3250,956,3,1
0206,1,2,1,5,57600,0,0.443504,794,4431,1026,3,1
0210,1,2,2,1,460800,0,0.551168,370,2201,714,3,1
0211,1,2,2,1,230400,0,0.425784,393,2519,724,3,1
0212,1,2,2,1,115200,0,0.431580,508,2959,774,3,1
0213,1,2,2,1,57600,0,0.470177,743,4244,856,3,1
0217,1,2,2,2,460800,0,0.455321,453,2663,727,3,1
0218,1,2,2,2,230400,0,0.438363,472,3012,775,4,1
0219,1,2,2,2,115200,0,0.415483,636,3625,815,4,1
0220,1,2,2,2,57600,0,0.426164,868,5152,878,4,1
0224,1,2,2,3,460800,0,0.446589,420,2499,793,3,1
0225,1,2,2,3,230400,0,0.417584,480,2766,801,3,1
0226,1,2,2,3,115200,0,0.468279,604,3422,851,3,1
0227,1,2,2,3,57600,0,0.432997,845,5063,968,3,1
0231,1,2,2,4,460800,0,0.454956,592,3500,873,3,1
0232,1,2,2,4,230400,0,0.471556,681,4121,885,3,1
0233,1,2,2,4,115200,0,0.463155,897,5126,921,3,1
0234,1,2,2,4,57600,0,0.436509,1146,6856,970,3,1
0238,1,2,2,5,460800,0,0.472658,476,2746,921,3,1
0239,1,2,2,5,230400,0,0.428847,545,3166,931,3,1
0240,1,2,2,5,115200,0,0.445931,711,3903,981,3,1
0241,1,2,2,5,57600,0,0.504244,997,5975,1101,3,1
0245,1,2,3,1,460800,0,0.470179,443,2742,936,3,1
0246,1,2,3,1,230400,0,0.417190,523,3253,936,3,1
