Parameter,Throughput_Value,Tool,Parameter2,Area_Value,Parameter3,FF_Value,Flow
Throughput,35714.28571428572,catapult,Area,15697.458,FF,1838,catapult_asic_latency
Throughput,31250.0,catapult,Area,18695.012,FF,1934,catapult_asic_latency
Throughput,35714.28571428572,catapult,Area,8089.060,FF,848,catapult_asic_latency
Throughput,28571.428571428572,catapult,Area,11996.068,FF,1338,catapult_asic_latency
Throughput,29411.764705882353,catapult,Area,12739.272,FF,1384,catapult_asic_latency
Throughput,28571.428571428572,catapult,Area,14161.574,FF,1530,catapult_asic_latency
Throughput,41666.666666666664,catapult,Area,11181.842,FF,1207,catapult_asic_latency
Throughput,32258.06451612903,catapult,Area,8336.440,FF,827,catapult_asic_latency
Throughput,27777.777777777777,catapult,Area,11412.464,FF,1333,catapult_asic_latency
Throughput,27777.777777777777,catapult,Area,13051.556,FF,1376,catapult_asic_latency
Throughput,27777.777777777777,catapult,Area,14401.240,FF,1524,catapult_asic_latency
Throughput,43478.260869565216,catapult,Area,10756.242,FF,1202,catapult_asic_latency
Throughput,35714.28571428572,catapult,Area,8166.466,FF,849,catapult_asic_latency
Throughput,28571.428571428572,catapult,Area,12443.214,FF,1274,catapult_asic_latency
Throughput,28571.428571428572,catapult,Area,12719.056,FF,1387,catapult_asic_latency
Throughput,29411.764705882353,catapult,Area,14261.058,FF,1532,catapult_asic_latency
Throughput,45454.545454545456,catapult,Area,13976.172,FF,1594,catapult_asic_latency
Throughput,37037.03703703704,catapult,Area,8327.396,FF,819,catapult_asic_latency
Throughput,29411.764705882353,catapult,Area,11390.120,FF,1329,catapult_asic_latency
Throughput,29411.764705882353,catapult,Area,11787.258,FF,1379,catapult_asic_latency
Throughput,29411.764705882353,catapult,Area,14278.348,FF,1524,catapult_asic_latency
Throughput,43478.260869565216,catapult,Area,11064.270,FF,1200,catapult_asic_latency
Throughput,34482.75862068965,catapult,Area,8273.664,FF,848,catapult_asic_latency
Throughput,24999.999999999996,catapult,Area,12543.230,FF,1370,catapult_asic_latency
Throughput,34482.75862068965,catapult,Area,15286.488,FF,1735,catapult_asic_latency
Throughput,35714.28571428572,catapult,Area,15428.798,FF,1751,catapult_asic_latency
Throughput,22727.272727272728,catapult,Area,14564.298,FF,1315,catapult_asic_latency
Throughput,34482.75862068965,catapult,Area,7858.438,FF,827,catapult_asic_latency
Throughput,28571.428571428572,catapult,Area,11650.002,FF,1365,catapult_asic_latency
Throughput,34482.75862068965,catapult,Area,15314.418,FF,1727,catapult_asic_latency
Throughput,34482.75862068965,catapult,Area,15406.986,FF,1745,catapult_asic_latency
Throughput,22727.272727272728,catapult,Area,14040.278,FF,1310,catapult_asic_latency
Throughput,34482.75862068965,catapult,Area,8020.964,FF,848,catapult_asic_latency
Throughput,29411.764705882353,catapult,Area,13135.080,FF,1307,catapult_asic_latency
Throughput,35714.28571428572,catapult,Area,15481.466,FF,1739,catapult_asic_latency
Throughput,34482.75862068965,catapult,Area,15656.228,FF,1751,catapult_asic_latency
Throughput,22222.222222222223,catapult,Area,16082.094,FF,1439,catapult_asic_latency
Throughput,32258.06451612903,catapult,Area,7860.566,FF,819,catapult_asic_latency
Throughput,29411.764705882353,catapult,Area,11665.696,FF,1361,catapult_asic_latency
Throughput,35714.28571428572,catapult,Area,12205.676,FF,1346,catapult_asic_latency
Throughput,35714.28571428572,catapult,Area,14934.304,FF,1745,catapult_asic_latency
Throughput,22727.272727272728,catapult,Area,14068.208,FF,1310,catapult_asic_latency
Throughput,23809.52380952381,catapult,Area,9223.550,FF,882,catapult_asic_latency
Throughput,18867.924528301886,catapult,Area,13109.810,FF,1416,catapult_asic_latency
Throughput,19230.76923076923,catapult,Area,13494.978,FF,1457,catapult_asic_latency
Throughput,19230.76923076923,catapult,Area,15065.974,FF,1603,catapult_asic_latency
Throughput,19607.843137254902,catapult,Area,20312.025,FF,1911,catapult_asic_latency
Throughput,20833.333333333332,catapult,Area,9157.582,FF,865,catapult_asic_latency
Throughput,21276.595744680853,catapult,Area,12480.986,FF,1411,catapult_asic_latency
Throughput,20833.333333333332,catapult,Area,13671.602,FF,1449,catapult_asic_latency
Throughput,21276.595744680853,catapult,Area,15173.438,FF,1597,catapult_asic_latency
Throughput,20000.0,catapult,Area,19808.223,FF,1906,catapult_asic_latency
Throughput,21276.595744680853,catapult,Area,9423.050,FF,885,catapult_asic_latency
Throughput,20000.0,catapult,Area,13905.948,FF,1352,catapult_asic_latency
Throughput,20000.0,catapult,Area,13843.704,FF,1460,catapult_asic_latency
Throughput,20408.163265306124,catapult,Area,15410.444,FF,1603,catapult_asic_latency
Throughput,20000.0,catapult,Area,21880.361,FF,2071,catapult_asic_latency
Throughput,24390.243902439022,catapult,Area,9204.132,FF,856,catapult_asic_latency
Throughput,19607.843137254902,catapult,Area,12028.786,FF,1407,catapult_asic_latency
Throughput,18867.924528301886,catapult,Area,12578.874,FF,1452,catapult_asic_latency
Throughput,19230.76923076923,catapult,Area,14990.430,FF,1597,catapult_asic_latency
Throughput,19230.76923076923,catapult,Area,20246.590,FF,1906,catapult_asic_latency
Throughput,17857.14285714286,catapult,Area,10164.392,FF,1020,catapult_asic_latency
Throughput,14492.753623188406,catapult,Area,14555.786,FF,1479,catapult_asic_latency
Throughput,14084.507042253521,catapult,Area,18370.227,FF,1904,catapult_asic_latency
Throughput,17857.14285714286,catapult,Area,16926.645,FF,1859,catapult_asic_latency
Throughput,14925.373134328358,catapult,Area,20338.893,FF,1957,catapult_asic_latency
Throughput,17543.859649122805,catapult,Area,10028.732,FF,1000,catapult_asic_latency
Throughput,14492.753623188406,catapult,Area,13465.452,FF,1474,catapult_asic_latency
Throughput,15625.0,catapult,Area,17888.500,FF,1896,catapult_asic_latency
Throughput,17543.859649122805,catapult,Area,16846.844,FF,1854,catapult_asic_latency
Throughput,15625.0,catapult,Area,20177.430,FF,1952,catapult_asic_latency
Throughput,17543.859649122805,catapult,Area,10188.332,FF,1020,catapult_asic_latency
Throughput,14285.714285714286,catapult,Area,14806.092,FF,1415,catapult_asic_latency
Throughput,15384.615384615387,catapult,Area,17954.734,FF,1907,catapult_asic_latency
Throughput,17857.14285714286,catapult,Area,17093.426,FF,1860,catapult_asic_latency
Throughput,15151.51515151515,catapult,Area,22237.068,FF,2117,catapult_asic_latency
Throughput,17857.14285714286,catapult,Area,10078.208,FF,991,catapult_asic_latency
Throughput,13333.333333333334,catapult,Area,13322.078,FF,1470,catapult_asic_latency
Throughput,14285.714285714286,catapult,Area,15288.084,FF,1515,catapult_asic_latency
Throughput,18518.51851851852,catapult,Area,16851.898,FF,1853,catapult_asic_latency
Throughput,15625.0,catapult,Area,20005.328,FF,1952,catapult_asic_latency
Throughput,24390.243902439022,catapult,Area,8177.638,FF,823,catapult_asic_latency
Throughput,19230.76923076923,catapult,Area,12091.562,FF,1317,catapult_asic_latency
Throughput,18518.51851851852,catapult,Area,12734.750,FF,1363,catapult_asic_latency
Throughput,19607.843137254902,catapult,Area,14280.210,FF,1509,catapult_asic_latency
Throughput,24999.999999999996,catapult,Area,10978.352,FF,1185,catapult_asic_latency
Throughput,23255.81395348837,catapult,Area,7754.432,FF,810,catapult_asic_latency
Throughput,19230.76923076923,catapult,Area,10701.180,FF,1316,catapult_asic_latency
Throughput,19230.76923076923,catapult,Area,12404.112,FF,1359,catapult_asic_latency
Throughput,18867.924528301886,catapult,Area,13784.120,FF,1507,catapult_asic_latency
Throughput,30303.0303030303,catapult,Area,10476.410,FF,1184,catapult_asic_latency
Throughput,24390.243902439022,catapult,Area,8265.418,FF,827,catapult_asic_latency
Throughput,19607.843137254902,catapult,Area,12571.160,FF,1253,catapult_asic_latency
Throughput,18518.51851851852,catapult,Area,12820.668,FF,1366,catapult_asic_latency
Throughput,19230.76923076923,catapult,Area,14331.282,FF,1509,catapult_asic_latency
Throughput,25641.02564102564,catapult,Area,13642.342,FF,1572,catapult_asic_latency
Throughput,23255.81395348837,catapult,Area,7661.332,FF,804,catapult_asic_latency
Throughput,18867.924528301886,catapult,Area,10697.190,FF,1314,catapult_asic_latency
Throughput,18867.924528301886,catapult,Area,11341.708,FF,1362,catapult_asic_latency
Throughput,18518.51851851852,catapult,Area,13401.346,FF,1509,catapult_asic_latency
Throughput,30303.0303030303,catapult,Area,10464.174,FF,1186,catapult_asic_latency
Throughput,20000.0,catapult,Area,8026.284,FF,832,catapult_asic_latency
Throughput,16666.666666666668,catapult,Area,12506.788,FF,1354,catapult_asic_latency
Throughput,20000.0,catapult,Area,14635.586,FF,1717,catapult_asic_latency
Throughput,20000.0,catapult,Area,15285.690,FF,1735,catapult_asic_latency
Throughput,15151.51515151515,catapult,Area,14169.022,FF,1289,catapult_asic_latency
Throughput,21739.130434782608,catapult,Area,8099.700,FF,815,catapult_asic_latency
Throughput,17857.14285714286,catapult,Area,11463.536,FF,1353,catapult_asic_latency
Throughput,21276.595744680853,catapult,Area,14837.480,FF,1713,catapult_asic_latency
Throughput,21276.595744680853,catapult,Area,15321.600,FF,1733,catapult_asic_latency
Throughput,15625.0,catapult,Area,13701.926,FF,1288,catapult_asic_latency
Throughput,20000.0,catapult,Area,8057.140,FF,832,catapult_asic_latency
Throughput,16949.15254237288,catapult,Area,13363.308,FF,1290,catapult_asic_latency
Throughput,20833.333333333332,catapult,Area,14750.764,FF,1720,catapult_asic_latency
Throughput,20833.333333333332,catapult,Area,15343.412,FF,1735,catapult_asic_latency
Throughput,15625.0,catapult,Area,15609.944,FF,1413,catapult_asic_latency
Throughput,21739.130434782608,catapult,Area,7866.152,FF,809,catapult_asic_latency
Throughput,18181.81818181818,catapult,Area,11510.884,FF,1351,catapult_asic_latency
Throughput,21276.595744680853,catapult,Area,11801.888,FF,1332,catapult_asic_latency
Throughput,21739.130434782608,catapult,Area,14968.352,FF,1735,catapult_asic_latency
Throughput,15384.615384615387,catapult,Area,13703.522,FF,1290,catapult_asic_latency
Throughput,14492.753623188406,catapult,Area,8896.902,FF,869,catapult_asic_latency
Throughput,11494.252873563219,catapult,Area,13249.726,FF,1397,catapult_asic_latency
Throughput,10752.688172043012,catapult,Area,13619.466,FF,1438,catapult_asic_latency
Throughput,11904.761904761905,catapult,Area,15376.130,FF,1580,catapult_asic_latency
Throughput,12820.51282051282,catapult,Area,19861.156,FF,1890,catapult_asic_latency
Throughput,14705.882352941177,catapult,Area,8778.798,FF,852,catapult_asic_latency
Throughput,10989.010989010989,catapult,Area,12392.674,FF,1396,catapult_asic_latency
Throughput,10752.688172043012,catapult,Area,13592.068,FF,1434,catapult_asic_latency
Throughput,10752.688172043012,catapult,Area,15247.120,FF,1582,catapult_asic_latency
Throughput,12820.51282051282,catapult,Area,19365.598,FF,1889,catapult_asic_latency
Throughput,13888.888888888889,catapult,Area,9601.004,FF,870,catapult_asic_latency
Throughput,12048.192771084337,catapult,Area,13865.516,FF,1333,catapult_asic_latency
Throughput,11627.906976744185,catapult,Area,13713.098,FF,1441,catapult_asic_latency
Throughput,11235.955056179775,catapult,Area,15349.796,FF,1584,catapult_asic_latency
