n,knob_KNOB_MAT_SIZE,knob_KNOB_UNROLL_LMM,knob_KNOB_UNROLL_L1,knob_KNOB_UNROLL_L2,knob_KNOB_UNROLL_L3,knob_I_B,knob_KNOB_DATA_BLOCK_INTERLEAVE,obj1,obj2
0111,32,1,2,3,1,0,16,0.0004,51
0112,32,1,2,3,2,0,1024,0.0002,46
0113,32,1,2,3,2,0,512,0.0003,42
0114,32,1,2,3,2,0,256,0.0003,45
0115,32,1,2,3,2,0,128,0.0002,46
0116,32,1,2,3,2,0,64,0.0002,47
0117,32,1,2,3,2,0,32,0.0002,48
0118,32,1,2,3,2,0,16,0.0002,50
0119,32,1,2,3,3,0,1024,0.0003,53
0120,32,1,2,3,3,0,512,0.0003,56
0121,32,1,2,3,3,0,256,0.0003,53
0122,32,1,2,3,3,0,128,0.0003,53
0123,32,1,2,3,3,0,64,0.0003,53
0124,32,1,2,3,3,0,32,0.0003,51
0125,32,1,2,3,3,0,16,0.0003,58
0126,32,1,3,1,1,0,1024,0.0003,43
0127,32,1,3,1,1,0,512,0.0004,43
0128,32,1,3,1,1,0,256,0.0003,46
0129,32,1,3,1,1,0,128,0.0003,44
0130,32,1,3,1,1,0,64,0.0003,45
0131,32,1,3,1,1,0,32,0.0003,42
0132,32,1,3,1,1,0,16,0.0003,59
0133,32,1,3,1,2,0,1024,0.0002,58
0134,32,1,3,1,2,0,512,0.0002,50
0135,32,1,3,1,2,0,256,0.0002,58
0136,32,1,3,1,2,0,128,0.0002,60
0137,32,1,3,1,2,0,64,0.0002,53
0138,32,1,3,1,2,0,32,0.0002,61
0139,32,1,3,1,2,0,16,0.0003,64
0140,32,1,3,1,3,0,1024,0.0003,55
0141,32,1,3,1,3,0,512,0.0004,51
0142,32,1,3,1,3,0,256,0.0003,51
0143,32,1,3,1,3,0,128,0.0003,50
0144,32,1,3,1,3,0,64,0.0003,48
0145,32,1,3,1,3,0,32,0.0003,51
0146,32,1,3,1,3,0,16,0.0003,60
0147,32,1,3,2,1,0,1024,0.0003,46
0148,32,1,3,2,1,0,512,0.0003,39
0149,32,1,3,2,1,0,256,0.0003,45
0150,32,1,3,2,1,0,128,0.0004,42
0151,32,1,3,2,1,0,64,0.0003,42
0152,32,1,3,2,1,0,32,0.0003,44
0153,32,1,3,2,1,0,16,0.0003,45
0154,32,1,3,2,2,0,1024,0.0002,47
0155,32,1,3,2,2,0,512,0.0002,41
0156,32,1,3,2,2,0,256,0.0002,44
0157,32,1,3,2,2,0,128,0.0002,46
0158,32,1,3,2,2,0,64,0.0002,40
0159,32,1,3,2,2,0,32,0.0002,47
0160,32,1,3,2,2,0,16,0.0002,45
0161,32,1,3,2,3,0,1024,0.0003,52
0162,32,1,3,2,3,0,512,0.0003,58
0163,32,1,3,2,3,0,256,0.0003,56
0164,32,1,3,2,3,0,128,0.0003,56
0165,32,1,3,2,3,0,64,0.0003,56
0166,32,1,3,2,3,0,32,0.0003,63
0167,32,1,3,2,3,0,16,0.0003,54
0168,32,1,3,3,1,0,1024,0.0004,46
0169,32,1,3,3,1,0,512,0.0004,48
0170,32,1,3,3,1,0,256,0.0004,47
0171,32,1,3,3,1,0,128,0.0004,48
0172,32,1,3,3,1,0,64,0.0004,52
0173,32,1,3,3,1,0,32,0.0004,50
0174,32,1,3,3,1,0,16,0.0003,49
0175,32,1,3,3,2,0,1024,0.0004,54
0176,32,1,3,3,2,0,512,0.0003,53
0177,32,1,3,3,2,0,256,0.0003,56
0178,32,1,3,3,2,0,128,0.0003,55
0179,32,1,3,3,2,0,64,0.0003,63
0180,32,1,3,3,2,0,32,0.0004,56
0181,32,1,3,3,2,0,16,0.0003,65
0182,32,1,3,3,3,0,1024,0.0004,79
0183,32,1,3,3,3,0,512,0.0004,77
0184,32,1,3,3,3,0,256,0.0004,72
0185,32,1,3,3,3,0,128,0.0004,75
0186,32,1,3,3,3,0,64,0.0003,74
0187,32,1,3,3,3,0,32,0.0004,69
0188,32,1,3,3,3,0,16,0.0004,88
0189,32,2,1,1,1,0,1024,0.0003,42
0190,32,2,1,1,1,0,512,0.0003,40
0191,32,2,1,1,1,0,256,0.0002,44
0192,32,2,1,1,1,0,128,0.0002,45
0193,32,2,1,1,1,0,64,0.0003,42
0194,32,2,1,1,1,0,32,0.0002,41
