n,knob_KNOB_MAT_SIZE,knob_KNOB_UNROLL_LMM,knob_KNOB_UNROLL_L1,knob_KNOB_UNROLL_L2,knob_KNOB_UNROLL_L3,knob_I_B,knob_KNOB_DATA_BLOCK_INTERLEAVE,obj1,obj2
0553,32,3,3,3,2,0,1024,0.0003,75
0554,32,3,3,3,2,0,512,0.0003,63
0555,32,3,3,3,2,0,256,0.0004,59
0556,32,3,3,3,2,0,128,0.0003,69
0557,32,3,3,3,2,0,64,0.0003,67
0558,32,3,3,3,2,0,32,0.0003,65
0559,32,3,3,3,2,0,16,0.0003,73
0560,32,3,3,3,3,0,1024,0.0004,87
0561,32,3,3,3,3,0,512,0.0004,82
0562,32,3,3,3,3,0,256,0.0004,81
0563,32,3,3,3,3,0,128,0.0005,87
0564,32,3,3,3,3,0,64,0.0004,85
0565,32,3,3,3,3,0,32,0.0004,83
0566,32,3,3,3,3,0,16,0.0004,86
0567,32,4,1,1,1,0,1024,0.0003,43
0568,32,4,1,1,1,0,512,0.0003,38
0569,32,4,1,1,1,0,256,0.0003,45
0570,32,4,1,1,1,0,128,0.0003,44
0571,32,4,1,1,1,0,64,0.0003,41
0572,32,4,1,1,1,0,32,0.0003,45
0573,32,4,1,1,1,0,16,0.0003,46
0574,32,4,1,1,2,0,1024,0.0002,46
0575,32,4,1,1,2,0,512,0.0002,45
0576,32,4,1,1,2,0,256,0.0002,40
0577,32,4,1,1,2,0,128,0.0002,38
0578,32,4,1,1,2,0,64,0.0002,39
0579,32,4,1,1,2,0,32,0.0002,37
0580,32,4,1,1,2,0,16,0.0002,50
0581,32,4,1,1,3,0,1024,0.0003,47
0582,32,4,1,1,3,0,512,0.0003,51
0583,32,4,1,1,3,0,256,0.0003,51
0584,32,4,1,1,3,0,128,0.0003,46
0585,32,4,1,1,3,0,64,0.0003,55
0586,32,4,1,1,3,0,32,0.0003,46
0587,32,4,1,1,3,0,16,0.0003,50
0588,32,4,1,2,1,0,1024,0.0003,43
0589,32,4,1,2,1,0,512,0.0003,37
0590,32,4,1,2,1,0,256,0.0003,40
0591,32,4,1,2,1,0,128,0.0003,39
0592,32,4,1,2,1,0,64,0.0002,36
0593,32,4,1,2,1,0,32,0.0002,38
0594,32,4,1,2,1,0,16,0.0003,70
0595,32,4,1,2,2,0,1024,0.0002,45
0596,32,4,1,2,2,0,512,0.0002,38
0597,32,4,1,2,2,0,256,0.0002,43
0598,32,4,1,2,2,0,128,0.0002,42
0599,32,4,1,2,2,0,64,0.0002,39
0600,32,4,1,2,2,0,32,0.0002,46
0601,32,4,1,2,2,0,16,0.0003,46
0602,32,4,1,2,3,0,1024,0.0003,51
0603,32,4,1,2,3,0,512,0.0003,49
0604,32,4,1,2,3,0,256,0.0003,48
0605,32,4,1,2,3,0,128,0.0003,50
0606,32,4,1,2,3,0,64,0.0003,45
0607,32,4,1,2,3,0,32,0.0003,46
0608,32,4,1,2,3,0,16,0.0003,57
0609,32,4,1,3,1,0,1024,0.0003,54
0610,32,4,1,3,1,0,512,0.0003,51
0611,32,4,1,3,1,0,256,0.0003,55
0612,32,4,1,3,1,0,128,0.0004,50
0613,32,4,1,3,1,0,64,0.0003,55
0614,32,4,1,3,1,0,32,0.0003,50
0615,32,4,1,3,1,0,16,0.0003,51
0616,32,4,1,3,2,0,1024,0.0002,40
0617,32,4,1,3,2,0,512,0.0002,38
0618,32,4,1,3,2,0,256,0.0002,43
0619,32,4,1,3,2,0,128,0.0002,38
0620,32,4,1,3,2,0,64,0.0002,37
0621,32,4,1,3,2,0,32,0.0002,38
0622,32,4,1,3,2,0,16,0.0002,51
0623,32,4,1,3,3,0,1024,0.0003,51
0624,32,4,1,3,3,0,512,0.0003,49
0625,32,4,1,3,3,0,256,0.0004,53
0626,32,4,1,3,3,0,128,0.0003,47
0627,32,4,1,3,3,0,64,0.0003,49
0628,32,4,1,3,3,0,32,0.0003,52
0629,32,4,1,3,3,0,16,0.0003,57
0630,32,4,2,1,1,0,1024,0.0003,48
0631,32,4,2,1,1,0,512,0.0003,40
0632,32,4,2,1,1,0,256,0.0004,40
0633,32,4,2,1,1,0,128,0.0003,42
0634,32,4,2,1,1,0,64,0.0003,45
0635,32,4,2,1,1,0,32,0.0003,43
0636,32,4,2,1,1,0,16,0.0003,48
0637,32,4,2,1,2,0,1024,0.0002,45
0638,32,4,2,1,2,0,512,0.0002,43
0639,32,4,2,1,2,0,256,0.0002,46
0640,32,4,2,1,2,0,128,0.0002,45
0641,32,4,2,1,2,0,64,0.0002,38
0642,32,4,2,1,2,0,32,0.0003,39
0643,32,4,2,1,2,0,16,0.0002,48
0644,32,4,2,1,3,0,1024,0.0003,48
0645,32,4,2,1,3,0,512,0.0003,62
0646,32,4,2,1,3,0,256,0.0003,62
0647,32,4,2,1,3,0,128,0.0003,60
0648,32,4,2,1,3,0,64,0.0003,56
0649,32,4,2,1,3,0,32,0.0003,52
0650,32,4,2,1,3,0,16,0.0003,71
0651,32,4,2,2,1,0,1024,0.0003,46
0652,32,4,2,2,1,0,512,0.0003,42
0653,32,4,2,2,1,0,256,0.0003,48
0654,32,4,2,2,1,0,128,0.0003,43
0655,32,4,2,2,1,0,64,0.0003,42
0656,32,4,2,2,1,0,32,0.0003,36
0657,32,4,2,2,1,0,16,0.0003,45
0658,32,4,2,2,2,0,1024,0.0002,44
0659,32,4,2,2,2,0,512,0.0002,40
0660,32,4,2,2,2,0,256,0.0002,38
0661,32,4,2,2,2,0,128,0.0002,38
0662,32,4,2,2,2,0,64,0.0002,38
0663,32,4,2,2,2,0,32,0.0002,37
0664,32,4,2,2,2,0,16,0.0002,48
0665,32,4,2,2,3,0,1024,0.0003,53
0666,32,4,2,2,3,0,512,0.0003,43
0667,32,4,2,2,3,0,256,0.0003,50
0668,32,4,2,2,3,0,128,0.0003,41
0669,32,4,2,2,3,0,64,0.0003,50
0670,32,4,2,2,3,0,32,0.0003,44
0671,32,4,2,2,3,0,16,0.0003,56
0672,32,4,2,3,1,0,1024,0.0003,57
0673,32,4,2,3,1,0,512,0.0003,44
0674,32,4,2,3,1,0,256,0.0004,42
0675,32,4,2,3,1,0,128,0.0003,42
0676,32,4,2,3,1,0,64,0.0003,39
0677,32,4,2,3,1,0,32,0.0003,40
0678,32,4,2,3,1,0,16,0.0003,50
0679,32,4,2,3,2,0,1024,0.0002,53
0680,32,4,2,3,2,0,512,0.0002,44
0681,32,4,2,3,2,0,256,0.0002,39
0682,32,4,2,3,2,0,128,0.0003,40
0683,32,4,2,3,2,0,64,0.0002,42
0684,32,4,2,3,2,0,32,0.0002,40
0685,32,4,2,3,2,0,16,0.0002,52
0686,32,4,2,3,3,0,1024,0.0003,51
0687,32,4,2,3,3,0,512,0.0003,52
0688,32,4,2,3,3,0,256,0.0004,53
0689,32,4,2,3,3,0,128,0.0003,51
0690,32,4,2,3,3,0,64,0.0003,57
0691,32,4,2,3,3,0,32,0.0003,54
0692,32,4,2,3,3,0,16,0.0004,58
0693,32,4,3,1,1,0,1024,0.0003,51
0694,32,4,3,1,1,0,512,0.0004,42
0695,32,4,3,1,1,0,256,0.0003,46
0696,32,4,3,1,1,0,128,0.0003,47
0697,32,4,3,1,1,0,64,0.0003,44
0698,32,4,3,1,1,0,32,0.0003,47
0699,32,4,3,1,1,0,16,0.0003,55
0700,32,4,3,1,2,0,1024,0.0002,47
0701,32,4,3,1,2,0,512,0.0002,39
0702,32,4,3,1,2,0,256,0.0002,40
0703,32,4,3,1,2,0,128,0.0002,45
0704,32,4,3,1,2,0,64,0.0002,42
0705,32,4,3,1,2,0,32,0.0002,48
0706,32,4,3,1,2,0,16,0.0002,50
0707,32,4,3,1,3,0,1024,0.0003,64
0708,32,4,3,1,3,0,512,0.0003,54
0709,32,4,3,1,3,0,256,0.0003,56
0710,32,4,3,1,3,0,128,0.0004,53
0711,32,4,3,1,3,0,64,0.0003,54
0712,32,4,3,1,3,0,32,0.0003,54
0713,32,4,3,1,3,0,16,0.0004,60
0714,32,4,3,2,1,0,1024,0.0003,44
0715,32,4,3,2,1,0,512,0.0003,40
0716,32,4,3,2,1,0,256,0.0003,47
0717,32,4,3,2,1,0,128,0.0003,44
0718,32,4,3,2,1,0,64,0.0003,43
0719,32,4,3,2,1,0,32,0.0003,45
0720,32,4,3,2,1,0,16,0.0003,52
0721,32,4,3,2,2,0,1024,0.0002,47
0722,32,4,3,2,2,0,512,0.0002,44
0723,32,4,3,2,2,0,256,0.0003,42
0724,32,4,3,2,2,0,128,0.0002,50
0725,32,4,3,2,2,0,64,0.0003,46
0726,32,4,3,2,2,0,32,0.0002,51
0727,32,4,3,2,2,0,16,0.0002,52
0728,32,4,3,2,3,0,1024,0.0003,57
0729,32,4,3,2,3,0,512,0.0003,56
0730,32,4,3,2,3,0,256,0.0003,54
0731,32,4,3,2,3,0,128,0.0003,53
0732,32,4,3,2,3,0,64,0.0003,53
0733,32,4,3,2,3,0,32,0.0003,55
0734,32,4,3,2,3,0,16,0.0003,59
0735,32,4,3,3,1,0,1024,0.0004,46
0736,32,4,3,3,1,0,512,0.0004,49
0737,32,4,3,3,1,0,256,0.0004,52
0738,32,4,3,3,1,0,128,0.0004,54
0739,32,4,3,3,1,0,64,0.0004,52
0740,32,4,3,3,1,0,32,0.0004,44
0741,32,4,3,3,1,0,16,0.0003,52
0742,32,4,3,3,2,0,1024,0.0003,55
0743,32,4,3,3,2,0,512,0.0003,58
0744,32,4,3,3,2,0,256,0.0003,65
0745,32,4,3,3,2,0,128,0.0003,64
0746,32,4,3,3,2,0,64,0.0003,60
0747,32,4,3,3,2,0,32,0.0003,54
0748,32,4,3,3,2,0,16,0.0003,65
0749,32,4,3,3,3,0,1024,0.0004,69
0750,32,4,3,3,3,0,512,0.0004,65
0751,32,4,3,3,3,0,256,0.0004,73
0752,32,4,3,3,3,0,128,0.0004,72
0753,32,4,3,3,3,0,64,0.0004,71
0754,32,4,3,3,3,0,32,0.0004,71
0755,32,4,3,3,3,0,16,0.0004,83
0756,32,5,1,1,1,0,1024,0.0004,51
0757,32,5,1,1,1,0,512,0.0003,52
0758,32,5,1,1,1,0,256,0.0003,50
0759,32,5,1,1,1,0,128,0.0003,46
0760,32,5,1,1,1,0,64,0.0004,50
0761,32,5,1,1,1,0,32,0.0004,48
0762,32,5,1,1,1,0,16,0.0003,60
0763,32,5,1,1,2,0,1024,0.0002,51
0764,32,5,1,1,2,0,512,0.0002,51
0765,32,5,1,1,2,0,256,0.0002,48
0766,32,5,1,1,2,0,128,0.0002,51
0767,32,5,1,1,2,0,64,0.0002,48
0768,32,5,1,1,2,0,32,0.0002,49
0769,32,5,1,1,2,0,16,0.0002,61
0770,32,5,1,1,3,0,1024,0.0003,58
0771,32,5,1,1,3,0,512,0.0004,60
0772,32,5,1,1,3,0,256,0.0003,63
0773,32,5,1,1,3,0,128,0.0003,66
0774,32,5,1,1,3,0,64,0.0003,63
0775,32,5,1,1,3,0,32,0.0003,59
0776,32,5,1,1,3,0,16,0.0003,75
0777,32,5,1,2,1,0,1024,0.0003,56
0778,32,5,1,2,1,0,512,0.0003,52
0779,32,5,1,2,1,0,256,0.0004,52
0780,32,5,1,2,1,0,128,0.0003,49
0781,32,5,1,2,1,0,64,0.0004,53
0782,32,5,1,2,1,0,32,0.0003,55
0783,32,5,1,2,1,0,16,0.0003,57
0784,32,5,1,2,2,0,1024,0.0002,49
0785,32,5,1,2,2,0,512,0.0002,53
0786,32,5,1,2,2,0,256,0.0002,53
0787,32,5,1,2,2,0,128,0.0002,55
0788,32,5,1,2,2,0,64,0.0002,51
0789,32,5,1,2,2,0,32,0.0002,54
0790,32,5,1,2,2,0,16,0.0002,61
0791,32,5,1,2,3,0,1024,0.0003,65
0792,32,5,1,2,3,0,512,0.0003,64
0793,32,5,1,2,3,0,256,0.0003,58
0794,32,5,1,2,3,0,128,0.0003,62
0795,32,5,1,2,3,0,64,0.0003,61
0796,32,5,1,2,3,0,32,0.0003,60
0797,32,5,1,2,3,0,16,0.0003,66
0798,32,5,1,3,1,0,1024,0.0004,69
0799,32,5,1,3,1,0,512,0.0003,73
0800,32,5,1,3,1,0,256,0.0003,63
0801,32,5,1,3,1,0,128,0.0004,50
0802,32,5,1,3,1,0,64,0.0004,58
0803,32,5,1,3,1,0,32,0.0003,58
0804,32,5,1,3,1,0,16,0.0003,63
0805,32,5,1,3,2,0,1024,0.0003,66
0806,32,5,1,3,2,0,512,0.0002,67
0807,32,5,1,3,2,0,256,0.0003,50
0808,32,5,1,3,2,0,128,0.0002,53
0809,32,5,1,3,2,0,64,0.0002,47
0810,32,5,1,3,2,0,32,0.0002,48
0811,32,5,1,3,2,0,16,0.0002,57
0812,32,5,1,3,3,0,1024,0.0003,63
0813,32,5,1,3,3,0,512,0.0003,60
0814,32,5,1,3,3,0,256,0.0003,69
0815,32,5,1,3,3,0,128,0.0003,67
0816,32,5,1,3,3,0,64,0.0003,64
0817,32,5,1,3,3,0,32,0.0003,65
0818,32,5,1,3,3,0,16,0.0003,70
0819,32,5,2,1,1,0,1024,0.0003,58
0820,32,5,2,1,1,0,512,0.0003,55
0821,32,5,2,1,1,0,256,0.0003,54
0822,32,5,2,1,1,0,128,0.0003,55
0823,32,5,2,1,1,0,64,0.0003,55
0824,32,5,2,1,1,0,32,0.0003,56
0825,32,5,2,1,1,0,16,0.0003,61
0826,32,5,2,1,2,0,1024,0.0002,54
0827,32,5,2,1,2,0,512,0.0002,55
0828,32,5,2,1,2,0,256,0.0003,54
0829,32,5,2,1,2,0,128,0.0002,50
0830,32,5,2,1,2,0,64,0.0002,49
0831,32,5,2,1,2,0,32,0.0002,49
0832,32,5,2,1,2,0,16,0.0002,55
0833,32,5,2,1,3,0,1024,0.0003,66
0834,32,5,2,1,3,0,512,0.0003,58
0835,32,5,2,1,3,0,256,0.0003,61
0836,32,5,2,1,3,0,128,0.0003,61
0837,32,5,2,1,3,0,64,0.0003,58
0838,32,5,2,1,3,0,32,0.0003,63
0839,32,5,2,1,3,0,16,0.0003,66
0840,32,5,2,2,1,0,1024,0.0003,59
0841,32,5,2,2,1,0,512,0.0003,49
0842,32,5,2,2,1,0,256,0.0004,56
0843,32,5,2,2,1,0,128,0.0004,56
0844,32,5,2,2,1,0,64,0.0004,54
0845,32,5,2,2,1,0,32,0.0003,59
0846,32,5,2,2,1,0,16,0.0003,52
0847,32,5,2,2,2,0,1024,0.0002,50
0848,32,5,2,2,2,0,512,0.0002,52
0849,32,5,2,2,2,0,256,0.0002,52
0850,32,5,2,2,2,0,128,0.0002,54
0851,32,5,2,2,2,0,64,0.0002,49
0852,32,5,2,2,2,0,32,0.0002,51
0853,32,5,2,2,2,0,16,0.0002,57
0854,32,5,2,2,3,0,1024,0.0003,60
0855,32,5,2,2,3,0,512,0.0003,62
0856,32,5,2,2,3,0,256,0.0003,60
0857,32,5,2,2,3,0,128,0.0003,64
0858,32,5,2,2,3,0,64,0.0003,56
0859,32,5,2,2,3,0,32,0.0003,59
0860,32,5,2,2,3,0,16,0.0003,63
0861,32,5,2,3,1,0,1024,0.0003,63
0862,32,5,2,3,1,0,512,0.0003,65
0863,32,5,2,3,1,0,256,0.0003,50
0864,32,5,2,3,1,0,128,0.0004,54
0865,32,5,2,3,1,0,64,0.0004,53
0866,32,5,2,3,1,0,32,0.0003,52
0867,32,5,2,3,1,0,16,0.0003,59
0868,32,5,2,3,2,0,1024,0.0003,58
0869,32,5,2,3,2,0,512,0.0003,59
0870,32,5,2,3,2,0,256,0.0003,53
0871,32,5,2,3,2,0,128,0.0002,56
0872,32,5,2,3,2,0,64,0.0003,56
0873,32,5,2,3,2,0,32,0.0002,54
0874,32,5,2,3,2,0,16,0.0002,65
0875,32,5,2,3,3,0,1024,0.0004,75
0876,32,5,2,3,3,0,512,0.0004,67
0877,32,5,2,3,3,0,256,0.0003,73
0878,32,5,2,3,3,0,128,0.0003,69
0879,32,5,2,3,3,0,64,0.0003,75
0880,32,5,2,3,3,0,32,0.0004,63
0881,32,5,2,3,3,0,16,0.0003,77
0882,32,5,3,1,1,0,1024,0.0003,60
0883,32,5,3,1,1,0,512,0.0003,51
0884,32,5,3,1,1,0,256,0.0003,56
0885,32,5,3,1,1,0,128,0.0004,54
0886,32,5,3,1,1,0,64,0.0003,60
0887,32,5,3,1,1,0,32,0.0004,54
0888,32,5,3,1,1,0,16,0.0004,67
0889,32,5,3,1,2,0,1024,0.0002,54
0890,32,5,3,1,2,0,512,0.0003,54
0891,32,5,3,1,2,0,256,0.0002,53
0892,32,5,3,1,2,0,128,0.0003,49
0893,32,5,3,1,2,0,64,0.0002,51
0894,32,5,3,1,2,0,32,0.0003,46
0895,32,5,3,1,2,0,16,0.0002,61
0896,32,5,3,1,3,0,1024,0.0003,67
0897,32,5,3,1,3,0,512,0.0003,67
0898,32,5,3,1,3,0,256,0.0003,64
0899,32,5,3,1,3,0,128,0.0003,65
0900,32,5,3,1,3,0,64,0.0003,67
0901,32,5,3,1,3,0,32,0.0003,67
0902,32,5,3,1,3,0,16,0.0003,68
0903,32,5,3,2,1,0,1024,0.0003,53
0904,32,5,3,2,1,0,512,0.0004,54
0905,32,5,3,2,1,0,256,0.0003,54
0906,32,5,3,2,1,0,128,0.0003,54
0907,32,5,3,2,1,0,64,0.0003,53
0908,32,5,3,2,1,0,32,0.0003,52
0909,32,5,3,2,1,0,16,0.0003,54
0910,32,5,3,2,2,0,1024,0.0002,57
0911,32,5,3,2,2,0,512,0.0003,59
0912,32,5,3,2,2,0,256,0.0002,62
0913,32,5,3,2,2,0,128,0.0003,52
0914,32,5,3,2,2,0,64,0.0003,53
0915,32,5,3,2,2,0,32,0.0003,50
0916,32,5,3,2,2,0,16,0.0002,65
0917,32,5,3,2,3,0,1024,0.0003,72
0918,32,5,3,2,3,0,512,0.0003,79
0919,32,5,3,2,3,0,256,0.0003,75
0920,32,5,3,2,3,0,128,0.0003,84
0921,32,5,3,2,3,0,64,0.0003,77
0922,32,5,3,2,3,0,32,0.0003,81
0923,32,5,3,2,3,0,16,0.0004,78
0924,32,5,3,3,1,0,1024,0.0004,59
0925,32,5,3,3,1,0,512,0.0005,59
0926,32,5,3,3,1,0,256,0.0004,72
0927,32,5,3,3,1,0,128,0.0004,69
0928,32,5,3,3,1,0,64,0.0003,58
0929,32,5,3,3,1,0,32,0.0004,70
0930,32,5,3,3,1,0,16,0.0004,75
0931,32,5,3,3,2,0,1024,0.0003,76
0932,32,5,3,3,2,0,512,0.0003,67
0933,32,5,3,3,2,0,256,0.0003,72
0934,32,5,3,3,2,0,128,0.0003,76
0935,32,5,3,3,2,0,64,0.0003,66
0936,32,5,3,3,2,0,32,0.0003,68
0937,32,5,3,3,2,0,16,0.0003,69
0938,32,5,3,3,3,0,1024,0.0004,91
0939,32,5,3,3,3,0,512,0.0004,90
0940,32,5,3,3,3,0,256,0.0004,84
0941,32,5,3,3,3,0,128,0.0004,87
0942,32,5,3,3,3,0,64,0.0004,90
0943,32,5,3,3,3,0,32,0.0004,85
0944,32,5,3,3,3,0,16,0.0004,89
0945,32,6,1,1,1,0,1024,0.0003,49
0946,32,6,1,1,1,0,512,0.0002,42
0947,32,6,1,1,1,0,256,0.0003,50
0948,32,6,1,1,1,0,128,0.0003,49
0949,32,6,1,1,1,0,64,0.0003,46
0950,32,6,1,1,1,0,32,0.0003,44
0951,32,6,1,1,1,0,16,0.0003,52
0952,32,6,1,1,2,0,1024,0.0002,44
0953,32,6,1,1,2,0,512,0.0002,47
0954,32,6,1,1,2,0,256,0.0002,48
0955,32,6,1,1,2,0,128,0.0002,51
0956,32,6,1,1,2,0,64,0.0002,49
0957,32,6,1,1,2,0,32,0.0002,47
0958,32,6,1,1,2,0,16,0.0002,53
0959,32,6,1,1,3,0,1024,0.0003,56
0960,32,6,1,1,3,0,512,0.0003,55
0961,32,6,1,1,3,0,256,0.0003,53
0962,32,6,1,1,3,0,128,0.0003,58
0963,32,6,1,1,3,0,64,0.0003,53
0964,32,6,1,1,3,0,32,0.0003,58
0965,32,6,1,1,3,0,16,0.0003,63
0966,32,6,1,2,1,0,1024,0.0004,47
0967,32,6,1,2,1,0,512,0.0003,47
0968,32,6,1,2,1,0,256,0.0004,48
0969,32,6,1,2,1,0,128,0.0003,51
0970,32,6,1,2,1,0,64,0.0003,47
0971,32,6,1,2,1,0,32,0.0003,49
0972,32,6,1,2,1,0,16,0.0003,67
0973,32,6,1,2,2,0,1024,0.0003,48
0974,32,6,1,2,2,0,512,0.0002,47
0975,32,6,1,2,2,0,256,0.0002,50
0976,32,6,1,2,2,0,128,0.0002,48
0977,32,6,1,2,2,0,64,0.0002,48
0978,32,6,1,2,2,0,32,0.0002,47
0979,32,6,1,2,2,0,16,0.0002,61
0980,32,6,1,2,3,0,1024,0.0003,52
0981,32,6,1,2,3,0,512,0.0003,47
0982,32,6,1,2,3,0,256,0.0003,48
0983,32,6,1,2,3,0,128,0.0003,50
0984,32,6,1,2,3,0,64,0.0003,48
0985,32,6,1,2,3,0,32,0.0003,50
0986,32,6,1,2,3,0,16,0.0003,66
0987,32,6,1,3,1,0,1024,0.0003,54
0988,32,6,1,3,1,0,512,0.0004,53
0989,32,6,1,3,1,0,256,0.0004,57
0990,32,6,1,3,1,0,128,0.0003,53
0991,32,6,1,3,1,0,64,0.0003,60
0992,32,6,1,3,1,0,32,0.0003,51
0993,32,6,1,3,1,0,16,0.0004,54
0994,32,6,1,3,2,0,1024,0.0003,52
0995,32,6,1,3,2,0,512,0.0002,52
0996,32,6,1,3,2,0,256,0.0004,44
0997,32,6,1,3,2,0,128,0.0002,43
0998,32,6,1,3,2,0,64,0.0002,48
0999,32,6,1,3,2,0,32,0.0002,48
1000,32,6,1,3,2,0,16,0.0002,50
1001,32,6,1,3,3,0,1024,0.0003,60
1002,32,6,1,3,3,0,512,0.0003,58
1003,32,6,1,3,3,0,256,0.0003,53
1004,32,6,1,3,3,0,128,0.0003,59
1005,32,6,1,3,3,0,64,0.0003,52
1006,32,6,1,3,3,0,32,0.0003,54
1007,32,6,1,3,3,0,16,0.0003,59
1008,32,6,2,1,1,0,1024,0.0003,51
1009,32,6,2,1,1,0,512,0.0004,53
1010,32,6,2,1,1,0,256,0.0003,50
1011,32,6,2,1,1,0,128,0.0003,45
1012,32,6,2,1,1,0,64,0.0003,49
1013,32,6,2,1,1,0,32,0.0003,49
1014,32,6,2,1,1,0,16,0.0003,52
1015,32,6,2,1,2,0,1024,0.0002,57
1016,32,6,2,1,2,0,512,0.0002,52
1017,32,6,2,1,2,0,256,0.0002,56
1018,32,6,2,1,2,0,128,0.0002,44
1019,32,6,2,1,2,0,64,0.0002,50
1020,32,6,2,1,2,0,32,0.0002,44
1021,32,6,2,1,2,0,16,0.0002,48
1022,32,6,2,1,3,0,1024,0.0003,50
1023,32,6,2,1,3,0,512,0.0003,53
1024,32,6,2,1,3,0,256,0.0003,50
1025,32,6,2,1,3,0,128,0.0003,50
1026,32,6,2,1,3,0,64,0.0003,51
1027,32,6,2,1,3,0,32,0.0003,54
1028,32,6,2,1,3,0,16,0.0003,64
1029,32,6,2,2,1,0,1024,0.0004,53
1030,32,6,2,2,1,0,512,0.0003,51
1031,32,6,2,2,1,0,256,0.0003,48
1032,32,6,2,2,1,0,128,0.0003,51
1033,32,6,2,2,1,0,64,0.0004,53
1034,32,6,2,2,1,0,32,0.0002,47
1035,32,6,2,2,1,0,16,0.0004,52
1036,32,6,2,2,2,0,1024,0.0002,49
1037,32,6,2,2,2,0,512,0.0002,51
1038,32,6,2,2,2,0,256,0.0002,46
1039,32,6,2,2,2,0,128,0.0003,44
1040,32,6,2,2,2,0,64,0.0002,47
1041,32,6,2,2,2,0,32,0.0002,44
1042,32,6,2,2,2,0,16,0.0002,57
1043,32,6,2,2,3,0,1024,0.0003,59
1044,32,6,2,2,3,0,512,0.0003,54
1045,32,6,2,2,3,0,256,0.0003,51
1046,32,6,2,2,3,0,128,0.0003,54
1047,32,6,2,2,3,0,64,0.0003,53
1048,32,6,2,2,3,0,32,0.0003,52
1049,32,6,2,2,3,0,16,0.0003,55
1050,32,6,2,3,1,0,1024,0.0004,56
1051,32,6,2,3,1,0,512,0.0003,50
1052,32,6,2,3,1,0,256,0.0003,50
1053,32,6,2,3,1,0,128,0.0003,44
1054,32,6,2,3,1,0,64,0.0004,47
1055,32,6,2,3,1,0,32,0.0003,47
1056,32,6,2,3,1,0,16,0.0004,56
1057,32,6,2,3,2,0,1024,0.0002,50
1058,32,6,2,3,2,0,512,0.0002,52
1059,32,6,2,3,2,0,256,0.0002,50
1060,32,6,2,3,2,0,128,0.0003,47
1061,32,6,2,3,2,0,64,0.0003,45
1062,32,6,2,3,2,0,32,0.0002,51
1063,32,6,2,3,2,0,16,0.0002,54
1064,32,6,2,3,3,0,1024,0.0004,64
1065,32,6,2,3,3,0,512,0.0003,58
1066,32,6,2,3,3,0,256,0.0003,60
1067,32,6,2,3,3,0,128,0.0003,54
1068,32,6,2,3,3,0,64,0.0003,60
1069,32,6,2,3,3,0,32,0.0003,63
1070,32,6,2,3,3,0,16,0.0003,62
1071,32,6,3,1,1,0,1024,0.0004,57
1072,32,6,3,1,1,0,512,0.0003,50
1073,32,6,3,1,1,0,256,0.0004,50
1074,32,6,3,1,1,0,128,0.0003,50
1075,32,6,3,1,1,0,64,0.0003,50
1076,32,6,3,1,1,0,32,0.0003,45
1077,32,6,3,1,1,0,16,0.0004,51
1078,32,6,3,1,2,0,1024,0.0003,49
1079,32,6,3,1,2,0,512,0.0002,49
1080,32,6,3,1,2,0,256,0.0003,52
1081,32,6,3,1,2,0,128,0.0003,50
1082,32,6,3,1,2,0,64,0.0002,45
1083,32,6,3,1,2,0,32,0.0002,45
1084,32,6,3,1,2,0,16,0.0002,60
1085,32,6,3,1,3,0,1024,0.0003,54
1086,32,6,3,1,3,0,512,0.0003,62
1087,32,6,3,1,3,0,256,0.0003,58
1088,32,6,3,1,3,0,128,0.0003,60
1089,32,6,3,1,3,0,64,0.0003,59
1090,32,6,3,1,3,0,32,0.0003,56
1091,32,6,3,1,3,0,16,0.0003,64
1092,32,6,3,2,1,0,1024,0.0003,59
1093,32,6,3,2,1,0,512,0.0003,49
1094,32,6,3,2,1,0,256,0.0004,47
1095,32,6,3,2,1,0,128,0.0004,46
1096,32,6,3,2,1,0,64,0.0003,53
1097,32,6,3,2,1,0,32,0.0004,50
1098,32,6,3,2,1,0,16,0.0003,56
1099,32,6,3,2,2,0,1024,0.0003,52
1100,32,6,3,2,2,0,512,0.0002,54
1101,32,6,3,2,2,0,256,0.0002,47
1102,32,6,3,2,2,0,128,0.0003,50
1103,32,6,3,2,2,0,64,0.0002,52
1104,32,6,3,2,2,0,32,0.0002,56
1105,32,6,3,2,2,0,16,0.0002,57
1106,32,6,3,2,3,0,1024,0.0004,68
1107,32,6,3,2,3,0,512,0.0003,68
1108,32,6,3,2,3,0,256,0.0004,68
1109,32,6,3,2,3,0,128,0.0004,68
1110,32,6,3,2,3,0,64,0.0004,63
1111,32,6,3,2,3,0,32,0.0003,63
1112,32,6,3,2,3,0,16,0.0004,76
1113,32,6,3,3,1,0,1024,0.0004,72
1114,32,6,3,3,1,0,512,0.0003,57
1115,32,6,3,3,1,0,256,0.0004,55
1116,32,6,3,3,1,0,128,0.0004,54
1117,32,6,3,3,1,0,64,0.0004,55
1118,32,6,3,3,1,0,32,0.0004,57
1119,32,6,3,3,1,0,16,0.0004,58
1120,32,6,3,3,2,0,1024,0.0003,64
1121,32,6,3,3,2,0,512,0.0003,68
1122,32,6,3,3,2,0,256,0.0003,67
1123,32,6,3,3,2,0,128,0.0004,69
1124,32,6,3,3,2,0,64,0.0003,68
1125,32,6,3,3,2,0,32,0.0003,62
1126,32,6,3,3,2,0,16,0.0003,71
