Parameter,Throughput_Value,Tool,Resource_Type,Resource_Value,Parameter3,FF_Value,Flow
Throughput,2.7726714412068882,vivado,CLB,2680,FF,9236,None
Throughput,2.7726714412068882,vivado,LUT,13545,FF,9236,None
Throughput,2.7726714412068882,vivado,FF,9236,FF,9236,None
Throughput,2.7726714412068882,vivado,DSP,84,FF,9236,None
Throughput,2.7726714412068882,vivado,BRAM,2,FF,9236,None
Throughput,2.8655922606084228,vivado,CLB,3077,FF,9275,None
Throughput,2.8655922606084228,vivado,LUT,16348,FF,9275,None
Throughput,2.8655922606084228,vivado,FF,9275,FF,9275,None
Throughput,2.8655922606084228,vivado,DSP,84,FF,9275,None
Throughput,2.8655922606084228,vivado,BRAM,2,FF,9275,None
Throughput,2.6017681616426525,vivado,CLB,3621,FF,9345,None
Throughput,2.6017681616426525,vivado,LUT,20944,FF,9345,None
Throughput,2.6017681616426525,vivado,FF,9345,FF,9345,None
Throughput,2.6017681616426525,vivado,DSP,84,FF,9345,None
Throughput,2.6017681616426525,vivado,BRAM,2,FF,9345,None
Throughput,2.651879784985587,vivado,CLB,5121,FF,9500,None
Throughput,2.651879784985587,vivado,LUT,30708,FF,9500,None
Throughput,2.651879784985587,vivado,FF,9500,FF,9500,None
Throughput,2.651879784985587,vivado,DSP,84,FF,9500,None
Throughput,2.651879784985587,vivado,BRAM,2,FF,9500,None
Throughput,2.832427900547792,vivado,CLB,2411,FF,11136,None
Throughput,2.832427900547792,vivado,LUT,12393,FF,11136,None
Throughput,2.832427900547792,vivado,FF,11136,FF,11136,None
Throughput,2.832427900547792,vivado,DSP,84,FF,11136,None
Throughput,2.832427900547792,vivado,BRAM,2,FF,11136,None
Throughput,2.706001098636446,vivado,CLB,2635,FF,11124,None
Throughput,2.706001098636446,vivado,LUT,13840,FF,11124,None
Throughput,2.706001098636446,vivado,FF,11124,FF,11124,None
Throughput,2.706001098636446,vivado,DSP,108,FF,11124,None
Throughput,2.706001098636446,vivado,BRAM,2,FF,11124,None
Throughput,2.575003411879521,vivado,CLB,2800,FF,11122,None
Throughput,2.575003411879521,vivado,LUT,14601,FF,11122,None
Throughput,2.575003411879521,vivado,FF,11122,FF,11122,None
Throughput,2.575003411879521,vivado,DSP,108,FF,11122,None
