Parameter,Throughput_Value,Tool,Resource_Type,Resource_Value,Flow
Throughput,2.5561849450931473,catapult,BRAM,1,latency
Throughput,2.416854174269687,catapult,CLB,568,latency
Throughput,2.416854174269687,catapult,LUT,3223,latency
Throughput,2.416854174269687,catapult,FF,684,latency
Throughput,2.416854174269687,catapult,DSP,17,latency
Throughput,2.416854174269687,catapult,BRAM,1,latency
Throughput,2.7623088482277027,catapult,CLB,696,latency
Throughput,2.7623088482277027,catapult,LUT,3915,latency
Throughput,2.7623088482277027,catapult,FF,669,latency
Throughput,2.7623088482277027,catapult,DSP,17,latency
Throughput,2.7623088482277027,catapult,BRAM,1,latency
Throughput,2.5810114984062253,catapult,CLB,1068,latency
Throughput,2.5810114984062253,catapult,LUT,5721,latency
Throughput,2.5810114984062253,catapult,FF,799,latency
Throughput,2.5810114984062253,catapult,DSP,17,latency
Throughput,2.5810114984062253,catapult,BRAM,1,latency
Throughput,2.580665140633347,catapult,CLB,422,latency
Throughput,2.580665140633347,catapult,LUT,2453,latency
Throughput,2.580665140633347,catapult,FF,682,latency
Throughput,2.580665140633347,catapult,DSP,9,latency
Throughput,2.580665140633347,catapult,BRAM,1,latency
Throughput,2.3807709888770376,catapult,CLB,519,latency
Throughput,2.3807709888770376,catapult,LUT,2991,latency
Throughput,2.3807709888770376,catapult,FF,685,latency
Throughput,2.3807709888770376,catapult,DSP,9,latency
Throughput,2.3807709888770376,catapult,BRAM,1,latency
Throughput,2.6174378947423524,catapult,CLB,658,latency
Throughput,2.6174378947423524,catapult,LUT,3835,latency
Throughput,2.6174378947423524,catapult,FF,795,latency
Throughput,2.6174378947423524,catapult,DSP,9,latency
Throughput,2.6174378947423524,catapult,BRAM,1,latency
Throughput,2.799340475383999,catapult,CLB,1072,latency
Throughput,2.799340475383999,catapult,LUT,6097,latency
Throughput,2.799340475383999,catapult,FF,1006,latency
Throughput,2.799340475383999,catapult,DSP,9,latency
Throughput,2.799340475383999,catapult,BRAM,1,latency
Throughput,2.7170221437304716,catapult,CLB,552,latency
Throughput,2.7170221437304716,catapult,LUT,3459,latency
Throughput,2.7170221437304716,catapult,FF,733,latency
Throughput,2.7170221437304716,catapult,DSP,9,latency
Throughput,2.7170221437304716,catapult,BRAM,1,latency
Throughput,2.5829848456279105,catapult,CLB,689,latency
Throughput,2.5829848456279105,catapult,LUT,3989,latency
Throughput,2.5829848456279105,catapult,FF,823,latency
Throughput,2.5829848456279105,catapult,DSP,9,latency
Throughput,2.5829848456279105,catapult,BRAM,1,latency
Throughput,2.7307556820198853,catapult,CLB,892,latency
Throughput,2.7307556820198853,catapult,LUT,5455,latency
Throughput,2.7307556820198853,catapult,FF,824,latency
Throughput,2.7307556820198853,catapult,DSP,9,latency
Throughput,2.7307556820198853,catapult,BRAM,1,latency
Throughput,2.794060944057312,catapult,CLB,1411,latency
Throughput,2.794060944057312,catapult,LUT,8419,latency
Throughput,2.794060944057312,catapult,FF,968,latency
Throughput,2.794060944057312,catapult,DSP,9,latency
Throughput,2.794060944057312,catapult,BRAM,1,latency
Throughput,2.695330609252531,catapult,CLB,562,latency
Throughput,2.695330609252531,catapult,LUT,3235,latency
Throughput,2.695330609252531,catapult,FF,743,latency
Throughput,2.695330609252531,catapult,DSP,11,latency
Throughput,2.695330609252531,catapult,BRAM,1,latency
Throughput,2.7744715325348404,catapult,CLB,654,latency
Throughput,2.7744715325348404,catapult,LUT,3694,latency
Throughput,2.7744715325348404,catapult,FF,749,latency
Throughput,2.7744715325348404,catapult,DSP,10,latency
Throughput,2.7744715325348404,catapult,BRAM,1,latency
Throughput,2.7088451922061103,catapult,CLB,926,latency
Throughput,2.7088451922061103,catapult,LUT,5083,latency
Throughput,2.7088451922061103,catapult,FF,860,latency
Throughput,2.7088451922061103,catapult,DSP,10,latency
Throughput,2.7088451922061103,catapult,BRAM,1,latency
Throughput,2.7429875523224876,catapult,CLB,1416,latency
Throughput,2.7429875523224876,catapult,LUT,7903,latency
Throughput,2.7429875523224876,catapult,FF,1072,latency
Throughput,2.7429875523224876,catapult,DSP,10,latency
Throughput,2.7429875523224876,catapult,BRAM,1,latency
Throughput,2.4908027109896707,catapult,CLB,758,latency
Throughput,2.4908027109896707,catapult,LUT,4815,latency
Throughput,2.4908027109896707,catapult,FF,851,latency
Throughput,2.4908027109896707,catapult,DSP,13,latency
Throughput,2.4908027109896707,catapult,BRAM,1,latency
Throughput,2.5368927630060147,catapult,CLB,886,latency
Throughput,2.5368927630060147,catapult,LUT,5612,latency
Throughput,2.5368927630060147,catapult,FF,933,latency
Throughput,2.5368927630060147,catapult,DSP,14,latency
Throughput,2.5368927630060147,catapult,BRAM,1,latency
Throughput,2.5892380907994013,catapult,CLB,1189,latency
Throughput,2.5892380907994013,catapult,LUT,7591,latency
Throughput,2.5892380907994013,catapult,FF,945,latency
Throughput,2.5892380907994013,catapult,DSP,14,latency
Throughput,2.5892380907994013,catapult,BRAM,1,latency
Throughput,2.737378631474927,catapult,CLB,2027,latency
Throughput,2.737378631474927,catapult,LUT,12667,latency
Throughput,2.737378631474927,catapult,FF,1068,latency
Throughput,2.737378631474927,catapult,DSP,14,latency
Throughput,2.737378631474927,catapult,BRAM,1,latency
Throughput,2.609705494734919,catapult,CLB,596,latency
Throughput,2.609705494734919,catapult,LUT,3627,latency
Throughput,2.609705494734919,catapult,FF,967,latency
Throughput,2.609705494734919,catapult,DSP,17,latency
Throughput,2.609705494734919,catapult,BRAM,1,latency
Throughput,2.616992656718605,catapult,CLB,733,latency
Throughput,2.616992656718605,catapult,LUT,4276,latency
Throughput,2.616992656718605,catapult,FF,796,latency
Throughput,2.616992656718605,catapult,DSP,17,latency
Throughput,2.616992656718605,catapult,BRAM,1,latency
Throughput,2.5289309703002347,catapult,CLB,982,latency
Throughput,2.5289309703002347,catapult,LUT,5769,latency
Throughput,2.5289309703002347,catapult,FF,956,latency
Throughput,2.5289309703002347,catapult,DSP,17,latency
Throughput,2.5289309703002347,catapult,BRAM,1,latency
Throughput,2.742656537121856,catapult,CLB,1370,latency
Throughput,2.742656537121856,catapult,LUT,8391,latency
