n,knob_KNOB_WINDOW_SIZE_X,knob_inner_unroll1,knob_inner_unroll2,knob_outer_unroll,knob_partition_factor,knob_I_B,obj1,obj2,lut,ff,dsp,bram
1771,4,1,1,4,460800,0,0.384357,429,2567,552,13,1
1772,4,1,1,4,230400,0,0.358440,508,2858,561,14,1
1773,4,1,1,4,115200,0,0.380607,606,3614,658,14,1
1774,4,1,1,4,57600,0,0.361093,874,4744,643,14,1
1778,4,1,1,5,460800,0,0.376195,389,2344,628,17,1
1779,4,1,1,5,230400,0,0.392730,429,2439,697,17,1
1780,4,1,1,5,115200,0,0.388476,562,2936,641,17,1
1781,4,1,1,5,57600,0,0.360076,720,3830,681,17,1
1785,4,1,2,1,460800,0,0.379077,350,2054,485,9,1
1786,4,1,2,1,230400,0,0.365606,390,2320,498,9,1
1787,4,1,2,1,115200,0,0.367076,507,2876,545,9,1
1788,4,1,2,1,57600,0,0.350902,703,3957,629,9,1
1792,4,1,2,2,460800,0,0.374407,482,2660,594,9,1
1793,4,1,2,2,230400,0,0.348610,505,2896,604,9,1
1794,4,1,2,2,115200,0,0.356654,622,3673,645,9,1
1795,4,1,2,2,57600,0,0.362189,867,4997,711,9,1
1799,4,1,2,3,460800,0,0.367249,429,2459,691,11,1
1800,4,1,2,3,230400,0,0.355075,479,2726,670,10,1
1801,4,1,2,3,115200,0,0.348545,588,3297,722,10,1
1802,4,1,2,3,57600,0,0.372915,881,5006,808,10,1
1806,4,1,2,4,460800,0,0.369113,565,3300,600,13,1
1807,4,1,2,4,230400,0,0.378820,638,3801,611,14,1
1808,4,1,2,4,115200,0,0.351494,876,5029,646,14,1
1809,4,1,2,4,57600,0,0.364055,1156,7061,697,14,1
1813,4,1,2,5,460800,0,0.391208,506,2844,605,17,1
1814,4,1,2,5,230400,0,0.413761,568,3223,684,17,1
1815,4,1,2,5,115200,0,0.362016,696,3915,669,17,1
1816,4,1,2,5,57600,0,0.387445,1068,5721,799,17,1
1820,4,1,3,1,460800,0,0.387497,422,2453,682,9,1
1821,4,1,3,1,230400,0,0.420032,519,2991,685,9,1
1822,4,1,3,1,115200,0,0.382053,658,3835,795,9,1
1823,4,1,3,1,57600,0,0.361909,1056,6088,1006,9,1
1827,4,1,3,2,460800,0,0.368050,552,3459,733,9,1
1828,4,1,3,2,230400,0,0.387149,689,3989,823,9,1
1829,4,1,3,2,115200,0,0.366199,892,5455,824,9,1
1830,4,1,3,2,57600,0,0.357902,1411,8419,968,9,1
1834,4,1,3,3,460800,0,0.371012,562,3235,743,11,1
1835,4,1,3,3,230400,0,0.360429,654,3694,749,10,1
1836,4,1,3,3,115200,0,0.369161,926,5083,860,10,1
1837,4,1,3,3,57600,0,0.364566,1416,7903,1072,10,1
1841,4,1,3,4,460800,0,0.401477,758,4815,851,13,1
1842,4,1,3,4,230400,0,0.389458,884,5612,933,14,1
1843,4,1,3,4,115200,0,0.386214,1189,7591,945,14,1
1844,4,1,3,4,57600,0,0.365313,2027,12667,1068,14,1
1848,4,1,3,5,460800,0,0.383185,596,3627,967,17,1
1849,4,1,3,5,230400,0,0.382118,733,4276,796,17,1
1850,4,1,3,5,115200,0,0.395424,982,5769,956,17,1
1851,4,1,3,5,57600,0,0.364610,1370,8391,1154,17,1
1855,4,1,4,1,460800,0,0.345361,385,2203,518,9,1
1856,4,1,4,1,230400,0,0.392014,432,2583,525,9,1
1857,4,1,4,1,115200,0,0.349633,579,3264,575,9,1
1858,4,1,4,1,57600,0,0.357083,820,4665,664,9,1
1862,4,1,4,2,460800,0,0.349805,495,2911,676,9,1
1863,4,1,4,2,230400,0,0.366594,568,3403,664,9,1
1864,4,1,4,2,115200,0,0.357341,784,4572,714,9,1
1865,4,1,4,2,57600,0,0.358243,1105,6554,777,9,1
1869,4,1,4,3,460800,0,0.352102,495,2767,591,11,1
1870,4,1,4,3,230400,0,0.357985,556,3285,599,10,1
1871,4,1,4,3,115200,0,0.349912,742,4157,650,10,1
1872,4,1,4,3,57600,0,0.384307,1021,6260,734,10,1
1876,4,1,4,4,460800,0,0.382847,652,3916,716,13,1
1877,4,1,4,4,230400,0,0.367306,755,4616,668,14,1
1878,4,1,4,4,115200,0,0.369281,1046,6515,797,14,1
1879,4,1,4,4,57600,0,0.369539,1550,9367,758,14,1
1883,4,1,4,5,460800,0,0.370695,538,3238,698,17,1
1884,4,1,4,5,230400,0,0.384843,651,3896,717,17,1
1885,4,1,4,5,115200,0,0.389202,869,5118,719,17,1
1886,4,1,4,5,57600,0,0.387892,1193,6838,818,17,1
1890,4,1,5,1,460800,0,0.387796,492,2860,827,9,1
1891,4,1,5,1,230400,0,0.422073,633,3466,841,9,1
1892,4,1,5,1,115200,0,0.370405,763,4582,980,9,1
1893,4,1,5,1,57600,0,0.378783,1198,7319,1261,9,1
1897,4,1,5,2,460800,0,0.381743,715,4311,894,9,1
1898,4,1,5,2,230400,0,0.376414,857,5293,908,9,1
1899,4,1,5,2,115200,0,0.365515,1198,7254,1024,9,1
1900,4,1,5,2,57600,0,0.370449,1819,10741,1268,9,1
1904,4,1,5,3,460800,0,0.389112,667,4090,882,11,1
1905,4,1,5,3,230400,0,0.398191,736,4376,896,10,1
1906,4,1,5,3,115200,0,0.376326,1035,6505,1103,10,1
1907,4,1,5,3,57600,0,0.363673,1864,11978,1324,9,1
1911,4,1,5,4,460800,0,0.390912,975,6150,981,13,1
1912,4,1,5,4,230400,0,0.374052,1117,7049,994,13,1
1913,4,1,5,4,115200,0,0.394705,1432,9469,1112,13,1
1914,4,1,5,4,57600,0,0.353507,2518,15578,1449,13,1
1918,4,1,5,5,460800,0,0.401283,780,4660,934,17,1
1920,4,1,5,5,115200,0,0.381085,1223,7242,1184,17,1
1925,4,2,1,1,460800,0,0.329587,316,1779,605,10,1
1926,4,2,1,1,230400,0,0.339243,353,2027,608,10,1
1927,4,2,1,1,115200,0,0.327173,397,2395,649,10,1
1928,4,2,1,1,57600,0,0.320127,545,3045,734,10,1
1932,4,2,1,2,460800,0,0.320932,423,2350,713,14,1
1933,4,2,1,2,230400,0,0.340872,493,2582,751,14,1
1934,4,2,1,2,115200,0,0.339910,616,3130,752,14,1
1935,4,2,1,2,57600,0,0.328311,703,4032,815,14,1
1939,4,2,1,3,460800,0,0.370116,430,2514,700,18,1
1940,4,2,1,3,230400,0,0.345327,490,2652,704,18,1
1941,4,2,1,3,115200,0,0.358045,583,3040,748,18,1
1942,4,2,1,3,57600,0,0.384247,704,3988,833,18,1
1946,4,2,1,4,460800,0,0.334843,655,3324,887,29,1
1947,4,2,1,4,230400,0,0.316635,666,3686,789,29,1
1948,4,2,1,4,115200,0,0.323953,791,4299,852,29,1
1949,4,2,1,4,57600,0,0.327662,1028,5784,936,29,1
1953,4,2,1,5,460800,0,0.353551,642,3118,956,35,1
1954,4,2,1,5,230400,0,0.353983,671,3359,923,35,1
1955,4,2,1,5,115200,0,0.345327,728,3760,906,35,1
1956,4,2,1,5,57600,0,0.336044,911,4662,1076,35,1
1960,4,2,2,1,460800,0,0.344346,342,2102,655,10,1
1961,4,2,2,1,230400,0,0.327925,385,2368,697,10,1
1962,4,2,2,1,115200,0,0.317628,541,2827,715,10,1
1963,4,2,2,1,57600,0,0.319019,669,3994,814,10,1
1967,4,2,2,2,460800,0,0.392896,508,2844,687,14,1
1968,4,2,2,2,230400,0,0.348287,551,3147,704,14,1
1969,4,2,2,2,115200,0,0.325665,745,3876,742,14,1
1970,4,2,2,2,57600,0,0.338666,950,5439,804,14,1
1974,4,2,2,3,460800,0,0.339381,503,2879,749,18,1
1975,4,2,2,3,230400,0,0.337816,551,3128,755,18,1
1976,4,2,2,3,115200,0,0.333025,691,4015,805,18,1
1977,4,2,2,3,57600,0,0.361251,1009,5522,906,18,1
1981,4,2,2,4,460800,0,0.343372,745,4073,971,29,1
1982,4,2,2,4,230400,0,0.362069,802,4398,1042,28,1
1983,4,2,2,4,115200,0,0.364966,997,5556,908,28,1
1984,4,2,2,4,57600,0,0.336709,1217,7242,1024,28,1
1988,4,2,2,5,460800,0,0.334976,652,3435,968,35,1
1989,4,2,2,5,230400,0,0.332291,662,3673,915,35,1
1990,4,2,2,5,115200,0,0.352885,801,4314,965,35,1
1991,4,2,2,5,57600,0,0.372861,1062,6051,1083,35,1
1995,4,2,3,1,460800,0,0.344786,447,2549,861,9,1
1996,4,2,3,1,230400,0,0.334115,519,3053,860,9,1
1997,4,2,3,1,115200,0,0.326501,737,3883,973,9,1
1998,4,2,3,1,57600,0,0.356256,1040,6251,1183,9,1
2002,4,2,3,2,460800,0,0.340444,633,3649,965,13,1
2003,4,2,3,2,230400,0,0.352205,736,4275,910,13,1
2004,4,2,3,2,115200,0,0.353549,952,5655,980,13,1
2005,4,2,3,2,57600,0,0.362117,1453,8827,1231,13,1
2009,4,2,3,3,460800,0,0.350609,671,3738,947,17,1
2010,4,2,3,3,230400,0,0.348136,731,4243,999,17,1
2011,4,2,3,3,115200,0,0.352965,943,5615,1116,17,1
2012,4,2,3,3,57600,0,0.357015,1381,8494,1295,17,1
2016,4,2,3,4,460800,0,0.378186,910,5440,1177,28,1
2017,4,2,3,4,230400,0,0.334383,1098,6156,1253,29,1
2018,4,2,3,4,115200,0,0.335006,1419,8377,1229,29,1
2019,4,2,3,4,57600,0,0.329497,2265,13329,1489,29,1
2023,4,2,3,5,460800,0,0.344260,806,4549,1196,34,1
2024,4,2,3,5,230400,0,0.353218,953,5384,1235,34,1
2025,4,2,3,5,115200,0,0.343637,1252,7092,1332,34,1
2026,4,2,3,5,57600,0,0.379136,1667,9883,1602,34,1
2030,4,2,4,1,460800,0,0.326928,413,2362,691,9,1
2031,4,2,4,1,230400,0,0.327100,470,2815,752,9,1
2032,4,2,4,1,115200,0,0.320028,587,3495,741,9,1
2033,4,2,4,1,57600,0,0.362039,863,5182,840,9,1
2037,4,2,4,2,460800,0,0.341838,551,3285,854,14,1
2038,4,2,4,2,230400,0,0.314757,642,3658,837,14,1
2039,4,2,4,2,115200,0,0.325318,808,4738,887,14,1
2040,4,2,4,2,57600,0,0.322117,1152,6677,950,14,1
2044,4,2,4,3,460800,0,0.336875,584,3306,822,18,1
2045,4,2,4,3,230400,0,0.325969,650,3714,769,18,1
2046,4,2,4,3,115200,0,0.328748,933,5164,825,18,1
2047,4,2,4,3,57600,0,0.346649,1173,6775,949,18,1
2051,4,2,4,4,460800,0,0.356526,775,4479,1037,28,1
2052,4,2,4,4,230400,0,0.372238,972,5421,1032,28,1
2053,4,2,4,4,115200,0,0.371874,1177,7039,999,28,1
2054,4,2,4,4,57600,0,0.333341,1534,9524,1176,28,1
2058,4,2,4,5,460800,0,0.345135,697,4190,1063,35,1
2059,4,2,4,5,230400,0,0.326314,930,5217,953,35,1
2060,4,2,4,5,115200,0,0.350406,1115,6304,1031,35,1
2061,4,2,4,5,57600,0,0.330627,1496,8829,1108,35,1
2065,4,2,5,1,460800,0,0.368702,509,3054,1077,9,1
2066,4,2,5,1,230400,0,0.324975,618,3695,990,9,1
2067,4,2,5,1,115200,0,0.330745,829,4916,1134,9,1
2068,4,2,5,1,57600,0,0.329018,1275,7762,1423,9,1
2072,4,2,5,2,460800,0,0.340087,810,4654,1104,13,1
2073,4,2,5,2,230400,0,0.336927,903,5240,1130,13,1
2074,4,2,5,2,115200,0,0.341304,1194,7358,1238,13,1
2075,4,2,5,2,57600,0,0.341324,1893,11499,1475,13,1
2079,4,2,5,3,460800,0,0.321579,731,4311,1144,17,1
2080,4,2,5,3,230400,0,0.316712,838,4933,1066,17,1
2081,4,2,5,3,115200,0,0.363776,1116,6655,1255,17,1
2082,4,2,5,3,57600,0,0.348997,1797,11057,1500,17,1
2086,4,2,5,4,460800,0,0.347794,1060,6300,1309,29,1
2087,4,2,5,4,230400,0,0.357192,1238,7428,1334,29,1
2088,4,2,5,4,115200,0,0.332862,1815,11044,1468,29,1
2089,4,2,5,4,57600,0,0.320265,2425,14637,1679,29,1
2093,4,2,5,5,460800,0,0.354414,852,4772,1407,34,1
2095,4,2,5,5,115200,0,0.387838,1274,7667,1435,34,1
2100,4,3,1,1,460800,0,0.318161,373,2117,639,11,1
2101,4,3,1,1,230400,0,0.330626,425,2324,642,11,1
2102,4,3,1,1,115200,0,0.331513,492,2673,682,11,1
2103,4,3,1,1,57600,0,0.342639,576,3350,769,11,1
2107,4,3,1,2,460800,0,0.311975,509,2855,875,18,1
2108,4,3,1,2,230400,0,0.328043,551,3104,826,18,1
2109,4,3,1,2,115200,0,0.305281,655,3559,828,18,1
2110,4,3,1,2,57600,0,0.310504,811,4514,888,18,1
2114,4,3,1,3,460800,0,0.310617,614,3288,789,34,1
2115,4,3,1,3,230400,0,0.345072,656,3477,817,34,1
2116,4,3,1,3,115200,0,0.326892,684,3874,868,34,1
2117,4,3,1,3,57600,0,0.313710,914,4736,901,34,1
2121,4,3,1,4,460800,0,0.328996,859,4155,995,41,1
2122,4,3,1,4,230400,0,0.355071,794,4431,1037,41,1
2123,4,3,1,4,115200,0,0.320625,1002,5104,1029,41,1
2124,4,3,1,4,57600,0,0.309181,1159,6214,1196,41,1
2128,4,3,1,5,460800,0,0.326327,793,4087,1111,52,1
2129,4,3,1,5,230400,0,0.333342,887,4180,1096,52,1
2130,4,3,1,5,115200,0,0.313918,941,4602,1095,52,1
2131,4,3,1,5,57600,0,0.328439,1076,5797,1303,52,1
2135,4,3,2,1,460800,0,0.311679,421,2501,710,10,1
2136,4,3,2,1,230400,0,0.300419,473,2792,722,11,1
2137,4,3,2,1,115200,0,0.313683,609,3267,741,11,1
2138,4,3,2,1,57600,0,0.327967,796,4460,840,11,1
2142,4,3,2,2,460800,0,0.311531,601,3268,903,18,1
2143,4,3,2,2,230400,0,0.306615,620,3640,869,18,1
2144,4,3,2,2,115200,0,0.304463,786,4337,959,18,1
2145,4,3,2,2,57600,0,0.285355,1079,6124,988,18,1
2149,4,3,2,3,460800,0,0.323293,700,3598,861,34,1
2150,4,3,2,3,230400,0,0.326038,740,4036,902,34,1
2151,4,3,2,3,115200,0,0.335110,857,4356,957,34,1
2152,4,3,2,3,57600,0,0.308600,1143,6355,1050,34,1
2156,4,3,2,4,460800,0,0.327252,920,4715,1170,41,1
2157,4,3,2,4,230400,0,0.300156,1053,5277,1229,41,1
2158,4,3,2,4,115200,0,0.352197,1104,6561,1114,41,1
2159,4,3,2,4,57600,0,0.339493,1337,8387,1199,41,1
2163,4,3,2,5,460800,0,0.303498,1034,4753,1175,52,1
2164,4,3,2,5,230400,0,0.326168,971,5215,1103,52,1
2165,4,3,2,5,115200,0,0.329656,1136,5785,1179,52,1
2166,4,3,2,5,57600,0,0.335611,1337,7855,1327,52,1
2170,4,3,3,1,460800,0,0.347087,473,2906,884,10,1
2171,4,3,3,1,230400,0,0.316224,578,3444,884,10,1
2172,4,3,3,1,115200,0,0.307452,723,4361,996,10,1
2173,4,3,3,1,57600,0,0.308985,1051,6460,1205,10,1
2177,4,3,3,2,460800,0,0.309790,739,4199,967,17,1
2178,4,3,3,2,230400,0,0.340597,789,4770,1039,17,1
2179,4,3,3,2,115200,0,0.324454,1068,6214,1076,17,1
2180,4,3,3,2,57600,0,0.329860,1485,9316,1262,17,1
2184,4,3,3,3,460800,0,0.339568,750,3990,1110,34,1
2185,4,3,3,3,230400,0,0.325053,831,4632,1185,34,1
2186,4,3,3,3,115200,0,0.327915,1148,6073,1337,34,1
2187,4,3,3,3,57600,0,0.345647,1498,8975,1531,34,1
2191,4,3,3,4,460800,0,0.340434,1081,5913,1361,41,1
2192,4,3,3,4,230400,0,0.314778,1180,6712,1366,41,1
2193,4,3,3,4,115200,0,0.316031,1567,8890,1528,41,1
2194,4,3,3,4,57600,0,0.308569,2122,12884,1680,41,1
2198,4,3,3,5,460800,0,0.361565,966,4780,1510,51,1
2199,4,3,3,5,230400,0,0.340746,1084,5938,1457,52,1
2200,4,3,3,5,115200,0,0.345067,1282,7440,1448,52,1
2201,4,3,3,5,57600,0,0.339194,1824,9944,1794,52,1
2205,4,3,4,1,460800,0,0.343079,490,2863,735,11,1
2206,4,3,4,1,230400,0,0.303966,582,3179,718,10,1
2207,4,3,4,1,115200,0,0.307958,686,3781,764,11,1
2208,4,3,4,1,57600,0,0.316164,941,5492,867,11,1
2212,4,3,4,2,460800,0,0.319015,678,3829,826,18,1
2213,4,3,4,2,230400,0,0.309522,740,4392,781,18,1
2214,4,3,4,2,115200,0,0.312134,992,5598,836,18,1
2215,4,3,4,2,57600,0,0.309688,1334,7717,905,18,1
2219,4,3,4,3,460800,0,0.320303,741,4265,922,34,1
2220,4,3,4,3,230400,0,0.317323,831,4696,906,34,1
2221,4,3,4,3,115200,0,0.330311,984,5843,922,34,1
2222,4,3,4,3,57600,0,0.318666,1313,7619,1012,34,1
2226,4,3,4,4,460800,0,0.351009,1038,5553,1105,41,1
2227,4,3,4,4,230400,0,0.338667,1167,6621,1157,41,1
2228,4,3,4,4,115200,0,0.347367,1439,8356,1239,41,1
2229,4,3,4,4,57600,0,0.332009,2106,11493,1220,41,1
2233,4,3,4,5,460800,0,0.333623,1033,5136,1177,52,1
2234,4,3,4,5,230400,0,0.312134,1113,6122,1175,52,1
2235,4,3,4,5,115200,0,0.319622,1300,7347,1195,52,1
2236,4,3,4,5,57600,0,0.322308,1518,8679,1358,52,1
2240,4,3,5,1,460800,0,0.315200,566,3278,1038,10,1
2241,4,3,5,1,230400,0,0.338019,670,3880,1069,10,1
2242,4,3,5,1,115200,0,0.314370,854,5134,1179,10,1
2243,4,3,5,1,57600,0,0.315917,1323,7961,1458,10,1
2247,4,3,5,2,460800,0,0.329815,889,5218,1258,17,1
2248,4,3,5,2,230400,0,0.317237,967,5794,1123,17,1
2249,4,3,5,2,115200,0,0.324874,1344,8158,1276,17,1
2250,4,3,5,2,57600,0,0.312183,2018,12602,1564,17,1
2254,4,3,5,3,460800,0,0.321951,1015,5432,1601,34,1
2255,4,3,5,3,230400,0,0.325949,979,5923,1539,34,1
2256,4,3,5,3,115200,0,0.328872,1394,7844,1706,34,1
2257,4,3,5,3,57600,0,0.329118,2066,12620,1993,34,1
2261,4,3,5,4,460800,0,0.331523,1353,7955,1541,41,1
2262,4,3,5,4,230400,0,0.375188,1349,8437,1491,41,1
2263,4,3,5,4,115200,0,0.330787,2083,12721,1713,41,1
2268,4,3,5,5,460800,0,0.336699,1220,6511,1638,55,1
2270,4,3,5,5,115200,0,0.320160,1750,9523,1695,52,1
2271,4,3,5,5,57600,0,0.331814,2854,16470,2041,52,1
2275,4,4,1,1,460800,0,0.258361,401,2112,677,14,1
2276,4,4,1,1,230400,0,0.270394,415,2315,749,14,1
2277,4,4,1,1,115200,0,0.264111,529,2645,721,14,1
2278,4,4,1,1,57600,0,0.265116,630,3323,804,14,1
2282,4,4,1,2,460800,0,0.280684,554,2968,956,29,1
2283,4,4,1,2,230400,0,0.298986,619,3277,930,29,1
2284,4,4,1,2,115200,0,0.281093,675,3655,989,29,1
2285,4,4,1,2,57600,0,0.269750,916,4507,1128,29,1
2289,4,4,1,3,460800,0,0.268666,693,3398,1014,41,1
2290,4,4,1,3,230400,0,0.281485,724,3716,993,41,1
2291,4,4,1,3,115200,0,0.274055,779,3995,991,41,1
2292,4,4,1,3,57600,0,0.269845,950,4876,1214,41,1
2296,4,4,1,4,460800,0,0.286928,809,4449,1269,53,1
2297,4,4,1,4,230400,0,0.294937,960,4782,1147,53,1
2298,4,4,1,4,115200,0,0.296680,1032,5277,1161,53,1
2299,4,4,1,4,57600,0,0.282452,1266,6471,1366,53,1
2303,4,4,1,5,460800,0,0.257403,1396,5858,758,125,1
2304,4,4,1,5,230400,0,0.268619,1437,6082,723,125,1
2305,4,4,1,5,115200,0,0.287141,1411,6362,708,125,1
2306,4,4,1,5,57600,0,0.276270,1716,7511,1106,125,1
2310,4,4,2,1,460800,0,0.266108,416,2406,759,13,1
2311,4,4,2,1,230400,0,0.248595,498,2677,731,13,1
2312,4,4,2,1,115200,0,0.266293,614,3243,816,13,1
2313,4,4,2,1,57600,0,0.261102,829,4477,872,13,1
2317,4,4,2,2,460800,0,0.270482,590,3276,974,28,1
2318,4,4,2,2,230400,0,0.267710,660,3522,1020,28,1
2319,4,4,2,2,115200,0,0.299947,767,4354,1022,28,1
2320,4,4,2,2,57600,0,0.256158,1047,5974,1116,28,1
2324,4,4,2,3,460800,0,0.274733,686,3516,1022,40,1
2325,4,4,2,3,230400,0,0.252816,801,3941,1034,40,1
2326,4,4,2,3,115200,0,0.283236,918,4646,1087,40,1
2327,4,4,2,3,57600,0,0.254448,1208,6088,1255,40,1
2331,4,4,2,4,460800,0,0.295666,982,4713,1398,52,1
2332,4,4,2,4,230400,0,0.286489,1027,5237,1434,53,1
2333,4,4,2,4,115200,0,0.275957,1258,6193,1338,53,1
2334,4,4,2,4,57600,0,0.271168,1497,8295,1339,53,1
2338,4,4,2,5,460800,0,0.258022,1454,6139,779,125,1
2339,4,4,2,5,230400,0,0.272947,1595,6580,847,125,1
2340,4,4,2,5,115200,0,0.294341,1499,7277,829,125,1
2341,4,4,2,5,57600,0,0.269820,1909,9335,1160,125,1
2345,4,4,3,1,460800,0,0.285905,560,2956,1003,14,1
2346,4,4,3,1,230400,0,0.278469,568,3422,960,14,1
2347,4,4,3,1,115200,0,0.274269,780,4482,1041,14,1
2348,4,4,3,1,57600,0,0.287367,1106,6361,1246,14,1
2352,4,4,3,2,460800,0,0.286325,742,4324,1163,28,1
2353,4,4,3,2,230400,0,0.278095,857,4794,1111,28,1
2354,4,4,3,2,115200,0,0.257499,1132,6205,1277,28,1
2355,4,4,3,2,57600,0,0.247559,1564,9388,1329,28,1
2359,4,4,3,3,460800,0,0.270893,818,4317,1285,41,1
2360,4,4,3,3,230400,0,0.273926,889,4653,1369,41,1
2361,4,4,3,3,115200,0,0.279324,1266,5957,1441,41,1
2362,4,4,3,3,57600,0,0.302798,1485,8699,1542,41,1
2366,4,4,3,4,460800,0,0.279985,1170,6057,1662,56,1
2367,4,4,3,4,230400,0,0.276703,1242,6789,1621,53,1
2368,4,4,3,4,115200,0,0.263547,1681,9656,1568,53,1
2369,4,4,3,4,57600,0,0.251728,2290,13263,1812,53,1
2373,4,4,3,5,460800,0,0.274689,1576,6590,1128,125,1
2374,4,4,3,5,230400,0,0.266242,1690,7524,1252,125,1
2375,4,4,3,5,115200,0,0.295363,1611,8853,1299,125,1
2376,4,4,3,5,57600,0,0.284053,2227,11399,1566,125,1
2380,4,4,4,1,460800,0,0.255128,454,2557,766,13,1
2381,4,4,4,1,230400,0,0.255037,594,3053,760,13,1
2382,4,4,4,1,115200,0,0.272787,623,3773,806,13,1
2383,4,4,4,1,57600,0,0.252231,965,5319,908,13,1
2387,4,4,4,2,460800,0,0.281936,692,3841,955,28,1
2388,4,4,4,2,230400,0,0.289957,765,4310,1095,28,1
2389,4,4,4,2,115200,0,0.279694,998,5569,1036,28,1
2390,4,4,4,2,57600,0,0.272604,1262,7375,1068,28,1
2394,4,4,4,3,460800,0,0.263942,786,3883,1061,40,1
2395,4,4,4,3,230400,0,0.274860,870,4452,1081,40,1
2396,4,4,4,3,115200,0,0.302888,1032,5731,1139,40,1
2397,4,4,4,3,57600,0,0.287700,1273,6845,1291,40,1
2401,4,4,4,4,460800,0,0.278402,1104,5666,1441,52,1
2402,4,4,4,4,230400,0,0.283905,1185,6702,1320,52,1
2403,4,4,4,4,115200,0,0.297396,1500,8475,1320,52,1
2404,4,4,4,4,57600,0,0.264317,1936,11188,1511,52,1
2408,4,4,4,5,460800,0,0.286251,1455,6499,834,125,1
2409,4,4,4,5,230400,0,0.276660,1685,7481,912,125,1
2410,4,4,4,5,115200,0,0.299320,1614,8065,883,125,1
2411,4,4,4,5,57600,0,0.285809,2421,11632,1224,125,1
2415,4,4,5,1,460800,0,0.300463,548,3331,1078,14,1
2416,4,4,5,1,230400,0,0.279977,713,3980,1081,14,1
2417,4,4,5,1,115200,0,0.271494,884,5181,1253,14,1
2418,4,4,5,1,57600,0,0.262084,1241,7882,1539,14,1
2422,4,4,5,2,460800,0,0.291555,917,5253,1352,28,1
2423,4,4,5,2,230400,0,0.286135,1057,6078,1266,28,1
2424,4,4,5,2,115200,0,0.295891,1333,8294,1392,28,1
2425,4,4,5,2,57600,0,0.271510,2178,12325,1765,28,1
2429,4,4,5,3,460800,0,0.292781,1010,5312,1461,41,1
2430,4,4,5,3,230400,0,0.293378,1043,6077,1456,41,1
2431,4,4,5,3,115200,0,0.278721,1353,7721,1625,41,1
2432,4,4,5,3,57600,0,0.299976,2117,12726,1874,41,1
2436,4,4,5,4,460800,0,0.278101,1448,8303,1786,53,1
2437,4,4,5,4,230400,0,0.283363,1603,9118,1782,53,1
2438,4,4,5,4,115200,0,0.298502,2193,13128,1895,53,1
2443,4,4,5,5,460800,0,0.282240,1863,8351,1446,125,1
2445,4,4,5,5,115200,0,0.285853,2510,12757,1513,125,1
2450,4,5,1,1,460800,0,0.314336,459,2486,715,17,1
2451,4,5,1,1,230400,0,0.333119,475,2759,750,17,1
2452,4,5,1,1,115200,0,0.327049,573,3077,822,17,1
2453,4,5,1,1,57600,0,0.312580,768,3876,846,17,1
2457,4,5,1,2,460800,0,0.341442,685,3760,865,35,1
2458,4,5,1,2,230400,0,0.366258,719,4080,936,35,1
2459,4,5,1,2,115200,0,0.336689,830,4422,1014,35,1
2460,4,5,1,2,57600,0,0.340469,1020,5488,1075,35,1
2464,4,5,1,3,460800,0,0.336479,856,4118,1084,52,1
2465,4,5,1,3,230400,0,0.330905,919,4248,1138,52,1
2466,4,5,1,3,115200,0,0.339247,861,4609,1130,52,1
2467,4,5,1,3,57600,0,0.338732,1062,5721,1252,52,1
2471,4,5,1,4,460800,0,0.343875,1684,6931,785,125,1
2472,4,5,1,4,230400,0,0.352005,1577,7177,755,125,1
2473,4,5,1,4,115200,0,0.344772,1636,7794,796,125,1
2474,4,5,1,4,57600,0,0.340383,2033,10087,1131,125,1
2478,4,5,1,5,460800,0,0.339648,1597,7012,706,155,1
2479,4,5,1,5,230400,0,0.321380,1747,7260,712,155,1
2480,4,5,1,5,115200,0,0.354862,1777,7670,864,155,1
2481,4,5,1,5,57600,0,0.340774,2027,9009,1088,155,1
2485,4,5,2,1,460800,0,0.326463,489,2819,757,17,1
2486,4,5,2,1,230400,0,0.314010,558,3103,767,17,1
2487,4,5,2,1,115200,0,0.334764,639,3590,912,17,1
2488,4,5,2,1,57600,0,0.319138,897,4792,917,17,1
2492,4,5,2,2,460800,0,0.336229,781,4072,1016,35,1
2493,4,5,2,2,230400,0,0.344906,769,4286,977,35,1
2494,4,5,2,2,115200,0,0.343967,991,4957,1145,35,1
2495,4,5,2,2,57600,0,0.388573,1149,6381,1107,35,1
2499,4,5,2,3,460800,0,0.350991,836,4126,1097,52,1
2500,4,5,2,3,230400,0,0.336530,821,4362,1102,52,1
2501,4,5,2,3,115200,0,0.341995,940,5143,1150,52,1
2502,4,5,2,3,57600,0,0.341507,1458,7120,1438,52,1
2506,4,5,2,4,460800,0,0.350301,1683,7320,1043,125,1
2507,4,5,2,4,230400,0,0.336181,1758,7937,1112,125,1
2508,4,5,2,4,115200,0,0.334979,1968,9081,1065,125,1
2509,4,5,2,4,57600,0,0.338396,2313,11400,1154,125,1
2513,4,5,2,5,460800,0,0.355123,1709,6757,790,155,1
2514,4,5,2,5,230400,0,0.326594,1690,7022,755,155,1
2515,4,5,2,5,115200,0,0.326876,1725,7930,850,155,1
2516,4,5,2,5,57600,0,0.326481,2240,9505,1264,155,1
2520,4,5,3,1,460800,0,0.328280,602,3374,874,17,1
2521,4,5,3,1,230400,0,0.336347,634,3758,873,17,1
2522,4,5,3,1,115200,0,0.348693,851,4831,992,17,1
2523,4,5,3,1,57600,0,0.338373,1093,6683,1311,17,1
