Parameter,Throughput_Value,Tool,Parameter2,Area_Value,Parameter3,FF_Value,Flow
Throughput,31.763173776323733,catapult,Area,7826.518,FF,769,catapult_asic_latency
Throughput,49.32912391475928,catapult,Area,7479.122,FF,729,catapult_asic_latency
Throughput,50.963204566303126,catapult,Area,7797.258,FF,772,catapult_asic_latency
Throughput,45.72473708276177,catapult,Area,7785.820,FF,774,catapult_asic_latency
Throughput,40.23497223786915,catapult,Area,8788.906,FF,775,catapult_asic_latency
Throughput,48.402710551790896,catapult,Area,7663.992,FF,733,catapult_asic_latency
Throughput,58.48637267516669,catapult,Area,7722.512,FF,769,catapult_asic_latency
Throughput,52.23295899712719,catapult,Area,8093.316,FF,772,catapult_asic_latency
Throughput,46.05535854096624,catapult,Area,8663.886,FF,772,catapult_asic_latency
Throughput,61.98475175106923,catapult,Area,8051.022,FF,730,catapult_asic_latency
Throughput,45.852629648310334,catapult,Area,8402.674,FF,773,catapult_asic_latency
Throughput,56.46527385657821,catapult,Area,8044.372,FF,774,catapult_asic_latency
Throughput,37.90606876160873,catapult,Area,8457.470,FF,774,catapult_asic_latency
Throughput,51.50126178091363,catapult,Area,7756.826,FF,733,catapult_asic_latency
Throughput,53.29354082285227,catapult,Area,7843.276,FF,772,catapult_asic_latency
Throughput,48.407396650208156,catapult,Area,7949.942,FF,772,catapult_asic_latency
Throughput,31.58759239370775,catapult,Area,8534.078,FF,772,catapult_asic_latency
Throughput,47.47661776575037,catapult,Area,7797.524,FF,732,catapult_asic_latency
Throughput,48.079234578585506,catapult,Area,7883.974,FF,770,catapult_asic_latency
Throughput,52.67593763168984,catapult,Area,8068.312,FF,772,catapult_asic_latency
Throughput,42.358522534733986,catapult,Area,8747.942,FF,773,catapult_asic_latency
Throughput,48.46604953230263,catapult,Area,7906.584,FF,733,catapult_asic_latency
Throughput,45.14061300952467,catapult,Area,7893.284,FF,770,catapult_asic_latency
Throughput,47.458592378150065,catapult,Area,8270.206,FF,772,catapult_asic_latency
Throughput,37.61378168961107,catapult,Area,8848.756,FF,772,catapult_asic_latency
Throughput,46.1723150798781,catapult,Area,8089.592,FF,732,catapult_asic_latency
Throughput,45.33297066956798,catapult,Area,8021.762,FF,771,catapult_asic_latency
Throughput,55.005500550055004,catapult,Area,8214.878,FF,772,catapult_asic_latency
Throughput,34.87844860660598,catapult,Area,8701.392,FF,772,catapult_asic_latency
Throughput,42.073375967687646,catapult,Area,8105.552,FF,732,catapult_asic_latency
Throughput,65.36802196365538,catapult,Area,8007.930,FF,770,catapult_asic_latency
Throughput,49.84051036682616,catapult,Area,8282.442,FF,770,catapult_asic_latency
Throughput,31.857279388340235,catapult,Area,8903.818,FF,770,catapult_asic_latency
Throughput,46.98144233027954,catapult,Area,8056.608,FF,730,catapult_asic_latency
Throughput,45.122281382546696,catapult,Area,7921.214,FF,770,catapult_asic_latency
Throughput,43.76750700280112,catapult,Area,8414.644,FF,772,catapult_asic_latency
Throughput,32.787960260992165,catapult,Area,9027.774,FF,773,catapult_asic_latency
Throughput,49.78096375945838,catapult,Area,8027.880,FF,733,catapult_asic_latency
Throughput,53.35040546308152,catapult,Area,8180.830,FF,770,catapult_asic_latency
