n,knob_UNROLL_F,knob_outer_unroll,knob_inner_unroll1,knob_inner_unroll2,knob_array_partition1,knob_array_partition2,obj1,obj2,lut,ff,dsp,bram
0425,4,2,4,3,8,4,0.000868,4020,19821,11628,82,82
0426,4,2,4,3,16,2,0.000983,5677,30012,14083,79,79
0427,4,2,4,3,16,4,0.000799,5086,27154,12121,82,82
0428,4,2,4,3,32,2,0.000953,9114,47823,14997,79,79
0429,4,2,4,3,32,4,0.000938,8568,45247,12692,82,82
0430,4,2,4,4,2,2,0.000737,2151,9837,5081,101,101
0431,4,2,4,4,2,4,0.000737,2151,9837,5081,101,101
0432,4,2,4,4,4,2,0.000732,2282,11239,4554,101,101
0433,4,2,4,4,4,4,0.000732,2282,11239,4554,101,101
0434,4,2,4,4,8,2,0.000741,2999,16145,4771,101,101
0435,4,2,4,4,8,4,0.000741,2999,16145,4771,101,101
0436,4,2,4,4,16,2,0.000734,4255,25555,5307,101,101
0437,4,2,4,4,16,4,0.000734,4255,25555,5307,101,101
0438,4,2,4,4,32,2,0.000870,8936,49771,6031,101,101
0439,4,2,4,4,32,4,0.000870,8936,49771,6031,101,101
0440,4,3,1,1,2,2,0.000191,1013,4930,4606,16,16
0441,4,3,1,1,2,4,0.000200,1079,5104,5377,16,16
0442,4,3,1,1,4,2,0.000180,1014,5188,4792,16,16
0443,4,3,1,1,4,4,0.000220,1114,5362,5558,16,16
0444,4,3,1,1,8,2,0.000196,1204,6000,4929,16,16
0445,4,3,1,1,8,4,0.000197,1275,6177,5695,16,16
0446,4,3,1,1,16,2,0.000200,1452,7519,5203,16,16
0447,4,3,1,1,16,4,0.000191,1491,7694,5969,16,16
0448,4,3,1,1,32,2,0.000188,2143,11174,5780,16,16
0449,4,3,1,1,32,4,0.000206,2266,11196,6539,16,16
0450,4,3,1,2,2,2,0.000188,1315,5980,5229,28,28
0451,4,3,1,2,2,4,0.000181,1348,6176,5235,28,28
0452,4,3,1,2,4,2,0.000179,1315,6471,5414,28,28
0453,4,3,1,2,4,4,0.000175,1357,6480,5422,28,28
0454,4,3,1,2,8,2,0.000181,1534,7729,5557,28,28
0455,4,3,1,2,8,4,0.000172,1527,7713,5564,28,28
0456,4,3,1,2,16,2,0.000179,1897,10139,5832,28,28
0457,4,3,1,2,16,4,0.000169,1897,10142,5839,28,28
0458,4,3,1,2,32,2,0.000182,3048,15999,6482,28,28
0459,4,3,1,2,32,4,0.000184,3064,16072,6444,28,28
0460,4,3,1,3,2,2,0.000195,1771,8401,7041,34,34
0461,4,3,1,3,2,4,0.000195,1630,7783,6585,37,37
0462,4,3,1,3,4,2,0.000207,1716,8397,6867,34,34
0463,4,3,1,3,4,4,0.000185,1547,7847,6085,37,37
0464,4,3,1,3,8,2,0.000198,1981,10191,7020,34,34
0465,4,3,1,3,8,4,0.000181,1880,9593,6226,37,37
0466,4,3,1,3,16,2,0.000220,2419,13338,7295,34,34
0467,4,3,1,3,16,4,0.000183,2303,12716,6496,37,37
0468,4,3,1,3,32,2,0.000198,4019,21270,7980,34,34
0469,4,3,1,3,32,4,0.000197,3943,20761,7129,37,37
0470,4,3,1,4,2,2,0.000141,961,4484,2874,41,41
0471,4,3,1,4,2,4,0.000141,961,4484,2874,41,41
0472,4,3,1,4,4,2,0.000156,1085,5424,3073,41,41
0473,4,3,1,4,4,4,0.000156,1085,5424,3073,41,41
0474,4,3,1,4,8,2,0.000145,1371,7456,2737,41,41
0475,4,3,1,4,8,4,0.000145,1371,7456,2737,41,41
0476,4,3,1,4,16,2,0.000149,1907,11574,3028,41,41
0477,4,3,1,4,16,4,0.000149,1907,11574,3028,41,41
0478,4,3,1,4,32,2,0.000158,3919,21587,3713,41,41
0479,4,3,1,4,32,4,0.000158,3919,21587,3713,41,41
0480,4,3,2,1,2,2,0.000432,2038,8844,7727,25,25
0481,4,3,2,1,2,4,0.000402,1994,9266,9268,25,25
0482,4,3,2,1,4,2,0.000379,1971,9178,7851,25,25
0483,4,3,2,1,4,4,0.000460,2121,9787,9399,25,25
0484,4,3,2,1,8,2,0.000424,2228,10262,7991,25,25
0485,4,3,2,1,8,4,0.000432,2491,11046,9542,25,25
0486,4,3,2,1,16,2,0.000397,2533,12901,8286,25,25
0487,4,3,2,1,16,4,0.000423,2676,13460,9828,25,25
0488,4,3,2,1,32,2,0.000400,3808,18494,8902,25,25
0489,4,3,2,1,32,4,0.000420,3824,19081,10447,25,25
0490,4,3,2,2,2,2,0.000349,2335,10438,8640,46,46
0491,4,3,2,2,2,4,0.000418,2469,11128,8662,46,46
0492,4,3,2,2,4,2,0.000394,2443,11398,8860,46,46
0493,4,3,2,2,4,4,0.000364,2343,11579,8787,46,46
0494,4,3,2,2,8,2,0.000372,2808,13471,8929,46,46
0495,4,3,2,2,8,4,0.000431,2748,13614,9032,46,46
0496,4,3,2,2,16,2,0.000379,3315,17590,9225,46,46
0497,4,3,2,2,16,4,0.000439,3407,17562,9419,46,46
0498,4,3,2,2,32,2,0.000438,5472,28197,9979,46,46
0499,4,3,2,2,32,4,0.000459,5418,28184,9970,46,46
0500,4,3,2,3,2,2,0.000468,3248,15243,12283,61,61
0501,4,3,2,3,2,4,0.000433,2948,13802,11410,64,64
0502,4,3,2,3,4,2,0.000448,3302,15126,11673,61,61
0503,4,3,2,3,4,4,0.000394,2794,13424,10108,64,64
0504,4,3,2,3,8,2,0.000475,3701,18519,11909,61,61
0505,4,3,2,3,8,4,0.000376,3300,16507,10275,64,64
0506,4,3,2,3,16,2,0.000591,4580,24485,12273,61,61
0507,4,3,2,3,16,4,0.000465,4103,21925,10675,64,64
0508,4,3,2,3,32,2,0.000482,7225,38338,12962,61,61
0509,4,3,2,3,32,4,0.000385,7040,37256,11510,64,64
0510,4,3,2,4,2,2,0.000372,1794,7714,4671,77,77
0511,4,3,2,4,2,4,0.000372,1794,7714,4671,77,77
0512,4,3,2,4,4,2,0.000326,1818,9328,3984,77,77
0513,4,3,2,4,4,4,0.000326,1818,9328,3984,77,77
0514,4,3,2,4,8,2,0.000307,2374,13226,4307,77,77
0515,4,3,2,4,8,4,0.000307,2374,13226,4307,77,77
0516,4,3,2,4,16,2,0.000352,3412,20503,4575,77,77
0517,4,3,2,4,16,4,0.000352,3412,20503,4575,77,77
0518,4,3,2,4,32,2,0.000368,7096,39692,5313,77,77
0519,4,3,2,4,32,4,0.000368,7096,39692,5313,77,77
0520,4,3,3,1,2,2,0.000666,2827,11942,9977,34,34
0521,4,3,3,1,2,4,0.000658,2774,12480,12305,34,34
0522,4,3,3,1,4,2,0.000644,2692,12395,10051,34,34
0523,4,3,3,1,4,4,0.000611,2898,13454,12375,34,34
0524,4,3,3,1,8,2,0.000637,2964,14304,10200,34,34
0525,4,3,3,1,8,4,0.000708,3190,15035,12521,34,34
0526,4,3,3,1,16,2,0.000628,3464,17362,10511,34,34
0527,4,3,3,1,16,4,0.000621,3639,18301,12826,34,34
0528,4,3,3,1,32,2,0.000580,5029,24932,11221,34,34
0529,4,3,3,1,32,4,0.000689,5329,26231,13541,34,34
0530,4,3,3,2,2,2,0.000641,3427,15057,11194,64,64
0531,4,3,3,2,2,4,0.000744,3331,15119,11212,64,64
0532,4,3,3,2,4,2,0.000576,3476,15753,11267,64,64
0533,4,3,3,2,4,4,0.000650,3289,15968,11283,64,64
0534,4,3,3,2,8,2,0.000554,3891,18815,11438,64,64
0535,4,3,3,2,8,4,0.000538,3706,18777,11569,64,64
0536,4,3,3,2,16,2,0.000579,4588,24474,11944,64,64
0537,4,3,3,2,16,4,0.000566,4521,24483,11948,64,64
0538,4,3,3,2,32,2,0.000601,7622,39182,12588,64,64
0539,4,3,3,2,32,4,0.000618,7476,39379,12581,64,64
0540,4,3,3,3,2,2,0.000804,4616,21190,16613,88,88
0541,4,3,3,3,2,4,0.000724,4572,20138,15357,91,91
0542,4,3,3,3,4,2,0.000730,4579,21813,15695,88,88
0543,4,3,3,3,4,4,0.000681,4172,18881,13343,91,91
0544,4,3,3,3,8,2,0.000730,5147,25901,15971,88,88
0545,4,3,3,3,8,4,0.000692,4659,22960,13699,91,91
0546,4,3,3,3,16,2,0.000732,6328,33836,16358,88,88
0547,4,3,3,3,16,4,0.000775,5718,31144,13996,91,91
0548,4,3,3,3,32,2,0.000679,10376,54986,17222,88,88
0549,4,3,3,3,32,4,0.000700,9678,52107,14884,91,91
0550,4,3,3,4,2,2,0.000546,2500,10960,5833,113,113
0551,4,3,3,4,2,4,0.000546,2500,10960,5833,113,113
0552,4,3,3,4,4,2,0.000508,2673,12991,5270,113,113
0553,4,3,3,4,4,4,0.000508,2673,12991,5270,113,113
0554,4,3,3,4,8,2,0.000483,3365,18537,5602,113,113
0555,4,3,3,4,8,4,0.000483,3365,18537,5602,113,113
0556,4,3,3,4,16,2,0.000571,4910,29551,5910,113,113
0557,4,3,3,4,16,4,0.000571,4910,29551,5910,113,113
0560,4,3,4,1,2,2,0.000874,3448,15571,12222,43,43
0561,4,3,4,1,2,4,0.000932,3862,17171,15326,43,43
0562,4,3,4,1,4,2,0.000886,3527,16373,12251,43,43
0563,4,3,4,1,4,4,0.001034,3739,17398,15359,43,43
0564,4,3,4,1,8,2,0.000943,3821,18764,12424,43,43
0565,4,3,4,1,8,4,0.000887,4383,19698,15512,43,43
0566,4,3,4,1,16,2,0.000891,4610,22667,12788,43,43
0567,4,3,4,1,16,4,0.000978,4765,23636,15884,43,43
0568,4,3,4,1,32,2,0.000883,6417,32198,13707,43,43
0569,4,3,4,1,32,4,0.001013,6775,34254,16627,43,43
0570,4,3,4,2,2,2,0.000915,4423,18983,13720,82,82
0571,4,3,4,2,2,4,0.000964,4281,19125,13754,82,82
0572,4,3,4,2,4,2,0.000902,4364,20207,13757,82,82
0573,4,3,4,2,4,4,0.000779,4044,20130,13781,82,82
0574,4,3,4,2,8,2,0.000898,5110,23859,14163,82,82
0575,4,3,4,2,8,4,0.000912,4610,23900,14152,82,82
0576,4,3,4,2,16,2,0.000886,5818,31554,14524,82,82
0577,4,3,4,2,16,4,0.000843,5818,31434,14549,82,82
0578,4,3,4,2,32,2,0.000843,9582,50701,15111,82,82
0579,4,3,4,2,32,4,0.000840,9605,50832,15160,82,82
0580,4,3,4,3,2,2,0.001065,6074,28208,20940,115,115
0581,4,3,4,3,2,4,0.001036,5582,25201,19284,118,118
0582,4,3,4,3,4,2,0.001060,6049,28368,19661,115,115
0583,4,3,4,3,4,4,0.001014,5186,24160,16377,118,118
0584,4,3,4,3,8,2,0.000995,6701,33414,19767,115,115
0585,4,3,4,3,8,4,0.000970,6003,29865,16795,118,118
0586,4,3,4,3,16,2,0.001167,8168,44079,20322,115,115
0587,4,3,4,3,16,4,0.001033,7488,39848,17211,118,118
0590,4,3,4,4,2,2,0.000726,3146,14567,7376,149,149
0591,4,3,4,4,2,4,0.000726,3146,14567,7376,149,149
0592,4,3,4,4,4,2,0.000724,3270,16701,6519,149,149
0593,4,3,4,4,4,4,0.000724,3270,16701,6519,149,149
0594,4,3,4,4,8,2,0.000700,4214,23881,6975,149,149
0595,4,3,4,4,8,4,0.000700,4214,23881,6975,149,149
0596,4,3,4,4,16,2,0.000814,6526,38786,7551,149,149
0597,4,3,4,4,16,4,0.000814,6526,38786,7551,149,149
0600,8,1,1,1,2,2,0.000310,342,1496,1500,8,8
0601,8,1,1,1,2,4,0.000293,384,1440,1492,8,8
0602,8,1,1,1,2,8,0.000288,351,1441,1498,8,8
0603,8,1,1,1,4,2,0.000315,420,1530,1506,8,8
0604,8,1,1,1,4,4,0.000290,355,1463,1498,8,8
0605,8,1,1,1,4,8,0.000306,376,1462,1506,8,8
0606,8,1,1,1,8,2,0.000328,395,1807,1512,8,8
0607,8,1,1,1,8,4,0.000295,411,1738,1504,8,8
0608,8,1,1,1,8,8,0.000320,420,1739,1512,8,8
0609,8,1,1,1,16,2,0.000302,516,2187,1521,8,8
0612,8,1,1,1,32,2,0.000323,733,3368,1546,8,8
0613,8,1,1,1,32,4,0.000298,727,3373,1538,8,8
0614,8,1,1,1,32,8,0.000320,744,3358,1546,8,8
0615,8,1,1,2,2,2,0.000306,489,1867,2218,14,14
0616,8,1,1,2,2,4,0.000234,492,2018,1936,14,14
0617,8,1,1,2,2,8,0.000241,527,2099,2199,16,16
0618,8,1,1,2,4,2,0.000288,476,1986,2227,14,14
0619,8,1,1,2,4,4,0.000286,447,1987,1833,14,14
0620,8,1,1,2,4,8,0.000290,487,2099,2097,16,16
0621,8,1,1,2,8,2,0.000295,531,2378,2234,14,14
0622,8,1,1,2,8,4,0.000284,511,2376,1840,14,14
0623,8,1,1,2,8,8,0.000283,524,2488,2104,16,16
0624,8,1,1,2,16,2,0.000300,636,3154,2244,14,14
0625,8,1,1,2,16,4,0.000307,636,3152,1850,14,14
0626,8,1,1,2,16,8,0.000283,661,3263,2114,16,16
0628,8,1,1,2,32,4,0.000294,1021,5079,1878,14,14
0629,8,1,1,2,32,8,0.000301,1062,5189,2142,16,16
0630,8,1,1,3,2,2,0.000327,985,4632,4750,16,16
0631,8,1,1,3,2,4,0.000317,958,4396,4899,19,19
0632,8,1,1,3,2,8,0.000272,601,2813,2800,14,14
0633,8,1,1,3,4,2,0.000320,980,4715,4602,16,16
0634,8,1,1,3,4,4,0.000293,946,4264,4826,19,19
0635,8,1,1,3,4,8,0.000282,613,2846,2787,14,14
0636,8,1,1,3,8,2,0.000313,1080,5265,4610,16,16
0637,8,1,1,3,8,4,0.000301,1016,4780,4833,19,19
0638,8,1,1,3,8,8,0.000269,704,3364,2794,14,14
0639,8,1,1,3,16,2,0.000310,1233,6329,4620,16,16
0640,8,1,1,3,16,4,0.000328,1179,5845,4843,19,19
0641,8,1,1,3,16,8,0.000283,849,4429,2804,14,14
0642,8,1,1,3,32,2,0.000311,1714,8924,4658,16,16
0643,8,1,1,3,32,4,0.000299,1714,8498,4879,19,19
0644,8,1,1,3,32,8,0.000258,1376,7077,2842,14,14
0645,8,1,1,4,2,2,0.000220,544,2279,1811,17,17
0646,8,1,1,4,2,4,0.000211,599,2697,2585,26,26
0647,8,1,1,4,2,8,0.000231,542,2320,1820,17,17
0648,8,1,1,4,4,2,0.000210,509,2436,1820,17,17
0649,8,1,1,4,4,4,0.000264,590,2746,2480,26,26
0650,8,1,1,4,4,8,0.000218,510,2477,1829,17,17
0651,8,1,1,4,8,2,0.000223,609,3189,1833,17,17
0652,8,1,1,4,8,4,0.000275,703,3407,2493,26,26
0653,8,1,1,4,8,8,0.000209,649,3256,1842,17,17
0654,8,1,1,4,16,2,0.000225,836,4554,1849,17,17
0655,8,1,1,4,16,4,0.000252,927,4789,2509,26,26
0656,8,1,1,4,16,8,0.000214,860,4626,1858,17,17
0660,8,1,2,1,2,2,0.000661,1171,5360,5992,11,11
0661,8,1,2,1,2,4,0.000585,968,4357,4948,11,11
0662,8,1,2,1,2,8,0.000601,939,4367,4964,11,11
0663,8,1,2,1,4,2,0.000647,1135,5482,5979,11,11
0664,8,1,2,1,4,4,0.000649,1058,4997,5966,11,11
0665,8,1,2,1,4,8,0.000631,1148,5467,5978,11,11
0666,8,1,2,1,8,2,0.000666,1159,5860,5988,11,11
0667,8,1,2,1,8,4,0.000672,1096,5382,5977,11,11
0668,8,1,2,1,8,8,0.000635,1177,5854,5988,11,11
0669,8,1,2,1,16,2,0.000662,1299,6648,6002,11,11
0670,8,1,2,1,16,4,0.000633,1224,6167,5989,11,11
0671,8,1,2,1,16,8,0.000651,1311,6641,6002,11,11
0672,8,1,2,1,32,2,0.000690,1725,8570,6041,11,11
0673,8,1,2,1,32,4,0.000631,1640,8093,6030,11,11
0674,8,1,2,1,32,8,0.000633,1732,8562,6041,11,11
0675,8,1,2,2,2,2,0.000728,1392,6202,6869,22,22
0676,8,1,2,2,2,4,0.000452,1100,5192,5437,17,17
0677,8,1,2,2,2,8,0.000650,1234,5534,5651,22,22
0678,8,1,2,2,4,2,0.000593,1349,6388,6855,22,22
0679,8,1,2,2,4,4,0.000609,1397,6526,6380,17,17
0680,8,1,2,2,4,8,0.000642,1398,6376,6594,22,22
0681,8,1,2,2,8,2,0.000587,1509,7141,6867,22,22
0682,8,1,2,2,8,4,0.000611,1514,7286,6392,17,17
0683,8,1,2,2,8,8,0.000641,1505,7124,6606,22,22
0684,8,1,2,2,16,2,0.000634,1696,8504,6883,22,22
0685,8,1,2,2,16,4,0.000650,1748,8620,6407,17,17
0686,8,1,2,2,16,8,0.000655,1708,8479,6621,22,22
0687,8,1,2,2,32,2,0.000616,2433,11711,6937,22,22
0688,8,1,2,2,32,4,0.000653,2333,11871,6452,17,17
0689,8,1,2,2,32,8,0.000634,2298,11541,6676,22,22
0690,8,1,2,3,2,2,0.000755,2219,10092,9254,25,25
0691,8,1,2,3,2,4,0.000649,2030,9392,9489,28,28
0692,8,1,2,3,2,8,0.000705,1564,7224,6985,28,28
0693,8,1,2,3,4,2,0.000812,1994,9207,9031,25,25
0694,8,1,2,3,4,4,0.000617,1844,8684,9388,28,28
0695,8,1,2,3,4,8,0.000713,1406,6664,6817,28,28
0696,8,1,2,3,8,2,0.000662,2183,10579,9044,25,25
0697,8,1,2,3,8,4,0.000636,2025,9627,9399,28,28
0698,8,1,2,3,8,8,0.000632,1555,7603,6827,28,28
0699,8,1,2,3,16,2,0.000654,2431,12419,9065,25,25
0700,8,1,2,3,16,4,0.000608,2363,11547,9395,28,28
0701,8,1,2,3,16,8,0.000587,1833,9510,6846,28,28
0702,8,1,2,3,32,2,0.000650,3334,16975,9139,25,25
0703,8,1,2,3,32,4,0.000654,3371,16517,9479,28,28
0704,8,1,2,3,32,8,0.000560,2861,13912,6924,28,28
0705,8,1,2,4,2,2,0.000498,1534,6758,6818,40,40
0706,8,1,2,4,2,4,0.000581,1591,6884,7103,40,40
0707,8,1,2,4,2,8,0.000465,1517,6888,6833,40,40
0708,8,1,2,4,4,2,0.000510,1486,7122,6810,40,40
0709,8,1,2,4,4,4,0.000612,1538,7202,7099,40,40
0710,8,1,2,4,4,8,0.000546,1538,7273,6824,40,40
0711,8,1,2,4,8,2,0.000498,1668,8359,6835,40,40
0712,8,1,2,4,8,4,0.000595,1727,8428,7123,40,40
0713,8,1,2,4,8,8,0.000499,1679,8523,6849,40,40
0714,8,1,2,4,16,2,0.000466,2090,10884,6854,40,40
0715,8,1,2,4,16,4,0.000574,2170,11244,7143,40,40
0716,8,1,2,4,16,8,0.000472,2064,11064,6926,40,40
0717,8,1,2,4,32,2,0.000482,3343,17201,6971,40,40
0718,8,1,2,4,32,4,0.000609,3336,17355,7248,40,40
0719,8,1,2,4,32,8,0.000497,3275,17172,6984,40,40
0720,8,1,3,1,2,2,0.000997,1662,7592,7946,16,16
0721,8,1,3,1,2,4,0.000997,1462,6856,7928,16,16
0722,8,1,3,1,2,8,0.001036,1640,7584,7946,16,16
0723,8,1,3,1,4,2,0.000943,1617,7716,7912,16,16
0724,8,1,3,1,4,4,0.001042,1502,6993,7896,16,16
0725,8,1,3,1,4,8,0.000967,1639,7701,7912,16,16
0726,8,1,3,1,8,2,0.001012,1697,8264,7928,16,16
0727,8,1,3,1,8,4,0.000972,1688,7634,7920,16,16
0728,8,1,3,1,8,8,0.000999,1753,8257,7925,16,16
0729,8,1,3,1,16,2,0.000976,1899,9339,7941,16,16
0730,8,1,3,1,16,4,0.001026,1811,8700,7936,16,16
0731,8,1,3,1,16,8,0.000977,1868,9334,7943,16,16
0732,8,1,3,1,32,2,0.001047,2351,11959,7992,16,16
0733,8,1,3,1,32,4,0.001032,2299,11346,7990,16,16
0734,8,1,3,1,32,8,0.000988,2401,11957,7988,16,16
0735,8,1,3,2,2,2,0.001121,2089,9287,8903,28,28
0736,8,1,3,2,2,4,0.001056,2165,9818,8531,28,28
0737,8,1,3,2,2,8,0.000846,1738,8091,7031,28,28
0738,8,1,3,2,4,2,0.000993,2102,9551,8879,28,28
0739,8,1,3,2,4,4,0.000997,2127,9930,8490,28,28
0740,8,1,3,2,4,8,0.000963,2006,9178,8487,28,28
0741,8,1,3,2,8,2,0.000954,2245,10547,8897,28,28
0742,8,1,3,2,8,4,0.000930,2214,10937,8505,28,28
0743,8,1,3,2,8,8,0.001171,2178,10165,8502,28,28
0744,8,1,3,2,16,2,0.000953,2305,11561,8908,28,28
0745,8,1,3,2,16,4,0.001077,2315,11932,8515,28,28
0746,8,1,3,2,16,8,0.000913,2322,12006,8503,28,28
0747,8,1,3,2,32,2,0.001275,3492,17295,8978,28,28
0748,8,1,3,2,32,4,0.000957,3336,17021,8580,28,28
0749,8,1,3,2,32,8,0.001001,3204,16274,8567,28,28
0750,8,1,3,3,2,2,0.001050,2851,13263,12428,34,34
0751,8,1,3,3,2,4,0.001235,2831,12270,12732,37,37
0752,8,1,3,3,2,8,0.001068,2191,9825,8998,37,37
0753,8,1,3,3,4,2,0.001401,2874,12977,12102,34,34
0754,8,1,3,3,4,4,0.001193,2709,11487,12571,37,37
0755,8,1,3,3,4,8,0.001154,2010,9229,8778,37,37
0756,8,1,3,3,8,2,0.001147,2935,13966,12122,34,34
0757,8,1,3,3,8,4,0.000951,2881,13111,12592,37,37
0758,8,1,3,3,8,8,0.000965,2202,10528,8810,37,37
0759,8,1,3,3,16,2,0.001436,3396,16916,12134,34,34
0760,8,1,3,3,16,4,0.001271,3181,15844,12599,37,37
0761,8,1,3,3,16,8,0.000859,2590,13096,8823,37,37
0762,8,1,3,3,32,2,0.001072,4757,24021,12255,34,34
0763,8,1,3,3,32,4,0.001148,4530,21784,12766,37,37
0764,8,1,3,3,32,8,0.000984,3968,20272,8946,37,37
0765,8,1,3,4,2,2,0.000868,2253,9923,8588,52,52
0766,8,1,3,4,2,4,0.000934,2204,9557,9002,52,52
0767,8,1,3,4,2,8,0.000902,2225,10040,8606,52,52
0768,8,1,3,4,4,2,0.000726,2048,9900,8549,52,52
0769,8,1,3,4,4,4,0.000994,2097,10061,8984,52,52
0770,8,1,3,4,4,8,0.000829,2048,10106,8569,52,52
0771,8,1,3,4,8,2,0.000948,2494,12324,8592,52,52
0772,8,1,3,4,8,4,0.000900,2477,12363,9014,52,52
0773,8,1,3,4,8,8,0.000715,2354,11798,8610,52,52
0774,8,1,3,4,16,2,0.000735,2957,15405,8628,52,52
0775,8,1,3,4,16,4,0.000935,2993,16027,9062,52,52
0776,8,1,3,4,16,8,0.000795,3103,16119,8648,52,52
0777,8,1,3,4,32,2,0.000781,4750,24634,8876,52,52
0778,8,1,3,4,32,4,0.000967,4768,24641,9227,52,52
0779,8,1,3,4,32,8,0.000788,4744,25344,8798,52,52
0780,8,1,4,1,2,2,0.001304,2159,9794,9722,19,19
0781,8,1,4,1,2,4,0.001530,1986,8849,9702,19,19
0782,8,1,4,1,2,8,0.001375,2153,9792,9725,19,19
0783,8,1,4,1,4,2,0.001457,2088,9963,9674,19,19
0784,8,1,4,1,4,4,0.001358,1895,9002,9653,19,19
0785,8,1,4,1,4,8,0.001426,2127,9948,9673,19,19
0786,8,1,4,1,8,2,0.001649,2243,10643,9687,19,19
0787,8,1,4,1,8,4,0.001595,2043,9679,9663,19,19
0788,8,1,4,1,8,8,0.001328,2249,10897,9690,19,19
0789,8,1,4,1,16,2,0.001472,2431,12026,9710,19,19
0790,8,1,4,1,16,4,0.001364,2302,11059,9684,19,19
0791,8,1,4,1,16,8,0.001380,2461,12010,9711,19,19
0792,8,1,4,1,32,2,0.001371,3108,15368,9766,19,19
0793,8,1,4,1,32,4,0.001524,3038,14813,9775,19,19
0794,8,1,4,1,32,8,0.001400,3059,15565,9776,19,19
0795,8,1,4,2,2,2,0.001439,2493,11507,10935,34,34
0796,8,1,4,2,2,4,0.001325,2477,11881,10428,34,34
0797,8,1,4,2,2,8,0.001371,2101,9578,8383,34,34
0798,8,1,4,2,4,2,0.001328,2355,11547,10888,34,34
0799,8,1,4,2,4,4,0.001427,2506,11974,10363,34,34
0800,8,1,4,2,4,8,0.001342,2319,10939,10357,34,34
0801,8,1,4,2,8,2,0.001206,2583,12810,10910,34,34
0802,8,1,4,2,8,4,0.001530,2660,13153,10388,34,34
0803,8,1,4,2,8,8,0.001764,2559,12599,10376,34,34
0804,8,1,4,2,16,2,0.001560,2988,14951,10898,34,34
0805,8,1,4,2,16,4,0.001396,2989,15618,10381,34,34
0806,8,1,4,2,16,8,0.001495,2922,14913,10397,34,34
0807,8,1,4,2,32,2,0.001483,4121,21431,11030,34,34
0808,8,1,4,2,32,4,0.001492,4137,21616,10485,34,34
0809,8,1,4,2,32,8,0.001517,4241,21096,10452,34,34
0810,8,1,4,3,2,2,0.002051,3673,16831,15519,43,43
0811,8,1,4,3,2,4,0.001594,3550,15978,15947,46,46
0812,8,1,4,3,2,8,0.001571,2635,12222,11029,46,46
0813,8,1,4,3,4,2,0.001567,3674,16478,15174,43,43
0814,8,1,4,3,4,4,0.001620,3535,15719,15757,46,46
0815,8,1,4,3,4,8,0.001209,2557,11696,10771,46,46
0816,8,1,4,3,8,2,0.002006,3911,18673,15183,43,43
0817,8,1,4,3,8,4,0.001583,3737,17215,15777,46,46
0818,8,1,4,3,8,8,0.001624,2775,13738,10776,46,46
0819,8,1,4,3,16,2,0.001909,4282,22013,15194,43,43
0820,8,1,4,3,16,4,0.001797,4142,20600,15818,46,46
0821,8,1,4,3,16,8,0.001432,3306,16886,10800,46,46
0822,8,1,4,3,32,2,0.001605,6364,31714,15402,43,43
0823,8,1,4,3,32,4,0.001531,5983,29468,15941,46,46
0824,8,1,4,3,32,8,0.001510,5241,26552,10983,46,46
0825,8,1,4,4,2,2,0.001150,2779,12174,10335,64,64
0826,8,1,4,4,2,4,0.001326,2785,12449,10903,64,64
0827,8,1,4,4,2,8,0.000988,2652,12301,10362,64,64
0828,8,1,4,4,4,2,0.001020,2674,12774,10409,64,64
0829,8,1,4,4,4,4,0.001299,2764,12918,10863,64,64
0830,8,1,4,4,4,8,0.001016,2614,12737,10313,64,64
0831,8,1,4,4,8,2,0.001173,3018,15160,10322,64,64
0832,8,1,4,4,8,4,0.001349,3064,15195,10904,64,64
0833,8,1,4,4,8,8,0.001009,3080,15417,10348,64,64
0834,8,1,4,4,16,2,0.000999,3637,20033,10480,64,64
0835,8,1,4,4,16,4,0.001315,3648,19968,11005,64,64
0836,8,1,4,4,16,8,0.001019,3597,20161,10404,64,64
0837,8,1,4,4,32,2,0.001109,6003,32221,10605,64,64
0838,8,1,4,4,32,4,0.001387,6168,32101,11282,64,64
0839,8,1,4,4,32,8,0.001031,5997,32572,10615,64,64
0840,8,2,1,1,2,2,0.000358,1054,5355,6079,11,11
0841,8,2,1,1,2,4,0.000294,933,4339,5038,11,11
0842,8,2,1,1,2,8,0.000289,900,4083,5046,11,11
0843,8,2,1,1,4,2,0.000321,1059,5504,6245,11,11
0844,8,2,1,1,4,4,0.000330,991,4985,6233,11,11
0845,8,2,1,1,4,8,0.000313,1063,5484,6245,11,11
0846,8,2,1,1,8,2,0.000328,1139,5902,6380,11,11
0847,8,2,1,1,8,4,0.000322,1083,5416,6368,11,11
0848,8,2,1,1,8,8,0.000318,1123,5902,6380,11,11
0849,8,2,1,1,16,2,0.000326,1284,6815,6646,11,11
0850,8,2,1,1,16,4,0.000350,1257,6341,6634,11,11
0851,8,2,1,1,16,8,0.000336,1281,6810,6646,11,11
0852,8,2,1,1,32,2,0.000376,1730,9071,7199,11,11
0853,8,2,1,1,32,4,0.000405,1773,8596,7187,11,11
0854,8,2,1,1,32,8,0.000379,1748,9077,7199,11,11
0855,8,2,1,2,2,2,0.000315,1347,6273,6951,22,22
0856,8,2,1,2,2,4,0.000267,1149,5315,5520,17,17
0857,8,2,1,2,2,8,0.000234,1256,5811,5739,22,22
0858,8,2,1,2,4,2,0.000316,1388,6513,7120,22,22
0859,8,2,1,2,4,4,0.000304,1352,6670,6644,17,17
