n,knob_UNROLL_F,knob_outer_unroll,knob_inner_unroll1,knob_inner_unroll2,knob_array_partition1,knob_array_partition2,obj1,obj2,lut,ff,dsp,bram
0084,2,3,1,1,32,2,0.000198,1906,10257,4402,16,16
0085,2,3,1,2,2,2,0.000173,720,3415,2349,23,23
0086,2,3,1,2,4,2,0.000165,778,3902,2530,23,23
0087,2,3,1,2,8,2,0.000154,959,5130,2673,23,23
0088,2,3,1,2,16,2,0.000167,1326,7540,2818,23,23
0089,2,3,1,2,32,2,0.000164,2451,13479,3436,23,23
0090,2,3,2,1,2,2,0.000204,1532,6877,5170,25,25
0091,2,3,2,1,4,2,0.000207,1518,7225,5294,25,25
0092,2,3,2,1,8,2,0.000195,1785,8433,5452,25,25
0093,2,3,2,1,16,2,0.000202,2056,10669,5726,25,25
0094,2,3,2,1,32,2,0.000205,3186,16478,6343,25,25
0095,2,3,2,2,2,2,0.000200,1171,5424,3594,41,41
0096,2,3,2,2,4,2,0.000194,1242,6214,3750,41,41
0097,2,3,2,2,8,2,0.000189,1500,8103,3412,41,41
0098,2,3,2,2,16,2,0.000201,2093,12411,3867,41,41
0099,2,3,2,2,32,2,0.000213,4052,22582,4407,41,41
0100,2,3,3,1,2,2,0.000356,2107,9070,6639,34,34
0101,2,3,3,1,4,2,0.000351,1923,9427,6710,34,34
0102,2,3,3,1,8,2,0.000314,2269,11094,6868,34,34
0103,2,3,3,1,16,2,0.000303,2782,14180,7195,34,34
0104,2,3,3,1,32,2,0.000318,4322,22167,7866,34,34
0105,2,3,3,2,2,2,0.000335,1479,7207,4717,59,59
0106,2,3,3,2,4,2,0.000318,1611,8211,4809,59,59
0107,2,3,3,2,8,2,0.000305,2077,10940,4295,59,59
0108,2,3,3,2,16,2,0.000299,2808,16931,4600,59,59
0109,2,3,3,2,32,2,0.000326,5722,31613,5235,59,59
0110,2,3,4,1,2,2,0.000434,2494,11274,8086,43,43
0111,2,3,4,1,4,2,0.000436,2583,12221,8098,43,43
0112,2,3,4,1,8,2,0.000425,2845,14217,8265,43,43
0113,2,3,4,1,16,2,0.000470,3473,18294,8573,43,43
0114,2,3,4,1,32,2,0.000431,5467,28617,9350,43,43
0115,2,3,4,2,2,2,0.000452,1926,9045,5821,77,77
0116,2,3,4,2,4,2,0.000446,2025,10337,4994,77,77
0117,2,3,4,2,8,2,0.000406,2543,14291,5182,77,77
0118,2,3,4,2,16,2,0.000402,3622,21818,5364,77,77
0119,2,3,4,2,32,2,0.000461,7353,40566,6232,77,77
0120,4,1,1,1,2,2,0.000186,290,1289,1234,8,8
0121,4,1,1,1,2,4,0.000181,294,1288,1234,8,8
0122,4,1,1,1,4,2,0.000182,309,1351,1240,8,8
0123,4,1,1,1,4,4,0.000178,296,1350,1240,8,8
0124,4,1,1,1,8,2,0.000179,357,1662,1246,8,8
0125,4,1,1,1,8,4,0.000185,345,1661,1246,8,8
0127,4,1,1,1,16,4,0.000188,436,2111,1255,8,8
0130,4,1,1,2,2,2,0.000162,353,1722,1414,11,11
0131,4,1,1,2,2,4,0.000167,368,1767,1417,11,11
0132,4,1,1,2,4,2,0.000156,352,1795,1421,11,11
0133,4,1,1,2,4,4,0.000163,356,1861,1424,11,11
0134,4,1,1,2,8,2,0.000173,401,2179,1428,11,11
0135,4,1,1,2,8,4,0.000164,416,2244,1431,11,11
0136,4,1,1,2,16,2,0.000169,517,2986,1438,11,11
0137,4,1,1,2,16,4,0.000158,548,3052,1441,11,11
0138,4,1,1,2,32,2,0.000171,884,4894,1466,11,11
0140,4,1,1,3,2,2,0.000189,629,3057,2908,16,16
0141,4,1,1,3,2,4,0.000180,519,2484,2249,17,17
0142,4,1,1,3,4,2,0.000182,651,3051,2796,16,16
0143,4,1,1,3,4,4,0.000163,474,2416,1834,17,17
0144,4,1,1,3,8,2,0.000183,770,3590,2804,16,16
0145,4,1,1,3,8,4,0.000169,557,2935,1841,17,17
0146,4,1,1,3,16,2,0.000181,851,4673,2815,16,16
0147,4,1,1,3,16,4,0.000171,751,4025,1850,17,17
0148,4,1,1,3,32,2,0.000186,1372,7241,2854,16,16
0150,4,1,1,4,2,2,0.000144,416,1960,1394,17,17
0151,4,1,1,4,2,4,0.000144,416,1960,1394,17,17
0152,4,1,1,4,4,2,0.000136,430,2227,1406,17,17
0153,4,1,1,4,4,4,0.000136,430,2227,1406,17,17
0154,4,1,1,4,8,2,0.000148,526,2910,1418,17,17
0155,4,1,1,4,8,4,0.000148,526,2910,1418,17,17
0156,4,1,1,4,16,2,0.000146,742,4266,1433,17,17
0157,4,1,1,4,16,4,0.000146,742,4266,1433,17,17
0158,4,1,1,4,32,2,0.000144,1340,7456,1245,17,17
0159,4,1,1,4,32,4,0.000144,1340,7456,1245,17,17
0160,4,1,2,1,2,2,0.000349,657,3184,3153,11,11
0161,4,1,2,1,2,4,0.000368,661,3059,3153,11,11
0162,4,1,2,1,4,2,0.000383,618,3148,3135,11,11
0163,4,1,2,1,4,4,0.000399,699,3413,3654,11,11
0164,4,1,2,1,8,2,0.000388,720,3532,3145,11,11
0165,4,1,2,1,8,4,0.000396,788,3796,3663,11,11
0166,4,1,2,1,16,2,0.000364,847,4311,3158,11,11
0167,4,1,2,1,16,4,0.000387,902,4573,3677,11,11
0169,4,1,2,1,32,4,0.000397,1315,6509,3717,11,11
0170,4,1,2,2,2,2,0.000337,799,3732,3366,17,17
0171,4,1,2,2,2,4,0.000336,817,3882,3374,17,17
0172,4,1,2,2,4,2,0.000321,802,4023,3357,17,17
0173,4,1,2,2,4,4,0.000349,835,4064,3363,17,17
0174,4,1,2,2,8,2,0.000355,931,4692,3369,17,17
0175,4,1,2,2,8,4,0.000353,937,4736,3376,17,17
0176,4,1,2,2,16,2,0.000340,1141,6088,3385,17,17
0177,4,1,2,2,16,4,0.000347,1105,6131,3392,17,17
0178,4,1,2,2,32,2,0.000322,1770,9440,3434,17,17
0180,4,1,2,3,2,2,0.000391,1188,5745,5036,25,25
0181,4,1,2,3,2,4,0.000384,1036,4710,4418,26,26
0182,4,1,2,3,4,2,0.000398,1128,5659,4788,25,25
0183,4,1,2,3,4,4,0.000368,1021,4690,4022,26,26
0184,4,1,2,3,8,2,0.000386,1266,6608,4803,25,25
0185,4,1,2,3,8,4,0.000380,1129,5652,4038,26,26
0186,4,1,2,3,16,2,0.000389,1572,8580,4822,25,25
0187,4,1,2,3,16,4,0.000361,1414,7665,4055,26,26
0188,4,1,2,3,32,2,0.000376,2553,13401,4897,25,25
0189,4,1,2,3,32,4,0.000357,2322,12456,4126,26,26
0190,4,1,2,4,2,2,0.000311,637,2956,1993,29,29
0191,4,1,2,4,2,4,0.000311,637,2956,1993,29,29
0192,4,1,2,4,4,2,0.000316,756,3526,2001,29,29
0193,4,1,2,4,4,4,0.000316,756,3526,2001,29,29
0194,4,1,2,4,8,2,0.000330,891,4768,2024,29,29
0195,4,1,2,4,8,4,0.000330,891,4768,2024,29,29
0196,4,1,2,4,16,2,0.000303,1233,7275,1683,29,29
0197,4,1,2,4,16,4,0.000303,1233,7275,1683,29,29
0198,4,1,2,4,32,2,0.000388,2395,13372,1813,29,29
0199,4,1,2,4,32,4,0.000388,2395,13372,1813,29,29
0200,4,1,3,1,2,2,0.000561,921,4394,4071,16,16
0201,4,1,3,1,2,4,0.000607,1084,4547,4842,16,16
0202,4,1,3,1,4,2,0.000572,988,4502,4037,16,16
0203,4,1,3,1,4,4,0.000601,1017,4678,4810,16,16
0204,4,1,3,1,8,2,0.000566,1050,5068,4049,16,16
0205,4,1,3,1,8,4,0.000567,1066,5230,4822,16,16
